Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,28.440001,28.440001,28.440001,28.440001,000,28.440001
2016-09-12,28.85,28.85,28.85,28.85,000,28.85
2016-09-09,28.610001,28.610001,28.610001,28.610001,000,28.610001
2016-09-08,29.18,29.18,29.18,29.18,000,29.18
2016-09-07,29.26,29.26,29.26,29.26,000,29.26
2016-09-06,29.23,29.23,29.23,29.23,000,29.23
2016-09-02,29.059999,29.059999,29.059999,29.059999,000,29.059999
2016-09-01,28.889999,28.889999,28.889999,28.889999,000,28.889999
2016-08-31,28.85,28.85,28.85,28.85,000,28.85
2016-08-30,28.90,28.90,28.90,28.90,000,28.90
2016-08-29,28.950001,28.950001,28.950001,28.950001,000,28.950001
2016-08-26,28.84,28.84,28.84,28.84,000,28.84
2016-08-25,28.92,28.92,28.92,28.92,000,28.92
2016-08-24,28.950001,28.950001,28.950001,28.950001,000,28.950001
2016-08-23,29.07,29.07,29.07,29.07,000,29.07
2016-08-22,29.00,29.00,29.00,29.00,000,29.00
2016-08-19,29.00,29.00,29.00,29.00,000,29.00
2016-08-18,29.10,29.10,29.10,29.10,000,29.10
2016-08-17,28.99,28.99,28.99,28.99,000,28.99
2016-08-16,28.98,28.98,28.98,28.98,000,28.98
2016-08-15,29.08,29.08,29.08,29.08,000,29.08
2016-08-12,29.00,29.00,29.00,29.00,000,29.00
2016-08-11,29.01,29.01,29.01,29.01,000,29.01
2016-08-10,28.889999,28.889999,28.889999,28.889999,000,28.889999
2016-08-09,28.90,28.90,28.90,28.90,000,28.90
2016-08-08,28.799999,28.799999,28.799999,28.799999,000,28.799999
2016-08-05,28.780001,28.780001,28.780001,28.780001,000,28.780001
2016-08-04,28.610001,28.610001,28.610001,28.610001,000,28.610001
2016-08-03,28.540001,28.540001,28.540001,28.540001,000,28.540001
2016-08-02,28.530001,28.530001,28.530001,28.530001,000,28.530001
2016-08-01,28.68,28.68,28.68,28.68,000,28.68
2016-07-29,28.75,28.75,28.75,28.75,000,28.75
2016-07-28,28.620001,28.620001,28.620001,28.620001,000,28.620001
2016-07-27,28.60,28.60,28.60,28.60,000,28.60
2016-07-26,28.57,28.57,28.57,28.57,000,28.57
2016-07-25,28.51,28.51,28.51,28.51,000,28.51
2016-07-22,28.57,28.57,28.57,28.57,000,28.57
2016-07-21,28.50,28.50,28.50,28.50,000,28.50
2016-07-20,28.559999,28.559999,28.559999,28.559999,000,28.559999
2016-07-19,28.440001,28.440001,28.440001,28.440001,000,28.440001
2016-07-18,28.51,28.51,28.51,28.51,000,28.51
2016-07-15,28.459999,28.459999,28.459999,28.459999,000,28.459999
2016-07-14,28.51,28.51,28.51,28.51,000,28.51
2016-07-13,28.379999,28.379999,28.379999,28.379999,000,28.379999
2016-07-12,28.370001,28.370001,28.370001,28.370001,000,28.370001
2016-07-11,28.17,28.17,28.17,28.17,000,28.17
2016-07-08,28.00,28.00,28.00,28.00,000,28.00
2016-07-07,27.67,27.67,27.67,27.67,000,27.67
2016-07-06,27.690001,27.690001,27.690001,27.690001,000,27.690001
2016-07-05,27.629999,27.629999,27.629999,27.629999,000,27.629999
2016-07-01,27.870001,27.870001,27.870001,27.870001,000,27.870001
2016-06-30,27.790001,27.790001,27.790001,27.790001,000,27.790001
2016-06-29,27.49,27.49,27.49,27.49,000,27.49
2016-06-28,27.10,27.10,27.10,27.10,000,27.10
2016-06-27,26.65,26.65,26.65,26.65,000,26.65
2016-06-24,27.07,27.07,27.07,27.07,000,27.07
2016-06-23,28.18,28.18,28.18,28.18,000,28.18
2016-06-22,27.809999,27.809999,27.809999,27.809999,000,27.809999
2016-06-21,27.809999,27.809999,27.809999,27.809999,000,27.809999
2016-06-20,27.73,27.73,27.73,27.73,000,27.73
2016-06-17,27.75,27.75,27.75,27.75,000,27.456
2016-06-16,27.719999,27.719999,27.719999,27.719999,000,27.426317
2016-06-15,27.709999,27.709999,27.709999,27.709999,000,27.416423
2016-06-14,27.66,27.66,27.66,27.66,000,27.366953
2016-06-13,27.790001,27.790001,27.790001,27.790001,000,27.495577
2016-06-10,28.040001,28.040001,28.040001,28.040001,000,27.742928
2016-06-09,28.40,28.40,28.40,28.40,000,28.099113
2016-06-08,28.51,28.51,28.51,28.51,000,28.207948
2016-06-07,28.43,28.43,28.43,28.43,000,28.128796
2016-06-06,28.309999,28.309999,28.309999,28.309999,000,28.010066
2016-06-03,28.18,28.18,28.18,28.18,000,27.881444
2016-06-02,28.120001,28.120001,28.120001,28.120001,000,27.82208
2016-06-01,28.059999,28.059999,28.059999,28.059999,000,27.762715
2016-05-31,28.030001,28.030001,28.030001,28.030001,000,27.733034
2016-05-27,28.049999,28.049999,28.049999,28.049999,000,27.752821
2016-05-26,27.99,27.99,27.99,27.99,000,27.693457
2016-05-25,27.959999,27.959999,27.959999,27.959999,000,27.663774
