Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,26.950001,26.950001,26.950001,26.950001,000,26.950001
2016-09-12,27.43,27.43,27.43,27.43,000,27.43
2016-09-09,27.040001,27.040001,27.040001,27.040001,000,27.040001
2016-09-08,27.790001,27.790001,27.790001,27.790001,000,27.790001
2016-09-07,27.799999,27.799999,27.799999,27.799999,000,27.799999
2016-09-06,27.719999,27.719999,27.719999,27.719999,000,27.719999
2016-09-02,27.690001,27.690001,27.690001,27.690001,000,27.690001
2016-09-01,27.469999,27.469999,27.469999,27.469999,000,27.469999
2016-08-31,27.440001,27.440001,27.440001,27.440001,000,27.440001
2016-08-30,27.49,27.49,27.49,27.49,000,27.49
2016-08-29,27.530001,27.530001,27.530001,27.530001,000,27.530001
2016-08-26,27.35,27.35,27.35,27.35,000,27.35
2016-08-25,27.42,27.42,27.42,27.42,000,27.42
2016-08-24,27.42,27.42,27.42,27.42,000,27.42
2016-08-23,27.700001,27.700001,27.700001,27.700001,000,27.700001
2016-08-22,27.629999,27.629999,27.629999,27.629999,000,27.629999
2016-08-19,27.68,27.68,27.68,27.68,000,27.68
2016-08-18,27.76,27.76,27.76,27.76,000,27.76
2016-08-17,27.60,27.60,27.60,27.60,000,27.60
2016-08-16,27.549999,27.549999,27.549999,27.549999,000,27.549999
2016-08-15,27.66,27.66,27.66,27.66,000,27.66
2016-08-12,27.48,27.48,27.48,27.48,000,27.48
2016-08-11,27.50,27.50,27.50,27.50,000,27.50
2016-08-10,27.35,27.35,27.35,27.35,000,27.35
2016-08-09,27.40,27.40,27.40,27.40,000,27.40
2016-08-08,27.52,27.52,27.52,27.52,000,27.52
2016-08-05,27.42,27.42,27.42,27.42,000,27.42
2016-08-04,27.15,27.15,27.15,27.15,000,27.15
2016-08-03,27.110001,27.110001,27.110001,27.110001,000,27.110001
2016-08-02,26.879999,26.879999,26.879999,26.879999,000,26.879999
2016-08-01,27.139999,27.139999,27.139999,27.139999,000,27.139999
2016-07-29,27.290001,27.290001,27.290001,27.290001,000,27.290001
2016-07-28,27.23,27.23,27.23,27.23,000,27.23
2016-07-27,27.200001,27.200001,27.200001,27.200001,000,27.200001
2016-07-26,27.34,27.34,27.34,27.34,000,27.34
2016-07-25,27.16,27.16,27.16,27.16,000,27.16
2016-07-22,27.25,27.25,27.25,27.25,000,27.25
2016-07-21,27.10,27.10,27.10,27.10,000,27.10
2016-07-20,27.139999,27.139999,27.139999,27.139999,000,27.139999
2016-07-19,27.07,27.07,27.07,27.07,000,27.07
2016-07-18,27.200001,27.200001,27.200001,27.200001,000,27.200001
2016-07-15,27.110001,27.110001,27.110001,27.110001,000,27.110001
2016-07-14,27.15,27.15,27.15,27.15,000,27.15
2016-07-13,27.040001,27.040001,27.040001,27.040001,000,27.040001
2016-07-12,27.059999,27.059999,27.059999,27.059999,000,27.059999
2016-07-11,26.66,26.66,26.66,26.66,000,26.66
2016-07-08,26.49,26.49,26.49,26.49,000,26.49
2016-07-07,25.959999,25.959999,25.959999,25.959999,000,25.959999
2016-07-06,26.02,26.02,26.02,26.02,000,26.02
2016-07-05,25.90,25.90,25.90,25.90,000,25.90
2016-07-01,26.34,26.34,26.34,26.34,000,26.34
2016-06-30,26.16,26.16,26.16,26.16,000,26.16
2016-06-29,25.809999,25.809999,25.809999,25.809999,000,25.809999
2016-06-28,25.26,25.26,25.26,25.26,000,25.26
2016-06-27,24.77,24.77,24.77,24.77,000,24.77
2016-06-24,25.73,25.73,25.73,25.73,000,25.73
2016-06-23,27.059999,27.059999,27.059999,27.059999,000,27.059999
2016-06-22,26.629999,26.629999,26.629999,26.629999,000,26.629999
2016-06-21,26.639999,26.639999,26.639999,26.639999,000,26.639999
2016-06-20,26.610001,26.610001,26.610001,26.610001,000,26.610001
2016-06-17,26.35,26.35,26.35,26.35,000,26.35
2016-06-16,26.23,26.23,26.23,26.23,000,26.23
2016-06-15,26.299999,26.299999,26.299999,26.299999,000,26.299999
2016-06-14,26.26,26.26,26.26,26.26,000,26.26
2016-06-13,26.49,26.49,26.49,26.49,000,26.49
2016-06-10,26.83,26.83,26.83,26.83,000,26.83
2016-06-09,27.309999,27.309999,27.309999,27.309999,000,27.309999
2016-06-08,27.41,27.41,27.41,27.41,000,27.41
2016-06-07,27.35,27.35,27.35,27.35,000,27.35
2016-06-06,27.26,27.26,27.26,27.26,000,27.26
2016-06-03,27.00,27.00,27.00,27.00,000,27.00
2016-06-02,27.040001,27.040001,27.040001,27.040001,000,27.040001
2016-06-01,26.950001,26.950001,26.950001,26.950001,000,26.950001
2016-05-31,26.870001,26.870001,26.870001,26.870001,000,26.870001
2016-05-27,26.85,26.85,26.85,26.85,000,26.85
