Date,Open,High,Low,Close,Volume,Adj Close
2016-09-01,31.10,31.10,31.10,31.10,000,31.10
2016-08-31,31.09,31.09,31.09,31.09,000,31.09
2016-08-30,31.129999,31.129999,31.129999,31.129999,000,31.129999
2016-08-29,31.17,31.17,31.17,31.17,000,31.17
2016-08-26,31.02,31.02,31.02,31.02,000,31.02
2016-08-25,31.08,31.08,31.08,31.08,000,31.08
2016-08-24,31.110001,31.110001,31.110001,31.110001,000,31.110001
2016-08-23,31.219999,31.219999,31.219999,31.219999,000,31.219999
2016-08-22,31.17,31.17,31.17,31.17,000,31.17
2016-08-19,31.139999,31.139999,31.139999,31.139999,000,31.139999
2016-08-18,31.190001,31.190001,31.190001,31.190001,000,31.190001
2016-08-17,31.120001,31.120001,31.120001,31.120001,000,31.120001
2016-08-16,31.08,31.08,31.08,31.08,000,31.08
2016-08-15,31.200001,31.200001,31.200001,31.200001,000,31.200001
2016-08-12,31.15,31.15,31.15,31.15,000,31.15
2016-08-11,31.129999,31.129999,31.129999,31.129999,000,31.129999
2016-08-10,31.08,31.08,31.08,31.08,000,31.08
2016-08-09,31.110001,31.110001,31.110001,31.110001,000,31.110001
2016-08-08,31.07,31.07,31.07,31.07,000,31.07
2016-08-05,31.07,31.07,31.07,31.07,000,31.07
2016-08-04,30.950001,30.950001,30.950001,30.950001,000,30.950001
2016-08-03,30.92,30.92,30.92,30.92,000,30.92
2016-08-02,30.84,30.84,30.84,30.84,000,30.84
2016-08-01,31.00,31.00,31.00,31.00,000,31.00
2016-07-29,31.059999,31.059999,31.059999,31.059999,000,31.059999
2016-07-28,30.99,30.99,30.99,30.99,000,30.99
2016-07-27,30.959999,30.959999,30.959999,30.959999,000,30.959999
2016-07-26,30.950001,30.950001,30.950001,30.950001,000,30.950001
2016-07-25,30.92,30.92,30.92,30.92,000,30.92
2016-07-22,30.98,30.98,30.98,30.98,000,30.98
2016-07-21,30.889999,30.889999,30.889999,30.889999,000,30.889999
2016-07-20,30.950001,30.950001,30.950001,30.950001,000,30.950001
2016-07-19,30.870001,30.870001,30.870001,30.870001,000,30.870001
2016-07-18,30.889999,30.889999,30.889999,30.889999,000,30.889999
2016-07-15,30.84,30.84,30.84,30.84,000,30.84
2016-07-14,30.879999,30.879999,30.879999,30.879999,000,30.879999
2016-07-13,30.83,30.83,30.83,30.83,000,30.83
2016-07-12,30.809999,30.809999,30.809999,30.809999,000,30.809999
2016-07-11,30.700001,30.700001,30.700001,30.700001,000,30.700001
2016-07-08,30.66,30.66,30.66,30.66,000,30.66
2016-07-07,30.35,30.35,30.35,30.35,000,30.35
2016-07-06,30.35,30.35,30.35,30.35,000,30.35
2016-07-05,30.25,30.25,30.25,30.25,000,30.25
2016-07-01,30.34,30.34,30.34,30.34,000,30.34
2016-06-30,30.26,30.26,30.26,30.26,000,30.26
2016-06-29,29.99,29.99,29.99,29.99,000,29.99
2016-06-28,29.700001,29.700001,29.700001,29.700001,000,29.700001
2016-06-27,29.379999,29.379999,29.379999,29.379999,000,29.379999
2016-06-24,29.67,29.67,29.67,29.67,000,29.67
2016-06-23,30.26,30.26,30.26,30.26,000,30.26
2016-06-22,30.030001,30.030001,30.030001,30.030001,000,30.030001
2016-06-21,30.049999,30.049999,30.049999,30.049999,000,30.049999
2016-06-20,30.030001,30.030001,30.030001,30.030001,000,30.030001
2016-06-17,29.940001,29.940001,29.940001,29.940001,000,29.940001
2016-06-16,30.00,30.00,30.00,30.00,000,30.00
2016-06-15,30.10,30.10,30.10,30.10,000,29.951
2016-06-14,30.10,30.10,30.10,30.10,000,29.951
2016-06-13,30.15,30.15,30.15,30.15,000,30.000752
2016-06-10,30.280001,30.280001,30.280001,30.280001,000,30.13011
2016-06-09,30.450001,30.450001,30.450001,30.450001,000,30.299268
2016-06-08,30.469999,30.469999,30.469999,30.469999,000,30.319168
2016-06-07,30.389999,30.389999,30.389999,30.389999,000,30.239564
2016-06-06,30.35,30.35,30.35,30.35,000,30.199763
2016-06-03,30.26,30.26,30.26,30.26,000,30.110208
2016-06-02,30.26,30.26,30.26,30.26,000,30.110208
2016-06-01,30.17,30.17,30.17,30.17,000,30.020654
2016-05-31,30.129999,30.129999,30.129999,30.129999,000,29.980851
2016-05-27,30.120001,30.120001,30.120001,30.120001,000,29.970902
2016-05-26,30.040001,30.040001,30.040001,30.040001,000,29.891298
2016-05-25,30.02,30.02,30.02,30.02,000,29.871396
2016-05-24,29.90,29.90,29.90,29.90,000,29.75199
2016-05-23,29.66,29.66,29.66,29.66,000,29.513178
2016-05-20,29.690001,29.690001,29.690001,29.690001,000,29.54303
2016-05-19,29.549999,29.549999,29.549999,29.549999,000,29.403722
2016-05-18,29.610001,29.610001,29.610001,29.610001,000,29.463426
2016-05-17,29.66,29.66,29.66,29.66,000,29.513178
2016-05-16,29.84,29.84,29.84,29.84,000,29.692287
2016-05-13,29.690001,29.690001,29.690001,29.690001,000,29.54303
2016-05-12,29.809999,29.809999,29.809999,29.809999,000,29.662435
2016-05-11,29.84,29.84,29.84,29.84,000,29.692287
2016-05-10,29.99,29.99,29.99,29.99,000,29.841544
2016-05-09,29.780001,29.780001,29.780001,29.780001,000,29.632585
2016-05-06,29.75,29.75,29.75,29.75,000,29.602733
2016-05-05,29.700001,29.700001,29.700001,29.700001,000,29.552981
2016-05-04,29.690001,29.690001,29.690001,29.690001,000,29.54303
2016-05-03,29.780001,29.780001,29.780001,29.780001,000,29.632585
2016-05-02,29.92,29.92,29.92,29.92,000,29.771891
2016-04-29,29.809999,29.809999,29.809999,29.809999,000,29.662435
2016-04-28,29.90,29.90,29.90,29.90,000,29.75199
2016-04-27,30.040001,30.040001,30.040001,30.040001,000,29.891298
2016-04-26,29.969999,29.969999,29.969999,29.969999,000,29.821643
2016-04-25,29.93,29.93,29.93,29.93,000,29.781842
2016-04-22,29.98,29.98,29.98,29.98,000,29.831594
2016-04-21,29.959999,29.959999,29.959999,29.959999,000,29.811692
2016-04-20,30.059999,30.059999,30.059999,30.059999,000,29.911197
2016-04-19,30.07,30.07,30.07,30.07,000,29.921148
2016-04-18,30.02,30.02,30.02,30.02,000,29.871396
2016-04-15,29.91,29.91,29.91,29.91,000,29.76194
2016-04-14,29.889999,29.889999,29.889999,29.889999,000,29.742039
2016-04-13,29.90,29.90,29.90,29.90,000,29.75199
2016-04-12,29.68,29.68,29.68,29.68,000,29.533079
2016-04-11,29.540001,29.540001,29.540001,29.540001,000,29.393773
2016-04-08,29.58,29.58,29.58,29.58,000,29.433574
2016-04-07,29.549999,29.549999,29.549999,29.549999,000,29.403722
2016-04-06,29.73,29.73,29.73,29.73,000,29.582831
2016-04-05,29.549999,29.549999,29.549999,29.549999,000,29.403722
2016-04-04,29.700001,29.700001,29.700001,29.700001,000,29.552981
2016-04-01,29.76,29.76,29.76,29.76,000,29.612683
2016-03-31,29.65,29.65,29.65,29.65,000,29.503227
2016-03-30,29.639999,29.639999,29.639999,29.639999,000,29.493276
2016-03-29,29.58,29.58,29.58,29.58,000,29.433574
2016-03-28,29.34,29.34,29.34,29.34,000,29.194762
2016-03-24,29.32,29.32,29.32,29.32,000,29.174861
2016-03-23,29.32,29.32,29.32,29.32,000,29.174861
2016-03-22,29.440001,29.440001,29.440001,29.440001,000,29.294268
2016-03-21,29.450001,29.450001,29.450001,29.450001,000,29.304218
2016-03-18,29.450001,29.450001,29.450001,29.450001,000,29.304218
2016-03-17,29.35,29.35,29.35,29.35,000,29.204713
2016-03-16,29.190001,29.190001,29.190001,29.190001,000,29.045505
2016-03-15,29.190001,29.190001,29.190001,29.190001,000,28.901222
2016-03-14,29.25,29.25,29.25,29.25,000,28.960628
2016-03-11,29.26,29.26,29.26,29.26,000,28.970529
2016-03-10,28.969999,28.969999,28.969999,28.969999,000,28.683397
2016-03-09,29.00,29.00,29.00,29.00,000,28.713101
2016-03-08,28.93,28.93,28.93,28.93,000,28.643794
