Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,14.64,14.64,14.64,14.64,000,14.64
2016-09-15,14.56,14.56,14.56,14.56,000,14.56
2016-09-14,14.60,14.60,14.60,14.60,000,14.60
2016-09-13,14.59,14.59,14.59,14.59,000,14.59
2016-09-12,14.73,14.73,14.73,14.73,000,14.73
2016-09-09,14.75,14.75,14.75,14.75,000,14.75
2016-09-08,14.95,14.95,14.95,14.95,000,14.95
2016-09-07,15.10,15.10,15.10,15.10,000,15.10
2016-09-06,15.10,15.10,15.10,15.10,000,15.10
2016-09-02,15.02,15.02,15.02,15.02,000,15.02
2016-09-01,15.12,15.12,15.12,15.12,000,15.12
2016-08-31,15.11,15.11,15.11,15.11,000,15.11
2016-08-30,15.11,15.11,15.11,15.11,000,15.065
2016-08-29,15.15,15.15,15.15,15.15,000,15.104881
2016-08-26,15.00,15.00,15.00,15.00,000,14.955328
2016-08-25,15.06,15.06,15.06,15.06,000,15.01515
2016-08-24,15.11,15.11,15.11,15.11,000,15.065
2016-08-23,15.12,15.12,15.12,15.12,000,15.07497
2016-08-22,15.11,15.11,15.11,15.11,000,15.065
2016-08-19,15.01,15.01,15.01,15.01,000,14.965298
2016-08-18,15.07,15.07,15.07,15.07,000,15.025119
2016-08-17,15.05,15.05,15.05,15.05,000,15.005179
2016-08-16,14.98,14.98,14.98,14.98,000,14.935387
2016-08-15,15.00,15.00,15.00,15.00,000,14.955328
2016-08-12,15.10,15.10,15.10,15.10,000,15.05503
2016-08-11,15.00,15.00,15.00,15.00,000,14.955328
2016-08-10,15.09,15.09,15.09,15.09,000,15.04506
2016-08-09,15.04,15.04,15.04,15.04,000,14.995209
2016-08-08,14.92,14.92,14.92,14.92,000,14.875566
2016-08-05,14.88,14.88,14.88,14.88,000,14.835685
2016-08-04,14.99,14.99,14.99,14.99,000,14.945357
2016-08-03,14.90,14.90,14.90,14.90,000,14.855625
2016-08-02,14.90,14.90,14.90,14.90,000,14.855625
2016-08-01,15.03,15.03,15.03,15.03,000,14.985238
2016-07-29,15.17,15.17,15.17,15.17,000,15.124822
2016-07-28,15.08,15.08,15.08,15.08,000,14.990223
2016-07-27,15.11,15.11,15.11,15.11,000,15.020044
2016-07-26,14.98,14.98,14.98,14.98,000,14.890818
2016-07-25,14.97,14.97,14.97,14.97,000,14.880878
2016-07-22,14.99,14.99,14.99,14.99,000,14.900759
2016-07-21,14.97,14.97,14.97,14.97,000,14.880878
2016-07-20,14.94,14.94,14.94,14.94,000,14.851056
2016-07-19,15.01,15.01,15.01,15.01,000,14.92064
2016-07-18,14.93,14.93,14.93,14.93,000,14.841116
2016-07-15,14.95,14.95,14.95,14.95,000,14.860997
2016-07-14,15.05,15.05,15.05,15.05,000,14.960402
2016-07-13,15.21,15.21,15.21,15.21,000,15.119449
2016-07-12,15.08,15.08,15.08,15.08,000,14.990223
2016-07-11,15.24,15.24,15.24,15.24,000,15.14927
2016-07-08,15.31,15.31,15.31,15.31,000,15.218854
2016-07-07,15.21,15.21,15.21,15.21,000,15.119449
2016-07-06,15.20,15.20,15.20,15.20,000,15.109509
2016-07-05,15.16,15.16,15.16,15.16,000,15.069747
2016-07-01,14.99,14.99,14.99,14.99,000,14.900759
2016-06-30,14.83,14.83,14.83,14.83,000,14.741711
2016-06-29,14.79,14.79,14.79,14.79,000,14.659206
2016-06-28,14.85,14.85,14.85,14.85,000,14.718676
2016-06-27,14.82,14.82,14.82,14.82,000,14.68894
2016-06-24,14.55,14.55,14.55,14.55,000,14.421328
2016-06-23,14.36,14.36,14.36,14.36,000,14.233008
2016-06-22,14.44,14.44,14.44,14.44,000,14.312301
2016-06-21,14.42,14.42,14.42,14.42,000,14.292478
2016-06-20,14.45,14.45,14.45,14.45,000,14.322212
2016-06-17,14.56,14.56,14.56,14.56,000,14.43124
2016-06-16,14.62,14.62,14.62,14.62,000,14.490709
2016-06-15,14.58,14.58,14.58,14.58,000,14.451063
2016-06-14,14.55,14.55,14.55,14.55,000,14.421328
2016-06-13,14.59,14.59,14.59,14.59,000,14.460975
2016-06-10,14.55,14.55,14.55,14.55,000,14.421328
2016-06-09,14.52,14.52,14.52,14.52,000,14.391594
2016-06-08,14.45,14.45,14.45,14.45,000,14.322212
2016-06-07,14.38,14.38,14.38,14.38,000,14.252832
2016-06-06,14.34,14.34,14.34,14.34,000,14.213185
2016-06-03,14.42,14.42,14.42,14.42,000,14.292478
2016-06-02,14.26,14.26,14.26,14.26,000,14.133893
2016-06-01,14.18,14.18,14.18,14.18,000,14.054601
2016-05-31,14.15,14.15,14.15,14.15,000,14.024865
2016-05-27,14.13,14.13,14.13,14.13,000,13.960441
2016-05-26,14.14,14.14,14.14,14.14,000,13.970321
2016-05-25,14.07,14.07,14.07,14.07,000,13.90116
2016-05-24,14.10,14.10,14.10,14.10,000,13.930801
2016-05-23,14.14,14.14,14.14,14.14,000,13.970321
2016-05-20,14.13,14.13,14.13,14.13,000,13.960441
2016-05-19,14.13,14.13,14.13,14.13,000,13.960441
2016-05-18,14.11,14.11,14.11,14.11,000,13.94068
2016-05-17,14.26,14.26,14.26,14.26,000,14.088881
2016-05-16,14.26,14.26,14.26,14.26,000,14.088881
2016-05-13,14.36,14.36,14.36,14.36,000,14.18768
2016-05-12,14.26,14.26,14.26,14.26,000,14.088881
2016-05-11,14.31,14.31,14.31,14.31,000,14.138281
2016-05-10,14.25,14.25,14.25,14.25,000,14.079001
2016-05-09,14.24,14.24,14.24,14.24,000,14.06912
2016-05-06,14.22,14.22,14.22,14.22,000,14.049361
2016-05-05,14.29,14.29,14.29,14.29,000,14.11852
2016-05-04,14.23,14.23,14.23,14.23,000,14.05924
2016-05-03,14.19,14.19,14.19,14.19,000,14.01972
2016-05-02,14.07,14.07,14.07,14.07,000,13.90116
2016-04-29,14.18,14.18,14.18,14.18,000,14.009841
2016-04-28,14.14,14.14,14.14,14.14,000,13.926849
2016-04-27,14.08,14.08,14.08,14.08,000,13.867753
2016-04-26,13.98,13.98,13.98,13.98,000,13.76926
2016-04-25,14.02,14.02,14.02,14.02,000,13.808658
2016-04-22,14.05,14.05,14.05,14.05,000,13.838205
2016-04-21,14.07,14.07,14.07,14.07,000,13.857903
2016-04-20,14.11,14.11,14.11,14.11,000,13.8973
2016-04-19,14.20,14.20,14.20,14.20,000,13.985944
2016-04-18,14.20,14.20,14.20,14.20,000,13.985944
2016-04-15,14.24,14.24,14.24,14.24,000,14.025341
2016-04-14,14.14,14.14,14.14,14.14,000,13.926849
2016-04-13,14.17,14.17,14.17,14.17,000,13.956396
2016-04-12,14.12,14.12,14.12,14.12,000,13.90715
2016-04-11,14.18,14.18,14.18,14.18,000,13.966246
2016-04-08,14.19,14.19,14.19,14.19,000,13.976094
2016-04-07,14.25,14.25,14.25,14.25,000,14.03519
2016-04-06,14.13,14.13,14.13,14.13,000,13.916999
2016-04-05,14.20,14.20,14.20,14.20,000,13.985944
2016-04-04,14.09,14.09,14.09,14.09,000,13.877602
2016-04-01,14.08,14.08,14.08,14.08,000,13.867753
2016-03-31,14.04,14.04,14.04,14.04,000,13.828356
2016-03-30,13.96,13.96,13.96,13.96,000,13.704255
2016-03-29,14.06,14.06,14.06,14.06,000,13.802423
2016-03-28,13.94,13.94,13.94,13.94,000,13.684621
2016-03-24,13.93,13.93,13.93,13.93,000,13.674805
2016-03-23,13.94,13.94,13.94,13.94,000,13.684621
2016-03-22,13.81,13.81,13.81,13.81,000,13.557003
2016-03-21,13.80,13.80,13.80,13.80,000,13.547186
2016-03-18,13.86,13.86,13.86,13.86,000,13.606087
2016-03-17,13.81,13.81,13.81,13.81,000,13.557003
2016-03-16,13.75,13.75,13.75,13.75,000,13.498102
2016-03-15,13.71,13.71,13.71,13.71,000,13.458835
2016-03-14,13.68,13.68,13.68,13.68,000,13.429385
2016-03-11,13.61,13.61,13.61,13.61,000,13.360667
2016-03-10,13.68,13.68,13.68,13.68,000,13.429385
2016-03-09,13.70,13.70,13.70,13.70,000,13.449018
2016-03-08,13.75,13.75,13.75,13.75,000,13.498102
2016-03-07,13.62,13.62,13.62,13.62,000,13.370484
2016-03-04,13.60,13.60,13.60,13.60,000,13.35085
2016-03-03,13.65,13.65,13.65,13.65,000,13.399934
2016-03-02,13.60,13.60,13.60,13.60,000,13.35085
2016-03-01,13.54,13.54,13.54,13.54,000,13.291949
2016-02-29,13.68,13.68,13.68,13.68,000,13.429385
2016-02-26,13.64,13.64,13.64,13.64,000,13.347905
2016-02-25,13.72,13.72,13.72,13.72,000,13.426192
2016-02-24,13.67,13.67,13.67,13.67,000,13.377263
2016-02-23,13.68,13.68,13.68,13.68,000,13.387049
2016-02-22,13.64,13.64,13.64,13.64,000,13.347905
2016-02-19,13.63,13.63,13.63,13.63,000,13.338119
2016-02-18,13.62,13.62,13.62,13.62,000,13.328333
2016-02-17,13.48,13.48,13.48,13.48,000,13.191331
2016-02-16,13.54,13.54,13.54,13.54,000,13.250047
2016-02-12,13.63,13.63,13.63,13.63,000,13.338119
2016-02-11,13.80,13.80,13.80,13.80,000,13.504479
2016-02-10,13.80,13.80,13.80,13.80,000,13.504479
2016-02-09,13.72,13.72,13.72,13.72,000,13.426192
2016-02-08,13.73,13.73,13.73,13.73,000,13.435977
2016-02-05,13.54,13.54,13.54,13.54,000,13.250047
2016-02-04,13.53,13.53,13.53,13.53,000,13.24026
2016-02-03,13.48,13.48,13.48,13.48,000,13.191331
2016-02-02,13.58,13.58,13.58,13.58,000,13.28919
2016-02-01,13.42,13.42,13.42,13.42,000,13.132616
2016-01-29,13.46,13.46,13.46,13.46,000,13.17176
2016-01-28,13.39,13.39,13.39,13.39,000,13.058244
2016-01-27,13.38,13.38,13.38,13.38,000,13.048492
2016-01-26,13.40,13.40,13.40,13.40,000,13.067996
2016-01-25,13.40,13.40,13.40,13.40,000,13.067996
2016-01-22,13.35,13.35,13.35,13.35,000,13.019235
2016-01-21,13.38,13.38,13.38,13.38,000,13.048492
2016-01-20,13.46,13.46,13.46,13.46,000,13.12651
2016-01-19,13.42,13.42,13.42,13.42,000,13.087501
2016-01-15,13.47,13.47,13.47,13.47,000,13.136262
2016-01-14,13.36,13.36,13.36,13.36,000,13.028987
2016-01-13,13.48,13.48,13.48,13.48,000,13.146014
2016-01-12,13.40,13.40,13.40,13.40,000,13.067996
2016-01-11,13.27,13.27,13.27,13.27,000,12.941218
2016-01-08,13.39,13.39,13.39,13.39,000,13.058244
2016-01-07,13.36,13.36,13.36,13.36,000,13.028987
2016-01-06,13.35,13.35,13.35,13.35,000,13.019235
2016-01-05,13.22,13.22,13.22,13.22,000,12.892456
2016-01-04,13.26,13.26,13.26,13.26,000,12.931465
2015-12-31,13.20,13.20,13.20,13.20,000,12.872951
2015-12-30,13.15,13.15,13.15,13.15,000,12.77933
