Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,12.02,12.02,12.02,12.02,000,12.02
2016-09-15,12.02,12.02,12.02,12.02,000,12.02
2016-09-14,12.03,12.03,12.03,12.03,000,12.03
2016-09-13,12.03,12.03,12.03,12.03,000,12.03
2016-09-12,12.05,12.05,12.05,12.05,000,12.05
2016-09-09,12.07,12.07,12.07,12.07,000,12.07
2016-09-08,12.09,12.09,12.09,12.09,000,12.09
2016-09-07,12.10,12.10,12.10,12.10,000,12.10
2016-09-06,12.10,12.10,12.10,12.10,000,12.10
2016-09-02,12.10,12.10,12.10,12.10,000,12.10
2016-09-01,12.11,12.11,12.11,12.11,000,12.11
2016-08-31,12.11,12.11,12.11,12.11,000,12.11
2016-08-30,12.11,12.11,12.11,12.11,000,12.085
2016-08-29,12.12,12.12,12.12,12.12,000,12.094979
2016-08-26,12.12,12.12,12.12,12.12,000,12.094979
2016-08-25,12.12,12.12,12.12,12.12,000,12.094979
2016-08-24,12.13,12.13,12.13,12.13,000,12.104959
2016-08-23,12.12,12.12,12.12,12.12,000,12.094979
2016-08-22,12.12,12.12,12.12,12.12,000,12.094979
2016-08-19,12.12,12.12,12.12,12.12,000,12.094979
2016-08-18,12.12,12.12,12.12,12.12,000,12.094979
2016-08-17,12.11,12.11,12.11,12.11,000,12.085
2016-08-16,12.11,12.11,12.11,12.11,000,12.085
2016-08-15,12.12,12.12,12.12,12.12,000,12.094979
2016-08-12,12.12,12.12,12.12,12.12,000,12.094979
2016-08-11,12.11,12.11,12.11,12.11,000,12.085
2016-08-10,12.11,12.11,12.11,12.11,000,12.085
2016-08-09,12.09,12.09,12.09,12.09,000,12.065041
2016-08-08,12.09,12.09,12.09,12.09,000,12.065041
2016-08-05,12.10,12.10,12.10,12.10,000,12.075021
2016-08-04,12.11,12.11,12.11,12.11,000,12.085
2016-08-03,12.09,12.09,12.09,12.09,000,12.065041
2016-08-02,12.09,12.09,12.09,12.09,000,12.065041
2016-08-01,12.11,12.11,12.11,12.11,000,12.085
2016-07-29,12.11,12.11,12.11,12.11,000,12.085
2016-07-28,12.11,12.11,12.11,12.11,000,12.059053
2016-07-27,12.10,12.10,12.10,12.10,000,12.049096
2016-07-26,12.09,12.09,12.09,12.09,000,12.039138
2016-07-25,12.09,12.09,12.09,12.09,000,12.039138
2016-07-22,12.09,12.09,12.09,12.09,000,12.039138
2016-07-21,12.09,12.09,12.09,12.09,000,12.039138
2016-07-20,12.09,12.09,12.09,12.09,000,12.039138
2016-07-19,12.10,12.10,12.10,12.10,000,12.049096
2016-07-18,12.10,12.10,12.10,12.10,000,12.049096
2016-07-15,12.10,12.10,12.10,12.10,000,12.049096
2016-07-14,12.12,12.12,12.12,12.12,000,12.069012
2016-07-13,12.14,12.14,12.14,12.14,000,12.088928
2016-07-12,12.13,12.13,12.13,12.13,000,12.07897
2016-07-11,12.16,12.16,12.16,12.16,000,12.108843
2016-07-08,12.17,12.17,12.17,12.17,000,12.118801
2016-07-07,12.17,12.17,12.17,12.17,000,12.118801
2016-07-06,12.18,12.18,12.18,12.18,000,12.12876
2016-07-05,12.17,12.17,12.17,12.17,000,12.118801
2016-07-01,12.16,12.16,12.16,12.16,000,12.108843
2016-06-30,12.15,12.15,12.15,12.15,000,12.098885
2016-06-29,12.15,12.15,12.15,12.15,000,12.07399
2016-06-28,12.16,12.16,12.16,12.16,000,12.083928
2016-06-27,12.17,12.17,12.17,12.17,000,12.093865
2016-06-24,12.15,12.15,12.15,12.15,000,12.07399
2016-06-23,12.06,12.06,12.06,12.06,000,11.984554
2016-06-22,12.08,12.08,12.08,12.08,000,12.004428
2016-06-21,12.08,12.08,12.08,12.08,000,12.004428
2016-06-20,12.09,12.09,12.09,12.09,000,12.014366
2016-06-17,12.11,12.11,12.11,12.11,000,12.03424
2016-06-16,12.12,12.12,12.12,12.12,000,12.044178
2016-06-15,12.09,12.09,12.09,12.09,000,12.014366
2016-06-14,12.09,12.09,12.09,12.09,000,12.014366
2016-06-13,12.07,12.07,12.07,12.07,000,11.994491
2016-06-10,12.07,12.07,12.07,12.07,000,11.994491
2016-06-09,12.05,12.05,12.05,12.05,000,11.974616
2016-06-08,12.03,12.03,12.03,12.03,000,11.954741
2016-06-07,12.03,12.03,12.03,12.03,000,11.954741
2016-06-06,12.02,12.02,12.02,12.02,000,11.944804
2016-06-03,12.02,12.02,12.02,12.02,000,11.944804
2016-06-02,12.00,12.00,12.00,12.00,000,11.924929
2016-06-01,12.00,12.00,12.00,12.00,000,11.924929
2016-05-31,12.00,12.00,12.00,12.00,000,11.924929
2016-05-27,12.00,12.00,12.00,12.00,000,11.899092
2016-05-26,12.00,12.00,12.00,12.00,000,11.899092
2016-05-25,12.01,12.01,12.01,12.01,000,11.909008
2016-05-24,12.01,12.01,12.01,12.01,000,11.909008
2016-05-23,12.02,12.02,12.02,12.02,000,11.918924
2016-05-20,12.03,12.03,12.03,12.03,000,11.928839
2016-05-19,12.03,12.03,12.03,12.03,000,11.928839
2016-05-18,12.04,12.04,12.04,12.04,000,11.938755
2016-05-17,12.07,12.07,12.07,12.07,000,11.968503
2016-05-16,12.07,12.07,12.07,12.07,000,11.968503
2016-05-13,12.07,12.07,12.07,12.07,000,11.968503
2016-05-12,12.06,12.06,12.06,12.06,000,11.958588
2016-05-11,12.06,12.06,12.06,12.06,000,11.958588
2016-05-10,12.05,12.05,12.05,12.05,000,11.948671
2016-05-09,12.05,12.05,12.05,12.05,000,11.948671
2016-05-06,12.05,12.05,12.05,12.05,000,11.948671
2016-05-05,12.04,12.04,12.04,12.04,000,11.938755
2016-05-04,12.04,12.04,12.04,12.04,000,11.938755
2016-05-03,12.03,12.03,12.03,12.03,000,11.928839
2016-05-02,12.01,12.01,12.01,12.01,000,11.909008
2016-04-29,12.02,12.02,12.02,12.02,000,11.918924
2016-04-28,12.01,12.01,12.01,12.01,000,11.883226
2016-04-27,12.00,12.00,12.00,12.00,000,11.873332
2016-04-26,11.99,11.99,11.99,11.99,000,11.863437
2016-04-25,12.00,12.00,12.00,12.00,000,11.873332
2016-04-22,12.00,12.00,12.00,12.00,000,11.873332
2016-04-21,12.01,12.01,12.01,12.01,000,11.883226
