Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,10.20,10.20,10.20,10.20,000,10.20
2016-09-12,10.22,10.22,10.22,10.22,000,10.22
2016-09-09,10.22,10.22,10.22,10.22,000,10.22
2016-09-08,10.27,10.27,10.27,10.27,000,10.27
2016-09-07,10.30,10.30,10.30,10.30,000,10.30
2016-09-06,10.30,10.30,10.30,10.30,000,10.30
2016-09-02,10.27,10.27,10.27,10.27,000,10.27
2016-09-01,10.28,10.28,10.28,10.28,000,10.28
2016-08-31,10.28,10.28,10.28,10.28,000,10.28
2016-08-30,10.29,10.29,10.29,10.29,000,10.272
2016-08-29,10.30,10.30,10.30,10.30,000,10.281983
2016-08-26,10.27,10.27,10.27,10.27,000,10.252035
2016-08-25,10.29,10.29,10.29,10.29,000,10.272
2016-08-24,10.30,10.30,10.30,10.30,000,10.281983
2016-08-23,10.30,10.30,10.30,10.30,000,10.281983
2016-08-22,10.30,10.30,10.30,10.30,000,10.281983
2016-08-19,10.28,10.28,10.28,10.28,000,10.262017
2016-08-18,10.30,10.30,10.30,10.30,000,10.281983
2016-08-17,10.29,10.29,10.29,10.29,000,10.272
2016-08-16,10.27,10.27,10.27,10.27,000,10.252035
2016-08-15,10.28,10.28,10.28,10.28,000,10.262017
2016-08-12,10.30,10.30,10.30,10.30,000,10.281983
2016-08-11,10.27,10.27,10.27,10.27,000,10.252035
2016-08-10,10.30,10.30,10.30,10.30,000,10.281983
2016-08-09,10.28,10.28,10.28,10.28,000,10.262017
2016-08-08,10.25,10.25,10.25,10.25,000,10.23207
2016-08-05,10.25,10.25,10.25,10.25,000,10.23207
2016-08-04,10.28,10.28,10.28,10.28,000,10.262017
2016-08-03,10.25,10.25,10.25,10.25,000,10.23207
2016-08-02,10.25,10.25,10.25,10.25,000,10.23207
2016-08-01,10.28,10.28,10.28,10.28,000,10.262017
2016-07-29,10.30,10.30,10.30,10.30,000,10.281983
2016-07-28,10.29,10.29,10.29,10.29,000,10.25503
2016-07-27,10.29,10.29,10.29,10.29,000,10.25503
2016-07-26,10.26,10.26,10.26,10.26,000,10.225132
2016-07-25,10.26,10.26,10.26,10.26,000,10.225132
2016-07-22,10.27,10.27,10.27,10.27,000,10.235098
2016-07-21,10.27,10.27,10.27,10.27,000,10.235098
2016-07-20,10.26,10.26,10.26,10.26,000,10.225132
2016-07-19,10.27,10.27,10.27,10.27,000,10.235098
2016-07-18,10.26,10.26,10.26,10.26,000,10.225132
2016-07-15,10.25,10.25,10.25,10.25,000,10.215166
2016-07-14,10.28,10.28,10.28,10.28,000,10.245063
2016-07-13,10.30,10.30,10.30,10.30,000,10.264996
2016-07-12,10.28,10.28,10.28,10.28,000,10.245063
2016-07-11,10.31,10.31,10.31,10.31,000,10.274962
2016-07-08,10.33,10.33,10.33,10.33,000,10.294894
2016-07-07,10.31,10.31,10.31,10.31,000,10.274962
2016-07-06,10.31,10.31,10.31,10.31,000,10.274962
2016-07-05,10.31,10.31,10.31,10.31,000,10.274962
2016-07-01,10.27,10.27,10.27,10.27,000,10.235098
2016-06-30,10.24,10.24,10.24,10.24,000,10.205199
2016-06-29,10.24,10.24,10.24,10.24,000,10.186264
2016-06-28,10.26,10.26,10.26,10.26,000,10.206159
2016-06-27,10.25,10.25,10.25,10.25,000,10.196212
2016-06-24,10.19,10.19,10.19,10.19,000,10.136526
2016-06-23,10.14,10.14,10.14,10.14,000,10.086789
2016-06-22,10.16,10.16,10.16,10.16,000,10.106684
2016-06-21,10.15,10.15,10.15,10.15,000,10.096736
2016-06-20,10.16,10.16,10.16,10.16,000,10.106684
2016-06-17,10.18,10.18,10.18,10.18,000,10.126579
2016-06-16,10.19,10.19,10.19,10.19,000,10.136526
2016-06-15,10.19,10.19,10.19,10.19,000,10.136526
2016-06-14,10.17,10.17,10.17,10.17,000,10.116631
2016-06-13,10.18,10.18,10.18,10.18,000,10.126579
2016-06-10,10.17,10.17,10.17,10.17,000,10.116631
2016-06-09,10.16,10.16,10.16,10.16,000,10.106684
2016-06-08,10.15,10.15,10.15,10.15,000,10.096736
2016-06-07,10.13,10.13,10.13,10.13,000,10.076841
2016-06-06,10.12,10.12,10.12,10.12,000,10.066894
2016-06-03,10.13,10.13,10.13,10.13,000,10.076841
2016-06-02,10.08,10.08,10.08,10.08,000,10.027104
2016-06-01,10.06,10.06,10.06,10.06,000,10.007209
2016-05-31,10.06,10.06,10.06,10.06,000,10.007209
2016-05-27,10.06,10.06,10.06,10.06,000,9.994278
2016-05-26,10.07,10.07,10.07,10.07,000,10.004212
2016-05-25,10.05,10.05,10.05,10.05,000,9.984343
2016-05-24,10.05,10.05,10.05,10.05,000,9.984343
2016-05-23,10.06,10.06,10.06,10.06,000,9.994278
2016-05-20,10.06,10.06,10.06,10.06,000,9.994278
2016-05-18,10.05,10.05,10.05,10.05,000,9.984343
2016-05-17,10.10,10.10,10.10,10.10,000,10.034016
2016-05-16,10.10,10.10,10.10,10.10,000,10.034016
2016-05-13,10.12,10.12,10.12,10.12,000,10.053885
2016-05-12,10.10,10.10,10.10,10.10,000,10.034016
2016-05-11,10.12,10.12,10.12,10.12,000,10.053885
2016-05-10,10.11,10.11,10.11,10.11,000,10.04395
2016-05-09,10.11,10.11,10.11,10.11,000,10.04395
2016-05-06,10.09,10.09,10.09,10.09,000,10.024081
2016-05-05,10.11,10.11,10.11,10.11,000,10.04395
2016-05-04,10.09,10.09,10.09,10.09,000,10.024081
2016-05-03,10.08,10.08,10.08,10.08,000,10.014146
2016-05-02,10.05,10.05,10.05,10.05,000,9.984343
2016-04-29,10.07,10.07,10.07,10.07,000,10.004212
2016-04-28,10.08,10.08,10.08,10.08,000,10.001231
2016-04-27,10.06,10.06,10.06,10.06,000,9.981388
2016-04-26,10.03,10.03,10.03,10.03,000,9.951622
2016-04-25,10.04,10.04,10.04,10.04,000,9.961544
2016-04-22,10.04,10.04,10.04,10.04,000,9.961544
2016-04-21,10.05,10.05,10.05,10.05,000,9.971466
2016-04-20,10.05,10.05,10.05,10.05,000,9.971466
2016-04-19,10.08,10.08,10.08,10.08,000,10.001231
2016-04-18,10.08,10.08,10.08,10.08,000,10.001231
2016-04-15,10.08,10.08,10.08,10.08,000,10.001231
2016-04-14,10.06,10.06,10.06,10.06,000,9.981388
2016-04-13,10.07,10.07,10.07,10.07,000,9.991309
2016-04-12,10.06,10.06,10.06,10.06,000,9.981388
2016-04-11,10.08,10.08,10.08,10.08,000,10.001231
2016-04-08,10.08,10.08,10.08,10.08,000,10.001231
2016-04-07,10.09,10.09,10.09,10.09,000,10.011153
2016-04-06,10.06,10.06,10.06,10.06,000,9.981388
2016-04-05,10.07,10.07,10.07,10.07,000,9.991309
2016-04-04,10.05,10.05,10.05,10.05,000,9.971466
2016-04-01,10.04,10.04,10.04,10.04,000,9.961544
2016-03-31,10.04,10.04,10.04,10.04,000,9.961544
2016-03-30,10.02,10.02,10.02,10.02,000,9.940709
