Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,11.24,11.24,11.24,11.24,000,11.24
2016-09-12,11.44,11.44,11.44,11.44,000,11.44
2016-09-09,11.30,11.30,11.30,11.30,000,11.30
2016-09-08,11.59,11.59,11.59,11.59,000,11.59
2016-09-07,11.55,11.55,11.55,11.55,000,11.55
2016-09-06,11.51,11.51,11.51,11.51,000,11.51
2016-09-02,11.42,11.42,11.42,11.42,000,11.42
2016-09-01,11.35,11.35,11.35,11.35,000,11.35
2016-08-31,11.36,11.36,11.36,11.36,000,11.36
2016-08-30,11.41,11.41,11.41,11.41,000,11.41
2016-08-29,11.42,11.42,11.42,11.42,000,11.42
2016-08-26,11.34,11.34,11.34,11.34,000,11.34
2016-08-25,11.34,11.34,11.34,11.34,000,11.34
2016-08-24,11.34,11.34,11.34,11.34,000,11.34
2016-08-23,11.47,11.47,11.47,11.47,000,11.47
2016-08-22,11.43,11.43,11.43,11.43,000,11.43
2016-08-19,11.45,11.45,11.45,11.45,000,11.45
2016-08-18,11.47,11.47,11.47,11.47,000,11.47
2016-08-17,11.38,11.38,11.38,11.38,000,11.38
2016-08-16,11.37,11.37,11.37,11.37,000,11.37
2016-08-15,11.43,11.43,11.43,11.43,000,11.43
2016-08-12,11.33,11.33,11.33,11.33,000,11.33
2016-08-11,11.34,11.34,11.34,11.34,000,11.34
2016-08-10,11.26,11.26,11.26,11.26,000,11.26
2016-08-09,11.33,11.33,11.33,11.33,000,11.33
2016-08-08,11.34,11.34,11.34,11.34,000,11.34
2016-08-05,11.32,11.32,11.32,11.32,000,11.32
2016-08-04,11.19,11.19,11.19,11.19,000,11.19
2016-08-03,11.24,11.24,11.24,11.24,000,11.24
2016-08-02,11.12,11.12,11.12,11.12,000,11.12
2016-08-01,11.20,11.20,11.20,11.20,000,11.20
2016-07-29,11.28,11.28,11.28,11.28,000,11.28
2016-07-28,11.22,11.22,11.22,11.22,000,11.22
2016-07-27,11.20,11.20,11.20,11.20,000,11.20
2016-07-26,11.22,11.22,11.22,11.22,000,11.22
2016-07-25,11.18,11.18,11.18,11.18,000,11.18
2016-07-22,11.24,11.24,11.24,11.24,000,11.24
2016-07-21,11.19,11.19,11.19,11.19,000,11.19
2016-07-20,11.25,11.25,11.25,11.25,000,11.25
2016-07-19,11.19,11.19,11.19,11.19,000,11.19
2016-07-18,11.25,11.25,11.25,11.25,000,11.25
2016-07-15,11.22,11.22,11.22,11.22,000,11.22
2016-07-14,11.22,11.22,11.22,11.22,000,11.22
2016-07-13,11.14,11.14,11.14,11.14,000,11.14
2016-07-12,11.15,11.15,11.15,11.15,000,11.15
2016-07-11,10.97,10.97,10.97,10.97,000,10.97
2016-07-08,10.92,10.92,10.92,10.92,000,10.92
2016-07-07,10.72,10.72,10.72,10.72,000,10.72
2016-07-06,10.74,10.74,10.74,10.74,000,10.74
2016-07-05,10.68,10.68,10.68,10.68,000,10.68
2016-07-01,10.88,10.88,10.88,10.88,000,10.88
2016-06-30,10.80,10.80,10.80,10.80,000,10.80
2016-06-29,10.67,10.67,10.67,10.67,000,10.67
2016-06-28,10.39,10.39,10.39,10.39,000,10.39
2016-06-27,10.11,10.11,10.11,10.11,000,10.11
2016-06-24,10.50,10.50,10.50,10.50,000,10.50
2016-06-23,11.10,11.10,11.10,11.10,000,11.10
2016-06-22,10.86,10.86,10.86,10.86,000,10.86
2016-06-21,10.87,10.87,10.87,10.87,000,10.87
2016-06-20,10.87,10.87,10.87,10.87,000,10.87
2016-06-17,10.76,10.76,10.76,10.76,000,10.76
2016-06-16,10.70,10.70,10.70,10.70,000,10.70
2016-06-15,10.76,10.76,10.76,10.76,000,10.76
2016-06-14,10.75,10.75,10.75,10.75,000,10.75
2016-06-13,10.82,10.82,10.82,10.82,000,10.82
2016-06-10,10.95,10.95,10.95,10.95,000,10.95
2016-06-09,11.19,11.19,11.19,11.19,000,11.19
2016-06-08,11.27,11.27,11.27,11.27,000,11.27
2016-06-07,11.23,11.23,11.23,11.23,000,11.23
2016-06-06,11.19,11.19,11.19,11.19,000,11.19
2016-06-03,11.04,11.04,11.04,11.04,000,11.04
2016-06-02,11.14,11.14,11.14,11.14,000,11.14
2016-06-01,11.06,11.06,11.06,11.06,000,11.06
2016-05-31,11.04,11.04,11.04,11.04,000,11.04
2016-05-27,10.98,10.98,10.98,10.98,000,10.98
2016-05-26,10.91,10.91,10.91,10.91,000,10.91
2016-05-25,10.95,10.95,10.95,10.95,000,10.95
2016-05-24,10.83,10.83,10.83,10.83,000,10.83
2016-05-23,10.68,10.68,10.68,10.68,000,10.68
2016-05-20,10.65,10.65,10.65,10.65,000,10.65
2016-05-19,10.51,10.51,10.51,10.51,000,10.51
2016-05-18,10.58,10.58,10.58,10.58,000,10.58
2016-05-17,10.52,10.52,10.52,10.52,000,10.52
2016-05-16,10.55,10.55,10.55,10.55,000,10.55
2016-05-13,10.42,10.42,10.42,10.42,000,10.42
2016-05-12,10.49,10.49,10.49,10.49,000,10.49
2016-05-11,10.58,10.58,10.58,10.58,000,10.58
2016-05-10,10.66,10.66,10.66,10.66,000,10.66
2016-05-09,10.49,10.49,10.49,10.49,000,10.49
2016-05-06,10.51,10.51,10.51,10.51,000,10.51
2016-05-05,10.52,10.52,10.52,10.52,000,10.52
2016-05-04,10.57,10.57,10.57,10.57,000,10.57
2016-05-03,10.72,10.72,10.72,10.72,000,10.72
2016-05-02,10.92,10.92,10.92,10.92,000,10.92
2016-04-29,10.85,10.85,10.85,10.85,000,10.85
2016-04-28,10.94,10.94,10.94,10.94,000,10.94
2016-04-27,11.08,11.08,11.08,11.08,000,11.08
2016-04-26,11.02,11.02,11.02,11.02,000,11.02
2016-04-25,10.92,10.92,10.92,10.92,000,10.92
2016-04-22,11.04,11.04,11.04,11.04,000,11.04
2016-04-21,10.93,10.93,10.93,10.93,000,10.93
2016-04-20,10.99,10.99,10.99,10.99,000,10.99
2016-04-19,10.91,10.91,10.91,10.91,000,10.91
2016-04-18,10.82,10.82,10.82,10.82,000,10.82
2016-04-15,10.73,10.73,10.73,10.73,000,10.73
2016-04-14,10.76,10.76,10.76,10.76,000,10.76
2016-04-13,10.73,10.73,10.73,10.73,000,10.73
2016-04-12,10.52,10.52,10.52,10.52,000,10.52
2016-04-11,10.39,10.39,10.39,10.39,000,10.39
2016-04-08,10.44,10.44,10.44,10.44,000,10.44
2016-04-07,10.38,10.38,10.38,10.38,000,10.38
2016-04-06,10.49,10.49,10.49,10.49,000,10.49
2016-04-05,10.29,10.29,10.29,10.29,000,10.29
2016-04-04,10.45,10.45,10.45,10.45,000,10.45
2016-04-01,10.48,10.48,10.48,10.48,000,10.48
2016-03-31,10.45,10.45,10.45,10.45,000,10.45
