Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,12.52,12.52,12.52,12.52,000,12.52
2016-09-15,12.61,12.61,12.61,12.61,000,12.61
2016-09-14,12.56,12.56,12.56,12.56,000,12.56
2016-09-13,12.55,12.55,12.55,12.55,000,12.55
2016-09-12,12.65,12.65,12.65,12.65,000,12.65
2016-09-09,12.60,12.60,12.60,12.60,000,12.60
2016-09-08,12.77,12.77,12.77,12.77,000,12.77
2016-09-07,12.77,12.77,12.77,12.77,000,12.77
2016-09-06,12.77,12.77,12.77,12.77,000,12.77
2016-09-02,12.74,12.74,12.74,12.74,000,12.74
2016-09-01,12.69,12.69,12.69,12.69,000,12.69
2016-08-31,12.67,12.67,12.67,12.67,000,12.67
2016-08-30,12.69,12.69,12.69,12.69,000,12.69
2016-08-29,12.69,12.69,12.69,12.69,000,12.69
2016-08-26,12.66,12.66,12.66,12.66,000,12.66
2016-08-25,12.64,12.64,12.64,12.64,000,12.64
2016-08-24,12.64,12.64,12.64,12.64,000,12.64
2016-08-23,12.72,12.72,12.72,12.72,000,12.72
2016-08-22,12.68,12.68,12.68,12.68,000,12.68
2016-08-19,12.67,12.67,12.67,12.67,000,12.67
2016-08-18,12.69,12.69,12.69,12.69,000,12.69
2016-08-17,12.65,12.65,12.65,12.65,000,12.65
2016-08-16,12.67,12.67,12.67,12.67,000,12.67
2016-08-15,12.72,12.72,12.72,12.72,000,12.72
2016-08-12,12.66,12.66,12.66,12.66,000,12.66
2016-08-11,12.64,12.64,12.64,12.64,000,12.64
2016-08-10,12.61,12.61,12.61,12.61,000,12.61
2016-08-09,12.65,12.65,12.65,12.65,000,12.65
2016-08-08,12.61,12.61,12.61,12.61,000,12.61
2016-08-05,12.60,12.60,12.60,12.60,000,12.60
2016-08-04,12.56,12.56,12.56,12.56,000,12.56
2016-08-03,12.52,12.52,12.52,12.52,000,12.52
2016-08-02,12.48,12.48,12.48,12.48,000,12.48
2016-08-01,12.56,12.56,12.56,12.56,000,12.56
2016-07-29,12.58,12.58,12.58,12.58,000,12.58
2016-07-28,12.55,12.55,12.55,12.55,000,12.55
2016-07-27,12.53,12.53,12.53,12.53,000,12.53
2016-07-26,12.52,12.52,12.52,12.52,000,12.52
2016-07-25,12.47,12.47,12.47,12.47,000,12.47
2016-07-22,12.48,12.48,12.48,12.48,000,12.48
2016-07-21,12.43,12.43,12.43,12.43,000,12.43
2016-07-20,12.46,12.46,12.46,12.46,000,12.46
2016-07-19,12.39,12.39,12.39,12.39,000,12.39
2016-07-18,12.42,12.42,12.42,12.42,000,12.42
2016-07-15,12.40,12.40,12.40,12.40,000,12.40
2016-07-14,12.38,12.38,12.38,12.38,000,12.38
2016-07-13,12.34,12.34,12.34,12.34,000,12.34
2016-07-12,12.33,12.33,12.33,12.33,000,12.33
2016-07-11,12.26,12.26,12.26,12.26,000,12.26
2016-07-08,12.19,12.19,12.19,12.19,000,12.19
2016-07-07,12.07,12.07,12.07,12.07,000,12.07
2016-07-06,12.05,12.05,12.05,12.05,000,12.05
2016-07-05,12.04,12.04,12.04,12.04,000,12.04
2016-07-01,12.09,12.09,12.09,12.09,000,12.09
2016-06-30,12.05,12.05,12.05,12.05,000,12.05
2016-06-29,11.99,11.99,11.99,11.99,000,11.99
2016-06-28,11.89,11.89,11.89,11.89,000,11.89
2016-06-27,11.78,11.78,11.78,11.78,000,11.78
2016-06-24,11.97,11.97,11.97,11.97,000,11.97
2016-06-23,12.24,12.24,12.24,12.24,000,12.24
2016-06-22,12.13,12.13,12.13,12.13,000,12.13
2016-06-21,12.15,12.15,12.15,12.15,000,12.15
2016-06-20,12.14,12.14,12.14,12.14,000,12.14
2016-06-17,12.06,12.06,12.06,12.06,000,12.06
2016-06-16,12.06,12.06,12.06,12.06,000,12.06
2016-06-15,12.12,12.12,12.12,12.12,000,12.102
2016-06-14,12.11,12.11,12.11,12.11,000,12.092014
2016-06-13,12.15,12.15,12.15,12.15,000,12.131955
2016-06-10,12.21,12.21,12.21,12.21,000,12.191866
2016-06-09,12.33,12.33,12.33,12.33,000,12.311688
2016-06-08,12.35,12.35,12.35,12.35,000,12.331659
2016-06-07,12.34,12.34,12.34,12.34,000,12.321673
2016-06-06,12.31,12.31,12.31,12.31,000,12.291718
2016-06-03,12.25,12.25,12.25,12.25,000,12.231807
2016-06-02,12.25,12.25,12.25,12.25,000,12.231807
2016-06-01,12.22,12.22,12.22,12.22,000,12.201852
2016-05-31,12.21,12.21,12.21,12.21,000,12.191866
2016-05-27,12.18,12.18,12.18,12.18,000,12.161911
2016-05-26,12.15,12.15,12.15,12.15,000,12.131955
2016-05-25,12.14,12.14,12.14,12.14,000,12.12197
2016-05-24,12.08,12.08,12.08,12.08,000,12.062059
2016-05-23,11.99,11.99,11.99,11.99,000,11.972193
2016-05-20,11.98,11.98,11.98,11.98,000,11.962207
2016-05-19,11.91,11.91,11.91,11.91,000,11.892311
2016-05-18,11.95,11.95,11.95,11.95,000,11.932252
2016-05-17,11.95,11.95,11.95,11.95,000,11.932252
2016-05-16,11.96,11.96,11.96,11.96,000,11.942237
2016-05-13,11.90,11.90,11.90,11.90,000,11.882326
2016-05-12,11.92,11.92,11.92,11.92,000,11.902297
2016-05-11,11.96,11.96,11.96,11.96,000,11.942237
2016-05-10,11.96,11.96,11.96,11.96,000,11.942237
2016-05-09,11.90,11.90,11.90,11.90,000,11.882326
