Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,9.04,9.04,9.04,9.04,000,9.04
2016-09-15,9.15,9.15,9.15,9.15,000,9.15
2016-09-14,9.07,9.07,9.07,9.07,000,9.07
2016-09-13,9.07,9.07,9.07,9.07,000,9.07
2016-09-12,9.27,9.27,9.27,9.27,000,9.27
2016-09-09,9.26,9.26,9.26,9.26,000,9.26
2016-09-08,9.44,9.44,9.44,9.44,000,9.44
2016-09-07,9.47,9.47,9.47,9.47,000,9.47
2016-09-06,9.45,9.45,9.45,9.45,000,9.45
2016-09-02,9.36,9.36,9.36,9.36,000,9.36
2016-09-01,9.26,9.26,9.26,9.26,000,9.26
2016-08-31,9.21,9.21,9.21,9.21,000,9.21
2016-08-30,9.22,9.22,9.22,9.22,000,9.22
2016-08-29,9.25,9.25,9.25,9.25,000,9.25
2016-08-26,9.22,9.22,9.22,9.22,000,9.22
2016-08-25,9.28,9.28,9.28,9.28,000,9.28
2016-08-24,9.31,9.31,9.31,9.31,000,9.31
2016-08-23,9.34,9.34,9.34,9.34,000,9.34
2016-08-22,9.29,9.29,9.29,9.29,000,9.29
2016-08-19,9.29,9.29,9.29,9.29,000,9.29
2016-08-18,9.36,9.36,9.36,9.36,000,9.36
2016-08-17,9.31,9.31,9.31,9.31,000,9.31
2016-08-16,9.32,9.32,9.32,9.32,000,9.32
2016-08-15,9.33,9.33,9.33,9.33,000,9.33
2016-08-12,9.30,9.30,9.30,9.30,000,9.30
2016-08-11,9.30,9.30,9.30,9.30,000,9.30
2016-08-10,9.25,9.25,9.25,9.25,000,9.25
2016-08-09,9.22,9.22,9.22,9.22,000,9.22
2016-08-08,9.14,9.14,9.14,9.14,000,9.14
2016-08-05,9.12,9.12,9.12,9.12,000,9.12
2016-08-04,9.07,9.07,9.07,9.07,000,9.07
2016-08-03,9.03,9.03,9.03,9.03,000,9.03
2016-08-02,9.08,9.08,9.08,9.08,000,9.08
2016-08-01,9.11,9.11,9.11,9.11,000,9.11
2016-07-29,9.16,9.16,9.16,9.16,000,9.16
2016-07-28,9.05,9.05,9.05,9.05,000,9.05
2016-07-27,9.05,9.05,9.05,9.05,000,9.05
2016-07-26,9.02,9.02,9.02,9.02,000,9.02
2016-07-25,8.98,8.98,8.98,8.98,000,8.98
2016-07-22,8.99,8.99,8.99,8.99,000,8.99
2016-07-21,8.99,8.99,8.99,8.99,000,8.99
2016-07-20,9.01,9.01,9.01,9.01,000,9.01
2016-07-19,8.94,8.94,8.94,8.94,000,8.94
2016-07-18,9.00,9.00,9.00,9.00,000,9.00
2016-07-15,8.98,8.98,8.98,8.98,000,8.98
2016-07-14,9.03,9.03,9.03,9.03,000,9.03
2016-07-13,8.95,8.95,8.95,8.95,000,8.95
