Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,30.00,30.00,30.00,30.00,000,30.00
2016-09-12,30.48,30.48,30.48,30.48,000,30.48
2016-09-09,30.200001,30.200001,30.200001,30.200001,000,30.200001
2016-09-08,30.860001,30.860001,30.860001,30.860001,000,30.860001
2016-09-07,30.93,30.93,30.93,30.93,000,30.93
2016-09-06,30.90,30.90,30.90,30.90,000,30.90
2016-09-02,30.709999,30.709999,30.709999,30.709999,000,30.709999
2016-09-01,30.51,30.51,30.51,30.51,000,30.51
2016-08-31,30.459999,30.459999,30.459999,30.459999,000,30.459999
2016-08-30,30.52,30.52,30.52,30.52,000,30.52
2016-08-29,30.58,30.58,30.58,30.58,000,30.58
2016-08-26,30.450001,30.450001,30.450001,30.450001,000,30.450001
2016-08-25,30.540001,30.540001,30.540001,30.540001,000,30.540001
2016-08-24,30.58,30.58,30.58,30.58,000,30.58
2016-08-23,30.709999,30.709999,30.709999,30.709999,000,30.709999
2016-08-22,30.639999,30.639999,30.639999,30.639999,000,30.639999
2016-08-19,30.65,30.65,30.65,30.65,000,30.65
2016-08-18,30.75,30.75,30.75,30.75,000,30.75
2016-08-17,30.629999,30.629999,30.629999,30.629999,000,30.629999
2016-08-16,30.620001,30.620001,30.620001,30.620001,000,30.620001
2016-08-15,30.74,30.74,30.74,30.74,000,30.74
2016-08-12,30.629999,30.629999,30.629999,30.629999,000,30.629999
2016-08-11,30.65,30.65,30.65,30.65,000,30.65
2016-08-10,30.50,30.50,30.50,30.50,000,30.50
2016-08-09,30.52,30.52,30.52,30.52,000,30.52
2016-08-08,30.41,30.41,30.41,30.41,000,30.41
2016-08-05,30.389999,30.389999,30.389999,30.389999,000,30.389999
2016-08-04,30.18,30.18,30.18,30.18,000,30.18
2016-08-03,30.110001,30.110001,30.110001,30.110001,000,30.110001
2016-08-02,30.10,30.10,30.10,30.10,000,30.10
2016-08-01,30.27,30.27,30.27,30.27,000,30.27
2016-07-29,30.34,30.34,30.34,30.34,000,30.34
2016-07-28,30.190001,30.190001,30.190001,30.190001,000,30.190001
2016-07-27,30.16,30.16,30.16,30.16,000,30.16
2016-07-26,30.139999,30.139999,30.139999,30.139999,000,30.139999
2016-07-25,30.08,30.08,30.08,30.08,000,30.08
2016-07-22,30.139999,30.139999,30.139999,30.139999,000,30.139999
2016-07-21,30.059999,30.059999,30.059999,30.059999,000,30.059999
2016-07-20,30.139999,30.139999,30.139999,30.139999,000,30.139999
2016-07-19,29.99,29.99,29.99,29.99,000,29.99
2016-07-18,30.08,30.08,30.08,30.08,000,30.08
2016-07-15,30.01,30.01,30.01,30.01,000,30.01
2016-07-14,30.059999,30.059999,30.059999,30.059999,000,30.059999
2016-07-13,29.90,29.90,29.90,29.90,000,29.90
2016-07-12,29.90,29.90,29.90,29.90,000,29.90
2016-07-11,29.65,29.65,29.65,29.65,000,29.65
2016-07-08,29.440001,29.440001,29.440001,29.440001,000,29.440001
2016-07-07,29.059999,29.059999,29.059999,29.059999,000,29.059999
2016-07-06,29.08,29.08,29.08,29.08,000,29.08
2016-07-05,29.02,29.02,29.02,29.02,000,29.02
2016-07-01,29.309999,29.309999,29.309999,29.309999,000,29.309999
2016-06-30,29.23,29.23,29.23,29.23,000,29.23
2016-06-29,28.879999,28.879999,28.879999,28.879999,000,28.879999
2016-06-28,28.41,28.41,28.41,28.41,000,28.41
2016-06-27,27.889999,27.889999,27.889999,27.889999,000,27.889999
2016-06-24,28.40,28.40,28.40,28.40,000,28.40
2016-06-23,29.73,29.73,29.73,29.73,000,29.73
2016-06-22,29.290001,29.290001,29.290001,29.290001,000,29.290001
2016-06-21,29.299999,29.299999,29.299999,29.299999,000,29.299999
2016-06-20,29.200001,29.200001,29.200001,29.200001,000,29.200001
2016-06-17,28.860001,28.860001,28.860001,28.860001,000,28.860001
2016-06-16,28.83,28.83,28.83,28.83,000,28.83
2016-06-15,28.809999,28.809999,28.809999,28.809999,000,28.809999
2016-06-14,28.76,28.76,28.76,28.76,000,28.76
2016-06-13,28.92,28.92,28.92,28.92,000,28.92
2016-06-10,29.200001,29.200001,29.200001,29.200001,000,29.200001
2016-06-09,29.629999,29.629999,29.629999,29.629999,000,29.629999
2016-06-08,29.780001,29.780001,29.780001,29.780001,000,29.780001
2016-06-07,29.68,29.68,29.68,29.68,000,29.68
2016-06-06,29.549999,29.549999,29.549999,29.549999,000,29.549999
2016-06-03,29.379999,29.379999,29.379999,29.379999,000,29.379999
2016-06-02,29.33,29.33,29.33,29.33,000,29.33
2016-06-01,29.27,29.27,29.27,29.27,000,29.27
2016-05-31,29.23,29.23,29.23,29.23,000,29.23
2016-05-27,29.26,29.26,29.26,29.26,000,29.26
2016-05-26,29.190001,29.190001,29.190001,29.190001,000,29.190001
2016-05-25,29.16,29.16,29.16,29.16,000,29.16
2016-05-24,28.940001,28.940001,28.940001,28.940001,000,28.940001
2016-05-23,28.610001,28.610001,28.610001,28.610001,000,28.610001
2016-05-20,28.66,28.66,28.66,28.66,000,28.66
2016-05-19,28.469999,28.469999,28.469999,28.469999,000,28.469999
2016-05-18,28.610001,28.610001,28.610001,28.610001,000,28.610001
2016-05-17,28.639999,28.639999,28.639999,28.639999,000,28.639999
2016-05-16,28.82,28.82,28.82,28.82,000,28.82
2016-05-13,28.58,28.58,28.58,28.58,000,28.58
2016-05-12,28.799999,28.799999,28.799999,28.799999,000,28.799999
2016-05-11,28.83,28.83,28.83,28.83,000,28.83
2016-05-10,29.030001,29.030001,29.030001,29.030001,000,29.030001
2016-05-09,28.709999,28.709999,28.709999,28.709999,000,28.709999
2016-05-06,28.719999,28.719999,28.719999,28.719999,000,28.719999
2016-05-05,28.66,28.66,28.66,28.66,000,28.66
2016-05-04,28.68,28.68,28.68,28.68,000,28.68
2016-05-03,28.90,28.90,28.90,28.90,000,28.90
2016-05-02,29.24,29.24,29.24,29.24,000,29.24
2016-04-29,29.049999,29.049999,29.049999,29.049999,000,29.049999
2016-04-28,29.18,29.18,29.18,29.18,000,29.18
2016-04-27,29.389999,29.389999,29.389999,29.389999,000,29.389999
2016-04-26,29.34,29.34,29.34,29.34,000,29.34
2016-04-25,29.26,29.26,29.26,29.26,000,29.26
2016-04-22,29.35,29.35,29.35,29.35,000,29.35
2016-04-21,29.34,29.34,29.34,29.34,000,29.34
2016-04-20,29.469999,29.469999,29.469999,29.469999,000,29.469999
2016-04-19,29.48,29.48,29.48,29.48,000,29.48
2016-04-18,29.26,29.26,29.26,29.26,000,29.26
2016-04-15,29.110001,29.110001,29.110001,29.110001,000,29.110001
2016-04-14,29.120001,29.120001,29.120001,29.120001,000,29.120001
2016-04-13,29.110001,29.110001,29.110001,29.110001,000,29.110001
2016-04-12,28.77,28.77,28.77,28.77,000,28.77
2016-04-11,28.48,28.48,28.48,28.48,000,28.48
2016-04-08,28.50,28.50,28.50,28.50,000,28.50
2016-04-07,28.27,28.27,28.27,28.27,000,28.27
2016-04-06,28.57,28.57,28.57,28.57,000,28.57
2016-04-05,28.290001,28.290001,28.290001,28.290001,000,28.290001
2016-04-04,28.629999,28.629999,28.629999,28.629999,000,28.629999
2016-04-01,28.709999,28.709999,28.709999,28.709999,000,28.709999
2016-03-31,28.709999,28.709999,28.709999,28.709999,000,28.709999
2016-03-30,28.780001,28.780001,28.780001,28.780001,000,28.780001
2016-03-29,28.629999,28.629999,28.629999,28.629999,000,28.629999
2016-03-28,28.34,28.34,28.34,28.34,000,28.34
2016-03-24,28.280001,28.280001,28.280001,28.280001,000,28.280001
2016-03-23,28.360001,28.360001,28.360001,28.360001,000,28.360001
2016-03-22,28.57,28.57,28.57,28.57,000,28.57
2016-03-21,28.60,28.60,28.60,28.60,000,28.60
2016-03-18,28.610001,28.610001,28.610001,28.610001,000,28.610001
2016-03-17,28.52,28.52,28.52,28.52,000,28.52
2016-03-16,28.27,28.27,28.27,28.27,000,28.27
2016-03-15,28.07,28.07,28.07,28.07,000,28.07
2016-03-14,28.23,28.23,28.23,28.23,000,28.23
2016-03-11,28.26,28.26,28.26,28.26,000,28.26
2016-03-10,27.77,27.77,27.77,27.77,000,27.77
2016-03-09,27.790001,27.790001,27.790001,27.790001,000,27.790001
2016-03-08,27.68,27.68,27.68,27.68,000,27.68
2016-03-07,27.98,27.98,27.98,27.98,000,27.98
2016-03-04,27.950001,27.950001,27.950001,27.950001,000,27.950001
2016-03-03,27.790001,27.790001,27.790001,27.790001,000,27.790001
2016-03-02,27.610001,27.610001,27.610001,27.610001,000,27.610001
2016-03-01,27.450001,27.450001,27.450001,27.450001,000,27.450001
2016-02-29,26.879999,26.879999,26.879999,26.879999,000,26.879999
2016-02-26,27.00,27.00,27.00,27.00,000,27.00
2016-02-25,27.030001,27.030001,27.030001,27.030001,000,27.030001
2016-02-24,26.76,26.76,26.76,26.76,000,26.76
2016-02-23,26.73,26.73,26.73,26.73,000,26.73
2016-02-22,27.040001,27.040001,27.040001,27.040001,000,27.040001
2016-02-19,26.719999,26.719999,26.719999,26.719999,000,26.719999
2016-02-18,26.74,26.74,26.74,26.74,000,26.74
2016-02-17,26.809999,26.809999,26.809999,26.809999,000,26.809999
2016-02-16,26.389999,26.389999,26.389999,26.389999,000,26.389999
2016-02-12,25.950001,25.950001,25.950001,25.950001,000,25.950001
2016-02-11,25.58,25.58,25.58,25.58,000,25.58
2016-02-10,25.90,25.90,25.90,25.90,000,25.90
2016-02-09,25.889999,25.889999,25.889999,25.889999,000,25.889999
2016-02-08,26.01,26.01,26.01,26.01,000,26.01
2016-02-05,26.389999,26.389999,26.389999,26.389999,000,26.389999
2016-02-04,26.809999,26.809999,26.809999,26.809999,000,26.809999
2016-02-03,26.709999,26.709999,26.709999,26.709999,000,26.709999
2016-02-02,26.58,26.58,26.58,26.58,000,26.58
2016-02-01,27.059999,27.059999,27.059999,27.059999,000,27.059999
2016-01-29,27.09,27.09,27.09,27.09,000,27.09
2016-01-28,26.50,26.50,26.50,26.50,000,26.50
2016-01-27,26.40,26.40,26.40,26.40,000,26.40
2016-01-26,26.58,26.58,26.58,26.58,000,26.58
2016-01-25,26.24,26.24,26.24,26.24,000,26.24
