Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,10.74,10.74,10.74,10.74,000,10.74
2016-09-12,10.75,10.75,10.75,10.75,000,10.75
2016-09-09,10.74,10.74,10.74,10.74,000,10.74
2016-09-08,10.75,10.75,10.75,10.75,000,10.75
2016-09-07,10.76,10.76,10.76,10.76,000,10.76
2016-09-06,10.76,10.76,10.76,10.76,000,10.76
2016-09-02,10.74,10.74,10.74,10.74,000,10.74
2016-09-01,10.75,10.75,10.75,10.75,000,10.75
2016-08-31,10.74,10.74,10.74,10.74,000,10.74
2016-08-30,10.75,10.75,10.75,10.75,000,10.741
2016-08-29,10.75,10.75,10.75,10.75,000,10.741
2016-08-26,10.74,10.74,10.74,10.74,000,10.731008
2016-08-25,10.75,10.75,10.75,10.75,000,10.741
2016-08-24,10.76,10.76,10.76,10.76,000,10.750992
2016-08-23,10.76,10.76,10.76,10.76,000,10.750992
2016-08-22,10.76,10.76,10.76,10.76,000,10.750992
2016-08-19,10.76,10.76,10.76,10.76,000,10.750992
2016-08-18,10.77,10.77,10.77,10.77,000,10.760984
2016-08-17,10.76,10.76,10.76,10.76,000,10.750992
2016-08-16,10.76,10.76,10.76,10.76,000,10.750992
2016-08-15,10.76,10.76,10.76,10.76,000,10.750992
2016-08-12,10.77,10.77,10.77,10.77,000,10.760984
2016-08-11,10.76,10.76,10.76,10.76,000,10.750992
2016-08-10,10.77,10.77,10.77,10.77,000,10.760984
2016-08-09,10.77,10.77,10.77,10.77,000,10.760984
2016-08-08,10.76,10.76,10.76,10.76,000,10.750992
2016-08-05,10.76,10.76,10.76,10.76,000,10.750992
2016-08-04,10.78,10.78,10.78,10.78,000,10.770975
2016-08-03,10.77,10.77,10.77,10.77,000,10.760984
2016-08-02,10.77,10.77,10.77,10.77,000,10.760984
2016-08-01,10.77,10.77,10.77,10.77,000,10.760984
2016-07-29,10.78,10.78,10.78,10.78,000,10.770975
2016-07-28,10.77,10.77,10.77,10.77,000,10.750992
2016-07-27,10.77,10.77,10.77,10.77,000,10.750992
2016-07-26,10.76,10.76,10.76,10.76,000,10.741009
2016-07-25,10.76,10.76,10.76,10.76,000,10.741009
2016-07-22,10.76,10.76,10.76,10.76,000,10.741009
2016-07-21,10.77,10.77,10.77,10.77,000,10.750992
2016-07-20,10.76,10.76,10.76,10.76,000,10.741009
2016-07-19,10.77,10.77,10.77,10.77,000,10.750992
2016-07-18,10.76,10.76,10.76,10.76,000,10.741009
2016-07-15,10.76,10.76,10.76,10.76,000,10.741009
2016-07-14,10.77,10.77,10.77,10.77,000,10.750992
2016-07-13,10.78,10.78,10.78,10.78,000,10.760974
2016-07-12,10.77,10.77,10.77,10.77,000,10.750992
2016-07-11,10.78,10.78,10.78,10.78,000,10.760974
2016-07-08,10.79,10.79,10.79,10.79,000,10.770956
2016-07-07,10.80,10.80,10.80,10.80,000,10.780939
2016-07-06,10.80,10.80,10.80,10.80,000,10.780939
2016-07-05,10.80,10.80,10.80,10.80,000,10.780939
2016-07-01,10.79,10.79,10.79,10.79,000,10.770956
2016-06-30,10.80,10.80,10.80,10.80,000,10.780939
2016-06-29,10.79,10.79,10.79,10.79,000,10.760974
2016-06-28,10.79,10.79,10.79,10.79,000,10.760974
2016-06-27,10.79,10.79,10.79,10.79,000,10.760974
2016-06-24,10.78,10.78,10.78,10.78,000,10.751001
2016-06-23,10.75,10.75,10.75,10.75,000,10.721082
2016-06-22,10.76,10.76,10.76,10.76,000,10.731055
2016-06-21,10.76,10.76,10.76,10.76,000,10.731055
2016-06-20,10.76,10.76,10.76,10.76,000,10.731055
2016-06-17,10.77,10.77,10.77,10.77,000,10.741028
2016-06-16,10.77,10.77,10.77,10.77,000,10.741028
2016-06-15,10.78,10.78,10.78,10.78,000,10.751001
2016-06-14,10.77,10.77,10.77,10.77,000,10.741028
2016-06-13,10.77,10.77,10.77,10.77,000,10.741028
2016-06-10,10.76,10.76,10.76,10.76,000,10.731055
2016-06-09,10.76,10.76,10.76,10.76,000,10.731055
2016-06-08,10.75,10.75,10.75,10.75,000,10.721082
2016-06-07,10.75,10.75,10.75,10.75,000,10.721082
2016-06-06,10.75,10.75,10.75,10.75,000,10.721082
2016-06-03,10.75,10.75,10.75,10.75,000,10.721082
2016-06-02,10.73,10.73,10.73,10.73,000,10.701135
2016-06-01,10.72,10.72,10.72,10.72,000,10.691163
2016-05-31,10.73,10.73,10.73,10.73,000,10.701135
2016-05-27,10.72,10.72,10.72,10.72,000,10.68119
2016-05-26,10.73,10.73,10.73,10.73,000,10.691153
2016-05-25,10.72,10.72,10.72,10.72,000,10.68119
2016-05-24,10.72,10.72,10.72,10.72,000,10.68119
2016-05-23,10.72,10.72,10.72,10.72,000,10.68119
2016-05-20,10.73,10.73,10.73,10.73,000,10.691153
2016-05-19,10.73,10.73,10.73,10.73,000,10.691153
2016-05-18,10.72,10.72,10.72,10.72,000,10.68119
2016-05-17,10.74,10.74,10.74,10.74,000,10.701117
2016-05-16,10.75,10.75,10.75,10.75,000,10.711081
2016-05-13,10.76,10.76,10.76,10.76,000,10.721045
2016-05-12,10.76,10.76,10.76,10.76,000,10.721045
2016-05-11,10.76,10.76,10.76,10.76,000,10.721045
2016-05-10,10.76,10.76,10.76,10.76,000,10.721045
2016-05-09,10.77,10.77,10.77,10.77,000,10.731009
2016-05-06,10.76,10.76,10.76,10.76,000,10.721045
2016-05-05,10.77,10.77,10.77,10.77,000,10.731009
2016-05-04,10.76,10.76,10.76,10.76,000,10.721045
2016-05-03,10.76,10.76,10.76,10.76,000,10.721045
2016-05-02,10.75,10.75,10.75,10.75,000,10.711081
2016-04-29,10.75,10.75,10.75,10.75,000,10.711081
2016-04-28,10.75,10.75,10.75,10.75,000,10.704106
2016-04-27,10.74,10.74,10.74,10.74,000,10.694148
2016-04-26,10.73,10.73,10.73,10.73,000,10.684191
2016-04-25,10.73,10.73,10.73,10.73,000,10.684191
2016-04-22,10.74,10.74,10.74,10.74,000,10.694148
2016-04-21,10.74,10.74,10.74,10.74,000,10.694148
2016-04-20,10.74,10.74,10.74,10.74,000,10.694148
2016-04-19,10.75,10.75,10.75,10.75,000,10.704106
2016-04-18,10.75,10.75,10.75,10.75,000,10.704106
2016-04-15,10.76,10.76,10.76,10.76,000,10.714063
2016-04-14,10.75,10.75,10.75,10.75,000,10.704106
2016-04-13,10.75,10.75,10.75,10.75,000,10.704106
2016-04-12,10.75,10.75,10.75,10.75,000,10.704106
2016-04-11,10.76,10.76,10.76,10.76,000,10.714063
2016-04-08,10.76,10.76,10.76,10.76,000,10.714063
2016-04-07,10.76,10.76,10.76,10.76,000,10.714063
