Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,11.61,11.61,11.61,11.61,000,11.61
2016-09-15,11.61,11.61,11.61,11.61,000,11.61
2016-09-14,11.60,11.60,11.60,11.60,000,11.60
2016-09-13,11.59,11.59,11.59,11.59,000,11.59
2016-09-12,11.61,11.61,11.61,11.61,000,11.61
2016-09-09,11.60,11.60,11.60,11.60,000,11.60
2016-09-08,11.63,11.63,11.63,11.63,000,11.63
2016-09-07,11.67,11.67,11.67,11.67,000,11.67
2016-09-06,11.67,11.67,11.67,11.67,000,11.67
2016-09-02,11.63,11.63,11.63,11.63,000,11.63
2016-09-01,11.64,11.64,11.64,11.64,000,11.64
2016-08-31,11.63,11.63,11.63,11.63,000,11.63
2016-08-30,11.64,11.64,11.64,11.64,000,11.625
2016-08-29,11.64,11.64,11.64,11.64,000,11.625
2016-08-26,11.61,11.61,11.61,11.61,000,11.595038
2016-08-25,11.65,11.65,11.65,11.65,000,11.634987
2016-08-24,11.67,11.67,11.67,11.67,000,11.654962
2016-08-23,11.67,11.67,11.67,11.67,000,11.654962
2016-08-22,11.67,11.67,11.67,11.67,000,11.654962
2016-08-19,11.65,11.65,11.65,11.65,000,11.634987
2016-08-18,11.68,11.68,11.68,11.68,000,11.664949
2016-08-17,11.67,11.67,11.67,11.67,000,11.654962
2016-08-16,11.65,11.65,11.65,11.65,000,11.634987
2016-08-15,11.67,11.67,11.67,11.67,000,11.654962
2016-08-12,11.69,11.69,11.69,11.69,000,11.674935
2016-08-11,11.66,11.66,11.66,11.66,000,11.644974
2016-08-10,11.70,11.70,11.70,11.70,000,11.684923
2016-08-09,11.69,11.69,11.69,11.69,000,11.674935
2016-08-08,11.66,11.66,11.66,11.66,000,11.644974
2016-08-05,11.66,11.66,11.66,11.66,000,11.644974
2016-08-04,11.72,11.72,11.72,11.72,000,11.704897
2016-08-03,11.70,11.70,11.70,11.70,000,11.684923
2016-08-02,11.69,11.69,11.69,11.69,000,11.674935
2016-08-01,11.71,11.71,11.71,11.71,000,11.69491
2016-07-29,11.73,11.73,11.73,11.73,000,11.714884
2016-07-28,11.70,11.70,11.70,11.70,000,11.669942
2016-07-27,11.70,11.70,11.70,11.70,000,11.669942
2016-07-26,11.66,11.66,11.66,11.66,000,11.630044
2016-07-25,11.66,11.66,11.66,11.66,000,11.630044
2016-07-22,11.67,11.67,11.67,11.67,000,11.640019
2016-07-21,11.68,11.68,11.68,11.68,000,11.649993
2016-07-20,11.66,11.66,11.66,11.66,000,11.630044
2016-07-19,11.68,11.68,11.68,11.68,000,11.649993
2016-07-18,11.66,11.66,11.66,11.66,000,11.630044
2016-07-15,11.66,11.66,11.66,11.66,000,11.630044
2016-07-14,11.69,11.69,11.69,11.69,000,11.659967
2016-07-13,11.71,11.71,11.71,11.71,000,11.679916
2016-07-12,11.70,11.70,11.70,11.70,000,11.669942
2016-07-11,11.74,11.74,11.74,11.74,000,11.709839
2016-07-08,11.78,11.78,11.78,11.78,000,11.749736
2016-07-07,11.78,11.78,11.78,11.78,000,11.749736
2016-07-06,11.78,11.78,11.78,11.78,000,11.749736
2016-07-05,11.79,11.79,11.79,11.79,000,11.759711
2016-07-01,11.75,11.75,11.75,11.75,000,11.719813
2016-06-30,11.74,11.74,11.74,11.74,000,11.709839
2016-06-29,11.72,11.72,11.72,11.72,000,11.673932
2016-06-28,11.75,11.75,11.75,11.75,000,11.703814
2016-06-27,11.75,11.75,11.75,11.75,000,11.703814
2016-06-24,11.69,11.69,11.69,11.69,000,11.644049
2016-06-23,11.59,11.59,11.59,11.59,000,11.544443
2016-06-22,11.63,11.63,11.63,11.63,000,11.584286
2016-06-21,11.61,11.61,11.61,11.61,000,11.564364
2016-06-20,11.63,11.63,11.63,11.63,000,11.584286
2016-06-17,11.66,11.66,11.66,11.66,000,11.614167
2016-06-16,11.68,11.68,11.68,11.68,000,11.634089
2016-06-15,11.68,11.68,11.68,11.68,000,11.634089
2016-06-14,11.65,11.65,11.65,11.65,000,11.604206
2016-06-13,11.66,11.66,11.66,11.66,000,11.614167
2016-06-10,11.64,11.64,11.64,11.64,000,11.594246
2016-06-09,11.61,11.61,11.61,11.61,000,11.564364
2016-06-08,11.60,11.60,11.60,11.60,000,11.554404
2016-06-07,11.60,11.60,11.60,11.60,000,11.554404
2016-06-06,11.59,11.59,11.59,11.59,000,11.544443
2016-06-03,11.60,11.60,11.60,11.60,000,11.554404
2016-06-02,11.53,11.53,11.53,11.53,000,11.484678
2016-06-01,11.51,11.51,11.51,11.51,000,11.464757
2016-05-31,11.52,11.52,11.52,11.52,000,11.474718
