Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,13.72,13.72,13.72,13.72,000,13.72
2016-09-15,13.84,13.84,13.84,13.84,000,13.84
2016-09-14,13.70,13.70,13.70,13.70,000,13.70
2016-09-13,13.70,13.70,13.70,13.70,000,13.70
2016-09-12,13.88,13.88,13.88,13.88,000,13.88
2016-09-09,13.69,13.69,13.69,13.69,000,13.69
2016-09-08,14.00,14.00,14.00,14.00,000,14.00
2016-09-07,14.05,14.05,14.05,14.05,000,14.05
2016-09-06,14.04,14.04,14.04,14.04,000,14.04
2016-09-02,14.01,14.01,14.01,14.01,000,14.01
2016-09-01,13.95,13.95,13.95,13.95,000,13.95
2016-08-31,13.96,13.96,13.96,13.96,000,13.96
2016-08-30,13.98,13.98,13.98,13.98,000,13.98
2016-08-29,14.00,14.00,14.00,14.00,000,14.00
2016-08-26,13.92,13.92,13.92,13.92,000,13.92
2016-08-25,13.93,13.93,13.93,13.93,000,13.93
2016-08-24,13.95,13.95,13.95,13.95,000,13.95
2016-08-23,14.04,14.04,14.04,14.04,000,14.04
2016-08-22,14.00,14.00,14.00,14.00,000,14.00
2016-08-19,14.00,14.00,14.00,14.00,000,14.00
2016-08-18,14.00,14.00,14.00,14.00,000,14.00
2016-08-17,13.97,13.97,13.97,13.97,000,13.97
2016-08-16,13.95,13.95,13.95,13.95,000,13.95
2016-08-15,14.02,14.02,14.02,14.02,000,14.02
2016-08-12,13.97,13.97,13.97,13.97,000,13.97
2016-08-11,13.99,13.99,13.99,13.99,000,13.99
2016-08-10,13.92,13.92,13.92,13.92,000,13.92
2016-08-09,13.98,13.98,13.98,13.98,000,13.98
2016-08-08,13.97,13.97,13.97,13.97,000,13.97
2016-08-05,13.99,13.99,13.99,13.99,000,13.99
2016-08-04,13.84,13.84,13.84,13.84,000,13.84
2016-08-03,13.83,13.83,13.83,13.83,000,13.83
2016-08-02,13.77,13.77,13.77,13.77,000,13.77
2016-08-01,13.87,13.87,13.87,13.87,000,13.87
2016-07-29,13.86,13.86,13.86,13.86,000,13.86
2016-07-28,13.84,13.84,13.84,13.84,000,13.84
2016-07-27,13.81,13.81,13.81,13.81,000,13.81
2016-07-26,13.80,13.80,13.80,13.80,000,13.80
2016-07-25,13.78,13.78,13.78,13.78,000,13.78
2016-07-22,13.81,13.81,13.81,13.81,000,13.81
2016-07-21,13.74,13.74,13.74,13.74,000,13.74
2016-07-20,13.79,13.79,13.79,13.79,000,13.79
2016-07-19,13.70,13.70,13.70,13.70,000,13.70
2016-07-18,13.71,13.71,13.71,13.71,000,13.71
2016-07-15,13.67,13.67,13.67,13.67,000,13.67
2016-07-14,13.69,13.69,13.69,13.69,000,13.69
2016-07-13,13.60,13.60,13.60,13.60,000,13.60
2016-07-12,13.60,13.60,13.60,13.60,000,13.60
2016-07-11,13.49,13.49,13.49,13.49,000,13.49
2016-07-08,13.44,13.44,13.44,13.44,000,13.44
2016-07-07,13.23,13.23,13.23,13.23,000,13.23
2016-07-06,13.21,13.21,13.21,13.21,000,13.21
2016-07-05,13.13,13.13,13.13,13.13,000,13.13
2016-07-01,13.23,13.23,13.23,13.23,000,13.23
2016-06-30,13.21,13.21,13.21,13.21,000,13.21
