Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,13.68,13.68,13.68,13.68,000,13.68
2016-09-12,13.87,13.87,13.87,13.87,000,13.87
2016-09-09,13.67,13.67,13.67,13.67,000,13.67
2016-09-08,13.99,13.99,13.99,13.99,000,13.99
2016-09-07,14.04,14.04,14.04,14.04,000,14.04
2016-09-06,14.03,14.03,14.03,14.03,000,14.03
2016-09-02,14.00,14.00,14.00,14.00,000,14.00
2016-09-01,13.94,13.94,13.94,13.94,000,13.94
2016-08-31,13.95,13.95,13.95,13.95,000,13.95
2016-08-30,13.97,13.97,13.97,13.97,000,13.97
2016-08-29,13.99,13.99,13.99,13.99,000,13.99
2016-08-26,13.91,13.91,13.91,13.91,000,13.91
2016-08-25,13.91,13.91,13.91,13.91,000,13.91
2016-08-24,13.94,13.94,13.94,13.94,000,13.94
2016-08-23,14.03,14.03,14.03,14.03,000,14.03
2016-08-22,13.99,13.99,13.99,13.99,000,13.99
2016-08-19,13.99,13.99,13.99,13.99,000,13.99
2016-08-18,13.98,13.98,13.98,13.98,000,13.98
2016-08-17,13.96,13.96,13.96,13.96,000,13.96
2016-08-16,13.94,13.94,13.94,13.94,000,13.94
2016-08-15,14.01,14.01,14.01,14.01,000,14.01
2016-08-12,13.96,13.96,13.96,13.96,000,13.96
2016-08-11,13.97,13.97,13.97,13.97,000,13.97
2016-08-10,13.91,13.91,13.91,13.91,000,13.91
2016-08-09,13.96,13.96,13.96,13.96,000,13.96
2016-08-08,13.96,13.96,13.96,13.96,000,13.96
2016-08-05,13.97,13.97,13.97,13.97,000,13.97
2016-08-04,13.83,13.83,13.83,13.83,000,13.83
2016-08-03,13.82,13.82,13.82,13.82,000,13.82
2016-08-02,13.76,13.76,13.76,13.76,000,13.76
2016-08-01,13.86,13.86,13.86,13.86,000,13.86
2016-07-29,13.85,13.85,13.85,13.85,000,13.85
2016-07-28,13.83,13.83,13.83,13.83,000,13.83
2016-07-27,13.80,13.80,13.80,13.80,000,13.80
2016-07-26,13.79,13.79,13.79,13.79,000,13.79
2016-07-25,13.77,13.77,13.77,13.77,000,13.77
2016-07-22,13.80,13.80,13.80,13.80,000,13.80
2016-07-21,13.73,13.73,13.73,13.73,000,13.73
2016-07-20,13.78,13.78,13.78,13.78,000,13.78
2016-07-19,13.69,13.69,13.69,13.69,000,13.69
2016-07-18,13.70,13.70,13.70,13.70,000,13.70
2016-07-15,13.66,13.66,13.66,13.66,000,13.66
2016-07-14,13.67,13.67,13.67,13.67,000,13.67
2016-07-13,13.59,13.59,13.59,13.59,000,13.59
2016-07-12,13.59,13.59,13.59,13.59,000,13.59
2016-07-11,13.48,13.48,13.48,13.48,000,13.48
2016-07-08,13.43,13.43,13.43,13.43,000,13.43
2016-07-07,13.22,13.22,13.22,13.22,000,13.22
2016-07-06,13.20,13.20,13.20,13.20,000,13.20
2016-07-05,13.12,13.12,13.12,13.12,000,13.12
2016-07-01,13.22,13.22,13.22,13.22,000,13.22
2016-06-30,13.20,13.20,13.20,13.20,000,13.20
2016-06-29,13.04,13.04,13.04,13.04,000,13.04
2016-06-28,12.80,12.80,12.80,12.80,000,12.80
2016-06-27,12.54,12.54,12.54,12.54,000,12.54
2016-06-24,12.82,12.82,12.82,12.82,000,12.82
2016-06-23,13.35,13.35,13.35,13.35,000,13.35
2016-06-22,13.16,13.16,13.16,13.16,000,13.16
2016-06-21,13.17,13.17,13.17,13.17,000,13.17
2016-06-20,13.14,13.14,13.14,13.14,000,13.14
2016-06-17,13.06,13.06,13.06,13.06,000,13.06
2016-06-16,13.12,13.12,13.12,13.12,000,13.12
2016-06-15,13.14,13.14,13.14,13.14,000,13.089
2016-06-14,13.16,13.16,13.16,13.16,000,13.108922
2016-06-13,13.20,13.20,13.20,13.20,000,13.148767
2016-06-10,13.32,13.32,13.32,13.32,000,13.268301
2016-06-09,13.46,13.46,13.46,13.46,000,13.407758
2016-06-08,13.49,13.49,13.49,13.49,000,13.437641
2016-06-07,13.45,13.45,13.45,13.45,000,13.397797
2016-06-06,13.45,13.45,13.45,13.45,000,13.397797
2016-06-03,13.39,13.39,13.39,13.39,000,13.33803
2016-06-02,13.47,13.47,13.47,13.47,000,13.417719
2016-06-01,13.42,13.42,13.42,13.42,000,13.367913
2016-05-31,13.40,13.40,13.40,13.40,000,13.347991
2016-05-27,13.40,13.40,13.40,13.40,000,13.347991
2016-05-26,13.33,13.33,13.33,13.33,000,13.278263
2016-05-25,13.34,13.34,13.34,13.34,000,13.288224
2016-05-24,13.24,13.24,13.24,13.24,000,13.188612
2016-05-23,13.05,13.05,13.05,13.05,000,12.99935
2016-05-20,13.08,13.08,13.08,13.08,000,13.029233
2016-05-19,12.98,12.98,12.98,12.98,000,12.929621
2016-05-18,13.05,13.05,13.05,13.05,000,12.99935
2016-05-17,13.00,13.00,13.00,13.00,000,12.949543
2016-05-16,13.12,13.12,13.12,13.12,000,13.069078
2016-05-13,12.98,12.98,12.98,12.98,000,12.929621
2016-05-12,13.07,13.07,13.07,13.07,000,13.019271
2016-05-11,13.09,13.09,13.09,13.09,000,13.039194
2016-05-10,13.23,13.23,13.23,13.23,000,13.17865
2016-05-09,13.08,13.08,13.08,13.08,000,13.029233
2016-05-06,13.05,13.05,13.05,13.05,000,12.99935
2016-05-05,13.02,13.02,13.02,13.02,000,12.969466
2016-05-04,13.01,13.01,13.01,13.01,000,12.959505
2016-05-03,13.09,13.09,13.09,13.09,000,13.039194
2016-05-02,13.20,13.20,13.20,13.20,000,13.148767
2016-04-29,13.10,13.10,13.10,13.10,000,13.049156
2016-04-28,13.19,13.19,13.19,13.19,000,13.138806
2016-04-27,13.32,13.32,13.32,13.32,000,13.268301
2016-04-26,13.33,13.33,13.33,13.33,000,13.278263
2016-04-25,13.32,13.32,13.32,13.32,000,13.268301
2016-04-22,13.35,13.35,13.35,13.35,000,13.298185
2016-04-21,13.36,13.36,13.36,13.36,000,13.308146
2016-04-20,13.41,13.41,13.41,13.41,000,13.357952
2016-04-19,13.37,13.37,13.37,13.37,000,13.318107
2016-04-18,13.32,13.32,13.32,13.32,000,13.268301
2016-04-15,13.23,13.23,13.23,13.23,000,13.17865
2016-04-14,13.25,13.25,13.25,13.25,000,13.198573
2016-04-13,13.25,13.25,13.25,13.25,000,13.198573
2016-04-12,13.07,13.07,13.07,13.07,000,13.019271
2016-04-11,12.95,12.95,12.95,12.95,000,12.899737
2016-04-08,12.98,12.98,12.98,12.98,000,12.929621
2016-04-07,12.97,12.97,12.97,12.97,000,12.91966
2016-04-06,13.14,13.14,13.14,13.14,000,13.089
2016-04-05,12.98,12.98,12.98,12.98,000,12.929621
2016-04-04,13.12,13.12,13.12,13.12,000,13.069078
2016-04-01,13.16,13.16,13.16,13.16,000,13.108922
2016-03-31,13.06,13.06,13.06,13.06,000,13.009311
2016-03-30,13.08,13.08,13.08,13.08,000,13.029233
2016-03-29,13.01,13.01,13.01,13.01,000,12.959505
2016-03-28,12.89,12.89,12.89,12.89,000,12.839971
2016-03-24,12.90,12.90,12.90,12.90,000,12.849931
2016-03-23,12.92,12.92,12.92,12.92,000,12.869854
2016-03-22,13.01,13.01,13.01,13.01,000,12.959505
2016-03-21,13.00,13.00,13.00,13.00,000,12.949543
2016-03-18,13.00,13.00,13.00,13.00,000,12.949543
2016-03-17,12.91,12.91,12.91,12.91,000,12.859893
