Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,86.849998,86.849998,86.849998,86.849998,000,86.849998
2016-09-12,88.019997,88.019997,88.019997,88.019997,000,88.019997
2016-09-09,86.459999,86.459999,86.459999,86.459999,000,86.459999
2016-09-08,88.389999,88.389999,88.389999,88.389999,000,88.389999
2016-09-07,88.190002,88.190002,88.190002,88.190002,000,88.190002
2016-09-06,88.089996,88.089996,88.089996,88.089996,000,88.089996
2016-09-02,87.529999,87.529999,87.529999,87.529999,000,87.529999
2016-09-01,87.220001,87.220001,87.220001,87.220001,000,87.220001
2016-08-31,87.190002,87.190002,87.190002,87.190002,000,87.190002
2016-08-30,87.620003,87.620003,87.620003,87.620003,000,87.620003
2016-08-29,87.980003,87.980003,87.980003,87.980003,000,87.980003
2016-08-26,87.75,87.75,87.75,87.75,000,87.75
2016-08-25,87.75,87.75,87.75,87.75,000,87.75
2016-08-24,88.639999,88.639999,88.639999,88.639999,000,88.639999
2016-08-23,90.160004,90.160004,90.160004,90.160004,000,90.160004
2016-08-22,90.029999,90.029999,90.029999,90.029999,000,90.029999
2016-08-19,89.419998,89.419998,89.419998,89.419998,000,89.419998
2016-08-18,89.800003,89.800003,89.800003,89.800003,000,89.800003
2016-08-17,89.849998,89.849998,89.849998,89.849998,000,89.849998
2016-08-16,90.139999,90.139999,90.139999,90.139999,000,90.139999
2016-08-15,90.910004,90.910004,90.910004,90.910004,000,90.910004
2016-08-12,90.639999,90.639999,90.639999,90.639999,000,90.639999
2016-08-11,90.709999,90.709999,90.709999,90.709999,000,90.709999
2016-08-10,90.269997,90.269997,90.269997,90.269997,000,90.269997
2016-08-09,90.830002,90.830002,90.830002,90.830002,000,90.830002
2016-08-08,90.529999,90.529999,90.529999,90.529999,000,90.529999
2016-08-05,91.589996,91.589996,91.589996,91.589996,000,91.589996
2016-08-04,91.870003,91.870003,91.870003,91.870003,000,91.870003
2016-08-03,91.980003,91.980003,91.980003,91.980003,000,91.980003
2016-08-02,91.849998,91.849998,91.849998,91.849998,000,91.849998
2016-08-01,92.050003,92.050003,92.050003,92.050003,000,92.050003
2016-07-29,91.669998,91.669998,91.669998,91.669998,000,91.669998
2016-07-28,91.360001,91.360001,91.360001,91.360001,000,91.360001
2016-07-27,91.440002,91.440002,91.440002,91.440002,000,91.440002
2016-07-26,90.900002,90.900002,90.900002,90.900002,000,90.900002
2016-07-25,90.690002,90.690002,90.690002,90.690002,000,90.690002
2016-07-22,90.889999,90.889999,90.889999,90.889999,000,90.889999
2016-07-21,90.440002,90.440002,90.440002,90.440002,000,90.440002
2016-07-20,90.449997,90.449997,90.449997,90.449997,000,90.449997
2016-07-19,89.220001,89.220001,89.220001,89.220001,000,89.220001
2016-07-18,89.599998,89.599998,89.599998,89.599998,000,89.599998
2016-07-15,89.50,89.50,89.50,89.50,000,89.50
2016-07-14,89.720001,89.720001,89.720001,89.720001,000,89.720001
2016-07-13,89.370003,89.370003,89.370003,89.370003,000,89.370003
2016-07-12,89.510002,89.510002,89.510002,89.510002,000,89.510002
2016-07-11,89.190002,89.190002,89.190002,89.190002,000,89.190002
2016-07-08,89.18,89.18,89.18,89.18,000,89.18
2016-07-07,88.300003,88.300003,88.300003,88.300003,000,88.300003
2016-07-06,88.25,88.25,88.25,88.25,000,88.25
2016-07-05,87.330002,87.330002,87.330002,87.330002,000,87.330002
2016-07-01,87.75,87.75,87.75,87.75,000,87.75
2016-06-30,87.150002,87.150002,87.150002,87.150002,000,87.150002
