Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,10.09,10.09,10.09,10.09,000,10.09
2016-09-15,10.09,10.09,10.09,10.09,000,10.09
2016-09-14,10.10,10.10,10.10,10.10,000,10.10
2016-09-13,10.12,10.12,10.12,10.12,000,10.12
2016-09-12,10.15,10.15,10.15,10.15,000,10.15
2016-09-09,10.19,10.19,10.19,10.19,000,10.19
2016-09-08,10.25,10.25,10.25,10.25,000,10.25
2016-09-07,10.26,10.26,10.26,10.26,000,10.26
2016-09-06,10.22,10.22,10.22,10.22,000,10.22
2016-09-02,10.18,10.18,10.18,10.18,000,10.18
2016-09-01,10.17,10.17,10.17,10.17,000,10.17
2016-08-31,10.20,10.20,10.20,10.20,000,10.20
2016-08-30,10.25,10.25,10.25,10.25,000,10.214
2016-08-29,10.24,10.24,10.24,10.24,000,10.204035
2016-08-26,10.23,10.23,10.23,10.23,000,10.19407
2016-08-25,10.22,10.22,10.22,10.22,000,10.184106
2016-08-24,10.24,10.24,10.24,10.24,000,10.204035
2016-08-23,10.24,10.24,10.24,10.24,000,10.204035
2016-08-22,10.24,10.24,10.24,10.24,000,10.204035
2016-08-19,10.24,10.24,10.24,10.24,000,10.204035
2016-08-18,10.25,10.25,10.25,10.25,000,10.214
2016-08-17,10.23,10.23,10.23,10.23,000,10.19407
2016-08-16,10.23,10.23,10.23,10.23,000,10.19407
2016-08-15,10.22,10.22,10.22,10.22,000,10.184106
2016-08-12,10.20,10.20,10.20,10.20,000,10.164175
2016-08-11,10.18,10.18,10.18,10.18,000,10.144246
2016-08-10,10.18,10.18,10.18,10.18,000,10.144246
2016-08-09,10.16,10.16,10.16,10.16,000,10.124316
2016-08-08,10.13,10.13,10.13,10.13,000,10.094421
2016-08-05,10.10,10.10,10.10,10.10,000,10.064527
2016-08-04,10.08,10.08,10.08,10.08,000,10.044597
2016-08-03,10.04,10.04,10.04,10.04,000,10.004737
2016-08-02,10.05,10.05,10.05,10.05,000,10.014703
2016-08-01,10.07,10.07,10.07,10.07,000,10.034632
2016-07-29,10.07,10.07,10.07,10.07,000,10.034632
2016-07-28,10.09,10.09,10.09,10.09,000,10.017692
2016-07-27,10.09,10.09,10.09,10.09,000,10.017692
2016-07-26,10.08,10.08,10.08,10.08,000,10.007763
2016-07-25,10.11,10.11,10.11,10.11,000,10.037548
2016-07-22,10.11,10.11,10.11,10.11,000,10.037548
2016-07-21,10.11,10.11,10.11,10.11,000,10.037548
2016-07-20,10.11,10.11,10.11,10.11,000,10.037548
2016-07-19,10.11,10.11,10.11,10.11,000,10.037548
2016-07-18,10.10,10.10,10.10,10.10,000,10.02762
2016-07-15,10.11,10.11,10.11,10.11,000,10.037548
2016-07-14,10.12,10.12,10.12,10.12,000,10.047477
2016-07-13,10.13,10.13,10.13,10.13,000,10.057405
2016-07-12,10.11,10.11,10.11,10.11,000,10.037548
2016-07-11,10.13,10.13,10.13,10.13,000,10.057405
2016-07-08,10.09,10.09,10.09,10.09,000,10.017692
2016-07-07,10.06,10.06,10.06,10.06,000,9.987907
2016-07-06,10.04,10.04,10.04,10.04,000,9.96805
2016-07-05,10.04,10.04,10.04,10.04,000,9.96805
2016-07-01,10.01,10.01,10.01,10.01,000,9.938265
2016-06-30,9.95,9.95,9.95,9.95,000,9.878695
2016-06-29,9.97,9.97,9.97,9.97,000,9.861817
2016-06-28,9.90,9.90,9.90,9.90,000,9.792576
2016-06-27,9.86,9.86,9.86,9.86,000,9.75301
2016-06-24,9.85,9.85,9.85,9.85,000,9.74312
2016-06-23,9.88,9.88,9.88,9.88,000,9.772794
2016-06-22,9.85,9.85,9.85,9.85,000,9.74312
2016-06-21,9.83,9.83,9.83,9.83,000,9.723336
2016-06-20,9.82,9.82,9.82,9.82,000,9.713444
2016-06-17,9.79,9.79,9.79,9.79,000,9.68377
2016-06-16,9.78,9.78,9.78,9.78,000,9.673878
2016-06-15,9.78,9.78,9.78,9.78,000,9.673878
2016-06-14,9.76,9.76,9.76,9.76,000,9.654096
