Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,11.02,11.02,11.02,11.02,000,11.02
2016-09-12,11.44,11.44,11.44,11.44,000,11.44
2016-09-09,11.12,11.12,11.12,11.12,000,11.12
2016-09-08,11.69,11.69,11.69,11.69,000,11.69
2016-09-07,11.84,11.84,11.84,11.84,000,11.84
2016-09-06,11.85,11.85,11.85,11.85,000,11.85
2016-09-02,11.38,11.38,11.38,11.38,000,11.38
2016-09-01,10.97,10.97,10.97,10.97,000,10.97
2016-08-31,10.62,10.62,10.62,10.62,000,10.62
2016-08-30,10.80,10.80,10.80,10.80,000,10.80
2016-08-29,11.36,11.36,11.36,11.36,000,11.36
2016-08-26,11.29,11.29,11.29,11.29,000,11.29
2016-08-25,11.33,11.33,11.33,11.33,000,11.33
2016-08-24,11.24,11.24,11.24,11.24,000,11.24
2016-08-23,12.00,12.00,12.00,12.00,000,12.00
2016-08-22,12.12,12.12,12.12,12.12,000,12.12
2016-08-19,12.36,12.36,12.36,12.36,000,12.36
2016-08-18,12.58,12.58,12.58,12.58,000,12.58
2016-08-17,12.43,12.43,12.43,12.43,000,12.43
2016-08-16,12.60,12.60,12.60,12.60,000,12.60
2016-08-15,12.53,12.53,12.53,12.53,000,12.53
2016-08-12,12.56,12.56,12.56,12.56,000,12.56
2016-08-11,12.61,12.61,12.61,12.61,000,12.61
2016-08-10,12.63,12.63,12.63,12.63,000,12.63
2016-08-09,12.50,12.50,12.50,12.50,000,12.50
2016-08-08,12.38,12.38,12.38,12.38,000,12.38
2016-08-05,12.23,12.23,12.23,12.23,000,12.23
2016-08-04,12.56,12.56,12.56,12.56,000,12.56
2016-08-03,12.56,12.56,12.56,12.56,000,12.56
2016-08-02,12.64,12.64,12.64,12.64,000,12.64
2016-08-01,12.41,12.41,12.41,12.41,000,12.41
2016-07-29,12.36,12.36,12.36,12.36,000,12.36
2016-07-28,12.12,12.12,12.12,12.12,000,12.12
2016-07-27,12.01,12.01,12.01,12.01,000,12.01
2016-07-26,11.62,11.62,11.62,11.62,000,11.62
2016-07-25,11.28,11.28,11.28,11.28,000,11.28
2016-07-22,11.60,11.60,11.60,11.60,000,11.60
2016-07-21,11.58,11.58,11.58,11.58,000,11.58
2016-07-20,11.32,11.32,11.32,11.32,000,11.32
2016-07-19,11.85,11.85,11.85,11.85,000,11.85
2016-07-18,12.00,12.00,12.00,12.00,000,12.00
2016-07-15,11.97,11.97,11.97,11.97,000,11.97
2016-07-14,12.15,12.15,12.15,12.15,000,12.15
2016-07-13,12.13,12.13,12.13,12.13,000,12.13
2016-07-12,11.92,11.92,11.92,11.92,000,11.92
2016-07-11,12.21,12.21,12.21,12.21,000,12.21
2016-07-08,12.04,12.04,12.04,12.04,000,12.04
2016-07-07,11.73,11.73,11.73,11.73,000,11.73
2016-07-06,12.11,12.11,12.11,12.11,000,12.11
2016-07-05,11.70,11.70,11.70,11.70,000,11.70
2016-07-01,11.42,11.42,11.42,11.42,000,11.42
2016-06-30,11.07,11.07,11.07,11.07,000,11.07
2016-06-29,10.87,10.87,10.87,10.87,000,10.87
2016-06-28,10.62,10.62,10.62,10.62,000,10.62
2016-06-27,10.68,10.68,10.68,10.68,000,10.68
2016-06-24,10.62,10.62,10.62,10.62,000,10.62
2016-06-23,10.40,10.40,10.40,10.40,000,10.40
2016-06-22,10.36,10.36,10.36,10.36,000,10.36
2016-06-21,10.29,10.29,10.29,10.29,000,10.29
2016-06-20,10.49,10.49,10.49,10.49,000,10.49
2016-06-17,10.39,10.39,10.39,10.39,000,10.39
2016-06-16,10.43,10.43,10.43,10.43,000,10.43
2016-06-15,10.58,10.58,10.58,10.58,000,10.58
2016-06-14,10.27,10.27,10.27,10.27,000,10.27
2016-06-13,10.50,10.50,10.50,10.50,000,10.50
2016-06-10,10.54,10.54,10.54,10.54,000,10.54
2016-06-09,10.75,10.75,10.75,10.75,000,10.75
2016-06-08,10.63,10.63,10.63,10.63,000,10.63
2016-06-07,10.39,10.39,10.39,10.39,000,10.39
2016-06-06,10.47,10.47,10.47,10.47,000,10.47
2016-06-03,10.33,10.33,10.33,10.33,000,10.33
2016-06-02,9.52,9.52,9.52,9.52,000,9.52
2016-06-01,9.51,9.51,9.51,9.51,000,9.51
2016-05-31,9.46,9.46,9.46,9.46,000,9.46
2016-05-27,9.37,9.37,9.37,9.37,000,9.37
2016-05-26,9.64,9.64,9.64,9.64,000,9.64
2016-05-25,9.63,9.63,9.63,9.63,000,9.63
2016-05-24,9.43,9.43,9.43,9.43,000,9.43
2016-05-23,9.87,9.87,9.87,9.87,000,9.87
2016-05-20,9.92,9.92,9.92,9.92,000,9.92
2016-05-19,9.87,9.87,9.87,9.87,000,9.87
2016-05-18,9.81,9.81,9.81,9.81,000,9.81
2016-05-17,10.46,10.46,10.46,10.46,000,10.46
2016-05-16,10.28,10.28,10.28,10.28,000,10.28
2016-05-13,10.04,10.04,10.04,10.04,000,10.04
2016-05-12,9.98,9.98,9.98,9.98,000,9.98
2016-05-11,10.03,10.03,10.03,10.03,000,10.03
2016-05-10,9.78,9.78,9.78,9.78,000,9.78
2016-05-09,9.49,9.49,9.49,9.49,000,9.49
2016-05-06,10.03,10.03,10.03,10.03,000,10.03
2016-05-05,9.68,9.68,9.68,9.68,000,9.68
2016-05-04,9.52,9.52,9.52,9.52,000,9.52
2016-05-03,10.01,10.01,10.01,10.01,000,10.01
2016-05-02,10.40,10.40,10.40,10.40,000,10.40
2016-04-29,10.57,10.57,10.57,10.57,000,10.57
2016-04-28,10.14,10.14,10.14,10.14,000,10.14
2016-04-27,9.75,9.75,9.75,9.75,000,9.75
2016-04-26,9.66,9.66,9.66,9.66,000,9.66
2016-04-25,9.48,9.48,9.48,9.48,000,9.48
2016-04-22,9.67,9.67,9.67,9.67,000,9.67
2016-04-21,9.77,9.77,9.77,9.77,000,9.77
2016-04-20,9.65,9.65,9.65,9.65,000,9.65
2016-04-19,9.77,9.77,9.77,9.77,000,9.77
2016-04-18,9.29,9.29,9.29,9.29,000,9.29
2016-04-15,9.18,9.18,9.18,9.18,000,9.18
2016-04-14,8.96,8.96,8.96,8.96,000,8.96
2016-04-13,9.19,9.19,9.19,9.19,000,9.19
2016-04-12,9.30,9.30,9.30,9.30,000,9.30
2016-04-11,9.09,9.09,9.09,9.09,000,9.09
2016-04-08,8.63,8.63,8.63,8.63,000,8.63
2016-04-07,8.29,8.29,8.29,8.29,000,8.29
2016-04-06,8.19,8.19,8.19,8.19,000,8.19
2016-04-05,8.13,8.13,8.13,8.13,000,8.13
2016-04-04,8.06,8.06,8.06,8.06,000,8.06
2016-04-01,8.25,8.25,8.25,8.25,000,8.25
2016-03-31,8.21,8.21,8.21,8.21,000,8.21
2016-03-30,8.29,8.29,8.29,8.29,000,8.29
2016-03-29,8.33,8.33,8.33,8.33,000,8.33
2016-03-28,8.03,8.03,8.03,8.03,000,8.03
2016-03-24,8.06,8.06,8.06,8.06,000,8.06
2016-03-23,8.01,8.01,8.01,8.01,000,8.01
2016-03-22,8.46,8.46,8.46,8.46,000,8.46
2016-03-21,8.45,8.45,8.45,8.45,000,8.45
2016-03-18,8.47,8.47,8.47,8.47,000,8.47
2016-03-17,8.48,8.48,8.48,8.48,000,8.48
2016-03-16,8.38,8.38,8.38,8.38,000,8.38
2016-03-15,8.11,8.11,8.11,8.11,000,7.949
2016-03-14,8.14,8.14,8.14,8.14,000,7.978405
2016-03-11,8.33,8.33,8.33,8.33,000,8.164632
