Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,14.78,14.78,14.78,14.78,000,14.78
2016-09-12,15.09,15.09,15.09,15.09,000,15.09
2016-09-09,15.11,15.11,15.11,15.11,000,15.11
2016-09-08,15.42,15.42,15.42,15.42,000,15.42
2016-09-07,15.46,15.46,15.46,15.46,000,15.46
2016-09-06,15.44,15.44,15.44,15.44,000,15.44
2016-09-02,15.25,15.25,15.25,15.25,000,15.25
2016-09-01,15.08,15.08,15.08,15.08,000,15.08
2016-08-31,15.02,15.02,15.02,15.02,000,15.02
2016-08-30,15.05,15.05,15.05,15.05,000,15.05
2016-08-29,15.09,15.09,15.09,15.09,000,15.09
2016-08-26,15.05,15.05,15.05,15.05,000,15.05
2016-08-25,15.13,15.13,15.13,15.13,000,15.13
2016-08-24,15.16,15.16,15.16,15.16,000,15.16
2016-08-23,15.21,15.21,15.21,15.21,000,15.21
2016-08-22,15.17,15.17,15.17,15.17,000,15.17
2016-08-19,15.19,15.19,15.19,15.19,000,15.19
2016-08-18,15.30,15.30,15.30,15.30,000,15.30
2016-08-17,15.21,15.21,15.21,15.21,000,15.21
2016-08-16,15.23,15.23,15.23,15.23,000,15.23
2016-08-15,15.25,15.25,15.25,15.25,000,15.25
2016-08-12,15.18,15.18,15.18,15.18,000,15.18
2016-08-11,15.20,15.20,15.20,15.20,000,15.20
2016-08-10,15.10,15.10,15.10,15.10,000,15.10
2016-08-09,15.06,15.06,15.06,15.06,000,15.06
2016-08-08,14.94,14.94,14.94,14.94,000,14.94
2016-08-05,14.90,14.90,14.90,14.90,000,14.90
2016-08-04,14.80,14.80,14.80,14.80,000,14.80
2016-08-03,14.72,14.72,14.72,14.72,000,14.72
2016-08-02,14.79,14.79,14.79,14.79,000,14.79
2016-08-01,14.85,14.85,14.85,14.85,000,14.85
2016-07-29,14.91,14.91,14.91,14.91,000,14.91
2016-07-28,14.76,14.76,14.76,14.76,000,14.76
2016-07-27,14.76,14.76,14.76,14.76,000,14.76
2016-07-26,14.71,14.71,14.71,14.71,000,14.71
2016-07-25,14.65,14.65,14.65,14.65,000,14.65
2016-07-22,14.67,14.67,14.67,14.67,000,14.67
2016-07-21,14.67,14.67,14.67,14.67,000,14.67
2016-07-20,14.70,14.70,14.70,14.70,000,14.70
2016-07-19,14.60,14.60,14.60,14.60,000,14.60
2016-07-18,14.69,14.69,14.69,14.69,000,14.69
2016-07-15,14.65,14.65,14.65,14.65,000,14.65
2016-07-14,14.70,14.70,14.70,14.70,000,14.70
2016-07-13,14.57,14.57,14.57,14.57,000,14.57
2016-07-12,14.57,14.57,14.57,14.57,000,14.57
2016-07-11,14.39,14.39,14.39,14.39,000,14.39
2016-07-08,14.19,14.19,14.19,14.19,000,14.19
2016-07-07,14.02,14.02,14.02,14.02,000,14.02
2016-07-06,14.04,14.04,14.04,14.04,000,14.04
2016-07-05,14.08,14.08,14.08,14.08,000,14.08
2016-07-01,14.33,14.33,14.33,14.33,000,14.33
2016-06-30,14.28,14.28,14.28,14.28,000,14.28
2016-06-29,14.10,14.10,14.10,14.10,000,14.10
2016-06-28,13.84,13.84,13.84,13.84,000,13.84
2016-06-27,13.50,13.50,13.50,13.50,000,13.50
2016-06-24,13.80,13.80,13.80,13.80,000,13.80
2016-06-23,14.85,14.85,14.85,14.85,000,14.85
2016-06-22,14.54,14.54,14.54,14.54,000,14.54
2016-06-21,14.51,14.51,14.51,14.51,000,14.51
2016-06-20,14.42,14.42,14.42,14.42,000,14.42
2016-06-17,14.09,14.09,14.09,14.09,000,14.09
2016-06-16,13.98,13.98,13.98,13.98,000,13.98
2016-06-15,14.01,14.01,14.01,14.01,000,14.01
2016-06-14,13.92,13.92,13.92,13.92,000,13.92
2016-06-13,14.10,14.10,14.10,14.10,000,14.10
2016-06-10,14.49,14.49,14.49,14.49,000,14.32
2016-06-09,14.86,14.86,14.86,14.86,000,14.685659
2016-06-08,15.02,15.02,15.02,15.02,000,14.843782
2016-06-07,14.97,14.97,14.97,14.97,000,14.794369
2016-06-06,14.83,14.83,14.83,14.83,000,14.656011
2016-06-03,14.72,14.72,14.72,14.72,000,14.547302
2016-06-02,14.60,14.60,14.60,14.60,000,14.42871
2016-06-01,14.60,14.60,14.60,14.60,000,14.42871
2016-05-31,14.59,14.59,14.59,14.59,000,14.418827
2016-05-27,14.63,14.63,14.63,14.63,000,14.458358
2016-05-26,14.64,14.64,14.64,14.64,000,14.468241
2016-05-25,14.60,14.60,14.60,14.60,000,14.42871
2016-05-24,14.44,14.44,14.44,14.44,000,14.270586
2016-05-23,14.29,14.29,14.29,14.29,000,14.122347
2016-05-20,14.32,14.32,14.32,14.32,000,14.151994
2016-05-19,14.22,14.22,14.22,14.22,000,14.053168
2016-05-18,14.32,14.32,14.32,14.32,000,14.151994
2016-05-17,14.36,14.36,14.36,14.36,000,14.191525
2016-05-16,14.41,14.41,14.41,14.41,000,14.240939
2016-05-13,14.28,14.28,14.28,14.28,000,14.112464
2016-05-12,14.42,14.42,14.42,14.42,000,14.250821
2016-05-11,14.44,14.44,14.44,14.44,000,14.270586
2016-05-10,14.52,14.52,14.52,14.52,000,14.349649
2016-05-09,14.33,14.33,14.33,14.33,000,14.161877
2016-05-06,14.38,14.38,14.38,14.38,000,14.211291
2016-05-05,14.37,14.37,14.37,14.37,000,14.201408
2016-05-04,14.38,14.38,14.38,14.38,000,14.211291
2016-05-03,14.56,14.56,14.56,14.56,000,14.389179
2016-05-02,14.83,14.83,14.83,14.83,000,14.656011
2016-04-29,14.74,14.74,14.74,14.74,000,14.567067
2016-04-28,14.81,14.81,14.81,14.81,000,14.636246
2016-04-27,14.90,14.90,14.90,14.90,000,14.72519
2016-04-26,14.88,14.88,14.88,14.88,000,14.705425
2016-04-25,14.83,14.83,14.83,14.83,000,14.656011
2016-04-22,14.90,14.90,14.90,14.90,000,14.72519
2016-04-21,14.92,14.92,14.92,14.92,000,14.744955
2016-04-20,14.98,14.98,14.98,14.98,000,14.804251
2016-04-19,15.00,15.00,15.00,15.00,000,14.824017
2016-04-18,14.77,14.77,14.77,14.77,000,14.596716
2016-04-15,14.69,14.69,14.69,14.69,000,14.517653
2016-04-14,14.71,14.71,14.71,14.71,000,14.537419
2016-04-13,14.69,14.69,14.69,14.69,000,14.517653
2016-04-12,14.47,14.47,14.47,14.47,000,14.300235
2016-04-11,14.27,14.27,14.27,14.27,000,14.102582
2016-04-08,14.23,14.23,14.23,14.23,000,14.06305
2016-04-07,13.98,13.98,13.98,13.98,000,13.815983
2016-04-06,14.15,14.15,14.15,14.15,000,13.983989
2016-04-05,13.99,13.99,13.99,13.99,000,13.825866
2016-04-04,14.25,14.25,14.25,14.25,000,14.082816
2016-04-01,14.28,14.28,14.28,14.28,000,14.112464
2016-03-31,14.42,14.42,14.42,14.42,000,14.250821
2016-03-30,14.50,14.50,14.50,14.50,000,14.329883
2016-03-29,14.37,14.37,14.37,14.37,000,14.201408
2016-03-28,14.21,14.21,14.21,14.21,000,14.043285
2016-03-24,14.15,14.15,14.15,14.15,000,13.983989
2016-03-23,14.25,14.25,14.25,14.25,000,14.082816
2016-03-22,14.39,14.39,14.39,14.39,000,14.221174
2016-03-21,14.41,14.41,14.41,14.41,000,14.240939
2016-03-18,14.44,14.44,14.44,14.44,000,14.270586
2016-03-17,14.43,14.43,14.43,14.43,000,14.260704
2016-03-16,14.25,14.25,14.25,14.25,000,14.082816
2016-03-15,14.10,14.10,14.10,14.10,000,13.934576
2016-03-14,14.26,14.26,14.26,14.26,000,14.092699
2016-03-11,14.31,14.31,14.31,14.31,000,14.098628
2016-03-10,14.00,14.00,14.00,14.00,000,13.793207
2016-03-09,14.00,14.00,14.00,14.00,000,13.793207
2016-03-08,13.94,13.94,13.94,13.94,000,13.734093
2016-03-07,14.11,14.11,14.11,14.11,000,13.901582
2016-03-04,14.10,14.10,14.10,14.10,000,13.89173
2016-03-03,13.96,13.96,13.96,13.96,000,13.753798
2016-03-02,13.81,13.81,13.81,13.81,000,13.606014
2016-03-01,13.70,13.70,13.70,13.70,000,13.497638
2016-02-29,13.37,13.37,13.37,13.37,000,13.172513
2016-02-26,13.39,13.39,13.39,13.39,000,13.192218
2016-02-25,13.42,13.42,13.42,13.42,000,13.221774
2016-02-24,13.28,13.28,13.28,13.28,000,13.083842
2016-02-23,13.34,13.34,13.34,13.34,000,13.142956
2016-02-22,13.54,13.54,13.54,13.54,000,13.340002
2016-02-19,13.38,13.38,13.38,13.38,000,13.182365
2016-02-18,13.42,13.42,13.42,13.42,000,13.221774
2016-02-17,13.43,13.43,13.43,13.43,000,13.231627
2016-02-16,13.18,13.18,13.18,13.18,000,12.98532
2016-02-12,12.92,12.92,12.92,12.92,000,12.72916
2016-02-11,12.76,12.76,12.76,12.76,000,12.571523
2016-02-10,12.98,12.98,12.98,12.98,000,12.788273
2016-02-09,12.97,12.97,12.97,12.97,000,12.778421
2016-02-08,13.12,13.12,13.12,13.12,000,12.926205
