Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,53.139999,53.139999,53.139999,53.139999,000,53.139999
2016-09-12,53.830002,53.830002,53.830002,53.830002,000,53.830002
2016-09-09,53.02,53.02,53.02,53.02,000,53.02
2016-09-08,54.48,54.48,54.48,54.48,000,54.48
2016-09-07,54.509998,54.509998,54.509998,54.509998,000,54.509998
2016-09-06,54.27,54.27,54.27,54.27,000,54.27
2016-09-02,54.110001,54.110001,54.110001,54.110001,000,54.110001
2016-09-01,53.900002,53.900002,53.900002,53.900002,000,53.900002
2016-08-31,53.77,53.77,53.77,53.77,000,53.77
2016-08-30,54.009998,54.009998,54.009998,54.009998,000,54.009998
2016-08-29,53.919998,53.919998,53.919998,53.919998,000,53.919998
2016-08-26,53.77,53.77,53.77,53.77,000,53.77
2016-08-25,53.66,53.66,53.66,53.66,000,53.66
2016-08-24,53.740002,53.740002,53.740002,53.740002,000,53.740002
2016-08-23,54.34,54.34,54.34,54.34,000,54.34
2016-08-22,54.099998,54.099998,54.099998,54.099998,000,54.099998
2016-08-19,54.029999,54.029999,54.029999,54.029999,000,54.029999
2016-08-18,54.02,54.02,54.02,54.02,000,54.02
2016-08-17,53.740002,53.740002,53.740002,53.740002,000,53.740002
2016-08-16,53.860001,53.860001,53.860001,53.860001,000,53.860001
2016-08-15,54.200001,54.200001,54.200001,54.200001,000,54.200001
2016-08-12,53.82,53.82,53.82,53.82,000,53.82
2016-08-11,53.740002,53.740002,53.740002,53.740002,000,53.740002
2016-08-10,53.32,53.32,53.32,53.32,000,53.32
2016-08-09,53.669998,53.669998,53.669998,53.669998,000,53.669998
2016-08-08,53.799999,53.799999,53.799999,53.799999,000,53.799999
2016-08-05,53.959999,53.959999,53.959999,53.959999,000,53.959999
2016-08-04,53.349998,53.349998,53.349998,53.349998,000,53.349998
2016-08-03,53.189999,53.189999,53.189999,53.189999,000,53.189999
2016-08-02,53.110001,53.110001,53.110001,53.110001,000,53.110001
2016-08-01,53.560001,53.560001,53.560001,53.560001,000,53.560001
2016-07-29,53.34,53.34,53.34,53.34,000,53.34
2016-07-28,53.139999,53.139999,53.139999,53.139999,000,53.139999
2016-07-27,53.080002,53.080002,53.080002,53.080002,000,53.080002
2016-07-26,52.82,52.82,52.82,52.82,000,52.82
2016-07-25,52.369999,52.369999,52.369999,52.369999,000,52.369999
2016-07-22,52.389999,52.389999,52.389999,52.389999,000,52.389999
2016-07-21,51.959999,51.959999,51.959999,51.959999,000,51.959999
2016-07-20,52.259998,52.259998,52.259998,52.259998,000,52.259998
2016-07-19,51.700001,51.700001,51.700001,51.700001,000,51.700001
2016-07-18,51.849998,51.849998,51.849998,51.849998,000,51.849998
2016-07-15,51.630001,51.630001,51.630001,51.630001,000,51.630001
2016-07-14,51.650002,51.650002,51.650002,51.650002,000,51.650002
2016-07-13,51.139999,51.139999,51.139999,51.139999,000,51.139999
2016-07-12,51.299999,51.299999,51.299999,51.299999,000,51.299999
2016-07-11,50.52,50.52,50.52,50.52,000,50.52
2016-07-08,50.279999,50.279999,50.279999,50.279999,000,50.279999
2016-07-07,49.299999,49.299999,49.299999,49.299999,000,49.299999
2016-07-06,48.919998,48.919998,48.919998,48.919998,000,48.919998
2016-07-05,48.639999,48.639999,48.639999,48.639999,000,48.639999
2016-07-01,49.27,49.27,49.27,49.27,000,49.27
2016-06-30,49.060001,49.060001,49.060001,49.060001,000,49.060001
2016-06-29,48.490002,48.490002,48.490002,48.490002,000,48.490002
2016-06-28,47.490002,47.490002,47.490002,47.490002,000,47.490002
2016-06-27,46.580002,46.580002,46.580002,46.580002,000,46.580002
2016-06-24,47.790001,47.790001,47.790001,47.790001,000,47.790001
2016-06-23,50.150002,50.150002,50.150002,50.150002,000,50.150002
2016-06-22,49.380001,49.380001,49.380001,49.380001,000,49.380001
2016-06-21,49.599998,49.599998,49.599998,49.599998,000,49.599998
2016-06-20,49.599998,49.599998,49.599998,49.599998,000,49.599998
2016-06-17,49.130001,49.130001,49.130001,49.130001,000,49.130001
2016-06-16,49.25,49.25,49.25,49.25,000,49.25
2016-06-15,49.27,49.27,49.27,49.27,000,49.27
2016-06-14,49.200001,49.200001,49.200001,49.200001,000,49.200001
2016-06-13,49.509998,49.509998,49.509998,49.509998,000,49.509998
2016-06-10,50.080002,50.080002,50.080002,50.080002,000,50.080002
2016-06-09,50.869999,50.869999,50.869999,50.869999,000,50.869999
2016-06-08,50.970001,50.970001,50.970001,50.970001,000,50.970001
2016-06-07,50.900002,50.900002,50.900002,50.900002,000,50.900002
2016-06-06,51.150002,51.150002,51.150002,51.150002,000,51.150002
2016-06-03,51.00,51.00,51.00,51.00,000,51.00
2016-06-02,51.349998,51.349998,51.349998,51.349998,000,51.349998
2016-06-01,51.09,51.09,51.09,51.09,000,51.09
2016-05-31,51.16,51.16,51.16,51.16,000,51.16
2016-05-27,50.970001,50.970001,50.970001,50.970001,000,50.970001
2016-05-26,50.509998,50.509998,50.509998,50.509998,000,50.509998
2016-05-25,50.59,50.59,50.59,50.59,000,50.59
2016-05-24,50.310001,50.310001,50.310001,50.310001,000,50.310001
2016-05-23,49.41,49.41,49.41,49.41,000,49.41
2016-05-20,49.41,49.41,49.41,49.41,000,49.41
2016-05-19,48.77,48.77,48.77,48.77,000,48.77
2016-05-18,49.240002,49.240002,49.240002,49.240002,000,49.240002
2016-05-17,48.950001,48.950001,48.950001,48.950001,000,48.950001
2016-05-16,49.32,49.32,49.32,49.32,000,49.32
2016-05-13,48.639999,48.639999,48.639999,48.639999,000,48.639999
2016-05-12,48.630001,48.630001,48.630001,48.630001,000,48.630001
2016-05-11,48.919998,48.919998,48.919998,48.919998,000,48.919998
2016-05-10,49.439999,49.439999,49.439999,49.439999,000,49.439999
2016-05-09,48.77,48.77,48.77,48.77,000,48.77
2016-05-06,48.419998,48.419998,48.419998,48.419998,000,48.419998
2016-05-05,48.290001,48.290001,48.290001,48.290001,000,48.290001
2016-05-04,48.389999,48.389999,48.389999,48.389999,000,48.389999
2016-05-03,49.09,49.09,49.09,49.09,000,49.09
2016-05-02,49.639999,49.639999,49.639999,49.639999,000,49.639999
2016-04-29,49.290001,49.290001,49.290001,49.290001,000,49.290001
2016-04-28,49.860001,49.860001,49.860001,49.860001,000,49.860001
2016-04-27,50.509998,50.509998,50.509998,50.509998,000,50.509998
2016-04-26,50.369999,50.369999,50.369999,50.369999,000,50.369999
2016-04-25,50.470001,50.470001,50.470001,50.470001,000,50.470001
2016-04-22,50.630001,50.630001,50.630001,50.630001,000,50.630001
2016-04-21,50.759998,50.759998,50.759998,50.759998,000,50.759998
2016-04-20,50.790001,50.790001,50.790001,50.790001,000,50.790001
2016-04-19,50.740002,50.740002,50.740002,50.740002,000,50.740002
2016-04-18,50.91,50.91,50.91,50.91,000,50.91
2016-04-15,50.619999,50.619999,50.619999,50.619999,000,50.619999
2016-04-14,50.689999,50.689999,50.689999,50.689999,000,50.689999
2016-04-13,50.700001,50.700001,50.700001,50.700001,000,50.700001
2016-04-12,49.810001,49.810001,49.810001,49.810001,000,49.810001
2016-04-11,49.470001,49.470001,49.470001,49.470001,000,49.470001
2016-04-08,49.59,49.59,49.59,49.59,000,49.59
2016-04-07,49.529999,49.529999,49.529999,49.529999,000,49.529999
2016-04-06,50.32,50.32,50.32,50.32,000,50.32
