Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,21.83,21.83,21.83,21.83,000,21.83
2016-09-15,22.129999,22.129999,22.129999,22.129999,000,22.129999
2016-09-14,21.91,21.91,21.91,21.91,000,21.91
2016-09-13,21.92,21.92,21.92,21.92,000,21.92
2016-09-12,22.48,22.48,22.48,22.48,000,22.48
2016-09-09,22.51,22.51,22.51,22.51,000,22.51
2016-09-08,22.959999,22.959999,22.959999,22.959999,000,22.959999
2016-09-07,22.959999,22.959999,22.959999,22.959999,000,22.959999
2016-09-06,22.950001,22.950001,22.950001,22.950001,000,22.950001
2016-09-02,22.719999,22.719999,22.719999,22.719999,000,22.719999
2016-09-01,22.42,22.42,22.42,22.42,000,22.42
2016-08-31,22.34,22.34,22.34,22.34,000,22.34
2016-08-30,22.370001,22.370001,22.370001,22.370001,000,22.370001
2016-08-29,22.40,22.40,22.40,22.40,000,22.40
2016-08-26,22.33,22.33,22.33,22.33,000,22.33
2016-08-25,22.450001,22.450001,22.450001,22.450001,000,22.450001
2016-08-24,22.48,22.48,22.48,22.48,000,22.48
2016-08-23,22.540001,22.540001,22.540001,22.540001,000,22.540001
2016-08-22,22.450001,22.450001,22.450001,22.450001,000,22.450001
2016-08-19,22.50,22.50,22.50,22.50,000,22.50
2016-08-18,22.690001,22.690001,22.690001,22.690001,000,22.690001
2016-08-17,22.559999,22.559999,22.559999,22.559999,000,22.559999
2016-08-16,22.57,22.57,22.57,22.57,000,22.57
2016-08-15,22.610001,22.610001,22.610001,22.610001,000,22.610001
2016-08-12,22.51,22.51,22.51,22.51,000,22.51
2016-08-11,22.57,22.57,22.57,22.57,000,22.57
2016-08-10,22.40,22.40,22.40,22.40,000,22.40
2016-08-09,22.370001,22.370001,22.370001,22.370001,000,22.370001
2016-08-08,22.190001,22.190001,22.190001,22.190001,000,22.190001
2016-08-05,22.07,22.07,22.07,22.07,000,22.07
2016-08-04,21.90,21.90,21.90,21.90,000,21.90
2016-08-03,21.75,21.75,21.75,21.75,000,21.75
2016-08-02,21.799999,21.799999,21.799999,21.799999,000,21.799999
2016-08-01,21.92,21.92,21.92,21.92,000,21.92
2016-07-29,22.049999,22.049999,22.049999,22.049999,000,22.049999
2016-07-28,21.85,21.85,21.85,21.85,000,21.85
2016-07-27,21.879999,21.879999,21.879999,21.879999,000,21.879999
2016-07-26,21.809999,21.809999,21.809999,21.809999,000,21.809999
2016-07-25,21.74,21.74,21.74,21.74,000,21.74
2016-07-22,21.790001,21.790001,21.790001,21.790001,000,21.790001
2016-07-21,21.780001,21.780001,21.780001,21.780001,000,21.780001
2016-07-20,21.809999,21.809999,21.809999,21.809999,000,21.809999
2016-07-19,21.67,21.67,21.67,21.67,000,21.67
2016-07-18,21.85,21.85,21.85,21.85,000,21.85
2016-07-15,21.809999,21.809999,21.809999,21.809999,000,21.809999
2016-07-14,21.83,21.83,21.83,21.83,000,21.83
2016-07-13,21.610001,21.610001,21.610001,21.610001,000,21.610001
2016-07-12,21.60,21.60,21.60,21.60,000,21.60
2016-07-11,21.26,21.26,21.26,21.26,000,21.26
2016-07-08,21.00,21.00,21.00,21.00,000,21.00
2016-07-07,20.68,20.68,20.68,20.68,000,20.68
2016-07-06,20.75,20.75,20.75,20.75,000,20.75
2016-07-05,20.82,20.82,20.82,20.82,000,20.82
2016-07-01,21.290001,21.290001,21.290001,21.290001,000,21.290001
2016-06-30,21.25,21.25,21.25,21.25,000,21.25
2016-06-29,20.90,20.90,20.90,20.90,000,20.90
2016-06-28,20.51,20.51,20.51,20.51,000,20.51
2016-06-27,19.969999,19.969999,19.969999,19.969999,000,19.969999
2016-06-24,20.49,20.49,20.49,20.49,000,20.49
2016-06-23,22.32,22.32,22.32,22.32,000,22.32
2016-06-22,21.780001,21.780001,21.780001,21.780001,000,21.780001
2016-06-21,21.719999,21.719999,21.719999,21.719999,000,21.719999
2016-06-20,21.540001,21.540001,21.540001,21.540001,000,21.540001
2016-06-17,21.030001,21.030001,21.030001,21.030001,000,21.030001
2016-06-16,20.790001,20.790001,20.790001,20.790001,000,20.790001
2016-06-15,20.77,20.77,20.77,20.77,000,20.77
2016-06-14,20.67,20.67,20.67,20.67,000,20.67
2016-06-13,20.969999,20.969999,20.969999,20.969999,000,20.969999
2016-06-10,21.540001,21.540001,21.540001,21.540001,000,21.321001
2016-06-09,22.129999,22.129999,22.129999,22.129999,000,21.905001
2016-06-08,22.42,22.42,22.42,22.42,000,22.192053
2016-06-07,22.33,22.33,22.33,22.33,000,22.102968
2016-06-06,22.129999,22.129999,22.129999,22.129999,000,21.905001
2016-06-03,21.959999,21.959999,21.959999,21.959999,000,21.736729
2016-06-02,21.790001,21.790001,21.790001,21.790001,000,21.568459
2016-06-01,21.799999,21.799999,21.799999,21.799999,000,21.578356
2016-05-31,21.809999,21.809999,21.809999,21.809999,000,21.588255
2016-05-27,21.950001,21.950001,21.950001,21.950001,000,21.726832
2016-05-26,21.969999,21.969999,21.969999,21.969999,000,21.746628
2016-05-25,21.91,21.91,21.91,21.91,000,21.687238
2016-05-24,21.610001,21.610001,21.610001,21.610001,000,21.390289
2016-05-23,21.33,21.33,21.33,21.33,000,21.113135
2016-05-20,21.379999,21.379999,21.379999,21.379999,000,21.162626
2016-05-18,21.370001,21.370001,21.370001,21.370001,000,21.152729
2016-05-17,21.40,21.40,21.40,21.40,000,21.182423
2016-05-16,21.469999,21.469999,21.469999,21.469999,000,21.251711
2016-05-13,21.27,21.27,21.27,21.27,000,21.053746
2016-05-12,21.51,21.51,21.51,21.51,000,21.291305
2016-05-11,21.540001,21.540001,21.540001,21.540001,000,21.321001
2016-05-10,21.67,21.67,21.67,21.67,000,21.449679
2016-05-09,21.389999,21.389999,21.389999,21.389999,000,21.172525
2016-05-06,21.459999,21.459999,21.459999,21.459999,000,21.241813
2016-05-05,21.469999,21.469999,21.469999,21.469999,000,21.251711
2016-05-04,21.52,21.52,21.52,21.52,000,21.301204
2016-05-03,21.84,21.84,21.84,21.84,000,21.61795
2016-05-02,22.309999,22.309999,22.309999,22.309999,000,22.083171
2016-04-29,22.200001,22.200001,22.200001,22.200001,000,21.974291
2016-04-28,22.34,22.34,22.34,22.34,000,22.112867
2016-04-27,22.450001,22.450001,22.450001,22.450001,000,22.221749
2016-04-26,22.42,22.42,22.42,22.42,000,22.192053
2016-04-25,22.280001,22.280001,22.280001,22.280001,000,22.053477
2016-04-22,22.42,22.42,22.42,22.42,000,22.192053
2016-04-21,22.42,22.42,22.42,22.42,000,22.192053
2016-04-20,22.52,22.52,22.52,22.52,000,22.291037
2016-04-19,22.50,22.50,22.50,22.50,000,22.27124
2016-04-18,22.15,22.15,22.15,22.15,000,21.924798
2016-04-15,22.02,22.02,22.02,22.02,000,21.79612
2016-04-14,22.040001,22.040001,22.040001,22.040001,000,21.815918
2016-04-13,21.99,21.99,21.99,21.99,000,21.766425
2016-04-12,21.610001,21.610001,21.610001,21.610001,000,21.390289
2016-04-11,21.27,21.27,21.27,21.27,000,21.053746
2016-04-08,21.18,21.18,21.18,21.18,000,20.964661
2016-04-07,20.780001,20.780001,20.780001,20.780001,000,20.568728
2016-04-06,21.07,21.07,21.07,21.07,000,20.855778
2016-04-05,20.84,20.84,20.84,20.84,000,20.628117
2016-04-04,21.26,21.26,21.26,21.26,000,21.043847
2016-04-01,21.360001,21.360001,21.360001,21.360001,000,21.142831
2016-03-31,21.559999,21.559999,21.559999,21.559999,000,21.340796
2016-03-30,21.65,21.65,21.65,21.65,000,21.429881
2016-03-29,21.450001,21.450001,21.450001,21.450001,000,21.231916
2016-03-28,21.26,21.26,21.26,21.26,000,21.043847
2016-03-24,21.139999,21.139999,21.139999,21.139999,000,20.925066
2016-03-23,21.35,21.35,21.35,21.35,000,21.132932
2016-03-22,21.610001,21.610001,21.610001,21.610001,000,21.390289
2016-03-21,21.700001,21.700001,21.700001,21.700001,000,21.479374
2016-03-18,21.76,21.76,21.76,21.76,000,21.538764
2016-03-17,21.82,21.82,21.82,21.82,000,21.564498
2016-03-16,21.49,21.49,21.49,21.49,000,21.238362
2016-03-15,21.23,21.23,21.23,21.23,000,20.981407
2016-03-14,21.48,21.48,21.48,21.48,000,21.228479
2016-03-11,21.549999,21.549999,21.549999,21.549999,000,21.297659
2016-03-10,21.059999,21.059999,21.059999,21.059999,000,20.813397
2016-03-09,21.09,21.09,21.09,21.09,000,20.843047
2016-03-08,20.969999,20.969999,20.969999,20.969999,000,20.724451
2016-03-07,21.200001,21.200001,21.200001,21.200001,000,20.951759
