Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,195.369995,195.369995,195.369995,195.369995,000,195.369995
2016-09-15,197.160004,197.160004,197.160004,197.160004,000,197.160004
2016-09-14,195.149994,195.149994,195.149994,195.149994,000,195.149994
2016-09-13,195.25,195.25,195.25,195.25,000,195.25
2016-09-12,198.130005,198.130005,198.130005,198.130005,000,198.130005
2016-09-09,195.25,195.25,195.25,195.25,000,195.25
2016-09-08,200.160004,200.160004,200.160004,200.160004,000,200.160004
2016-09-07,200.589996,200.589996,200.589996,200.589996,000,200.589996
2016-09-06,200.570007,200.570007,200.570007,200.570007,000,200.570007
2016-09-02,199.970001,199.970001,199.970001,199.970001,000,199.970001
2016-09-01,199.130005,199.130005,199.130005,199.130005,000,199.130005
2016-08-31,199.130005,199.130005,199.130005,199.130005,000,199.130005
2016-08-30,199.570007,199.570007,199.570007,199.570007,000,199.570007
2016-08-29,199.929993,199.929993,199.929993,199.929993,000,199.929993
2016-08-26,198.860001,198.860001,198.860001,198.860001,000,198.860001
2016-08-25,199.169998,199.169998,199.169998,199.169998,000,199.169998
2016-08-24,199.440002,199.440002,199.440002,199.440002,000,199.440002
2016-08-23,200.479996,200.479996,200.479996,200.479996,000,200.479996
2016-08-22,200.080002,200.080002,200.080002,200.080002,000,200.080002
2016-08-19,200.190002,200.190002,200.190002,200.190002,000,200.190002
2016-08-18,200.449997,200.449997,200.449997,200.449997,000,200.449997
2016-08-17,200.009995,200.009995,200.009995,200.009995,000,200.009995
2016-08-16,199.589996,199.589996,199.589996,199.589996,000,199.589996
2016-08-15,200.649994,200.649994,200.649994,200.649994,000,200.649994
2016-08-12,200.070007,200.070007,200.070007,200.070007,000,200.070007
2016-08-11,200.220001,200.220001,200.220001,200.220001,000,200.220001
2016-08-10,199.25,199.25,199.25,199.25,000,199.25
2016-08-09,199.75,199.75,199.75,199.75,000,199.75
2016-08-08,199.660004,199.660004,199.660004,199.660004,000,199.660004
2016-08-05,199.820007,199.820007,199.820007,199.820007,000,199.820007
2016-08-04,198.110001,198.110001,198.110001,198.110001,000,198.110001
2016-08-03,198.020004,198.020004,198.020004,198.020004,000,198.020004
2016-08-02,197.350006,197.350006,197.350006,197.350006,000,197.350006
2016-08-01,198.600006,198.600006,198.600006,198.600006,000,198.600006
2016-07-29,198.860001,198.860001,198.860001,198.860001,000,198.860001
2016-07-28,198.529999,198.529999,198.529999,198.529999,000,198.529999
2016-07-27,198.190002,198.190002,198.190002,198.190002,000,198.190002
2016-07-26,198.419998,198.419998,198.419998,198.419998,000,198.419998
2016-07-25,198.350006,198.350006,198.350006,198.350006,000,198.350006
2016-07-22,198.949997,198.949997,198.949997,198.949997,000,198.949997
2016-07-21,198.050003,198.050003,198.050003,198.050003,000,198.050003
2016-07-20,198.759995,198.759995,198.759995,198.759995,000,198.759995
2016-07-19,197.889999,197.889999,197.889999,197.889999,000,197.889999
2016-07-18,198.169998,198.169998,198.169998,198.169998,000,198.169998
2016-07-15,197.690002,197.690002,197.690002,197.690002,000,197.690002
2016-07-14,197.880005,197.880005,197.880005,197.880005,000,197.880005
2016-07-13,196.839996,196.839996,196.839996,196.839996,000,196.839996
2016-07-12,196.800003,196.800003,196.800003,196.800003,000,196.800003
2016-07-11,195.419998,195.419998,195.419998,195.419998,000,195.419998
