Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,10.90,10.90,10.90,10.90,000,10.90
2016-09-15,10.87,10.87,10.87,10.87,000,10.87
2016-09-14,10.87,10.87,10.87,10.87,000,10.87
2016-09-13,10.86,10.86,10.86,10.86,000,10.86
2016-09-12,10.91,10.91,10.91,10.91,000,10.91
2016-09-09,10.91,10.91,10.91,10.91,000,10.91
2016-09-08,10.99,10.99,10.99,10.99,000,10.99
2016-09-07,11.02,11.02,11.02,11.02,000,11.02
2016-09-06,11.01,11.01,11.01,11.01,000,11.01
2016-09-02,10.95,10.95,10.95,10.95,000,10.95
2016-09-01,10.96,10.96,10.96,10.96,000,10.96
2016-08-31,10.95,10.95,10.95,10.95,000,10.95
2016-08-30,10.95,10.95,10.95,10.95,000,10.95
2016-08-29,10.96,10.96,10.96,10.96,000,10.96
2016-08-26,10.92,10.92,10.92,10.92,000,10.92
2016-08-25,10.97,10.97,10.97,10.97,000,10.97
2016-08-24,10.98,10.98,10.98,10.98,000,10.98
2016-08-23,10.99,10.99,10.99,10.99,000,10.99
2016-08-22,10.98,10.98,10.98,10.98,000,10.98
2016-08-19,10.95,10.95,10.95,10.95,000,10.95
2016-08-18,10.98,10.98,10.98,10.98,000,10.98
2016-08-17,10.95,10.95,10.95,10.95,000,10.95
2016-08-16,10.92,10.92,10.92,10.92,000,10.92
2016-08-15,10.94,10.94,10.94,10.94,000,10.94
2016-08-12,10.97,10.97,10.97,10.97,000,10.97
2016-08-11,10.94,10.94,10.94,10.94,000,10.94
2016-08-10,10.96,10.96,10.96,10.96,000,10.96
2016-08-09,10.96,10.96,10.96,10.96,000,10.96
2016-08-08,10.93,10.93,10.93,10.93,000,10.93
2016-08-05,10.93,10.93,10.93,10.93,000,10.93
2016-08-04,10.96,10.96,10.96,10.96,000,10.96
2016-08-03,10.91,10.91,10.91,10.91,000,10.91
2016-08-02,10.89,10.89,10.89,10.89,000,10.89
2016-08-01,10.94,10.94,10.94,10.94,000,10.94
2016-07-29,11.00,11.00,11.00,11.00,000,11.00
2016-07-28,10.97,10.97,10.97,10.97,000,10.97
2016-07-27,10.95,10.95,10.95,10.95,000,10.95
2016-07-26,10.91,10.91,10.91,10.91,000,10.91
2016-07-25,10.90,10.90,10.90,10.90,000,10.90
2016-07-22,10.91,10.91,10.91,10.91,000,10.91
2016-07-21,10.93,10.93,10.93,10.93,000,10.93
2016-07-20,10.92,10.92,10.92,10.92,000,10.92
2016-07-19,10.94,10.94,10.94,10.94,000,10.94
2016-07-18,10.94,10.94,10.94,10.94,000,10.94
2016-07-15,10.94,10.94,10.94,10.94,000,10.94
2016-07-14,10.96,10.96,10.96,10.96,000,10.96
2016-07-13,11.00,11.00,11.00,11.00,000,11.00
2016-07-12,10.97,10.97,10.97,10.97,000,10.97
2016-07-11,11.01,11.01,11.01,11.01,000,11.01
2016-07-08,11.05,11.05,11.05,11.05,000,11.05
2016-07-07,11.04,11.04,11.04,11.04,000,11.04
2016-07-06,11.05,11.05,11.05,11.05,000,11.05
2016-07-05,11.03,11.03,11.03,11.03,000,11.03
2016-07-01,10.99,10.99,10.99,10.99,000,10.99
2016-06-30,10.93,10.93,10.93,10.93,000,10.93
2016-06-29,10.89,10.89,10.89,10.89,000,10.89
2016-06-28,10.91,10.91,10.91,10.91,000,10.91
2016-06-27,10.88,10.88,10.88,10.88,000,10.88
2016-06-24,10.84,10.84,10.84,10.84,000,10.84
2016-06-23,10.78,10.78,10.78,10.78,000,10.78
2016-06-22,10.77,10.77,10.77,10.77,000,10.77
2016-06-21,10.74,10.74,10.74,10.74,000,10.74
2016-06-20,10.77,10.77,10.77,10.77,000,10.77
2016-06-17,10.81,10.81,10.81,10.81,000,10.81
2016-06-16,10.83,10.83,10.83,10.83,000,10.83
2016-06-15,10.86,10.86,10.86,10.86,000,10.857999
2016-06-14,10.81,10.81,10.81,10.81,000,10.808009
2016-06-13,10.84,10.84,10.84,10.84,000,10.838004
2016-06-10,10.84,10.84,10.84,10.84,000,10.838004
2016-06-09,10.84,10.84,10.84,10.84,000,10.838004
2016-06-08,10.84,10.84,10.84,10.84,000,10.838004
2016-06-07,10.81,10.81,10.81,10.81,000,10.808009
2016-06-06,10.78,10.78,10.78,10.78,000,10.778014
2016-06-03,10.78,10.78,10.78,10.78,000,10.778014
2016-06-02,10.71,10.71,10.71,10.71,000,10.708027
2016-06-01,10.68,10.68,10.68,10.68,000,10.678033
2016-05-31,10.68,10.68,10.68,10.68,000,10.678033
2016-05-27,10.69,10.69,10.69,10.69,000,10.688031
2016-05-26,10.72,10.72,10.72,10.72,000,10.718026
2016-05-25,10.69,10.69,10.69,10.69,000,10.688031
2016-05-24,10.68,10.68,10.68,10.68,000,10.678033
2016-05-23,10.69,10.69,10.69,10.69,000,10.688031
2016-05-20,10.69,10.69,10.69,10.69,000,10.688031
2016-05-19,10.69,10.69,10.69,10.69,000,10.688031
2016-05-18,10.70,10.70,10.70,10.70,000,10.698029
2016-05-17,10.78,10.78,10.78,10.78,000,10.778014
2016-05-16,10.78,10.78,10.78,10.78,000,10.778014
2016-05-13,10.79,10.79,10.79,10.79,000,10.788013
2016-05-12,10.77,10.77,10.77,10.77,000,10.768017
2016-05-11,10.78,10.78,10.78,10.78,000,10.778014
2016-05-10,10.77,10.77,10.77,10.77,000,10.768017
2016-05-09,10.75,10.75,10.75,10.75,000,10.74802
2016-05-06,10.74,10.74,10.74,10.74,000,10.738022
2016-05-05,10.78,10.78,10.78,10.78,000,10.778014
2016-05-04,10.75,10.75,10.75,10.75,000,10.74802
2016-05-03,10.73,10.73,10.73,10.73,000,10.728023
2016-05-02,10.71,10.71,10.71,10.71,000,10.708027
2016-04-29,10.76,10.76,10.76,10.76,000,10.758018
2016-04-28,10.76,10.76,10.76,10.76,000,10.758018
2016-04-27,10.70,10.70,10.70,10.70,000,10.698029
2016-04-26,10.65,10.65,10.65,10.65,000,10.648038
2016-04-25,10.65,10.65,10.65,10.65,000,10.648038
2016-04-22,10.66,10.66,10.66,10.66,000,10.658037
2016-04-21,10.67,10.67,10.67,10.67,000,10.668035
2016-04-20,10.68,10.68,10.68,10.68,000,10.678033
2016-04-19,10.72,10.72,10.72,10.72,000,10.718026
2016-04-18,10.70,10.70,10.70,10.70,000,10.698029
2016-04-15,10.70,10.70,10.70,10.70,000,10.698029
2016-04-14,10.67,10.67,10.67,10.67,000,10.668035
2016-04-13,10.69,10.69,10.69,10.69,000,10.688031
2016-04-12,10.69,10.69,10.69,10.69,000,10.688031
2016-04-11,10.73,10.73,10.73,10.73,000,10.728023
2016-04-08,10.75,10.75,10.75,10.75,000,10.74802
2016-04-07,10.77,10.77,10.77,10.77,000,10.768017
2016-04-06,10.73,10.73,10.73,10.73,000,10.728023
2016-04-05,10.75,10.75,10.75,10.75,000,10.74802
2016-04-04,10.75,10.75,10.75,10.75,000,10.74802
2016-04-01,10.74,10.74,10.74,10.74,000,10.738022
2016-03-31,10.74,10.74,10.74,10.74,000,10.738022
2016-03-30,10.72,10.72,10.72,10.72,000,10.718026
2016-03-29,10.71,10.71,10.71,10.71,000,10.708027
2016-03-28,10.60,10.60,10.60,10.60,000,10.598048
2016-03-24,10.60,10.60,10.60,10.60,000,10.598048
2016-03-23,10.62,10.62,10.62,10.62,000,10.618044
2016-03-22,10.60,10.60,10.60,10.60,000,10.598048
2016-03-21,10.63,10.63,10.63,10.63,000,10.628042
2016-03-18,10.63,10.63,10.63,10.63,000,10.628042
2016-03-17,10.58,10.58,10.58,10.58,000,10.578051
2016-03-16,10.56,10.56,10.56,10.56,000,10.558055
2016-03-15,10.45,10.45,10.45,10.45,000,10.448075
2016-03-14,10.47,10.47,10.47,10.47,000,10.468072
2016-03-11,10.48,10.48,10.48,10.48,000,10.478069
2016-03-10,10.48,10.48,10.48,10.48,000,10.478069
2016-03-09,10.52,10.52,10.52,10.52,000,10.518063
2016-03-08,10.53,10.53,10.53,10.53,000,10.52806
2016-03-07,10.50,10.50,10.50,10.50,000,10.498066
2016-03-04,10.53,10.53,10.53,10.53,000,10.52806
2016-03-03,10.56,10.56,10.56,10.56,000,10.558055
2016-03-02,10.54,10.54,10.54,10.54,000,10.538059
2016-03-01,10.52,10.52,10.52,10.52,000,10.518063
2016-02-29,10.54,10.54,10.54,10.54,000,10.538059
2016-02-26,10.51,10.51,10.51,10.51,000,10.508065
2016-02-25,10.54,10.54,10.54,10.54,000,10.538059
2016-02-24,10.49,10.49,10.49,10.49,000,10.488068
2016-02-23,10.47,10.47,10.47,10.47,000,10.468072
2016-02-22,10.44,10.44,10.44,10.44,000,10.438077
2016-02-19,10.42,10.42,10.42,10.42,000,10.418081
2016-02-18,10.41,10.41,10.41,10.41,000,10.408083
2016-02-17,10.39,10.39,10.39,10.39,000,10.388087
2016-02-16,10.40,10.40,10.40,10.40,000,10.398084
2016-02-12,10.44,10.44,10.44,10.44,000,10.438077
2016-02-11,10.47,10.47,10.47,10.47,000,10.468072
2016-02-10,10.45,10.45,10.45,10.45,000,10.448075
2016-02-09,10.41,10.41,10.41,10.41,000,10.408083
2016-02-08,10.42,10.42,10.42,10.42,000,10.418081
2016-02-05,10.43,10.43,10.43,10.43,000,10.428079
2016-02-04,10.45,10.45,10.45,10.45,000,10.448075
2016-02-03,10.44,10.44,10.44,10.44,000,10.438077
2016-02-02,10.44,10.44,10.44,10.44,000,10.438077
2016-02-01,10.40,10.40,10.40,10.40,000,10.398084
2016-01-29,10.43,10.43,10.43,10.43,000,10.428079
2016-01-28,10.38,10.38,10.38,10.38,000,10.378088
2016-01-27,10.36,10.36,10.36,10.36,000,10.358092
2016-01-26,10.33,10.33,10.33,10.33,000,10.328097
2016-01-25,10.31,10.31,10.31,10.31,000,10.308102
2016-01-22,10.29,10.29,10.29,10.29,000,10.288105
2016-01-21,10.28,10.28,10.28,10.28,000,10.278106
2016-01-20,10.31,10.31,10.31,10.31,000,10.308102
2016-01-19,10.31,10.31,10.31,10.31,000,10.308102
2016-01-15,10.31,10.31,10.31,10.31,000,10.308102
2016-01-14,10.32,10.32,10.32,10.32,000,10.318099
2016-01-13,10.32,10.32,10.32,10.32,000,10.318099
2016-01-12,10.30,10.30,10.30,10.30,000,10.298103
2016-01-11,10.27,10.27,10.27,10.27,000,10.268109
2016-01-08,10.33,10.33,10.33,10.33,000,10.328097
2016-01-07,10.32,10.32,10.32,10.32,000,10.318099
2016-01-06,10.33,10.33,10.33,10.33,000,10.328097
2016-01-05,10.30,10.30,10.30,10.30,000,10.298103
2016-01-04,10.30,10.30,10.30,10.30,000,10.298103
2015-12-31,10.27,10.27,10.27,10.27,000,10.268109
2015-12-30,10.24,10.24,10.24,10.24,000,10.238114
2015-12-29,10.23,10.23,10.23,10.23,000,10.228115
2015-12-28,10.28,10.28,10.28,10.28,000,10.278106
2015-12-24,10.27,10.27,10.27,10.27,000,10.268109
2015-12-23,10.35,10.35,10.35,10.35,000,10.257111
2015-12-22,10.33,10.33,10.33,10.33,000,10.23729
2015-12-21,10.35,10.35,10.35,10.35,000,10.257111
2015-12-18,10.37,10.37,10.37,10.37,000,10.276931
2015-12-17,10.34,10.34,10.34,10.34,000,10.247201
2015-12-16,10.30,10.30,10.30,10.30,000,10.20756
2015-12-15,10.33,10.33,10.33,10.33,000,10.23729
2015-12-14,10.34,10.34,10.34,10.34,000,10.247201
2015-12-11,10.41,10.41,10.41,10.41,000,10.316572
2015-12-10,10.38,10.38,10.38,10.38,000,10.286842
2015-12-09,10.40,10.40,10.40,10.40,000,10.306662
2015-12-08,10.42,10.42,10.42,10.42,000,10.326483
2015-12-07,10.42,10.42,10.42,10.42,000,10.326483
2015-12-04,10.42,10.42,10.42,10.42,000,10.326483
