Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,13.58,13.58,13.58,13.58,000,13.58
2016-09-12,13.64,13.64,13.64,13.64,000,13.64
2016-09-09,13.63,13.63,13.63,13.63,000,13.63
2016-09-08,13.73,13.73,13.73,13.73,000,13.73
2016-09-07,13.77,13.77,13.77,13.77,000,13.77
2016-09-06,13.75,13.75,13.75,13.75,000,13.75
2016-09-02,13.68,13.68,13.68,13.68,000,13.68
2016-09-01,13.70,13.70,13.70,13.70,000,13.70
2016-08-31,13.69,13.69,13.69,13.69,000,13.69
2016-08-30,13.69,13.69,13.69,13.69,000,13.69
2016-08-29,13.70,13.70,13.70,13.70,000,13.70
2016-08-26,13.65,13.65,13.65,13.65,000,13.65
2016-08-25,13.71,13.71,13.71,13.71,000,13.71
2016-08-24,13.72,13.72,13.72,13.72,000,13.72
2016-08-23,13.73,13.73,13.73,13.73,000,13.73
2016-08-22,13.72,13.72,13.72,13.72,000,13.72
2016-08-19,13.69,13.69,13.69,13.69,000,13.69
2016-08-18,13.72,13.72,13.72,13.72,000,13.72
2016-08-17,13.69,13.69,13.69,13.69,000,13.69
2016-08-16,13.64,13.64,13.64,13.64,000,13.64
2016-08-15,13.67,13.67,13.67,13.67,000,13.67
2016-08-12,13.70,13.70,13.70,13.70,000,13.70
2016-08-11,13.67,13.67,13.67,13.67,000,13.67
2016-08-10,13.70,13.70,13.70,13.70,000,13.70
2016-08-09,13.70,13.70,13.70,13.70,000,13.70
2016-08-08,13.67,13.67,13.67,13.67,000,13.67
2016-08-05,13.66,13.66,13.66,13.66,000,13.66
2016-08-04,13.70,13.70,13.70,13.70,000,13.70
2016-08-03,13.64,13.64,13.64,13.64,000,13.64
2016-08-02,13.61,13.61,13.61,13.61,000,13.61
2016-08-01,13.67,13.67,13.67,13.67,000,13.67
2016-07-29,13.75,13.75,13.75,13.75,000,13.75
2016-07-28,13.72,13.72,13.72,13.72,000,13.72
2016-07-27,13.69,13.69,13.69,13.69,000,13.69
2016-07-26,13.63,13.63,13.63,13.63,000,13.63
2016-07-25,13.62,13.62,13.62,13.62,000,13.62
2016-07-22,13.64,13.64,13.64,13.64,000,13.64
2016-07-21,13.66,13.66,13.66,13.66,000,13.66
2016-07-20,13.65,13.65,13.65,13.65,000,13.65
2016-07-19,13.68,13.68,13.68,13.68,000,13.68
2016-07-18,13.67,13.67,13.67,13.67,000,13.67
2016-07-15,13.68,13.68,13.68,13.68,000,13.68
2016-07-14,13.70,13.70,13.70,13.70,000,13.70
2016-07-13,13.74,13.74,13.74,13.74,000,13.74
2016-07-12,13.71,13.71,13.71,13.71,000,13.71
2016-07-11,13.76,13.76,13.76,13.76,000,13.76
2016-07-08,13.81,13.81,13.81,13.81,000,13.81
2016-07-07,13.80,13.80,13.80,13.80,000,13.80
2016-07-06,13.82,13.82,13.82,13.82,000,13.82
2016-07-05,13.78,13.78,13.78,13.78,000,13.78
2016-07-01,13.73,13.73,13.73,13.73,000,13.73
2016-06-30,13.66,13.66,13.66,13.66,000,13.66
2016-06-29,13.62,13.62,13.62,13.62,000,13.62
2016-06-28,13.63,13.63,13.63,13.63,000,13.63
2016-06-27,13.60,13.60,13.60,13.60,000,13.60
2016-06-24,13.55,13.55,13.55,13.55,000,13.55
2016-06-23,13.47,13.47,13.47,13.47,000,13.47
2016-06-22,13.47,13.47,13.47,13.47,000,13.47
2016-06-21,13.43,13.43,13.43,13.43,000,13.43
2016-06-20,13.46,13.46,13.46,13.46,000,13.46
2016-06-17,13.51,13.51,13.51,13.51,000,13.51
2016-06-16,13.54,13.54,13.54,13.54,000,13.54
2016-06-15,13.57,13.57,13.57,13.57,000,13.567999
2016-06-14,13.51,13.51,13.51,13.51,000,13.508009
2016-06-13,13.55,13.55,13.55,13.55,000,13.548003
2016-06-10,13.56,13.56,13.56,13.56,000,13.558002
2016-06-09,13.56,13.56,13.56,13.56,000,13.558002
2016-06-08,13.55,13.55,13.55,13.55,000,13.548003
2016-06-07,13.52,13.52,13.52,13.52,000,13.518008
2016-06-06,13.48,13.48,13.48,13.48,000,13.478013
2016-06-03,13.48,13.48,13.48,13.48,000,13.478013
2016-06-02,13.40,13.40,13.40,13.40,000,13.398024
2016-06-01,13.36,13.36,13.36,13.36,000,13.35803
2016-05-31,13.36,13.36,13.36,13.36,000,13.35803
2016-05-27,13.37,13.37,13.37,13.37,000,13.368029
2016-05-26,13.40,13.40,13.40,13.40,000,13.398024
2016-05-25,13.36,13.36,13.36,13.36,000,13.35803
2016-05-24,13.35,13.35,13.35,13.35,000,13.348033
