Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,20.57,20.57,20.57,20.57,000,20.57
2016-09-15,20.60,20.60,20.60,20.60,000,20.60
2016-09-14,20.540001,20.540001,20.540001,20.540001,000,20.540001
2016-09-13,20.530001,20.530001,20.530001,20.530001,000,20.530001
2016-09-12,20.67,20.67,20.67,20.67,000,20.67
2016-09-09,20.60,20.60,20.60,20.60,000,20.60
2016-09-08,20.809999,20.809999,20.809999,20.809999,000,20.809999
2016-09-07,20.870001,20.870001,20.870001,20.870001,000,20.870001
2016-09-06,20.85,20.85,20.85,20.85,000,20.85
2016-09-02,20.76,20.76,20.76,20.76,000,20.76
2016-09-01,20.73,20.73,20.73,20.73,000,20.73
2016-08-31,20.719999,20.719999,20.719999,20.719999,000,20.719999
2016-08-30,20.74,20.74,20.74,20.74,000,20.74
2016-08-29,20.76,20.76,20.76,20.76,000,20.76
2016-08-26,20.700001,20.700001,20.700001,20.700001,000,20.700001
2016-08-25,20.75,20.75,20.75,20.75,000,20.75
2016-08-24,20.77,20.77,20.77,20.77,000,20.77
2016-08-23,20.799999,20.799999,20.799999,20.799999,000,20.799999
2016-08-22,20.790001,20.790001,20.790001,20.790001,000,20.790001
2016-08-19,20.76,20.76,20.76,20.76,000,20.76
2016-08-18,20.809999,20.809999,20.809999,20.809999,000,20.809999
2016-08-17,20.76,20.76,20.76,20.76,000,20.76
2016-08-16,20.75,20.75,20.75,20.75,000,20.75
2016-08-15,20.790001,20.790001,20.790001,20.790001,000,20.790001
2016-08-12,20.780001,20.780001,20.780001,20.780001,000,20.780001
2016-08-11,20.76,20.76,20.76,20.76,000,20.76
2016-08-10,20.75,20.75,20.75,20.75,000,20.75
2016-08-09,20.73,20.73,20.73,20.73,000,20.73
2016-08-08,20.68,20.68,20.68,20.68,000,20.68
2016-08-05,20.67,20.67,20.67,20.67,000,20.67
2016-08-04,20.66,20.66,20.66,20.66,000,20.66
2016-08-03,20.60,20.60,20.60,20.60,000,20.60
2016-08-02,20.60,20.60,20.60,20.60,000,20.60
2016-08-01,20.67,20.67,20.67,20.67,000,20.67
2016-07-29,20.709999,20.709999,20.709999,20.709999,000,20.709999
2016-07-28,20.65,20.65,20.65,20.65,000,20.65
2016-07-27,20.639999,20.639999,20.639999,20.639999,000,20.639999
2016-07-26,20.610001,20.610001,20.610001,20.610001,000,20.610001
2016-07-25,20.59,20.59,20.59,20.59,000,20.59
2016-07-22,20.610001,20.610001,20.610001,20.610001,000,20.610001
2016-07-21,20.60,20.60,20.60,20.60,000,20.60
2016-07-20,20.60,20.60,20.60,20.60,000,20.60
2016-07-19,20.58,20.58,20.58,20.58,000,20.58
2016-07-18,20.59,20.59,20.59,20.59,000,20.59
2016-07-15,20.57,20.57,20.57,20.57,000,20.57
2016-07-14,20.610001,20.610001,20.610001,20.610001,000,20.610001
