Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,19.889999,19.889999,19.889999,19.889999,000,19.889999
2016-09-15,19.99,19.99,19.99,19.99,000,19.99
2016-09-14,19.84,19.84,19.84,19.84,000,19.84
2016-09-13,19.84,19.84,19.84,19.84,000,19.84
2016-09-12,20.129999,20.129999,20.129999,20.129999,000,20.129999
2016-09-09,19.969999,19.969999,19.969999,19.969999,000,19.969999
2016-09-08,20.360001,20.360001,20.360001,20.360001,000,20.360001
2016-09-07,20.42,20.42,20.42,20.42,000,20.42
2016-09-06,20.389999,20.389999,20.389999,20.389999,000,20.389999
2016-09-02,20.27,20.27,20.27,20.27,000,20.27
2016-09-01,20.16,20.16,20.16,20.16,000,20.16
2016-08-31,20.129999,20.129999,20.129999,20.129999,000,20.129999
2016-08-30,20.17,20.17,20.17,20.17,000,20.17
2016-08-29,20.200001,20.200001,20.200001,20.200001,000,20.200001
2016-08-26,20.120001,20.120001,20.120001,20.120001,000,20.120001
2016-08-25,20.18,20.18,20.18,20.18,000,20.18
2016-08-24,20.200001,20.200001,20.200001,20.200001,000,20.200001
2016-08-23,20.280001,20.280001,20.280001,20.280001,000,20.280001
2016-08-22,20.24,20.24,20.24,20.24,000,20.24
2016-08-19,20.24,20.24,20.24,20.24,000,20.24
2016-08-18,20.299999,20.299999,20.299999,20.299999,000,20.299999
2016-08-17,20.23,20.23,20.23,20.23,000,20.23
2016-08-16,20.219999,20.219999,20.219999,20.219999,000,20.219999
2016-08-15,20.290001,20.290001,20.290001,20.290001,000,20.290001
2016-08-12,20.23,20.23,20.23,20.23,000,20.23
2016-08-11,20.24,20.24,20.24,20.24,000,20.24
2016-08-10,20.16,20.16,20.16,20.16,000,20.16
2016-08-09,20.16,20.16,20.16,20.16,000,20.16
2016-08-08,20.09,20.09,20.09,20.09,000,20.09
2016-08-05,20.08,20.08,20.08,20.08,000,20.08
2016-08-04,19.959999,19.959999,19.959999,19.959999,000,19.959999
2016-08-03,19.91,19.91,19.91,19.91,000,19.91
2016-08-02,19.91,19.91,19.91,19.91,000,19.91
2016-08-01,20.01,20.01,20.01,20.01,000,20.01
2016-07-29,20.059999,20.059999,20.059999,20.059999,000,20.059999
2016-07-28,19.969999,19.969999,19.969999,19.969999,000,19.969999
2016-07-27,19.950001,19.950001,19.950001,19.950001,000,19.950001
2016-07-26,19.93,19.93,19.93,19.93,000,19.93
2016-07-25,19.889999,19.889999,19.889999,19.889999,000,19.889999
2016-07-22,19.93,19.93,19.93,19.93,000,19.93
2016-07-21,19.879999,19.879999,19.879999,19.879999,000,19.879999
2016-07-20,19.93,19.93,19.93,19.93,000,19.93
2016-07-19,19.84,19.84,19.84,19.84,000,19.84
2016-07-18,19.889999,19.889999,19.889999,19.889999,000,19.889999
2016-07-15,19.85,19.85,19.85,19.85,000,19.85
2016-07-14,19.889999,19.889999,19.889999,19.889999,000,19.889999
2016-07-13,19.799999,19.799999,19.799999,19.799999,000,19.799999
2016-07-12,19.790001,19.790001,19.790001,19.790001,000,19.790001
2016-07-11,19.65,19.65,19.65,19.65,000,19.65
2016-07-08,19.530001,19.530001,19.530001,19.530001,000,19.530001
2016-07-07,19.299999,19.299999,19.299999,19.299999,000,19.299999
2016-07-06,19.309999,19.309999,19.309999,19.309999,000,19.309999
2016-07-05,19.27,19.27,19.27,19.27,000,19.27
2016-07-01,19.440001,19.440001,19.440001,19.440001,000,19.440001
2016-06-30,19.379999,19.379999,19.379999,19.379999,000,19.379999
2016-06-29,19.17,19.17,19.17,19.17,000,19.17
2016-06-28,18.90,18.90,18.90,18.90,000,18.90
2016-06-27,18.58,18.58,18.58,18.58,000,18.58
2016-06-24,18.879999,18.879999,18.879999,18.879999,000,18.879999
2016-06-23,19.66,19.66,19.66,19.66,000,19.66
2016-06-22,19.40,19.40,19.40,19.40,000,19.40
2016-06-21,19.40,19.40,19.40,19.40,000,19.40
2016-06-20,19.35,19.35,19.35,19.35,000,19.35
2016-06-17,19.15,19.15,19.15,19.15,000,19.15
2016-06-16,19.139999,19.139999,19.139999,19.139999,000,19.139999
2016-06-15,19.120001,19.120001,19.120001,19.120001,000,19.120001
2016-06-14,19.09,19.09,19.09,19.09,000,19.09
2016-06-13,19.190001,19.190001,19.190001,19.190001,000,19.190001
2016-06-10,19.35,19.35,19.35,19.35,000,19.35
2016-06-09,19.60,19.60,19.60,19.60,000,19.60
2016-06-08,19.690001,19.690001,19.690001,19.690001,000,19.690001
2016-06-07,19.629999,19.629999,19.629999,19.629999,000,19.629999
2016-06-06,19.549999,19.549999,19.549999,19.549999,000,19.549999
2016-06-03,19.450001,19.450001,19.450001,19.450001,000,19.450001
2016-06-02,19.41,19.41,19.41,19.41,000,19.41
2016-06-01,19.370001,19.370001,19.370001,19.370001,000,19.370001
2016-05-31,19.35,19.35,19.35,19.35,000,19.35
2016-05-27,19.360001,19.360001,19.360001,19.360001,000,19.360001
2016-05-26,19.32,19.32,19.32,19.32,000,19.32
2016-05-25,19.299999,19.299999,19.299999,19.299999,000,19.299999
2016-05-24,19.17,19.17,19.17,19.17,000,19.17
2016-05-23,18.98,18.98,18.98,18.98,000,18.98
2016-05-20,19.01,19.01,19.01,19.01,000,19.01
2016-05-18,18.969999,18.969999,18.969999,18.969999,000,18.969999
2016-05-17,19.00,19.00,19.00,19.00,000,19.00
2016-05-16,19.110001,19.110001,19.110001,19.110001,000,19.110001
2016-05-13,18.969999,18.969999,18.969999,18.969999,000,18.969999
2016-05-12,19.10,19.10,19.10,19.10,000,19.10
2016-05-11,19.110001,19.110001,19.110001,19.110001,000,19.110001
2016-05-10,19.23,19.23,19.23,19.23,000,19.23
2016-05-09,19.040001,19.040001,19.040001,19.040001,000,19.040001
2016-05-06,19.049999,19.049999,19.049999,19.049999,000,19.049999
