Date,Open,High,Low,Close,Volume,Adj Close
2016-09-01,25.809999,25.809999,25.809999,25.809999,000,25.809999
2016-08-31,25.790001,25.790001,25.790001,25.790001,000,25.790001
2016-08-30,25.889999,25.889999,25.889999,25.889999,000,25.889999
2016-08-29,25.950001,25.950001,25.950001,25.950001,000,25.950001
2016-08-26,25.709999,25.709999,25.709999,25.709999,000,25.709999
2016-08-25,25.790001,25.790001,25.790001,25.790001,000,25.790001
2016-08-24,25.85,25.85,25.85,25.85,000,25.85
2016-08-23,25.860001,25.860001,25.860001,25.860001,000,25.860001
2016-08-22,25.84,25.84,25.84,25.84,000,25.84
2016-08-19,25.67,25.67,25.67,25.67,000,25.67
2016-08-18,25.73,25.73,25.73,25.73,000,25.73
2016-08-17,25.700001,25.700001,25.700001,25.700001,000,25.700001
2016-08-16,25.58,25.58,25.58,25.58,000,25.58
2016-08-15,25.59,25.59,25.59,25.59,000,25.59
2016-08-12,25.719999,25.719999,25.719999,25.719999,000,25.719999
2016-08-11,25.559999,25.559999,25.559999,25.559999,000,25.559999
2016-08-10,25.690001,25.690001,25.690001,25.690001,000,25.690001
2016-08-09,25.60,25.60,25.60,25.60,000,25.60
2016-08-08,25.389999,25.389999,25.389999,25.389999,000,25.389999
2016-08-05,25.299999,25.299999,25.299999,25.299999,000,25.299999
2016-08-04,25.459999,25.459999,25.459999,25.459999,000,25.459999
2016-08-03,25.309999,25.309999,25.309999,25.309999,000,25.309999
2016-08-02,25.309999,25.309999,25.309999,25.309999,000,25.309999
2016-08-01,25.549999,25.549999,25.549999,25.549999,000,25.549999
2016-07-29,25.76,25.76,25.76,25.76,000,25.76
2016-07-28,25.73,25.73,25.73,25.73,000,25.644
2016-07-27,25.790001,25.790001,25.790001,25.790001,000,25.703801
2016-07-26,25.59,25.59,25.59,25.59,000,25.504468
2016-07-25,25.60,25.60,25.60,25.60,000,25.514435
2016-07-22,25.620001,25.620001,25.620001,25.620001,000,25.534369
2016-07-21,25.59,25.59,25.59,25.59,000,25.504468
2016-07-20,25.540001,25.540001,25.540001,25.540001,000,25.454636
2016-07-19,25.629999,25.629999,25.629999,25.629999,000,25.544334
2016-07-18,25.50,25.50,25.50,25.50,000,25.414769
2016-07-15,25.51,25.51,25.51,25.51,000,25.424736
2016-07-14,25.65,25.65,25.65,25.65,000,25.564267
2016-07-13,25.879999,25.879999,25.879999,25.879999,000,25.793498
2016-07-12,25.67,25.67,25.67,25.67,000,25.584201
2016-07-11,25.870001,25.870001,25.870001,25.870001,000,25.783533
2016-07-08,25.93,25.93,25.93,25.93,000,25.843332
2016-07-07,25.74,25.74,25.74,25.74,000,25.653967
2016-07-06,25.700001,25.700001,25.700001,25.700001,000,25.614101
2016-07-05,25.620001,25.620001,25.620001,25.620001,000,25.534369
2016-07-01,25.34,25.34,25.34,25.34,000,25.255304
2016-06-30,25.08,25.08,25.08,25.08,000,24.996173
2016-06-29,25.08,25.08,25.08,25.08,000,24.909464
2016-06-28,25.16,25.16,25.16,25.16,000,24.988919
2016-06-27,25.110001,25.110001,25.110001,25.110001,000,24.93926
2016-06-24,24.73,24.73,24.73,24.73,000,24.561843
2016-06-23,24.52,24.52,24.52,24.52,000,24.353272
2016-06-22,24.629999,24.629999,24.629999,24.629999,000,24.462523
2016-06-21,24.57,24.57,24.57,24.57,000,24.402931
2016-06-20,24.60,24.60,24.60,24.60,000,24.432728
2016-06-17,24.73,24.73,24.73,24.73,000,24.561843
2016-06-16,24.809999,24.809999,24.809999,24.809999,000,24.641299
2016-06-15,24.780001,24.780001,24.780001,24.780001,000,24.611504
2016-06-14,24.74,24.74,24.74,24.74,000,24.571775
2016-06-13,24.83,24.83,24.83,24.83,000,24.661163
2016-06-10,24.77,24.77,24.77,24.77,000,24.601572
2016-06-09,24.74,24.74,24.74,24.74,000,24.571775
2016-06-08,24.629999,24.629999,24.629999,24.629999,000,24.462523
2016-06-07,24.51,24.51,24.51,24.51,000,24.34334
2016-06-06,24.43,24.43,24.43,24.43,000,24.263884
2016-06-03,24.549999,24.549999,24.549999,24.549999,000,24.383067
2016-06-02,24.309999,24.309999,24.309999,24.309999,000,24.144699
2016-06-01,24.190001,24.190001,24.190001,24.190001,000,24.025516
2016-05-31,24.16,24.16,24.16,24.16,000,23.995719
2016-05-27,24.18,24.18,24.18,24.18,000,23.929175
2016-05-26,24.190001,24.190001,24.190001,24.190001,000,23.939072
2016-05-25,24.059999,24.059999,24.059999,24.059999,000,23.810419
2016-05-24,24.09,24.09,24.09,24.09,000,23.840109
2016-05-23,24.16,24.16,24.16,24.16,000,23.909382
2016-05-20,24.129999,24.129999,24.129999,24.129999,000,23.879693
2016-05-18,24.110001,24.110001,24.110001,24.110001,000,23.859902
2016-05-17,24.33,24.33,24.33,24.33,000,24.077619
2016-05-16,24.35,24.35,24.35,24.35,000,24.097412
2016-05-13,24.50,24.50,24.50,24.50,000,24.245856
2016-05-12,24.34,24.34,24.34,24.34,000,24.087516
2016-05-11,24.43,24.43,24.43,24.43,000,24.176582
2016-05-10,24.34,24.34,24.34,24.34,000,24.087516
2016-05-09,24.32,24.32,24.32,24.32,000,24.067723
2016-05-06,24.309999,24.309999,24.309999,24.309999,000,24.057826
2016-05-05,24.450001,24.450001,24.450001,24.450001,000,24.196375
2016-05-04,24.360001,24.360001,24.360001,24.360001,000,24.107309
2016-05-03,24.309999,24.309999,24.309999,24.309999,000,24.057826
2016-05-02,24.129999,24.129999,24.129999,24.129999,000,23.879693
2016-04-29,24.299999,24.299999,24.299999,24.299999,000,24.04793
2016-04-28,24.32,24.32,24.32,24.32,000,23.982615
2016-04-27,24.219999,24.219999,24.219999,24.219999,000,23.884001
2016-04-26,24.049999,24.049999,24.049999,24.049999,000,23.71636
2016-04-25,24.08,24.08,24.08,24.08,000,23.745944
2016-04-22,24.09,24.09,24.09,24.09,000,23.755806
2016-04-21,24.10,24.10,24.10,24.10,000,23.765667
2016-04-20,24.09,24.09,24.09,24.09,000,23.755806
2016-04-19,24.200001,24.200001,24.200001,24.200001,000,23.86428
2016-04-18,24.17,24.17,24.17,24.17,000,23.834696
2016-04-15,24.190001,24.190001,24.190001,24.190001,000,23.854419
2016-04-14,24.01,24.01,24.01,24.01,000,23.676916
2016-04-13,24.040001,24.040001,24.040001,24.040001,000,23.7065
2016-04-12,23.93,23.93,23.93,23.93,000,23.598026
2016-04-11,24.030001,24.030001,24.030001,24.030001,000,23.696639
2016-04-08,24.030001,24.030001,24.030001,24.030001,000,23.696639
2016-04-07,24.129999,24.129999,24.129999,24.129999,000,23.79525
2016-04-06,23.950001,23.950001,23.950001,23.950001,000,23.617749
2016-04-05,24.030001,24.030001,24.030001,24.030001,000,23.696639
2016-04-04,23.85,23.85,23.85,23.85,000,23.519135
2016-04-01,23.84,23.84,23.84,23.84,000,23.509274
2016-03-31,23.76,23.76,23.76,23.76,000,23.430384
2016-03-30,23.719999,23.719999,23.719999,23.719999,000,23.309089
2016-03-29,23.85,23.85,23.85,23.85,000,23.436838
2016-03-28,23.66,23.66,23.66,23.66,000,23.250129
2016-03-24,23.639999,23.639999,23.639999,23.639999,000,23.230475
2016-03-23,23.65,23.65,23.65,23.65,000,23.240302
2016-03-22,23.42,23.42,23.42,23.42,000,23.014287
2016-03-21,23.370001,23.370001,23.370001,23.370001,000,22.965154
2016-03-18,23.440001,23.440001,23.440001,23.440001,000,23.033941
2016-03-17,23.33,23.33,23.33,23.33,000,22.925846
2016-03-16,23.23,23.23,23.23,23.23,000,22.827578
2016-03-15,23.16,23.16,23.16,23.16,000,22.75879
2016-03-14,23.07,23.07,23.07,23.07,000,22.670349
2016-03-11,22.889999,22.889999,22.889999,22.889999,000,22.493467
2016-03-10,22.93,22.93,22.93,22.93,000,22.532775
2016-03-09,22.91,22.91,22.91,22.91,000,22.513121
2016-03-08,22.969999,22.969999,22.969999,22.969999,000,22.572081
2016-03-07,22.73,22.73,22.73,22.73,000,22.336239
2016-03-04,22.65,22.65,22.65,22.65,000,22.257625
2016-03-03,22.690001,22.690001,22.690001,22.690001,000,22.296933
2016-03-02,22.58,22.58,22.58,22.58,000,22.188838
2016-03-01,22.469999,22.469999,22.469999,22.469999,000,22.080743
2016-02-29,22.639999,22.639999,22.639999,22.639999,000,22.247798
2016-02-26,22.629999,22.629999,22.629999,22.629999,000,22.147564
2016-02-25,22.709999,22.709999,22.709999,22.709999,000,22.225859
2016-02-24,22.629999,22.629999,22.629999,22.629999,000,22.147564
2016-02-23,22.629999,22.629999,22.629999,22.629999,000,22.147564
2016-02-22,22.559999,22.559999,22.559999,22.559999,000,22.079057
2016-02-19,22.52,22.52,22.52,22.52,000,22.039911
2016-02-18,22.50,22.50,22.50,22.50,000,22.020337
2016-02-17,22.27,22.27,22.27,22.27,000,21.79524
2016-02-16,22.34,22.34,22.34,22.34,000,21.863748
2016-02-12,22.459999,22.459999,22.459999,22.459999,000,21.981188
2016-02-11,22.73,22.73,22.73,22.73,000,22.245433
2016-02-10,22.780001,22.780001,22.780001,22.780001,000,22.294368
2016-02-09,22.67,22.67,22.67,22.67,000,22.186712
2016-02-08,22.719999,22.719999,22.719999,22.719999,000,22.235646
2016-02-05,22.469999,22.469999,22.469999,22.469999,000,21.990975
2016-02-04,22.459999,22.459999,22.459999,22.459999,000,21.981188
2016-02-03,22.40,22.40,22.40,22.40,000,21.922468
2016-02-02,22.57,22.57,22.57,22.57,000,22.088844
2016-02-01,22.35,22.35,22.35,22.35,000,21.873535
2016-01-29,22.440001,22.440001,22.440001,22.440001,000,21.961616
2016-01-28,22.43,22.43,22.43,22.43,000,21.875493
