Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,11.14,11.14,11.14,11.14,000,11.14
2016-09-12,11.17,11.17,11.17,11.17,000,11.17
2016-09-09,11.18,11.18,11.18,11.18,000,11.18
2016-09-08,11.21,11.21,11.21,11.21,000,11.21
2016-09-07,11.22,11.22,11.22,11.22,000,11.22
2016-09-06,11.22,11.22,11.22,11.22,000,11.22
2016-09-02,11.22,11.22,11.22,11.22,000,11.22
2016-09-01,11.23,11.23,11.23,11.23,000,11.23
2016-08-31,11.23,11.23,11.23,11.23,000,11.23
2016-08-30,11.23,11.23,11.23,11.23,000,11.203
2016-08-29,11.23,11.23,11.23,11.23,000,11.203
2016-08-26,11.24,11.24,11.24,11.24,000,11.212976
2016-08-25,11.24,11.24,11.24,11.24,000,11.212976
2016-08-24,11.24,11.24,11.24,11.24,000,11.212976
2016-08-23,11.24,11.24,11.24,11.24,000,11.212976
2016-08-22,11.24,11.24,11.24,11.24,000,11.212976
2016-08-19,11.24,11.24,11.24,11.24,000,11.212976
2016-08-18,11.24,11.24,11.24,11.24,000,11.212976
2016-08-17,11.23,11.23,11.23,11.23,000,11.203
2016-08-16,11.23,11.23,11.23,11.23,000,11.203
2016-08-15,11.23,11.23,11.23,11.23,000,11.203
2016-08-12,11.23,11.23,11.23,11.23,000,11.203
2016-08-11,11.22,11.22,11.22,11.22,000,11.193024
2016-08-10,11.22,11.22,11.22,11.22,000,11.193024
2016-08-09,11.21,11.21,11.21,11.21,000,11.183048
2016-08-08,11.20,11.20,11.20,11.20,000,11.173072
2016-08-05,11.20,11.20,11.20,11.20,000,11.173072
2016-08-04,11.22,11.22,11.22,11.22,000,11.193024
2016-08-03,11.21,11.21,11.21,11.21,000,11.183048
2016-08-02,11.21,11.21,11.21,11.21,000,11.183048
2016-08-01,11.23,11.23,11.23,11.23,000,11.203
2016-07-29,11.23,11.23,11.23,11.23,000,11.203
2016-07-28,11.23,11.23,11.23,11.23,000,11.176065
2016-07-27,11.22,11.22,11.22,11.22,000,11.166113
2016-07-26,11.21,11.21,11.21,11.21,000,11.156161
2016-07-25,11.21,11.21,11.21,11.21,000,11.156161
2016-07-22,11.21,11.21,11.21,11.21,000,11.156161
2016-07-21,11.21,11.21,11.21,11.21,000,11.156161
2016-07-20,11.22,11.22,11.22,11.22,000,11.166113
2016-07-19,11.22,11.22,11.22,11.22,000,11.166113
2016-07-18,11.22,11.22,11.22,11.22,000,11.166113
2016-07-15,11.23,11.23,11.23,11.23,000,11.176065
2016-07-14,11.25,11.25,11.25,11.25,000,11.195969
2016-07-13,11.27,11.27,11.27,11.27,000,11.215873
2016-07-12,11.27,11.27,11.27,11.27,000,11.215873
2016-07-11,11.30,11.30,11.30,11.30,000,11.245729
2016-07-08,11.30,11.30,11.30,11.30,000,11.245729
2016-07-07,11.30,11.30,11.30,11.30,000,11.245729
2016-07-06,11.32,11.32,11.32,11.32,000,11.265632
2016-07-05,11.31,11.31,11.31,11.31,000,11.255681
2016-07-01,11.29,11.29,11.29,11.29,000,11.235777
2016-06-30,11.28,11.28,11.28,11.28,000,11.225825
2016-06-29,11.28,11.28,11.28,11.28,000,11.19995
2016-06-28,11.29,11.29,11.29,11.29,000,11.209879
2016-06-27,11.30,11.30,11.30,11.30,000,11.219808
2016-06-24,11.27,11.27,11.27,11.27,000,11.190021
2016-06-23,11.19,11.19,11.19,11.19,000,11.110588
2016-06-22,11.21,11.21,11.21,11.21,000,11.130447
2016-06-21,11.21,11.21,11.21,11.21,000,11.130447
2016-06-20,11.22,11.22,11.22,11.22,000,11.140376
2016-06-17,11.24,11.24,11.24,11.24,000,11.160233
2016-06-16,11.25,11.25,11.25,11.25,000,11.170163
2016-06-15,11.22,11.22,11.22,11.22,000,11.140376
2016-06-14,11.21,11.21,11.21,11.21,000,11.130447
2016-06-13,11.19,11.19,11.19,11.19,000,11.110588
2016-06-10,11.19,11.19,11.19,11.19,000,11.110588
2016-06-09,11.17,11.17,11.17,11.17,000,11.090731
2016-06-08,11.15,11.15,11.15,11.15,000,11.070872
2016-06-07,11.14,11.14,11.14,11.14,000,11.060944
2016-06-06,11.13,11.13,11.13,11.13,000,11.051014
