Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,170.369995,170.369995,170.369995,170.369995,000,170.369995
2016-09-12,172.369995,172.369995,172.369995,172.369995,000,172.369995
2016-09-09,169.600006,169.600006,169.600006,169.600006,000,169.600006
2016-09-08,174.029999,174.029999,174.029999,174.029999,000,174.029999
2016-09-07,174.910004,174.910004,174.910004,174.910004,000,174.910004
2016-09-06,174.830002,174.830002,174.830002,174.830002,000,174.830002
2016-09-02,173.970001,173.970001,173.970001,173.970001,000,173.970001
2016-09-01,173.330002,173.330002,173.330002,173.330002,000,173.330002
2016-08-31,173.070007,173.070007,173.070007,173.070007,000,173.070007
2016-08-30,173.399994,173.399994,173.399994,173.399994,000,173.399994
2016-08-29,174.020004,174.020004,174.020004,174.020004,000,174.020004
2016-08-26,173.419998,173.419998,173.419998,173.419998,000,173.419998
2016-08-25,173.479996,173.479996,173.479996,173.479996,000,173.479996
2016-08-24,173.789993,173.789993,173.789993,173.789993,000,173.789993
2016-08-23,175.139999,175.139999,175.139999,175.139999,000,175.139999
2016-08-22,174.740005,174.740005,174.740005,174.740005,000,174.740005
2016-08-19,174.779999,174.779999,174.779999,174.779999,000,174.779999
2016-08-18,174.929993,174.929993,174.929993,174.929993,000,174.929993
2016-08-17,174.860001,174.860001,174.860001,174.860001,000,174.860001
2016-08-16,174.600006,174.600006,174.600006,174.600006,000,174.600006
2016-08-15,175.529999,175.529999,175.529999,175.529999,000,175.529999
2016-08-12,175.050003,175.050003,175.050003,175.050003,000,175.050003
2016-08-11,175.130005,175.130005,175.130005,175.130005,000,175.130005
2016-08-10,174.360001,174.360001,174.360001,174.360001,000,174.360001
2016-08-09,174.610001,174.610001,174.610001,174.610001,000,174.610001
2016-08-08,174.210007,174.210007,174.210007,174.210007,000,174.210007
2016-08-05,174.610001,174.610001,174.610001,174.610001,000,174.610001
2016-08-04,173.580002,173.580002,173.580002,173.580002,000,173.580002
2016-08-03,173.330002,173.330002,173.330002,173.330002,000,173.330002
2016-08-02,172.960007,172.960007,172.960007,172.960007,000,172.960007
2016-08-01,174.119995,174.119995,174.119995,174.119995,000,174.119995
2016-07-29,173.520004,173.520004,173.520004,173.520004,000,173.520004
2016-07-28,173.149994,173.149994,173.149994,173.149994,000,173.149994
2016-07-27,172.449997,172.449997,172.449997,172.449997,000,172.449997
2016-07-26,171.839996,171.839996,171.839996,171.839996,000,171.839996
2016-07-25,172.160004,172.160004,172.160004,172.160004,000,172.160004
