Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,11.05,11.05,11.05,11.05,000,11.05
2016-09-15,11.05,11.05,11.05,11.05,000,11.05
2016-09-14,11.05,11.05,11.05,11.05,000,11.05
2016-09-13,11.06,11.06,11.06,11.06,000,11.06
2016-09-12,11.06,11.06,11.06,11.06,000,11.06
2016-09-09,11.07,11.07,11.07,11.07,000,11.07
2016-09-08,11.08,11.08,11.08,11.08,000,11.08
2016-09-07,11.08,11.08,11.08,11.08,000,11.08
2016-09-06,11.08,11.08,11.08,11.08,000,11.08
2016-09-02,11.08,11.08,11.08,11.08,000,11.08
2016-09-01,11.09,11.09,11.09,11.09,000,11.09
2016-08-31,11.09,11.09,11.09,11.09,000,11.09
2016-08-30,11.10,11.10,11.10,11.10,000,11.085
2016-08-29,11.10,11.10,11.10,11.10,000,11.085
2016-08-26,11.10,11.10,11.10,11.10,000,11.085
2016-08-25,11.10,11.10,11.10,11.10,000,11.085
2016-08-24,11.11,11.11,11.11,11.11,000,11.094986
2016-08-23,11.11,11.11,11.11,11.11,000,11.094986
2016-08-22,11.11,11.11,11.11,11.11,000,11.094986
2016-08-19,11.11,11.11,11.11,11.11,000,11.094986
2016-08-18,11.11,11.11,11.11,11.11,000,11.094986
2016-08-17,11.11,11.11,11.11,11.11,000,11.094986
2016-08-16,11.11,11.11,11.11,11.11,000,11.094986
2016-08-15,11.11,11.11,11.11,11.11,000,11.094986
2016-08-12,11.11,11.11,11.11,11.11,000,11.094986
2016-08-11,11.10,11.10,11.10,11.10,000,11.085
2016-08-10,11.10,11.10,11.10,11.10,000,11.085
2016-08-09,11.10,11.10,11.10,11.10,000,11.085
2016-08-08,11.10,11.10,11.10,11.10,000,11.085
2016-08-05,11.10,11.10,11.10,11.10,000,11.085
2016-08-04,11.10,11.10,11.10,11.10,000,11.085
2016-08-03,11.10,11.10,11.10,11.10,000,11.085
2016-08-02,11.10,11.10,11.10,11.10,000,11.085
2016-08-01,11.11,11.11,11.11,11.11,000,11.094986
2016-07-29,11.11,11.11,11.11,11.11,000,11.094986
2016-07-28,11.11,11.11,11.11,11.11,000,11.080006
2016-07-27,11.10,11.10,11.10,11.10,000,11.070034
2016-07-26,11.10,11.10,11.10,11.10,000,11.070034
2016-07-25,11.09,11.09,11.09,11.09,000,11.060061
