Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,11.60,11.60,11.60,11.60,000,11.60
2016-09-12,11.60,11.60,11.60,11.60,000,11.60
2016-09-09,11.63,11.63,11.63,11.63,000,11.63
2016-09-08,11.64,11.64,11.64,11.64,000,11.64
2016-09-07,11.62,11.62,11.62,11.62,000,11.62
2016-09-06,11.61,11.61,11.61,11.61,000,11.61
2016-09-02,11.62,11.62,11.62,11.62,000,11.62
2016-09-01,11.62,11.62,11.62,11.62,000,11.62
2016-08-31,11.66,11.66,11.66,11.66,000,11.66
2016-08-30,11.65,11.65,11.65,11.65,000,11.65
2016-08-29,11.65,11.65,11.65,11.65,000,11.65
2016-08-26,11.65,11.65,11.65,11.65,000,11.65
2016-08-25,11.68,11.68,11.68,11.68,000,11.68
2016-08-24,11.70,11.70,11.70,11.70,000,11.70
2016-08-23,11.70,11.70,11.70,11.70,000,11.70
2016-08-22,11.69,11.69,11.69,11.69,000,11.69
2016-08-19,11.70,11.70,11.70,11.70,000,11.70
2016-08-18,11.71,11.71,11.71,11.71,000,11.71
2016-08-17,11.71,11.71,11.71,11.71,000,11.71
2016-08-16,11.72,11.72,11.72,11.72,000,11.72
2016-08-15,11.72,11.72,11.72,11.72,000,11.72
2016-08-12,11.70,11.70,11.70,11.70,000,11.70
2016-08-11,11.73,11.73,11.73,11.73,000,11.73
2016-08-10,11.73,11.73,11.73,11.73,000,11.73
2016-08-09,11.78,11.78,11.78,11.78,000,11.78
2016-08-08,11.81,11.81,11.81,11.81,000,11.81
2016-08-05,11.81,11.81,11.81,11.81,000,11.81
2016-08-04,11.80,11.80,11.80,11.80,000,11.80
2016-08-03,11.79,11.79,11.79,11.79,000,11.79
2016-08-02,11.83,11.83,11.83,11.83,000,11.83
2016-08-01,11.88,11.88,11.88,11.88,000,11.88
2016-07-29,11.90,11.90,11.90,11.90,000,11.90
2016-07-28,11.87,11.87,11.87,11.87,000,11.87
2016-07-27,11.86,11.86,11.86,11.86,000,11.86
2016-07-26,11.88,11.88,11.88,11.88,000,11.88
2016-07-25,11.87,11.87,11.87,11.87,000,11.87
2016-07-22,11.82,11.82,11.82,11.82,000,11.82
2016-07-21,11.82,11.82,11.82,11.82,000,11.82
2016-07-20,11.83,11.83,11.83,11.83,000,11.83
2016-07-19,11.84,11.84,11.84,11.84,000,11.84
2016-07-18,11.84,11.84,11.84,11.84,000,11.84
2016-07-15,11.80,11.80,11.80,11.80,000,11.80
2016-07-14,11.81,11.81,11.81,11.81,000,11.81
2016-07-13,11.79,11.79,11.79,11.79,000,11.79
2016-07-12,11.79,11.79,11.79,11.79,000,11.79
2016-07-11,11.77,11.77,11.77,11.77,000,11.77
2016-07-08,11.76,11.76,11.76,11.76,000,11.76
2016-07-07,11.76,11.76,11.76,11.76,000,11.76
2016-07-06,11.80,11.80,11.80,11.80,000,11.80
2016-07-05,11.80,11.80,11.80,11.80,000,11.80
2016-07-01,11.80,11.80,11.80,11.80,000,11.80
2016-06-30,11.82,11.82,11.82,11.82,000,11.82
2016-06-29,11.81,11.81,11.81,11.81,000,11.81
2016-06-28,11.85,11.85,11.85,11.85,000,11.85
2016-06-27,11.87,11.87,11.87,11.87,000,11.87
2016-06-24,11.86,11.86,11.86,11.86,000,11.86
2016-06-23,11.82,11.82,11.82,11.82,000,11.82
