Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,11.59,11.59,11.59,11.59,000,11.59
2016-09-15,11.61,11.61,11.61,11.61,000,11.61
2016-09-14,11.59,11.59,11.59,11.59,000,11.59
2016-09-13,11.56,11.56,11.56,11.56,000,11.56
2016-09-12,11.56,11.56,11.56,11.56,000,11.56
2016-09-09,11.59,11.59,11.59,11.59,000,11.59
2016-09-08,11.60,11.60,11.60,11.60,000,11.60
2016-09-07,11.58,11.58,11.58,11.58,000,11.58
2016-09-06,11.57,11.57,11.57,11.57,000,11.57
2016-09-02,11.58,11.58,11.58,11.58,000,11.58
2016-09-01,11.58,11.58,11.58,11.58,000,11.58
2016-08-31,11.62,11.62,11.62,11.62,000,11.62
2016-08-30,11.60,11.60,11.60,11.60,000,11.60
2016-08-29,11.60,11.60,11.60,11.60,000,11.60
2016-08-26,11.61,11.61,11.61,11.61,000,11.61
2016-08-25,11.64,11.64,11.64,11.64,000,11.64
2016-08-24,11.65,11.65,11.65,11.65,000,11.65
2016-08-23,11.66,11.66,11.66,11.66,000,11.66
2016-08-22,11.65,11.65,11.65,11.65,000,11.65
2016-08-19,11.65,11.65,11.65,11.65,000,11.65
2016-08-18,11.67,11.67,11.67,11.67,000,11.67
2016-08-17,11.67,11.67,11.67,11.67,000,11.67
2016-08-16,11.68,11.68,11.68,11.68,000,11.68
2016-08-15,11.68,11.68,11.68,11.68,000,11.68
2016-08-12,11.66,11.66,11.66,11.66,000,11.66
2016-08-11,11.69,11.69,11.69,11.69,000,11.69
2016-08-10,11.69,11.69,11.69,11.69,000,11.69
2016-08-09,11.74,11.74,11.74,11.74,000,11.74
2016-08-08,11.77,11.77,11.77,11.77,000,11.77
2016-08-05,11.76,11.76,11.76,11.76,000,11.76
2016-08-04,11.76,11.76,11.76,11.76,000,11.76
2016-08-03,11.74,11.74,11.74,11.74,000,11.74
2016-08-02,11.78,11.78,11.78,11.78,000,11.78
2016-08-01,11.84,11.84,11.84,11.84,000,11.84
2016-07-29,11.86,11.86,11.86,11.86,000,11.86
2016-07-28,11.82,11.82,11.82,11.82,000,11.82
2016-07-27,11.82,11.82,11.82,11.82,000,11.82
2016-07-26,11.84,11.84,11.84,11.84,000,11.84
2016-07-25,11.83,11.83,11.83,11.83,000,11.83
2016-07-22,11.78,11.78,11.78,11.78,000,11.78
2016-07-21,11.77,11.77,11.77,11.77,000,11.77
2016-07-20,11.78,11.78,11.78,11.78,000,11.78
2016-07-19,11.80,11.80,11.80,11.80,000,11.80
2016-07-18,11.80,11.80,11.80,11.80,000,11.80
2016-07-15,11.76,11.76,11.76,11.76,000,11.76
2016-07-14,11.76,11.76,11.76,11.76,000,11.76
2016-07-13,11.74,11.74,11.74,11.74,000,11.74
2016-07-12,11.74,11.74,11.74,11.74,000,11.74
2016-07-11,11.72,11.72,11.72,11.72,000,11.72
2016-07-08,11.72,11.72,11.72,11.72,000,11.72
2016-07-07,11.71,11.71,11.71,11.71,000,11.71
2016-07-06,11.75,11.75,11.75,11.75,000,11.75
2016-07-05,11.76,11.76,11.76,11.76,000,11.76
2016-07-01,11.76,11.76,11.76,11.76,000,11.76
2016-06-30,11.78,11.78,11.78,11.78,000,11.78
2016-06-29,11.77,11.77,11.77,11.77,000,11.77
2016-06-28,11.81,11.81,11.81,11.81,000,11.81
2016-06-27,11.83,11.83,11.83,11.83,000,11.83
2016-06-24,11.81,11.81,11.81,11.81,000,11.81
2016-06-23,11.78,11.78,11.78,11.78,000,11.78
2016-06-22,11.83,11.83,11.83,11.83,000,11.83
2016-06-21,11.84,11.84,11.84,11.84,000,11.84
2016-06-20,11.82,11.82,11.82,11.82,000,11.82
2016-06-17,11.80,11.80,11.80,11.80,000,11.80
2016-06-16,11.78,11.78,11.78,11.78,000,11.78
2016-06-15,11.75,11.75,11.75,11.75,000,11.75
2016-06-14,11.77,11.77,11.77,11.77,000,11.77
2016-06-13,11.81,11.81,11.81,11.81,000,11.81
2016-06-10,11.87,11.87,11.87,11.87,000,11.87
2016-06-09,11.85,11.85,11.85,11.85,000,11.85
2016-06-08,11.85,11.85,11.85,11.85,000,11.85
2016-06-07,11.84,11.84,11.84,11.84,000,11.84
2016-06-06,11.80,11.80,11.80,11.80,000,11.80
2016-06-03,11.83,11.83,11.83,11.83,000,11.83
2016-06-02,11.85,11.85,11.85,11.85,000,11.85
2016-06-01,11.91,11.91,11.91,11.91,000,11.91
2016-05-31,11.93,11.93,11.93,11.93,000,11.93
2016-05-27,11.97,11.97,11.97,11.97,000,11.97
2016-05-26,11.95,11.95,11.95,11.95,000,11.95
2016-05-25,11.98,11.98,11.98,11.98,000,11.98
2016-05-24,11.96,11.96,11.96,11.96,000,11.96
2016-05-23,11.94,11.94,11.94,11.94,000,11.94
2016-05-20,11.95,11.95,11.95,11.95,000,11.95
2016-05-19,11.99,11.99,11.99,11.99,000,11.99
2016-05-18,12.00,12.00,12.00,12.00,000,12.00
2016-05-17,12.00,12.00,12.00,12.00,000,12.00
2016-05-16,12.02,12.02,12.02,12.02,000,12.02
2016-05-13,12.04,12.04,12.04,12.04,000,12.04
2016-05-12,12.05,12.05,12.05,12.05,000,12.05
2016-05-11,12.06,12.06,12.06,12.06,000,12.06
2016-05-10,12.06,12.06,12.06,12.06,000,12.06
2016-05-09,12.11,12.11,12.11,12.11,000,12.11
2016-05-06,12.10,12.10,12.10,12.10,000,12.10
2016-05-05,12.10,12.10,12.10,12.10,000,12.10
2016-05-04,12.12,12.12,12.12,12.12,000,12.12
2016-05-03,12.10,12.10,12.10,12.10,000,12.10
2016-05-02,12.14,12.14,12.14,12.14,000,12.14
2016-04-29,12.15,12.15,12.15,12.15,000,12.15
2016-04-28,12.23,12.23,12.23,12.23,000,12.23
2016-04-27,12.30,12.30,12.30,12.30,000,12.30
2016-04-26,12.24,12.24,12.24,12.24,000,12.24
2016-04-25,12.22,12.22,12.22,12.22,000,12.22
2016-04-22,12.22,12.22,12.22,12.22,000,12.22
2016-04-21,12.21,12.21,12.21,12.21,000,12.21
2016-04-20,12.31,12.31,12.31,12.31,000,12.31
2016-04-19,12.30,12.30,12.30,12.30,000,12.30
2016-04-18,12.32,12.32,12.32,12.32,000,12.32
2016-04-15,12.31,12.31,12.31,12.31,000,12.31
2016-04-14,12.32,12.32,12.32,12.32,000,12.32
2016-04-13,12.36,12.36,12.36,12.36,000,12.36
2016-04-12,12.34,12.34,12.34,12.34,000,12.34
2016-04-11,12.30,12.30,12.30,12.30,000,12.30
2016-04-08,12.26,12.26,12.26,12.26,000,12.26
2016-04-07,12.28,12.28,12.28,12.28,000,12.28
2016-04-06,12.32,12.32,12.32,12.32,000,12.32
2016-04-05,12.36,12.36,12.36,12.36,000,12.36
2016-04-04,12.34,12.34,12.34,12.34,000,12.34
2016-04-01,12.33,12.33,12.33,12.33,000,12.33
2016-03-31,12.37,12.37,12.37,12.37,000,12.37
2016-03-30,12.38,12.38,12.38,12.38,000,12.38
2016-03-29,12.41,12.41,12.41,12.41,000,12.41
2016-03-28,12.41,12.41,12.41,12.41,000,12.41
2016-03-24,12.37,12.37,12.37,12.37,000,12.37
2016-03-23,12.37,12.37,12.37,12.37,000,12.37
2016-03-22,12.30,12.30,12.30,12.30,000,12.30
2016-03-21,12.27,12.27,12.27,12.27,000,12.27
2016-03-18,12.32,12.32,12.32,12.32,000,12.32
2016-03-17,12.34,12.34,12.34,12.34,000,12.34
2016-03-16,12.38,12.38,12.38,12.38,000,12.38
2016-03-15,12.36,12.36,12.36,12.36,000,12.36
2016-03-14,12.33,12.33,12.33,12.33,000,12.33
2016-03-11,12.37,12.37,12.37,12.37,000,12.37
2016-03-10,12.39,12.39,12.39,12.39,000,12.39
2016-03-09,12.39,12.39,12.39,12.39,000,12.39
2016-03-08,12.34,12.34,12.34,12.34,000,12.34
2016-03-07,12.24,12.24,12.24,12.24,000,12.24
2016-03-04,12.29,12.29,12.29,12.29,000,12.29
2016-03-03,12.29,12.29,12.29,12.29,000,12.29
2016-03-02,12.30,12.30,12.30,12.30,000,12.30
2016-03-01,12.38,12.38,12.38,12.38,000,12.38
2016-02-29,12.42,12.42,12.42,12.42,000,12.42
2016-02-26,12.39,12.39,12.39,12.39,000,12.39
2016-02-25,12.45,12.45,12.45,12.45,000,12.45
