Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,24.040001,24.040001,24.040001,24.040001,000,24.040001
2016-09-15,24.09,24.09,24.09,24.09,000,24.09
2016-09-14,23.90,23.90,23.90,23.90,000,23.90
2016-09-13,23.90,23.90,23.90,23.90,000,23.90
2016-09-12,24.219999,24.219999,24.219999,24.219999,000,24.219999
2016-09-09,24.040001,24.040001,24.040001,24.040001,000,24.040001
2016-09-08,24.60,24.60,24.60,24.60,000,24.60
2016-09-07,24.700001,24.700001,24.700001,24.700001,000,24.700001
2016-09-06,24.709999,24.709999,24.709999,24.709999,000,24.709999
2016-09-02,24.65,24.65,24.65,24.65,000,24.65
2016-09-01,24.450001,24.450001,24.450001,24.450001,000,24.450001
2016-08-31,24.40,24.40,24.40,24.40,000,24.40
2016-08-30,24.459999,24.459999,24.459999,24.459999,000,24.459999
2016-08-29,24.48,24.48,24.48,24.48,000,24.48
2016-08-26,24.389999,24.389999,24.389999,24.389999,000,24.389999
2016-08-25,24.450001,24.450001,24.450001,24.450001,000,24.450001
2016-08-24,24.43,24.43,24.43,24.43,000,24.43
2016-08-23,24.52,24.52,24.52,24.52,000,24.52
2016-08-22,24.469999,24.469999,24.469999,24.469999,000,24.469999
2016-08-19,24.450001,24.450001,24.450001,24.450001,000,24.450001
2016-08-18,24.49,24.49,24.49,24.49,000,24.49
2016-08-17,24.440001,24.440001,24.440001,24.440001,000,24.440001
2016-08-16,24.43,24.43,24.43,24.43,000,24.43
2016-08-15,24.629999,24.629999,24.629999,24.629999,000,24.629999
2016-08-12,24.60,24.60,24.60,24.60,000,24.60
2016-08-11,24.629999,24.629999,24.629999,24.629999,000,24.629999
2016-08-10,24.549999,24.549999,24.549999,24.549999,000,24.549999
2016-08-09,24.52,24.52,24.52,24.52,000,24.52
2016-08-08,24.49,24.49,24.49,24.49,000,24.49
2016-08-05,24.52,24.52,24.52,24.52,000,24.52
2016-08-04,24.41,24.41,24.41,24.41,000,24.41
2016-08-03,24.389999,24.389999,24.389999,24.389999,000,24.389999
2016-08-02,24.450001,24.450001,24.450001,24.450001,000,24.450001
2016-08-01,24.58,24.58,24.58,24.58,000,24.58
2016-07-29,24.549999,24.549999,24.549999,24.549999,000,24.549999
2016-07-28,24.530001,24.530001,24.530001,24.530001,000,24.530001
2016-07-27,24.43,24.43,24.43,24.43,000,24.43
2016-07-26,24.549999,24.549999,24.549999,24.549999,000,24.549999
2016-07-25,24.530001,24.530001,24.530001,24.530001,000,24.530001
2016-07-22,24.549999,24.549999,24.549999,24.549999,000,24.549999
2016-07-21,24.41,24.41,24.41,24.41,000,24.41
2016-07-20,24.51,24.51,24.51,24.51,000,24.51
2016-07-19,24.43,24.43,24.43,24.43,000,24.43
2016-07-18,24.42,24.42,24.42,24.42,000,24.42
2016-07-15,24.389999,24.389999,24.389999,24.389999,000,24.389999
2016-07-14,24.459999,24.459999,24.459999,24.459999,000,24.459999
2016-07-13,24.469999,24.469999,24.469999,24.469999,000,24.469999
2016-07-12,24.440001,24.440001,24.440001,24.440001,000,24.440001
2016-07-11,24.42,24.42,24.42,24.42,000,24.42
2016-07-08,24.26,24.26,24.26,24.26,000,24.26
2016-07-07,24.040001,24.040001,24.040001,24.040001,000,24.040001
