Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,12.01,12.01,12.01,12.01,000,12.01
2016-09-15,12.04,12.04,12.04,12.04,000,12.04
2016-09-14,11.94,11.94,11.94,11.94,000,11.94
2016-09-13,11.95,11.95,11.95,11.95,000,11.95
2016-09-12,12.10,12.10,12.10,12.10,000,12.10
2016-09-09,12.01,12.01,12.01,12.01,000,12.01
2016-09-08,12.29,12.29,12.29,12.29,000,12.29
2016-09-07,12.34,12.34,12.34,12.34,000,12.34
2016-09-06,12.35,12.35,12.35,12.35,000,12.35
2016-09-02,12.32,12.32,12.32,12.32,000,12.32
2016-09-01,12.22,12.22,12.22,12.22,000,12.22
2016-08-31,12.19,12.19,12.19,12.19,000,12.19
2016-08-30,12.22,12.22,12.22,12.22,000,12.22
2016-08-29,12.23,12.23,12.23,12.23,000,12.23
2016-08-26,12.19,12.19,12.19,12.19,000,12.19
2016-08-25,12.22,12.22,12.22,12.22,000,12.22
2016-08-24,12.21,12.21,12.21,12.21,000,12.21
2016-08-23,12.25,12.25,12.25,12.25,000,12.25
2016-08-22,12.23,12.23,12.23,12.23,000,12.23
2016-08-19,12.22,12.22,12.22,12.22,000,12.22
2016-08-18,12.24,12.24,12.24,12.24,000,12.24
2016-08-17,12.22,12.22,12.22,12.22,000,12.22
2016-08-16,12.21,12.21,12.21,12.21,000,12.21
2016-08-15,12.31,12.31,12.31,12.31,000,12.31
2016-08-12,12.29,12.29,12.29,12.29,000,12.29
2016-08-11,12.31,12.31,12.31,12.31,000,12.31
2016-08-10,12.27,12.27,12.27,12.27,000,12.27
2016-08-09,12.26,12.26,12.26,12.26,000,12.26
2016-08-08,12.24,12.24,12.24,12.24,000,12.24
2016-08-05,12.25,12.25,12.25,12.25,000,12.25
2016-08-04,12.20,12.20,12.20,12.20,000,12.20
2016-08-03,12.19,12.19,12.19,12.19,000,12.19
2016-08-02,12.22,12.22,12.22,12.22,000,12.22
2016-08-01,12.29,12.29,12.29,12.29,000,12.29
2016-07-29,12.27,12.27,12.27,12.27,000,12.27
2016-07-28,12.26,12.26,12.26,12.26,000,12.26
2016-07-27,12.21,12.21,12.21,12.21,000,12.21
2016-07-26,12.27,12.27,12.27,12.27,000,12.27
2016-07-25,12.26,12.26,12.26,12.26,000,12.26
2016-07-22,12.27,12.27,12.27,12.27,000,12.27
2016-07-21,12.20,12.20,12.20,12.20,000,12.20
2016-07-20,12.25,12.25,12.25,12.25,000,12.25
2016-07-19,12.21,12.21,12.21,12.21,000,12.21
2016-07-18,12.20,12.20,12.20,12.20,000,12.20
2016-07-15,12.19,12.19,12.19,12.19,000,12.19
2016-07-14,12.22,12.22,12.22,12.22,000,12.22
2016-07-13,12.23,12.23,12.23,12.23,000,12.23
2016-07-12,12.22,12.22,12.22,12.22,000,12.22
2016-07-11,12.21,12.21,12.21,12.21,000,12.21
2016-07-08,12.13,12.13,12.13,12.13,000,12.13
2016-07-07,12.02,12.02,12.02,12.02,000,12.02
2016-07-06,12.04,12.04,12.04,12.04,000,12.04
2016-07-05,12.02,12.02,12.02,12.02,000,12.02
2016-07-01,12.06,12.06,12.06,12.06,000,12.06
2016-06-30,12.03,12.03,12.03,12.03,000,12.03
2016-06-29,11.84,11.84,11.84,11.84,000,11.84
2016-06-28,11.67,11.67,11.67,11.67,000,11.67
2016-06-27,11.49,11.49,11.49,11.49,000,11.49
