Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,36.16,36.16,36.16,36.16,000,36.16
2016-09-15,36.299999,36.299999,36.299999,36.299999,000,36.299999
2016-09-14,35.939999,35.939999,35.939999,35.939999,000,35.939999
2016-09-13,36.060001,36.060001,36.060001,36.060001,000,36.060001
2016-09-12,36.68,36.68,36.68,36.68,000,36.68
2016-09-09,36.130001,36.130001,36.130001,36.130001,000,36.130001
2016-09-08,37.18,37.18,37.18,37.18,000,37.18
2016-09-07,37.32,37.32,37.32,37.32,000,37.32
2016-09-06,37.18,37.18,37.18,37.18,000,37.18
2016-09-02,37.110001,37.110001,37.110001,37.110001,000,37.110001
2016-09-01,36.82,36.82,36.82,36.82,000,36.82
2016-08-31,36.889999,36.889999,36.889999,36.889999,000,36.889999
2016-08-30,36.970001,36.970001,36.970001,36.970001,000,36.970001
2016-08-29,37.02,37.02,37.02,37.02,000,37.02
2016-08-26,36.75,36.75,36.75,36.75,000,36.75
2016-08-25,36.880001,36.880001,36.880001,36.880001,000,36.880001
2016-08-24,36.82,36.82,36.82,36.82,000,36.82
2016-08-23,37.119999,37.119999,37.119999,37.119999,000,37.119999
2016-08-22,36.959999,36.959999,36.959999,36.959999,000,36.959999
2016-08-19,36.98,36.98,36.98,36.98,000,36.98
2016-08-18,36.970001,36.970001,36.970001,36.970001,000,36.970001
2016-08-17,36.720001,36.720001,36.720001,36.720001,000,36.720001
2016-08-16,36.700001,36.700001,36.700001,36.700001,000,36.700001
2016-08-15,36.93,36.93,36.93,36.93,000,36.93
2016-08-12,36.720001,36.720001,36.720001,36.720001,000,36.720001
2016-08-11,36.740002,36.740002,36.740002,36.740002,000,36.740002
2016-08-10,36.470001,36.470001,36.470001,36.470001,000,36.470001
2016-08-09,36.560001,36.560001,36.560001,36.560001,000,36.560001
2016-08-08,36.619999,36.619999,36.619999,36.619999,000,36.619999
2016-08-05,36.560001,36.560001,36.560001,36.560001,000,36.560001
2016-08-04,36.240002,36.240002,36.240002,36.240002,000,36.240002
2016-08-03,36.209999,36.209999,36.209999,36.209999,000,36.209999
2016-08-02,36.00,36.00,36.00,36.00,000,36.00
2016-08-01,36.349998,36.349998,36.349998,36.349998,000,36.349998
2016-07-29,36.540001,36.540001,36.540001,36.540001,000,36.540001
2016-07-28,36.470001,36.470001,36.470001,36.470001,000,36.470001
2016-07-27,36.360001,36.360001,36.360001,36.360001,000,36.360001
2016-07-26,36.560001,36.560001,36.560001,36.560001,000,36.560001
2016-07-25,36.369999,36.369999,36.369999,36.369999,000,36.369999
2016-07-22,36.439999,36.439999,36.439999,36.439999,000,36.439999
2016-07-21,36.209999,36.209999,36.209999,36.209999,000,36.209999
2016-07-20,36.279999,36.279999,36.279999,36.279999,000,36.279999
2016-07-19,36.099998,36.099998,36.099998,36.099998,000,36.099998
2016-07-18,36.23,36.23,36.23,36.23,000,36.23
2016-07-15,36.139999,36.139999,36.139999,36.139999,000,36.139999
2016-07-14,36.139999,36.139999,36.139999,36.139999,000,36.139999
2016-07-13,36.049999,36.049999,36.049999,36.049999,000,36.049999
2016-07-12,36.049999,36.049999,36.049999,36.049999,000,36.049999
2016-07-11,35.619999,35.619999,35.619999,35.619999,000,35.619999
2016-07-08,35.490002,35.490002,35.490002,35.490002,000,35.490002
2016-07-07,34.830002,34.830002,34.830002,34.830002,000,34.830002
2016-07-06,34.810001,34.810001,34.810001,34.810001,000,34.810001
2016-07-05,34.619999,34.619999,34.619999,34.619999,000,34.619999
2016-07-01,35.16,35.16,35.16,35.16,000,35.16
2016-06-30,35.060001,35.060001,35.060001,35.060001,000,35.060001
2016-06-29,34.450001,34.450001,34.450001,34.450001,000,34.450001
2016-06-28,33.830002,33.830002,33.830002,33.830002,000,33.830002
2016-06-27,33.169998,33.169998,33.169998,33.169998,000,33.169998
2016-06-24,34.18,34.18,34.18,34.18,000,34.18
2016-06-23,35.73,35.73,35.73,35.73,000,35.73
2016-06-22,35.18,35.18,35.18,35.18,000,35.18
2016-06-21,35.200001,35.200001,35.200001,35.200001,000,35.200001
2016-06-20,35.110001,35.110001,35.110001,35.110001,000,35.110001
