Date,Open,High,Low,Close,Volume,Adj Close
2016-09-01,12.55,12.55,12.55,12.55,000,12.55
2016-08-31,12.56,12.56,12.56,12.56,000,12.56
2016-08-30,12.56,12.56,12.56,12.56,000,12.56
2016-08-29,12.56,12.56,12.56,12.56,000,12.56
2016-08-26,12.55,12.55,12.55,12.55,000,12.55
2016-08-25,12.55,12.55,12.55,12.55,000,12.55
2016-08-24,12.56,12.56,12.56,12.56,000,12.56
2016-08-23,12.55,12.55,12.55,12.55,000,12.55
2016-08-22,12.55,12.55,12.55,12.55,000,12.55
2016-08-19,12.55,12.55,12.55,12.55,000,12.55
2016-08-18,12.55,12.55,12.55,12.55,000,12.55
2016-08-17,12.54,12.54,12.54,12.54,000,12.54
2016-08-16,12.54,12.54,12.54,12.54,000,12.54
2016-08-15,12.54,12.54,12.54,12.54,000,12.54
2016-08-12,12.54,12.54,12.54,12.54,000,12.54
2016-08-11,12.53,12.53,12.53,12.53,000,12.53
2016-08-10,12.53,12.53,12.53,12.53,000,12.53
2016-08-09,12.51,12.51,12.51,12.51,000,12.51
2016-08-08,12.51,12.51,12.51,12.51,000,12.51
2016-08-05,12.51,12.51,12.51,12.51,000,12.51
2016-08-04,12.53,12.53,12.53,12.53,000,12.53
2016-08-03,12.51,12.51,12.51,12.51,000,12.51
2016-08-02,12.50,12.50,12.50,12.50,000,12.50
2016-08-01,12.52,12.52,12.52,12.52,000,12.52
2016-07-29,12.53,12.53,12.53,12.53,000,12.53
2016-07-28,12.52,12.52,12.52,12.52,000,12.483001
2016-07-27,12.51,12.51,12.51,12.51,000,12.47303
2016-07-26,12.50,12.50,12.50,12.50,000,12.463059
2016-07-25,12.49,12.49,12.49,12.49,000,12.453089
2016-07-22,12.49,12.49,12.49,12.49,000,12.453089
2016-07-21,12.49,12.49,12.49,12.49,000,12.453089
2016-07-20,12.50,12.50,12.50,12.50,000,12.463059
2016-07-19,12.50,12.50,12.50,12.50,000,12.463059
2016-07-18,12.50,12.50,12.50,12.50,000,12.463059
2016-07-15,12.51,12.51,12.51,12.51,000,12.47303
2016-07-14,12.54,12.54,12.54,12.54,000,12.502941
2016-07-13,12.56,12.56,12.56,12.56,000,12.522882
2016-07-12,12.56,12.56,12.56,12.56,000,12.522882
2016-07-11,12.59,12.59,12.59,12.59,000,12.552793
2016-07-08,12.60,12.60,12.60,12.60,000,12.562764
2016-07-07,12.60,12.60,12.60,12.60,000,12.562764
2016-07-06,12.61,12.61,12.61,12.61,000,12.572734
2016-07-05,12.60,12.60,12.60,12.60,000,12.562764
2016-07-01,12.57,12.57,12.57,12.57,000,12.532852
2016-06-30,12.56,12.56,12.56,12.56,000,12.522882
2016-06-29,12.56,12.56,12.56,12.56,000,12.487986
2016-06-28,12.57,12.57,12.57,12.57,000,12.497927
2016-06-27,12.58,12.58,12.58,12.58,000,12.50787
2016-06-24,12.54,12.54,12.54,12.54,000,12.4681
2016-06-23,12.45,12.45,12.45,12.45,000,12.378616
2016-06-22,12.47,12.47,12.47,12.47,000,12.398501
2016-06-21,12.47,12.47,12.47,12.47,000,12.398501
2016-06-20,12.47,12.47,12.47,12.47,000,12.398501
2016-06-17,12.50,12.50,12.50,12.50,000,12.428329
2016-06-16,12.50,12.50,12.50,12.50,000,12.428329
2016-06-15,12.47,12.47,12.47,12.47,000,12.398501
2016-06-14,12.47,12.47,12.47,12.47,000,12.398501
2016-06-13,12.44,12.44,12.44,12.44,000,12.368673
2016-06-10,12.44,12.44,12.44,12.44,000,12.368673
2016-06-09,12.41,12.41,12.41,12.41,000,12.338845
2016-06-08,12.38,12.38,12.38,12.38,000,12.309017
2016-06-07,12.38,12.38,12.38,12.38,000,12.309017
2016-06-06,12.37,12.37,12.37,12.37,000,12.299074
2016-06-03,12.37,12.37,12.37,12.37,000,12.299074
2016-06-02,12.35,12.35,12.35,12.35,000,12.27919
2016-06-01,12.34,12.34,12.34,12.34,000,12.269247
2016-05-31,12.34,12.34,12.34,12.34,000,12.269247
2016-05-27,12.34,12.34,12.34,12.34,000,12.233453
2016-05-26,12.34,12.34,12.34,12.34,000,12.233453
2016-05-25,12.34,12.34,12.34,12.34,000,12.233453
2016-05-24,12.35,12.35,12.35,12.35,000,12.243367
2016-05-23,12.36,12.36,12.36,12.36,000,12.25328
2016-05-20,12.36,12.36,12.36,12.36,000,12.25328
2016-05-19,12.36,12.36,12.36,12.36,000,12.25328
2016-05-18,12.37,12.37,12.37,12.37,000,12.263194
2016-05-17,12.40,12.40,12.40,12.40,000,12.292935
2016-05-16,12.39,12.39,12.39,12.39,000,12.283022
2016-05-13,12.39,12.39,12.39,12.39,000,12.283022
2016-05-12,12.38,12.38,12.38,12.38,000,12.273108
2016-05-11,12.38,12.38,12.38,12.38,000,12.273108
2016-05-10,12.36,12.36,12.36,12.36,000,12.25328
2016-05-09,12.34,12.34,12.34,12.34,000,12.233453
2016-05-06,12.34,12.34,12.34,12.34,000,12.233453
2016-05-05,12.33,12.33,12.33,12.33,000,12.223539
2016-05-04,12.32,12.32,12.32,12.32,000,12.213626
2016-05-03,12.32,12.32,12.32,12.32,000,12.213626
2016-05-02,12.29,12.29,12.29,12.29,000,12.183885
2016-04-29,12.29,12.29,12.29,12.29,000,12.183885
2016-04-28,12.29,12.29,12.29,12.29,000,12.149187
2016-04-27,12.27,12.27,12.27,12.27,000,12.129417
2016-04-26,12.26,12.26,12.26,12.26,000,12.119531
2016-04-25,12.27,12.27,12.27,12.27,000,12.129417
2016-04-22,12.27,12.27,12.27,12.27,000,12.129417
2016-04-21,12.28,12.28,12.28,12.28,000,12.139302
2016-04-20,12.31,12.31,12.31,12.31,000,12.168959
2016-04-19,12.31,12.31,12.31,12.31,000,12.168959
2016-04-18,12.30,12.30,12.30,12.30,000,12.159073
2016-04-15,12.30,12.30,12.30,12.30,000,12.159073
2016-04-14,12.29,12.29,12.29,12.29,000,12.149187
2016-04-13,12.29,12.29,12.29,12.29,000,12.149187
2016-04-12,12.28,12.28,12.28,12.28,000,12.139302
2016-04-11,12.30,12.30,12.30,12.30,000,12.159073
2016-04-08,12.30,12.30,12.30,12.30,000,12.159073
2016-04-07,12.30,12.30,12.30,12.30,000,12.159073
2016-04-06,12.27,12.27,12.27,12.27,000,12.129417
2016-04-05,12.27,12.27,12.27,12.27,000,12.129417
2016-04-04,12.23,12.23,12.23,12.23,000,12.089874
2016-04-01,12.22,12.22,12.22,12.22,000,12.07999
2016-03-31,12.22,12.22,12.22,12.22,000,12.07999
2016-03-30,12.19,12.19,12.19,12.19,000,12.014745
2016-03-29,12.18,12.18,12.18,12.18,000,12.004889
2016-03-28,12.16,12.16,12.16,12.16,000,11.985176
2016-03-24,12.16,12.16,12.16,12.16,000,11.985176
2016-03-23,12.16,12.16,12.16,12.16,000,11.985176
2016-03-22,12.14,12.14,12.14,12.14,000,11.965464
2016-03-21,12.14,12.14,12.14,12.14,000,11.965464
2016-03-18,12.15,12.15,12.15,12.15,000,11.97532
2016-03-17,12.15,12.15,12.15,12.15,000,11.97532
2016-03-16,12.12,12.12,12.12,12.12,000,11.945751
2016-03-15,12.11,12.11,12.11,12.11,000,11.935895
2016-03-14,12.12,12.12,12.12,12.12,000,11.945751
2016-03-11,12.12,12.12,12.12,12.12,000,11.945751
2016-03-10,12.13,12.13,12.13,12.13,000,11.955608
2016-03-09,12.13,12.13,12.13,12.13,000,11.955608
2016-03-08,12.13,12.13,12.13,12.13,000,11.955608
2016-03-07,12.11,12.11,12.11,12.11,000,11.935895
2016-03-04,12.12,12.12,12.12,12.12,000,11.945751
2016-03-03,12.14,12.14,12.14,12.14,000,11.965464
2016-03-02,12.15,12.15,12.15,12.15,000,11.97532
2016-03-01,12.16,12.16,12.16,12.16,000,11.985176
2016-02-29,12.19,12.19,12.19,12.19,000,12.014745
2016-02-26,12.19,12.19,12.19,12.19,000,11.981233
2016-02-25,12.21,12.21,12.21,12.21,000,12.000891
2016-02-24,12.21,12.21,12.21,12.21,000,12.000891
2016-02-23,12.21,12.21,12.21,12.21,000,12.000891
2016-02-22,12.22,12.22,12.22,12.22,000,12.01072
2016-02-19,12.23,12.23,12.23,12.23,000,12.020548
2016-02-18,12.23,12.23,12.23,12.23,000,12.020548
2016-02-17,12.23,12.23,12.23,12.23,000,12.020548
2016-02-16,12.25,12.25,12.25,12.25,000,12.040206
2016-02-12,12.27,12.27,12.27,12.27,000,12.059864
2016-02-11,12.30,12.30,12.30,12.30,000,12.08935
2016-02-10,12.26,12.26,12.26,12.26,000,12.050035
2016-02-09,12.27,12.27,12.27,12.27,000,12.059864
2016-02-08,12.26,12.26,12.26,12.26,000,12.050035
2016-02-05,12.25,12.25,12.25,12.25,000,12.040206
2016-02-04,12.25,12.25,12.25,12.25,000,12.040206
2016-02-03,12.24,12.24,12.24,12.24,000,12.030377
2016-02-02,12.24,12.24,12.24,12.24,000,12.030377
2016-02-01,12.22,12.22,12.22,12.22,000,12.01072
2016-01-29,12.22,12.22,12.22,12.22,000,12.01072
2016-01-28,12.20,12.20,12.20,12.20,000,11.954696
2016-01-27,12.20,12.20,12.20,12.20,000,11.954696
2016-01-26,12.21,12.21,12.21,12.21,000,11.964495
2016-01-25,12.20,12.20,12.20,12.20,000,11.954696
2016-01-22,12.20,12.20,12.20,12.20,000,11.954696
2016-01-21,12.22,12.22,12.22,12.22,000,11.974295
