Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,12.45,12.45,12.45,12.45,000,12.45
2016-09-15,12.44,12.44,12.44,12.44,000,12.44
2016-09-14,12.46,12.46,12.46,12.46,000,12.46
2016-09-13,12.46,12.46,12.46,12.46,000,12.46
2016-09-12,12.49,12.49,12.49,12.49,000,12.49
2016-09-09,12.51,12.51,12.51,12.51,000,12.51
2016-09-08,12.53,12.53,12.53,12.53,000,12.53
2016-09-07,12.54,12.54,12.54,12.54,000,12.54
2016-09-06,12.54,12.54,12.54,12.54,000,12.54
2016-09-02,12.54,12.54,12.54,12.54,000,12.54
2016-09-01,12.55,12.55,12.55,12.55,000,12.55
2016-08-31,12.56,12.56,12.56,12.56,000,12.56
2016-08-30,12.56,12.56,12.56,12.56,000,12.522
2016-08-29,12.56,12.56,12.56,12.56,000,12.522
2016-08-26,12.55,12.55,12.55,12.55,000,12.512031
2016-08-25,12.55,12.55,12.55,12.55,000,12.512031
2016-08-24,12.56,12.56,12.56,12.56,000,12.522
2016-08-23,12.55,12.55,12.55,12.55,000,12.512031
2016-08-22,12.55,12.55,12.55,12.55,000,12.512031
2016-08-19,12.55,12.55,12.55,12.55,000,12.512031
2016-08-18,12.55,12.55,12.55,12.55,000,12.512031
2016-08-17,12.54,12.54,12.54,12.54,000,12.502061
2016-08-16,12.54,12.54,12.54,12.54,000,12.502061
2016-08-15,12.54,12.54,12.54,12.54,000,12.502061
2016-08-12,12.54,12.54,12.54,12.54,000,12.502061
2016-08-11,12.53,12.53,12.53,12.53,000,12.492091
2016-08-10,12.53,12.53,12.53,12.53,000,12.492091
2016-08-09,12.51,12.51,12.51,12.51,000,12.472152
2016-08-08,12.51,12.51,12.51,12.51,000,12.472152
2016-08-05,12.51,12.51,12.51,12.51,000,12.472152
2016-08-04,12.53,12.53,12.53,12.53,000,12.492091
2016-08-03,12.51,12.51,12.51,12.51,000,12.472152
2016-08-02,12.50,12.50,12.50,12.50,000,12.462182
2016-08-01,12.52,12.52,12.52,12.52,000,12.482122
2016-07-29,12.53,12.53,12.53,12.53,000,12.492091
2016-07-28,12.52,12.52,12.52,12.52,000,12.444237
2016-07-27,12.51,12.51,12.51,12.51,000,12.434297
2016-07-26,12.50,12.50,12.50,12.50,000,12.424357
2016-07-25,12.49,12.49,12.49,12.49,000,12.414418
2016-07-22,12.49,12.49,12.49,12.49,000,12.414418
2016-07-21,12.49,12.49,12.49,12.49,000,12.414418
2016-07-20,12.50,12.50,12.50,12.50,000,12.424357
2016-07-19,12.50,12.50,12.50,12.50,000,12.424357
2016-07-18,12.50,12.50,12.50,12.50,000,12.424357
2016-07-15,12.51,12.51,12.51,12.51,000,12.434297
2016-07-14,12.54,12.54,12.54,12.54,000,12.464115
2016-07-13,12.56,12.56,12.56,12.56,000,12.483995
2016-07-12,12.56,12.56,12.56,12.56,000,12.483995
2016-07-11,12.59,12.59,12.59,12.59,000,12.513813
2016-07-08,12.60,12.60,12.60,12.60,000,12.523752
2016-07-07,12.60,12.60,12.60,12.60,000,12.523752
2016-07-06,12.61,12.61,12.61,12.61,000,12.533691
2016-07-05,12.60,12.60,12.60,12.60,000,12.523752
2016-07-01,12.57,12.57,12.57,12.57,000,12.493933
2016-06-30,12.56,12.56,12.56,12.56,000,12.483995
2016-06-29,12.56,12.56,12.56,12.56,000,12.447218
2016-06-28,12.57,12.57,12.57,12.57,000,12.457127
2016-06-27,12.58,12.58,12.58,12.58,000,12.467038
2016-06-24,12.54,12.54,12.54,12.54,000,12.427397
2016-06-23,12.45,12.45,12.45,12.45,000,12.338205
2016-06-22,12.47,12.47,12.47,12.47,000,12.358026
2016-06-21,12.47,12.47,12.47,12.47,000,12.358026
2016-06-20,12.47,12.47,12.47,12.47,000,12.358026
2016-06-17,12.50,12.50,12.50,12.50,000,12.387756
2016-06-16,12.50,12.50,12.50,12.50,000,12.387756
2016-06-15,12.47,12.47,12.47,12.47,000,12.358026
2016-06-14,12.47,12.47,12.47,12.47,000,12.358026
2016-06-13,12.44,12.44,12.44,12.44,000,12.328295
2016-06-10,12.44,12.44,12.44,12.44,000,12.328295
2016-06-09,12.41,12.41,12.41,12.41,000,12.298564
2016-06-08,12.38,12.38,12.38,12.38,000,12.268834
2016-06-07,12.38,12.38,12.38,12.38,000,12.268834
2016-06-06,12.37,12.37,12.37,12.37,000,12.258923
2016-06-03,12.37,12.37,12.37,12.37,000,12.258923
2016-06-02,12.35,12.35,12.35,12.35,000,12.239104
2016-06-01,12.34,12.34,12.34,12.34,000,12.229193
2016-05-31,12.34,12.34,12.34,12.34,000,12.229193
2016-05-27,12.34,12.34,12.34,12.34,000,12.192526
2016-05-26,12.34,12.34,12.34,12.34,000,12.192526
2016-05-25,12.34,12.34,12.34,12.34,000,12.192526
2016-05-24,12.35,12.35,12.35,12.35,000,12.202407
2016-05-23,12.36,12.36,12.36,12.36,000,12.212286
2016-05-20,12.36,12.36,12.36,12.36,000,12.212286
2016-05-19,12.36,12.36,12.36,12.36,000,12.212286
2016-05-18,12.37,12.37,12.37,12.37,000,12.222167
2016-05-17,12.40,12.40,12.40,12.40,000,12.251808
