Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,12.15,12.15,12.15,12.15,000,12.15
2016-09-15,12.15,12.15,12.15,12.15,000,12.15
2016-09-14,12.17,12.17,12.17,12.17,000,12.17
2016-09-13,12.17,12.17,12.17,12.17,000,12.17
2016-09-12,12.19,12.19,12.19,12.19,000,12.19
2016-09-09,12.21,12.21,12.21,12.21,000,12.21
2016-09-08,12.24,12.24,12.24,12.24,000,12.24
2016-09-07,12.25,12.25,12.25,12.25,000,12.25
2016-09-06,12.25,12.25,12.25,12.25,000,12.25
2016-09-02,12.24,12.24,12.24,12.24,000,12.24
2016-09-01,12.26,12.26,12.26,12.26,000,12.26
2016-08-31,12.26,12.26,12.26,12.26,000,12.26
2016-08-30,12.26,12.26,12.26,12.26,000,12.228001
2016-08-29,12.26,12.26,12.26,12.26,000,12.228001
2016-08-26,12.26,12.26,12.26,12.26,000,12.228001
2016-08-25,12.26,12.26,12.26,12.26,000,12.228001
2016-08-24,12.27,12.27,12.27,12.27,000,12.237975
2016-08-23,12.27,12.27,12.27,12.27,000,12.237975
2016-08-22,12.27,12.27,12.27,12.27,000,12.237975
2016-08-19,12.26,12.26,12.26,12.26,000,12.228001
2016-08-18,12.26,12.26,12.26,12.26,000,12.228001
2016-08-17,12.26,12.26,12.26,12.26,000,12.228001
2016-08-16,12.25,12.25,12.25,12.25,000,12.218026
2016-08-15,12.26,12.26,12.26,12.26,000,12.228001
2016-08-12,12.26,12.26,12.26,12.26,000,12.228001
2016-08-11,12.24,12.24,12.24,12.24,000,12.208052
2016-08-10,12.24,12.24,12.24,12.24,000,12.208052
2016-08-09,12.23,12.23,12.23,12.23,000,12.198078
2016-08-08,12.22,12.22,12.22,12.22,000,12.188105
2016-08-05,12.23,12.23,12.23,12.23,000,12.198078
2016-08-04,12.24,12.24,12.24,12.24,000,12.208052
2016-08-03,12.23,12.23,12.23,12.23,000,12.198078
2016-08-02,12.23,12.23,12.23,12.23,000,12.198078
2016-08-01,12.25,12.25,12.25,12.25,000,12.218026
2016-07-29,12.26,12.26,12.26,12.26,000,12.228001
2016-07-28,12.25,12.25,12.25,12.25,000,12.18611
2016-07-27,12.25,12.25,12.25,12.25,000,12.18611
2016-07-26,12.24,12.24,12.24,12.24,000,12.176162
2016-07-25,12.23,12.23,12.23,12.23,000,12.166214
2016-07-22,12.23,12.23,12.23,12.23,000,12.166214
2016-07-21,12.23,12.23,12.23,12.23,000,12.166214
2016-07-20,12.24,12.24,12.24,12.24,000,12.176162
2016-07-19,12.25,12.25,12.25,12.25,000,12.18611
2016-07-18,12.25,12.25,12.25,12.25,000,12.18611
2016-07-15,12.25,12.25,12.25,12.25,000,12.18611
2016-07-14,12.28,12.28,12.28,12.28,000,12.215953
2016-07-13,12.30,12.30,12.30,12.30,000,12.235849
2016-07-12,12.30,12.30,12.30,12.30,000,12.235849
2016-07-11,12.33,12.33,12.33,12.33,000,12.265692
2016-07-08,12.34,12.34,12.34,12.34,000,12.275641
2016-07-07,12.34,12.34,12.34,12.34,000,12.275641
2016-07-06,12.35,12.35,12.35,12.35,000,12.285589
2016-07-05,12.35,12.35,12.35,12.35,000,12.285589
2016-07-01,12.32,12.32,12.32,12.32,000,12.255744
2016-06-30,12.31,12.31,12.31,12.31,000,12.245797
2016-06-29,12.31,12.31,12.31,12.31,000,12.214958
2016-06-28,12.32,12.32,12.32,12.32,000,12.224881
2016-06-27,12.34,12.34,12.34,12.34,000,12.244727
2016-06-24,12.30,12.30,12.30,12.30,000,12.205035
2016-06-23,12.21,12.21,12.21,12.21,000,12.11573
2016-06-22,12.23,12.23,12.23,12.23,000,12.135575
2016-06-21,12.23,12.23,12.23,12.23,000,12.135575
2016-06-20,12.24,12.24,12.24,12.24,000,12.145498
2016-06-17,12.26,12.26,12.26,12.26,000,12.165344
2016-06-16,12.27,12.27,12.27,12.27,000,12.175267
2016-06-15,12.24,12.24,12.24,12.24,000,12.145498
2016-06-14,12.24,12.24,12.24,12.24,000,12.145498
2016-06-13,12.22,12.22,12.22,12.22,000,12.125653
2016-06-10,12.21,12.21,12.21,12.21,000,12.11573
2016-06-09,12.19,12.19,12.19,12.19,000,12.095884
2016-06-08,12.16,12.16,12.16,12.16,000,12.066116
2016-06-07,12.15,12.15,12.15,12.15,000,12.056193
2016-06-06,12.14,12.14,12.14,12.14,000,12.046271
2016-06-03,12.14,12.14,12.14,12.14,000,12.046271
2016-06-02,12.12,12.12,12.12,12.12,000,12.026425
2016-06-01,12.11,12.11,12.11,12.11,000,12.016502
2016-05-31,12.11,12.11,12.11,12.11,000,12.016502
2016-05-27,12.11,12.11,12.11,12.11,000,11.984749
2016-05-26,12.12,12.12,12.12,12.12,000,11.994646
2016-05-25,12.12,12.12,12.12,12.12,000,11.994646
2016-05-24,12.13,12.13,12.13,12.13,000,12.004543
2016-05-23,12.14,12.14,12.14,12.14,000,12.01444
2016-05-20,12.14,12.14,12.14,12.14,000,12.01444
