Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,12.17,12.17,12.17,12.17,000,12.17
2016-09-12,12.19,12.19,12.19,12.19,000,12.19
2016-09-09,12.21,12.21,12.21,12.21,000,12.21
2016-09-08,12.24,12.24,12.24,12.24,000,12.24
2016-09-07,12.25,12.25,12.25,12.25,000,12.25
2016-09-06,12.25,12.25,12.25,12.25,000,12.25
2016-09-02,12.24,12.24,12.24,12.24,000,12.24
2016-09-01,12.26,12.26,12.26,12.26,000,12.26
2016-08-31,12.26,12.26,12.26,12.26,000,12.26
2016-08-30,12.26,12.26,12.26,12.26,000,12.227
2016-08-29,12.26,12.26,12.26,12.26,000,12.227
2016-08-26,12.26,12.26,12.26,12.26,000,12.227
2016-08-25,12.26,12.26,12.26,12.26,000,12.227
2016-08-24,12.27,12.27,12.27,12.27,000,12.236973
2016-08-23,12.27,12.27,12.27,12.27,000,12.236973
2016-08-22,12.27,12.27,12.27,12.27,000,12.236973
2016-08-19,12.26,12.26,12.26,12.26,000,12.227
2016-08-18,12.26,12.26,12.26,12.26,000,12.227
2016-08-17,12.26,12.26,12.26,12.26,000,12.227
2016-08-16,12.25,12.25,12.25,12.25,000,12.217027
2016-08-15,12.26,12.26,12.26,12.26,000,12.227
2016-08-12,12.26,12.26,12.26,12.26,000,12.227
2016-08-11,12.24,12.24,12.24,12.24,000,12.207054
2016-08-10,12.24,12.24,12.24,12.24,000,12.207054
2016-08-09,12.23,12.23,12.23,12.23,000,12.19708
2016-08-08,12.22,12.22,12.22,12.22,000,12.187108
2016-08-05,12.23,12.23,12.23,12.23,000,12.19708
2016-08-04,12.24,12.24,12.24,12.24,000,12.207054
2016-08-03,12.23,12.23,12.23,12.23,000,12.19708
2016-08-02,12.23,12.23,12.23,12.23,000,12.19708
2016-08-01,12.25,12.25,12.25,12.25,000,12.217027
2016-07-29,12.26,12.26,12.26,12.26,000,12.227
2016-07-28,12.25,12.25,12.25,12.25,000,12.184116
2016-07-27,12.25,12.25,12.25,12.25,000,12.184116
2016-07-26,12.24,12.24,12.24,12.24,000,12.174169
2016-07-25,12.23,12.23,12.23,12.23,000,12.164223
