Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,12.94,12.94,12.94,12.94,000,12.94
2016-09-15,12.94,12.94,12.94,12.94,000,12.94
2016-09-14,12.95,12.95,12.95,12.95,000,12.95
2016-09-13,12.95,12.95,12.95,12.95,000,12.95
2016-09-12,12.98,12.98,12.98,12.98,000,12.98
2016-09-09,13.00,13.00,13.00,13.00,000,13.00
2016-09-08,13.03,13.03,13.03,13.03,000,13.03
2016-09-07,13.04,13.04,13.04,13.04,000,13.04
2016-09-06,13.04,13.04,13.04,13.04,000,13.04
2016-09-02,13.04,13.04,13.04,13.04,000,13.04
2016-09-01,13.05,13.05,13.05,13.05,000,13.05
2016-08-31,13.06,13.06,13.06,13.06,000,13.06
2016-08-30,13.06,13.06,13.06,13.06,000,13.026001
2016-08-29,13.06,13.06,13.06,13.06,000,13.026001
2016-08-26,13.06,13.06,13.06,13.06,000,13.026001
2016-08-25,13.06,13.06,13.06,13.06,000,13.026001
2016-08-24,13.07,13.07,13.07,13.07,000,13.035974
2016-08-23,13.07,13.07,13.07,13.07,000,13.035974
2016-08-22,13.07,13.07,13.07,13.07,000,13.035974
2016-08-19,13.06,13.06,13.06,13.06,000,13.026001
2016-08-18,13.06,13.06,13.06,13.06,000,13.026001
2016-08-17,13.05,13.05,13.05,13.05,000,13.016026
2016-08-16,13.04,13.04,13.04,13.04,000,13.006052
2016-08-15,13.05,13.05,13.05,13.05,000,13.016026
2016-08-12,13.05,13.05,13.05,13.05,000,13.016026
2016-08-11,13.04,13.04,13.04,13.04,000,13.006052
2016-08-10,13.04,13.04,13.04,13.04,000,13.006052
2016-08-09,13.02,13.02,13.02,13.02,000,12.986105
2016-08-08,13.02,13.02,13.02,13.02,000,12.986105
2016-08-05,13.02,13.02,13.02,13.02,000,12.986105
2016-08-04,13.04,13.04,13.04,13.04,000,13.006052
2016-08-03,13.02,13.02,13.02,13.02,000,12.986105
2016-08-02,13.02,13.02,13.02,13.02,000,12.986105
2016-08-01,13.05,13.05,13.05,13.05,000,13.016026
2016-07-29,13.06,13.06,13.06,13.06,000,13.026001
2016-07-28,13.05,13.05,13.05,13.05,000,12.982115
2016-07-27,13.04,13.04,13.04,13.04,000,12.972167
2016-07-26,13.03,13.03,13.03,13.03,000,12.962219
2016-07-25,13.03,13.03,13.03,13.03,000,12.962219
2016-07-22,13.03,13.03,13.03,13.03,000,12.962219
2016-07-21,13.03,13.03,13.03,13.03,000,12.962219
2016-07-20,13.04,13.04,13.04,13.04,000,12.972167
2016-07-19,13.05,13.05,13.05,13.05,000,12.982115
2016-07-18,13.05,13.05,13.05,13.05,000,12.982115
2016-07-15,13.06,13.06,13.06,13.06,000,12.992063
2016-07-14,13.09,13.09,13.09,13.09,000,13.021907
2016-07-13,13.11,13.11,13.11,13.11,000,13.041802
2016-07-12,13.11,13.11,13.11,13.11,000,13.041802
2016-07-11,13.15,13.15,13.15,13.15,000,13.081594
2016-07-08,13.16,13.16,13.16,13.16,000,13.091542
