Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,11.08,11.08,11.08,11.08,000,11.08
2016-09-12,11.34,11.34,11.34,11.34,000,11.34
2016-09-09,11.30,11.30,11.30,11.30,000,11.30
2016-09-08,11.53,11.53,11.53,11.53,000,11.53
2016-09-07,11.59,11.59,11.59,11.59,000,11.59
2016-09-06,11.53,11.53,11.53,11.53,000,11.53
2016-09-02,11.36,11.36,11.36,11.36,000,11.36
2016-09-01,11.31,11.31,11.31,11.31,000,11.31
2016-08-31,11.26,11.26,11.26,11.26,000,11.26
2016-08-30,11.25,11.25,11.25,11.25,000,11.25
2016-08-29,11.30,11.30,11.30,11.30,000,11.30
2016-08-26,11.26,11.26,11.26,11.26,000,11.26
2016-08-25,11.37,11.37,11.37,11.37,000,11.37
2016-08-24,11.37,11.37,11.37,11.37,000,11.37
2016-08-23,11.40,11.40,11.40,11.40,000,11.40
2016-08-22,11.36,11.36,11.36,11.36,000,11.36
2016-08-19,11.35,11.35,11.35,11.35,000,11.35
2016-08-18,11.40,11.40,11.40,11.40,000,11.40
2016-08-17,11.41,11.41,11.41,11.41,000,11.41
2016-08-16,11.39,11.39,11.39,11.39,000,11.39
2016-08-15,11.45,11.45,11.45,11.45,000,11.45
2016-08-12,11.40,11.40,11.40,11.40,000,11.40
2016-08-11,11.43,11.43,11.43,11.43,000,11.43
2016-08-10,11.38,11.38,11.38,11.38,000,11.38
2016-08-09,11.34,11.34,11.34,11.34,000,11.34
2016-08-08,11.26,11.26,11.26,11.26,000,11.26
2016-08-05,11.21,11.21,11.21,11.21,000,11.21
2016-08-04,11.13,11.13,11.13,11.13,000,11.13
2016-08-03,11.07,11.07,11.07,11.07,000,11.07
2016-08-02,11.16,11.16,11.16,11.16,000,11.16
2016-08-01,11.22,11.22,11.22,11.22,000,11.22
2016-07-29,11.23,11.23,11.23,11.23,000,11.23
2016-07-28,11.04,11.04,11.04,11.04,000,11.04
2016-07-27,11.04,11.04,11.04,11.04,000,11.04
2016-07-26,11.04,11.04,11.04,11.04,000,11.04
2016-07-25,10.98,10.98,10.98,10.98,000,10.98
2016-07-22,11.00,11.00,11.00,11.00,000,11.00
2016-07-21,10.99,10.99,10.99,10.99,000,10.99
2016-07-20,11.02,11.02,11.02,11.02,000,11.02
2016-07-19,10.96,10.96,10.96,10.96,000,10.96
2016-07-18,11.00,11.00,11.00,11.00,000,11.00
2016-07-15,10.98,10.98,10.98,10.98,000,10.98
2016-07-14,11.01,11.01,11.01,11.01,000,11.01
2016-07-13,10.95,10.95,10.95,10.95,000,10.95
2016-07-12,10.96,10.96,10.96,10.96,000,10.96
2016-07-11,10.85,10.85,10.85,10.85,000,10.85
2016-07-08,10.67,10.67,10.67,10.67,000,10.67
2016-07-07,10.62,10.62,10.62,10.62,000,10.62
2016-07-06,10.61,10.61,10.61,10.61,000,10.61
2016-07-05,10.60,10.60,10.60,10.60,000,10.60
2016-07-01,10.65,10.65,10.65,10.65,000,10.65
2016-06-30,10.64,10.64,10.64,10.64,000,10.64
2016-06-29,10.59,10.59,10.59,10.59,000,10.59
2016-06-28,10.44,10.44,10.44,10.44,000,10.44
2016-06-27,10.27,10.27,10.27,10.27,000,10.27
2016-06-24,10.36,10.36,10.36,10.36,000,10.36
2016-06-23,10.84,10.84,10.84,10.84,000,10.84
2016-06-22,10.66,10.66,10.66,10.66,000,10.66
2016-06-21,10.69,10.69,10.69,10.69,000,10.69
2016-06-20,10.61,10.61,10.61,10.61,000,10.61
2016-06-17,10.40,10.40,10.40,10.40,000,10.40
2016-06-16,10.41,10.41,10.41,10.41,000,10.41
2016-06-15,10.45,10.45,10.45,10.45,000,10.45
2016-06-14,10.39,10.39,10.39,10.39,000,10.39
2016-06-13,10.46,10.46,10.46,10.46,000,10.46
2016-06-10,10.74,10.74,10.74,10.74,000,10.658
2016-06-09,10.91,10.91,10.91,10.91,000,10.826702
2016-06-08,11.01,11.01,11.01,11.01,000,10.925939
2016-06-07,10.94,10.94,10.94,10.94,000,10.856473
2016-06-06,10.84,10.84,10.84,10.84,000,10.757237
2016-06-03,10.74,10.74,10.74,10.74,000,10.658
2016-06-02,10.66,10.66,10.66,10.66,000,10.578611
2016-06-01,10.69,10.69,10.69,10.69,000,10.608381
2016-05-31,10.71,10.71,10.71,10.71,000,10.628229
2016-05-27,10.66,10.66,10.66,10.66,000,10.578611
2016-05-26,10.65,10.65,10.65,10.65,000,10.568687
2016-05-25,10.65,10.65,10.65,10.65,000,10.568687
2016-05-24,10.57,10.57,10.57,10.57,000,10.489298
2016-05-23,10.53,10.53,10.53,10.53,000,10.449603
2016-05-20,10.56,10.56,10.56,10.56,000,10.479375
2016-05-19,10.49,10.49,10.49,10.49,000,10.409909
2016-05-18,10.55,10.55,10.55,10.55,000,10.469451
2016-05-17,10.59,10.59,10.59,10.59,000,10.509146
2016-05-16,10.62,10.62,10.62,10.62,000,10.538916
2016-05-13,10.52,10.52,10.52,10.52,000,10.43968
2016-05-12,10.64,10.64,10.64,10.64,000,10.558764
2016-05-11,10.62,10.62,10.62,10.62,000,10.538916
2016-05-10,10.75,10.75,10.75,10.75,000,10.667924
2016-05-09,10.54,10.54,10.54,10.54,000,10.459527
2016-05-06,10.59,10.59,10.59,10.59,000,10.509146
2016-05-05,10.58,10.58,10.58,10.58,000,10.499222
2016-05-04,10.52,10.52,10.52,10.52,000,10.43968
2016-05-03,10.63,10.63,10.63,10.63,000,10.54884
2016-05-02,10.76,10.76,10.76,10.76,000,10.677848
2016-04-29,10.66,10.66,10.66,10.66,000,10.578611
2016-04-28,10.73,10.73,10.73,10.73,000,10.648076
2016-04-27,10.93,10.93,10.93,10.93,000,10.84655
2016-04-26,11.01,11.01,11.01,11.01,000,10.925939
2016-04-25,11.01,11.01,11.01,11.01,000,10.925939
2016-04-22,11.09,11.09,11.09,11.09,000,11.005328
2016-04-21,11.05,11.05,11.05,11.05,000,10.965633
2016-04-20,11.07,11.07,11.07,11.07,000,10.98548
2016-04-19,11.05,11.05,11.05,11.05,000,10.965633
2016-04-18,10.90,10.90,10.90,10.90,000,10.816778
2016-04-15,10.85,10.85,10.85,10.85,000,10.767161
2016-04-14,10.87,10.87,10.87,10.87,000,10.787007
2016-04-13,10.81,10.81,10.81,10.81,000,10.727466
2016-04-12,10.60,10.60,10.60,10.60,000,10.519069
2016-04-11,10.38,10.38,10.38,10.38,000,10.300749
2016-04-08,10.40,10.40,10.40,10.40,000,10.320596
2016-04-07,10.20,10.20,10.20,10.20,000,10.122123
2016-04-06,10.27,10.27,10.27,10.27,000,10.191589
2016-04-05,10.12,10.12,10.12,10.12,000,10.042734
2016-04-04,10.34,10.34,10.34,10.34,000,10.261054
2016-04-01,10.37,10.37,10.37,10.37,000,10.290825
2016-03-31,10.57,10.57,10.57,10.57,000,10.489298
2016-03-30,10.65,10.65,10.65,10.65,000,10.568687
2016-03-29,10.64,10.64,10.64,10.64,000,10.558764
2016-03-28,10.52,10.52,10.52,10.52,000,10.43968
2016-03-24,10.44,10.44,10.44,10.44,000,10.36029
2016-03-23,10.51,10.51,10.51,10.51,000,10.429756
2016-03-22,10.63,10.63,10.63,10.63,000,10.54884
2016-03-21,10.58,10.58,10.58,10.58,000,10.499222
2016-03-18,10.59,10.59,10.59,10.59,000,10.509146
2016-03-17,10.59,10.59,10.59,10.59,000,10.509146
2016-03-16,10.48,10.48,10.48,10.48,000,10.399985
2016-03-15,10.41,10.41,10.41,10.41,000,10.33052
2016-03-14,10.51,10.51,10.51,10.51,000,10.429756
2016-03-11,10.53,10.53,10.53,10.53,000,10.430748
2016-03-10,10.29,10.29,10.29,10.29,000,10.193011
2016-03-09,10.30,10.30,10.30,10.30,000,10.202917
2016-03-08,10.28,10.28,10.28,10.28,000,10.183105
2016-03-07,10.39,10.39,10.39,10.39,000,10.292069
2016-03-04,10.44,10.44,10.44,10.44,000,10.341597
2016-03-03,10.32,10.32,10.32,10.32,000,10.222728
2016-03-02,10.19,10.19,10.19,10.19,000,10.093953
2016-03-01,10.05,10.05,10.05,10.05,000,9.955273
2016-02-29,9.82,9.82,9.82,9.82,000,9.72744
2016-02-26,9.86,9.86,9.86,9.86,000,9.767063
2016-02-25,9.93,9.93,9.93,9.93,000,9.836404
2016-02-24,9.84,9.84,9.84,9.84,000,9.747252
2016-02-23,9.82,9.82,9.82,9.82,000,9.72744
2016-02-22,9.97,9.97,9.97,9.97,000,9.876027
2016-02-19,9.78,9.78,9.78,9.78,000,9.687818
