Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,11.92,11.92,11.92,11.92,000,11.92
2016-09-15,11.92,11.92,11.92,11.92,000,11.92
2016-09-14,11.93,11.93,11.93,11.93,000,11.93
2016-09-13,11.93,11.93,11.93,11.93,000,11.93
2016-09-12,11.95,11.95,11.95,11.95,000,11.95
2016-09-09,11.97,11.97,11.97,11.97,000,11.97
2016-09-08,12.00,12.00,12.00,12.00,000,12.00
2016-09-07,12.01,12.01,12.01,12.01,000,12.01
2016-09-06,12.01,12.01,12.01,12.01,000,12.01
2016-09-02,12.01,12.01,12.01,12.01,000,12.01
2016-09-01,12.02,12.02,12.02,12.02,000,12.02
2016-08-31,12.02,12.02,12.02,12.02,000,12.02
2016-08-30,12.02,12.02,12.02,12.02,000,11.984
2016-08-29,12.02,12.02,12.02,12.02,000,11.984
2016-08-26,12.02,12.02,12.02,12.02,000,11.984
2016-08-25,12.03,12.03,12.03,12.03,000,11.99397
2016-08-24,12.03,12.03,12.03,12.03,000,11.99397
2016-08-23,12.03,12.03,12.03,12.03,000,11.99397
2016-08-22,12.03,12.03,12.03,12.03,000,11.99397
2016-08-19,12.03,12.03,12.03,12.03,000,11.99397
2016-08-18,12.03,12.03,12.03,12.03,000,11.99397
2016-08-17,12.02,12.02,12.02,12.02,000,11.984
2016-08-16,12.02,12.02,12.02,12.02,000,11.984
2016-08-15,12.02,12.02,12.02,12.02,000,11.984
2016-08-12,12.02,12.02,12.02,12.02,000,11.984
2016-08-11,12.01,12.01,12.01,12.01,000,11.97403
2016-08-10,12.01,12.01,12.01,12.01,000,11.97403
2016-08-09,11.99,11.99,11.99,11.99,000,11.95409
2016-08-08,11.99,11.99,11.99,11.99,000,11.95409
2016-08-05,12.00,12.00,12.00,12.00,000,11.96406
2016-08-04,12.01,12.01,12.01,12.01,000,11.97403
2016-08-03,12.00,12.00,12.00,12.00,000,11.96406
2016-08-02,12.00,12.00,12.00,12.00,000,11.96406
2016-08-01,12.02,12.02,12.02,12.02,000,11.984
2016-07-29,12.02,12.02,12.02,12.02,000,11.984
2016-07-28,12.02,12.02,12.02,12.02,000,11.948108
2016-07-27,12.01,12.01,12.01,12.01,000,11.938168
2016-07-26,12.00,12.00,12.00,12.00,000,11.928228
2016-07-25,12.00,12.00,12.00,12.00,000,11.928228
2016-07-22,12.00,12.00,12.00,12.00,000,11.928228
2016-07-21,12.00,12.00,12.00,12.00,000,11.928228
2016-07-20,12.01,12.01,12.01,12.01,000,11.938168
2016-07-19,12.02,12.02,12.02,12.02,000,11.948108
2016-07-18,12.02,12.02,12.02,12.02,000,11.948108
2016-07-15,12.02,12.02,12.02,12.02,000,11.948108
2016-07-14,12.05,12.05,12.05,12.05,000,11.977929
2016-07-13,12.07,12.07,12.07,12.07,000,11.997809
2016-07-12,12.07,12.07,12.07,12.07,000,11.997809
2016-07-11,12.10,12.10,12.10,12.10,000,12.02763
2016-07-08,12.11,12.11,12.11,12.11,000,12.037569
2016-07-07,12.11,12.11,12.11,12.11,000,12.037569
2016-07-06,12.12,12.12,12.12,12.12,000,12.04751
2016-07-05,12.11,12.11,12.11,12.11,000,12.037569
2016-07-01,12.09,12.09,12.09,12.09,000,12.01769
2016-06-30,12.07,12.07,12.07,12.07,000,11.997809
2016-06-29,12.08,12.08,12.08,12.08,000,11.972958
2016-06-28,12.08,12.08,12.08,12.08,000,11.972958
2016-06-27,12.10,12.10,12.10,12.10,000,11.992781
2016-06-24,12.06,12.06,12.06,12.06,000,11.953136
2016-06-23,11.98,11.98,11.98,11.98,000,11.873844
2016-06-22,12.00,12.00,12.00,12.00,000,11.893667
2016-06-21,12.00,12.00,12.00,12.00,000,11.893667
2016-06-20,12.01,12.01,12.01,12.01,000,11.903579
2016-06-17,12.03,12.03,12.03,12.03,000,11.923401
2016-06-16,12.03,12.03,12.03,12.03,000,11.923401
2016-06-15,12.01,12.01,12.01,12.01,000,11.903579
2016-06-14,12.00,12.00,12.00,12.00,000,11.893667
2016-06-13,11.98,11.98,11.98,11.98,000,11.873844
2016-06-10,11.98,11.98,11.98,11.98,000,11.873844
2016-06-09,11.96,11.96,11.96,11.96,000,11.854022
2016-06-08,11.93,11.93,11.93,11.93,000,11.824288
2016-06-07,11.93,11.93,11.93,11.93,000,11.824288
2016-06-06,11.92,11.92,11.92,11.92,000,11.814376
2016-06-03,11.92,11.92,11.92,11.92,000,11.814376
2016-06-02,11.90,11.90,11.90,11.90,000,11.794553
2016-06-01,11.89,11.89,11.89,11.89,000,11.784642
2016-05-31,11.89,11.89,11.89,11.89,000,11.784642
2016-05-27,11.89,11.89,11.89,11.89,000,11.749952
2016-05-26,11.89,11.89,11.89,11.89,000,11.749952
2016-05-25,11.89,11.89,11.89,11.89,000,11.749952
2016-05-24,11.89,11.89,11.89,11.89,000,11.749952
2016-05-23,11.90,11.90,11.90,11.90,000,11.759834
2016-05-20,11.90,11.90,11.90,11.90,000,11.759834
2016-05-19,11.90,11.90,11.90,11.90,000,11.759834
2016-05-18,11.91,11.91,11.91,11.91,000,11.769716
2016-05-17,11.94,11.94,11.94,11.94,000,11.799362
2016-05-16,11.93,11.93,11.93,11.93,000,11.789481
2016-05-13,11.93,11.93,11.93,11.93,000,11.789481
2016-05-12,11.93,11.93,11.93,11.93,000,11.789481
2016-05-11,11.93,11.93,11.93,11.93,000,11.789481
2016-05-10,11.91,11.91,11.91,11.91,000,11.769716
2016-05-09,11.90,11.90,11.90,11.90,000,11.759834
2016-05-06,11.90,11.90,11.90,11.90,000,11.759834
2016-05-05,11.90,11.90,11.90,11.90,000,11.759834
2016-05-04,11.89,11.89,11.89,11.89,000,11.749952
2016-05-03,11.89,11.89,11.89,11.89,000,11.749952
2016-05-02,11.87,11.87,11.87,11.87,000,11.730187
2016-04-29,11.87,11.87,11.87,11.87,000,11.730187
2016-04-28,11.86,11.86,11.86,11.86,000,11.685717
2016-04-27,11.85,11.85,11.85,11.85,000,11.675865
2016-04-26,11.84,11.84,11.84,11.84,000,11.666011
2016-04-25,11.85,11.85,11.85,11.85,000,11.675865
2016-04-22,11.85,11.85,11.85,11.85,000,11.675865
2016-04-21,11.86,11.86,11.86,11.86,000,11.685717
2016-04-20,11.89,11.89,11.89,11.89,000,11.715277
2016-04-19,11.89,11.89,11.89,11.89,000,11.715277
2016-04-18,11.88,11.88,11.88,11.88,000,11.705424
2016-04-15,11.88,11.88,11.88,11.88,000,11.705424
2016-04-14,11.87,11.87,11.87,11.87,000,11.69557
2016-04-13,11.87,11.87,11.87,11.87,000,11.69557
2016-04-12,11.87,11.87,11.87,11.87,000,11.69557
2016-04-11,11.88,11.88,11.88,11.88,000,11.705424
2016-04-08,11.88,11.88,11.88,11.88,000,11.705424
2016-04-07,11.88,11.88,11.88,11.88,000,11.705424
2016-04-06,11.85,11.85,11.85,11.85,000,11.675865
2016-04-05,11.84,11.84,11.84,11.84,000,11.666011
2016-04-04,11.81,11.81,11.81,11.81,000,11.636453
2016-04-01,11.80,11.80,11.80,11.80,000,11.626599
2016-03-31,11.79,11.79,11.79,11.79,000,11.616746
2016-03-30,11.77,11.77,11.77,11.77,000,11.56157
2016-03-29,11.76,11.76,11.76,11.76,000,11.551746
2016-03-28,11.75,11.75,11.75,11.75,000,11.541923
2016-03-24,11.75,11.75,11.75,11.75,000,11.541923
2016-03-23,11.75,11.75,11.75,11.75,000,11.541923
2016-03-22,11.74,11.74,11.74,11.74,000,11.5321
2016-03-21,11.74,11.74,11.74,11.74,000,11.5321
2016-03-18,11.74,11.74,11.74,11.74,000,11.5321
2016-03-17,11.74,11.74,11.74,11.74,000,11.5321
2016-03-16,11.72,11.72,11.72,11.72,000,11.512455
2016-03-15,11.71,11.71,11.71,11.71,000,11.502632
2016-03-14,11.71,11.71,11.71,11.71,000,11.502632
2016-03-11,11.71,11.71,11.71,11.71,000,11.502632
2016-03-10,11.71,11.71,11.71,11.71,000,11.502632
2016-03-09,11.71,11.71,11.71,11.71,000,11.502632
2016-03-08,11.72,11.72,11.72,11.72,000,11.512455
2016-03-07,11.70,11.70,11.70,11.70,000,11.492809
2016-03-04,11.70,11.70,11.70,11.70,000,11.492809
2016-03-03,11.72,11.72,11.72,11.72,000,11.512455
2016-03-02,11.72,11.72,11.72,11.72,000,11.512455
2016-03-01,11.73,11.73,11.73,11.73,000,11.522277
2016-02-29,11.76,11.76,11.76,11.76,000,11.551746
2016-02-26,11.76,11.76,11.76,11.76,000,11.518349
2016-02-25,11.78,11.78,11.78,11.78,000,11.537937
2016-02-24,11.78,11.78,11.78,11.78,000,11.537937
2016-02-23,11.79,11.79,11.79,11.79,000,11.547732
2016-02-22,11.80,11.80,11.80,11.80,000,11.557527
2016-02-19,11.80,11.80,11.80,11.80,000,11.557527
2016-02-18,11.80,11.80,11.80,11.80,000,11.557527
2016-02-17,11.80,11.80,11.80,11.80,000,11.557527
2016-02-16,11.83,11.83,11.83,11.83,000,11.58691
2016-02-12,11.84,11.84,11.84,11.84,000,11.596705
2016-02-11,11.87,11.87,11.87,11.87,000,11.626088
2016-02-10,11.84,11.84,11.84,11.84,000,11.596705
2016-02-09,11.84,11.84,11.84,11.84,000,11.596705
2016-02-08,11.84,11.84,11.84,11.84,000,11.596705
2016-02-05,11.82,11.82,11.82,11.82,000,11.577115
2016-02-04,11.82,11.82,11.82,11.82,000,11.577115
2016-02-03,11.82,11.82,11.82,11.82,000,11.577115
2016-02-02,11.81,11.81,11.81,11.81,000,11.567322
2016-02-01,11.80,11.80,11.80,11.80,000,11.557527
2016-01-29,11.80,11.80,11.80,11.80,000,11.557527
2016-01-28,11.78,11.78,11.78,11.78,000,11.502677
2016-01-27,11.78,11.78,11.78,11.78,000,11.502677
2016-01-26,11.78,11.78,11.78,11.78,000,11.502677
2016-01-25,11.78,11.78,11.78,11.78,000,11.502677
