Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,17.75,17.75,17.75,17.75,000,17.75
2016-09-15,17.870001,17.870001,17.870001,17.870001,000,17.870001
2016-09-14,17.76,17.76,17.76,17.76,000,17.76
2016-09-13,17.76,17.76,17.76,17.76,000,17.76
2016-09-12,17.959999,17.959999,17.959999,17.959999,000,17.959999
2016-09-09,17.879999,17.879999,17.879999,17.879999,000,17.879999
2016-09-08,18.16,18.16,18.16,18.16,000,18.16
2016-09-07,18.209999,18.209999,18.209999,18.209999,000,18.209999
2016-09-06,18.200001,18.200001,18.200001,18.200001,000,18.200001
2016-09-02,18.09,18.09,18.09,18.09,000,18.09
2016-09-01,18.00,18.00,18.00,18.00,000,18.00
2016-08-31,17.99,17.99,17.99,17.99,000,17.99
2016-08-30,18.02,18.02,18.02,18.02,000,18.02
2016-08-29,18.040001,18.040001,18.040001,18.040001,000,18.040001
2016-08-26,17.99,17.99,17.99,17.99,000,17.99
2016-08-25,18.030001,18.030001,18.030001,18.030001,000,18.030001
2016-08-24,18.049999,18.049999,18.049999,18.049999,000,18.049999
2016-08-23,18.10,18.10,18.10,18.10,000,18.10
2016-08-22,18.08,18.08,18.08,18.08,000,18.08
2016-08-19,18.09,18.09,18.09,18.09,000,18.09
2016-08-18,18.15,18.15,18.15,18.15,000,18.15
2016-08-17,18.10,18.10,18.10,18.10,000,18.10
2016-08-16,18.09,18.09,18.09,18.09,000,18.09
2016-08-15,18.209999,18.209999,18.209999,18.209999,000,18.150999
2016-08-12,18.16,18.16,18.16,18.16,000,18.101162
2016-08-11,18.18,18.18,18.18,18.18,000,18.121097
2016-08-10,18.129999,18.129999,18.129999,18.129999,000,18.071258
2016-08-09,18.120001,18.120001,18.120001,18.120001,000,18.061292
2016-08-08,18.08,18.08,18.08,18.08,000,18.021421
2016-08-05,18.059999,18.059999,18.059999,18.059999,000,18.001485
2016-08-04,18.00,18.00,18.00,18.00,000,17.94168
2016-08-03,17.950001,17.950001,17.950001,17.950001,000,17.891843
2016-08-02,17.959999,17.959999,17.959999,17.959999,000,17.901809
2016-08-01,18.040001,18.040001,18.040001,18.040001,000,17.981552
2016-07-29,18.059999,18.059999,18.059999,18.059999,000,18.001485
2016-07-28,18.00,18.00,18.00,18.00,000,17.94168
2016-07-27,17.969999,17.969999,17.969999,17.969999,000,17.911777
2016-07-26,17.98,17.98,17.98,17.98,000,17.921745
2016-07-25,17.950001,17.950001,17.950001,17.950001,000,17.891843
2016-07-22,17.969999,17.969999,17.969999,17.969999,000,17.911777
2016-07-21,17.93,17.93,17.93,17.93,000,17.871907
2016-07-20,17.969999,17.969999,17.969999,17.969999,000,17.911777
2016-07-19,17.93,17.93,17.93,17.93,000,17.871907
2016-07-18,17.950001,17.950001,17.950001,17.950001,000,17.891843
2016-07-15,17.98,17.98,17.98,17.98,000,17.862935
2016-07-14,18.02,18.02,18.02,18.02,000,17.902676
2016-07-13,17.969999,17.969999,17.969999,17.969999,000,17.853
2016-07-12,17.959999,17.959999,17.959999,17.959999,000,17.843065
2016-07-11,17.870001,17.870001,17.870001,17.870001,000,17.753653
2016-07-08,17.790001,17.790001,17.790001,17.790001,000,17.674174
2016-07-07,17.639999,17.639999,17.639999,17.639999,000,17.525149
2016-07-06,17.68,17.68,17.68,17.68,000,17.564889
2016-07-05,17.66,17.66,17.66,17.66,000,17.545019
2016-07-01,17.77,17.77,17.77,17.77,000,17.654304
2016-06-30,17.719999,17.719999,17.719999,17.719999,000,17.604628
2016-06-29,17.57,17.57,17.57,17.57,000,17.455605
2016-06-28,17.370001,17.370001,17.370001,17.370001,000,17.256908
2016-06-27,17.139999,17.139999,17.139999,17.139999,000,17.028404
2016-06-24,17.299999,17.299999,17.299999,17.299999,000,17.187363
2016-06-23,17.77,17.77,17.77,17.77,000,17.654304
2016-06-22,17.610001,17.610001,17.610001,17.610001,000,17.495346
2016-06-21,17.610001,17.610001,17.610001,17.610001,000,17.495346
2016-06-20,17.57,17.57,17.57,17.57,000,17.455605
2016-06-17,17.42,17.42,17.42,17.42,000,17.306582
2016-06-16,17.40,17.40,17.40,17.40,000,17.286712
2016-06-15,17.459999,17.459999,17.459999,17.459999,000,17.287705
2016-06-14,17.43,17.43,17.43,17.43,000,17.258003
2016-06-13,17.50,17.50,17.50,17.50,000,17.327312
2016-06-10,17.629999,17.629999,17.629999,17.629999,000,17.456028
2016-06-09,17.790001,17.790001,17.790001,17.790001,000,17.614451
2016-06-08,17.84,17.84,17.84,17.84,000,17.663957
2016-06-07,17.77,17.77,17.77,17.77,000,17.594648
2016-06-06,17.709999,17.709999,17.709999,17.709999,000,17.535238
2016-06-03,17.639999,17.639999,17.639999,17.639999,000,17.46593
2016-06-02,17.59,17.59,17.59,17.59,000,17.416424
2016-06-01,17.559999,17.559999,17.559999,17.559999,000,17.386719
2016-05-31,17.549999,17.549999,17.549999,17.549999,000,17.376817
2016-05-27,17.57,17.57,17.57,17.57,000,17.396621
2016-05-26,17.530001,17.530001,17.530001,17.530001,000,17.357016
2016-05-25,17.50,17.50,17.50,17.50,000,17.327312
2016-05-24,17.42,17.42,17.42,17.42,000,17.248101
2016-05-23,17.299999,17.299999,17.299999,17.299999,000,17.129284
2016-05-20,17.33,17.33,17.33,17.33,000,17.158989
2016-05-19,17.26,17.26,17.26,17.26,000,17.08968
2016-05-18,17.32,17.32,17.32,17.32,000,17.149088
2016-05-17,17.360001,17.360001,17.360001,17.360001,000,17.188694
2016-05-16,17.49,17.49,17.49,17.49,000,17.258992
2016-05-13,17.40,17.40,17.40,17.40,000,17.170181
2016-05-12,17.49,17.49,17.49,17.49,000,17.258992
2016-05-11,17.50,17.50,17.50,17.50,000,17.26886
2016-05-10,17.57,17.57,17.57,17.57,000,17.337936
2016-05-09,17.450001,17.450001,17.450001,17.450001,000,17.219522
2016-05-06,17.459999,17.459999,17.459999,17.459999,000,17.229388
2016-05-05,17.43,17.43,17.43,17.43,000,17.199785
2016-05-04,17.43,17.43,17.43,17.43,000,17.199785
2016-05-03,17.51,17.51,17.51,17.51,000,17.278729
2016-05-02,17.65,17.65,17.65,17.65,000,17.416879
2016-04-29,17.58,17.58,17.58,17.58,000,17.347804
2016-04-28,17.639999,17.639999,17.639999,17.639999,000,17.407011
2016-04-27,17.709999,17.709999,17.709999,17.709999,000,17.476086
2016-04-26,17.67,17.67,17.67,17.67,000,17.436615
2016-04-25,17.639999,17.639999,17.639999,17.639999,000,17.407011
2016-04-22,17.67,17.67,17.67,17.67,000,17.436615
2016-04-21,17.67,17.67,17.67,17.67,000,17.436615
2016-04-20,17.77,17.77,17.77,17.77,000,17.535295
2016-04-19,17.780001,17.780001,17.780001,17.780001,000,17.545163
2016-04-18,17.68,17.68,17.68,17.68,000,17.446483
2016-04-15,17.690001,17.690001,17.690001,17.690001,000,17.39813
2016-04-14,17.68,17.68,17.68,17.68,000,17.388295
2016-04-13,17.690001,17.690001,17.690001,17.690001,000,17.39813
2016-04-12,17.549999,17.549999,17.549999,17.549999,000,17.260439
2016-04-11,17.43,17.43,17.43,17.43,000,17.14242
2016-04-08,17.42,17.42,17.42,17.42,000,17.132585
2016-04-07,17.309999,17.309999,17.309999,17.309999,000,17.024399
2016-04-06,17.43,17.43,17.43,17.43,000,17.14242
2016-04-05,17.33,17.33,17.33,17.33,000,17.044069
2016-04-04,17.469999,17.469999,17.469999,17.469999,000,17.181759
2016-04-01,17.51,17.51,17.51,17.51,000,17.2211
2016-03-31,17.530001,17.530001,17.530001,17.530001,000,17.24077
2016-03-30,17.559999,17.559999,17.559999,17.559999,000,17.270274
2016-03-29,17.50,17.50,17.50,17.50,000,17.211265
2016-03-28,17.370001,17.370001,17.370001,17.370001,000,17.08341
2016-03-24,17.33,17.33,17.33,17.33,000,17.044069
2016-03-23,17.379999,17.379999,17.379999,17.379999,000,17.093244
2016-03-22,17.450001,17.450001,17.450001,17.450001,000,17.16209
2016-03-21,17.450001,17.450001,17.450001,17.450001,000,17.16209
2016-03-18,17.469999,17.469999,17.469999,17.469999,000,17.181759
2016-03-17,17.43,17.43,17.43,17.43,000,17.14242
2016-03-16,17.299999,17.299999,17.299999,17.299999,000,17.014564
2016-03-15,17.26,17.26,17.26,17.26,000,16.917199
2016-03-14,17.34,17.34,17.34,17.34,000,16.99561
2016-03-11,17.360001,17.360001,17.360001,17.360001,000,17.015213
2016-03-10,17.17,17.17,17.17,17.17,000,16.828986
2016-03-09,17.200001,17.200001,17.200001,17.200001,000,16.858391
2016-03-08,17.15,17.15,17.15,17.15,000,16.809383
2016-03-07,17.25,17.25,17.25,17.25,000,16.907397
2016-03-04,17.24,17.24,17.24,17.24,000,16.897595
2016-03-03,17.17,17.17,17.17,17.17,000,16.828986
2016-03-02,17.09,17.09,17.09,17.09,000,16.750575
2016-03-01,17.040001,17.040001,17.040001,17.040001,000,16.701569
2016-02-29,16.82,16.82,16.82,16.82,000,16.485937
2016-02-26,16.85,16.85,16.85,16.85,000,16.515342
2016-02-25,16.889999,16.889999,16.889999,16.889999,000,16.554546
2016-02-24,16.77,16.77,16.77,16.77,000,16.436931
2016-02-23,16.76,16.76,16.76,16.76,000,16.427129
2016-02-22,16.870001,16.870001,16.870001,16.870001,000,16.534945
2016-02-19,16.73,16.73,16.73,16.73,000,16.397724
2016-02-18,16.74,16.74,16.74,16.74,000,16.407526
2016-02-17,16.73,16.73,16.73,16.73,000,16.397724
2016-02-16,16.65,16.65,16.65,16.65,000,16.261485
2016-02-12,16.459999,16.459999,16.459999,16.459999,000,16.075918
2016-02-11,16.34,16.34,16.34,16.34,000,15.958719
2016-02-10,16.469999,16.469999,16.469999,16.469999,000,16.085685
2016-02-09,16.450001,16.450001,16.450001,16.450001,000,16.066153
2016-02-08,16.51,16.51,16.51,16.51,000,16.124752
2016-02-05,16.620001,16.620001,16.620001,16.620001,000,16.232186
2016-02-04,16.76,16.76,16.76,16.76,000,16.368919
2016-02-03,16.73,16.73,16.73,16.73,000,16.339618
2016-02-02,16.690001,16.690001,16.690001,16.690001,000,16.300553
2016-02-01,16.860001,16.860001,16.860001,16.860001,000,16.466586
