Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,11.02,11.02,11.02,11.02,000,11.02
2016-09-15,11.09,11.09,11.09,11.09,000,11.09
2016-09-14,10.98,10.98,10.98,10.98,000,10.98
2016-09-13,11.00,11.00,11.00,11.00,000,11.00
2016-09-12,11.26,11.26,11.26,11.26,000,11.26
2016-09-09,11.22,11.22,11.22,11.22,000,11.22
2016-09-08,11.45,11.45,11.45,11.45,000,11.45
2016-09-07,11.51,11.51,11.51,11.51,000,11.51
2016-09-06,11.46,11.46,11.46,11.46,000,11.46
2016-09-02,11.29,11.29,11.29,11.29,000,11.29
2016-09-01,11.23,11.23,11.23,11.23,000,11.23
2016-08-31,11.18,11.18,11.18,11.18,000,11.18
2016-08-30,11.17,11.17,11.17,11.17,000,11.17
2016-08-29,11.22,11.22,11.22,11.22,000,11.22
2016-08-26,11.19,11.19,11.19,11.19,000,11.19
2016-08-25,11.29,11.29,11.29,11.29,000,11.29
2016-08-24,11.30,11.30,11.30,11.30,000,11.30
2016-08-23,11.33,11.33,11.33,11.33,000,11.33
2016-08-22,11.29,11.29,11.29,11.29,000,11.29
2016-08-19,11.27,11.27,11.27,11.27,000,11.27
2016-08-18,11.32,11.32,11.32,11.32,000,11.32
2016-08-17,11.33,11.33,11.33,11.33,000,11.33
2016-08-16,11.31,11.31,11.31,11.31,000,11.31
2016-08-15,11.37,11.37,11.37,11.37,000,11.37
2016-08-12,11.33,11.33,11.33,11.33,000,11.33
2016-08-11,11.35,11.35,11.35,11.35,000,11.35
2016-08-10,11.30,11.30,11.30,11.30,000,11.30
2016-08-09,11.26,11.26,11.26,11.26,000,11.26
2016-08-08,11.18,11.18,11.18,11.18,000,11.18
2016-08-05,11.13,11.13,11.13,11.13,000,11.13
2016-08-04,11.06,11.06,11.06,11.06,000,11.06
2016-08-03,10.99,10.99,10.99,10.99,000,10.99
2016-08-02,11.08,11.08,11.08,11.08,000,11.08
2016-08-01,11.14,11.14,11.14,11.14,000,11.14
2016-07-29,11.15,11.15,11.15,11.15,000,11.15
2016-07-28,10.97,10.97,10.97,10.97,000,10.97
2016-07-27,10.97,10.97,10.97,10.97,000,10.97
2016-07-26,10.96,10.96,10.96,10.96,000,10.96
2016-07-25,10.91,10.91,10.91,10.91,000,10.91
