Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,105.099998,105.099998,105.099998,105.099998,000,105.099998
2016-09-15,105.419998,105.419998,105.419998,105.419998,000,105.419998
2016-09-14,104.25,104.25,104.25,104.25,000,104.25
2016-09-13,104.239998,104.239998,104.239998,104.239998,000,104.239998
2016-09-12,105.709999,105.709999,105.709999,105.709999,000,105.709999
2016-09-09,104.190002,104.190002,104.190002,104.190002,000,104.190002
2016-09-08,106.809998,106.809998,106.809998,106.809998,000,106.809998
2016-09-07,106.959999,106.959999,106.959999,106.959999,000,106.959999
2016-09-06,106.720001,106.720001,106.720001,106.720001,000,106.720001
2016-09-02,106.339996,106.339996,106.339996,106.339996,000,106.339996
2016-09-01,105.889999,105.889999,105.889999,105.889999,000,105.889999
2016-08-31,105.739998,105.739998,105.739998,105.739998,000,105.739998
2016-08-30,106.07,106.07,106.07,106.07,000,106.07
2016-08-29,106.129997,106.129997,106.129997,106.129997,000,106.129997
2016-08-26,105.769997,105.769997,105.769997,105.769997,000,105.769997
2016-08-25,105.720001,105.720001,105.720001,105.720001,000,105.720001
2016-08-24,105.889999,105.889999,105.889999,105.889999,000,105.889999
2016-08-23,106.739998,106.739998,106.739998,106.739998,000,106.739998
2016-08-22,106.419998,106.419998,106.419998,106.419998,000,106.419998
2016-08-19,106.50,106.50,106.50,106.50,000,106.50
2016-08-18,106.389999,106.389999,106.389999,106.389999,000,106.389999
2016-08-17,106.00,106.00,106.00,106.00,000,106.00
2016-08-16,105.959999,105.959999,105.959999,105.959999,000,105.959999
2016-08-15,106.459999,106.459999,106.459999,106.459999,000,106.459999
2016-08-12,105.919998,105.919998,105.919998,105.919998,000,105.919998
2016-08-11,105.919998,105.919998,105.919998,105.919998,000,105.919998
2016-08-10,105.129997,105.129997,105.129997,105.129997,000,105.129997
2016-08-09,105.599998,105.599998,105.599998,105.599998,000,105.599998
2016-08-08,105.519997,105.519997,105.519997,105.519997,000,105.519997
2016-08-05,105.779999,105.779999,105.779999,105.779999,000,105.779999
2016-08-04,104.660004,104.660004,104.660004,104.660004,000,104.660004
2016-08-03,104.410004,104.410004,104.410004,104.410004,000,104.410004
2016-08-02,104.370003,104.370003,104.370003,104.370003,000,104.370003
2016-08-01,104.709999,104.709999,104.709999,104.709999,000,104.709999
2016-07-29,104.410004,104.410004,104.410004,104.410004,000,104.410004
2016-07-28,104.110001,104.110001,104.110001,104.110001,000,104.110001
2016-07-27,104.029999,104.029999,104.029999,104.029999,000,104.029999
2016-07-26,104.010002,104.010002,104.010002,104.010002,000,104.010002
2016-07-25,103.07,103.07,103.07,103.07,000,103.07
2016-07-22,103.029999,103.029999,103.029999,103.029999,000,103.029999
2016-07-21,102.199997,102.199997,102.199997,102.199997,000,102.199997
2016-07-20,102.68,102.68,102.68,102.68,000,102.68
2016-07-19,101.849998,101.849998,101.849998,101.849998,000,101.849998
2016-07-18,102.120003,102.120003,102.120003,102.120003,000,102.120003
2016-07-15,101.809998,101.809998,101.809998,101.809998,000,101.809998
2016-07-14,101.919998,101.919998,101.919998,101.919998,000,101.919998
2016-07-13,101.139999,101.139999,101.139999,101.139999,000,101.139999
2016-07-12,101.339996,101.339996,101.339996,101.339996,000,101.339996
2016-07-11,100.139999,100.139999,100.139999,100.139999,000,100.139999
2016-07-08,99.68,99.68,99.68,99.68,000,99.68
2016-07-07,98.040001,98.040001,98.040001,98.040001,000,98.040001
2016-07-06,97.75,97.75,97.75,97.75,000,97.75
2016-07-05,97.230003,97.230003,97.230003,97.230003,000,97.230003
2016-07-01,98.160004,98.160004,98.160004,98.160004,000,98.160004
2016-06-30,98.00,98.00,98.00,98.00,000,98.00
2016-06-29,96.730003,96.730003,96.730003,96.730003,000,96.730003
2016-06-28,94.739998,94.739998,94.739998,94.739998,000,94.739998
2016-06-27,93.010002,93.010002,93.010002,93.010002,000,93.010002
2016-06-24,94.919998,94.919998,94.919998,94.919998,000,94.919998
2016-06-23,99.019997,99.019997,99.019997,99.019997,000,99.019997
2016-06-22,97.540001,97.540001,97.540001,97.540001,000,97.540001
2016-06-21,98.080002,98.080002,98.080002,98.080002,000,98.080002
2016-06-20,97.760002,97.760002,97.760002,97.760002,000,97.760002
2016-06-17,97.059998,97.059998,97.059998,97.059998,000,97.059998
2016-06-16,97.410004,97.410004,97.410004,97.410004,000,97.410004
2016-06-15,97.220001,97.220001,97.220001,97.220001,000,97.220001
2016-06-14,97.260002,97.260002,97.260002,97.260002,000,97.260002
2016-06-13,97.709999,97.709999,97.709999,97.709999,000,97.709999
2016-06-10,98.709999,98.709999,98.709999,98.709999,000,98.709999
2016-06-09,99.940002,99.940002,99.940002,99.940002,000,99.940002
2016-06-08,100.139999,100.139999,100.139999,100.139999,000,100.139999
2016-06-07,99.879997,99.879997,99.879997,99.879997,000,99.879997
2016-06-06,100.349998,100.349998,100.349998,100.349998,000,100.349998
2016-06-03,100.00,100.00,100.00,100.00,000,100.00
2016-06-02,100.580002,100.580002,100.580002,100.580002,000,100.580002
2016-06-01,100.269997,100.269997,100.269997,100.269997,000,100.269997
2016-05-31,100.360001,100.360001,100.360001,100.360001,000,100.360001
2016-05-27,100.120003,100.120003,100.120003,100.120003,000,100.120003
2016-05-26,99.389999,99.389999,99.389999,99.389999,000,99.389999
2016-05-25,99.309998,99.309998,99.309998,99.309998,000,99.309998
2016-05-24,98.650002,98.650002,98.650002,98.650002,000,98.650002
2016-05-23,96.870003,96.870003,96.870003,96.870003,000,96.870003
2016-05-20,96.849998,96.849998,96.849998,96.849998,000,96.849998
2016-05-19,95.849998,95.849998,95.849998,95.849998,000,95.849998
2016-05-18,96.739998,96.739998,96.739998,96.739998,000,96.739998
2016-05-17,96.360001,96.360001,96.360001,96.360001,000,96.360001
2016-05-16,97.220001,97.220001,97.220001,97.220001,000,97.220001
2016-05-13,96.120003,96.120003,96.120003,96.120003,000,96.120003
2016-05-12,96.370003,96.370003,96.370003,96.370003,000,96.370003
2016-05-11,96.68,96.68,96.68,96.68,000,96.68
2016-05-10,97.510002,97.510002,97.510002,97.510002,000,97.510002
2016-05-09,96.300003,96.300003,96.300003,96.300003,000,96.300003
2016-05-06,95.879997,95.879997,95.879997,95.879997,000,95.879997
2016-05-05,95.650002,95.650002,95.650002,95.650002,000,95.650002
2016-05-04,95.870003,95.870003,95.870003,95.870003,000,95.870003
2016-05-03,96.949997,96.949997,96.949997,96.949997,000,96.949997
2016-05-02,98.019997,98.019997,98.019997,98.019997,000,98.019997
2016-04-29,97.339996,97.339996,97.339996,97.339996,000,97.339996
2016-04-28,98.190002,98.190002,98.190002,98.190002,000,98.190002
2016-04-27,99.440002,99.440002,99.440002,99.440002,000,99.440002
2016-04-26,99.25,99.25,99.25,99.25,000,99.25
2016-04-25,99.339996,99.339996,99.339996,99.339996,000,99.339996
2016-04-22,99.440002,99.440002,99.440002,99.440002,000,99.440002
2016-04-21,100.099998,100.099998,100.099998,100.099998,000,100.099998
2016-04-20,100.230003,100.230003,100.230003,100.230003,000,100.230003
2016-04-19,100.239998,100.239998,100.239998,100.239998,000,100.239998
2016-04-18,100.019997,100.019997,100.019997,100.019997,000,100.019997
2016-04-15,99.25,99.25,99.25,99.25,000,99.25
2016-04-14,99.339996,99.339996,99.339996,99.339996,000,99.339996
2016-04-13,99.400002,99.400002,99.400002,99.400002,000,99.400002
2016-04-12,98.00,98.00,98.00,98.00,000,98.00
2016-04-11,97.269997,97.269997,97.269997,97.269997,000,97.269997
2016-04-08,97.599998,97.599998,97.599998,97.599998,000,97.599998
2016-04-07,97.339996,97.339996,97.339996,97.339996,000,97.339996
2016-04-06,98.639999,98.639999,98.639999,98.639999,000,98.639999
2016-04-05,97.160004,97.160004,97.160004,97.160004,000,97.160004
2016-04-04,97.970001,97.970001,97.970001,97.970001,000,97.970001
2016-04-01,98.139999,98.139999,98.139999,98.139999,000,98.139999
2016-03-31,97.739998,97.739998,97.739998,97.739998,000,97.739998
2016-03-30,97.860001,97.860001,97.860001,97.860001,000,97.860001
2016-03-29,97.400002,97.400002,97.400002,97.400002,000,97.400002
2016-03-28,96.360001,96.360001,96.360001,96.360001,000,96.360001
2016-03-24,96.519997,96.519997,96.519997,96.519997,000,96.519997
2016-03-23,96.730003,96.730003,96.730003,96.730003,000,96.730003
2016-03-22,97.519997,97.519997,97.519997,97.519997,000,97.519997
2016-03-21,97.440002,97.440002,97.440002,97.440002,000,97.440002
2016-03-18,97.169998,97.169998,97.169998,97.169998,000,97.169998
2016-03-17,96.260002,96.260002,96.260002,96.260002,000,96.260002
2016-03-16,95.760002,95.760002,95.760002,95.760002,000,95.760002
2016-03-15,95.019997,95.019997,95.019997,95.019997,000,95.019997
2016-03-14,95.599998,95.599998,95.599998,95.599998,000,95.599998
2016-03-11,95.75,95.75,95.75,95.75,000,95.75
2016-03-10,93.949997,93.949997,93.949997,93.949997,000,93.949997
2016-03-09,94.050003,94.050003,94.050003,94.050003,000,94.050003
2016-03-08,93.790001,93.790001,93.790001,93.790001,000,93.790001
2016-03-07,95.00,95.00,95.00,95.00,000,95.00
2016-03-04,94.779999,94.779999,94.779999,94.779999,000,94.779999
2016-03-03,94.660004,94.660004,94.660004,94.660004,000,94.660004
2016-03-02,94.760002,94.760002,94.760002,94.760002,000,94.760002
2016-03-01,94.400002,94.400002,94.400002,94.400002,000,94.400002
2016-02-29,92.07,92.07,92.07,92.07,000,92.07
2016-02-26,92.959999,92.959999,92.959999,92.959999,000,92.959999
2016-02-25,93.050003,93.050003,93.050003,93.050003,000,93.050003
2016-02-24,91.959999,91.959999,91.959999,91.959999,000,91.959999
2016-02-23,91.510002,91.510002,91.510002,91.510002,000,91.510002
2016-02-22,92.720001,92.720001,92.720001,92.720001,000,92.720001
2016-02-19,91.459999,91.459999,91.459999,91.459999,000,91.459999
2016-02-18,91.419998,91.419998,91.419998,91.419998,000,91.419998
2016-02-17,91.779999,91.779999,91.779999,91.779999,000,91.779999
2016-02-16,89.93,89.93,89.93,89.93,000,89.93
2016-02-12,87.959999,87.959999,87.959999,87.959999,000,87.959999
2016-02-11,86.620003,86.620003,86.620003,86.620003,000,86.620003
2016-02-10,87.650002,87.650002,87.650002,87.650002,000,87.650002
2016-02-09,87.400002,87.400002,87.400002,87.400002,000,87.400002
2016-02-08,87.389999,87.389999,87.389999,87.389999,000,87.389999
2016-02-05,89.00,89.00,89.00,89.00,000,89.00
2016-02-04,91.349998,91.349998,91.349998,91.349998,000,91.349998
2016-02-03,91.139999,91.139999,91.139999,91.139999,000,91.139999
2016-02-02,90.940002,90.940002,90.940002,90.940002,000,90.940002
2016-02-01,93.209999,93.209999,93.209999,93.209999,000,93.209999
2016-01-29,93.150002,93.150002,93.150002,93.150002,000,93.150002
2016-01-28,90.260002,90.260002,90.260002,90.260002,000,90.260002
2016-01-27,91.019997,91.019997,91.019997,91.019997,000,91.019997
2016-01-26,91.800003,91.800003,91.800003,91.800003,000,91.800003
2016-01-25,90.970001,90.970001,90.970001,90.970001,000,90.970001
2016-01-22,92.419998,92.419998,92.419998,92.419998,000,92.419998
2016-01-21,90.610001,90.610001,90.610001,90.610001,000,90.610001
2016-01-20,90.410004,90.410004,90.410004,90.410004,000,90.410004
2016-01-19,91.099998,91.099998,91.099998,91.099998,000,91.099998
2016-01-15,91.07,91.07,91.07,91.07,000,91.07
2016-01-14,93.489998,93.489998,93.489998,93.489998,000,93.489998
2016-01-13,91.699997,91.699997,91.699997,91.699997,000,91.699997
2016-01-12,94.209999,94.209999,94.209999,94.209999,000,94.209999
2016-01-11,93.230003,93.230003,93.230003,93.230003,000,93.230003
2016-01-08,93.370003,93.370003,93.370003,93.370003,000,93.370003
2016-01-07,94.529999,94.529999,94.529999,94.529999,000,94.529999
2016-01-06,96.919998,96.919998,96.919998,96.919998,000,96.919998
2016-01-05,98.18,98.18,98.18,98.18,000,98.18
2016-01-04,97.900002,97.900002,97.900002,97.900002,000,97.900002
2015-12-31,99.699997,99.699997,99.699997,99.699997,000,99.699997
2015-12-30,100.739998,100.739998,100.739998,100.739998,000,100.739998
2015-12-29,101.440002,101.440002,101.440002,101.440002,000,101.440002
2015-12-28,100.290001,100.290001,100.290001,100.290001,000,100.290001
2015-12-24,100.43,100.43,100.43,100.43,000,100.43
2015-12-23,100.440002,100.440002,100.440002,100.440002,000,100.440002
2015-12-22,99.639999,99.639999,99.639999,99.639999,000,99.639999
2015-12-21,98.760002,98.760002,98.760002,98.760002,000,98.760002
2015-12-18,98.00,98.00,98.00,98.00,000,98.00
2015-12-17,99.779999,99.779999,99.779999,99.779999,000,99.779999
2015-12-16,101.190002,101.190002,101.190002,101.190002,000,101.190002
2015-12-15,105.400002,105.400002,105.400002,105.400002,000,99.506002
2015-12-14,104.099998,104.099998,104.099998,104.099998,000,98.278695
2015-12-11,103.519997,103.519997,103.519997,103.519997,000,97.731127
2015-12-10,105.449997,105.449997,105.449997,105.449997,000,99.553201
2015-12-09,104.82,104.82,104.82,104.82,000,98.958434
2015-12-08,106.120003,106.120003,106.120003,106.120003,000,100.18574
2015-12-07,106.830002,106.830002,106.830002,106.830002,000,100.856036
2015-12-04,107.50,107.50,107.50,107.50,000,101.488567
2015-12-03,104.93,104.93,104.93,104.93,000,99.062283
2015-12-02,106.529999,106.529999,106.529999,106.529999,000,100.572809
2015-12-01,107.389999,107.389999,107.389999,107.389999,000,101.384718
2015-11-30,105.949997,105.949997,105.949997,105.949997,000,100.025241
2015-11-27,106.489998,106.489998,106.489998,106.489998,000,100.535045
2015-11-25,106.339996,106.339996,106.339996,106.339996,000,100.393432
2015-11-24,106.379997,106.379997,106.379997,106.379997,000,100.431196
2015-11-23,106.629997,106.629997,106.629997,106.629997,000,100.667216
2015-11-20,106.720001,106.720001,106.720001,106.720001,000,100.752186
2015-11-19,105.919998,105.919998,105.919998,105.919998,000,99.99692
2015-11-18,105.860001,105.860001,105.860001,105.860001,000,99.940277
2015-11-17,104.400002,104.400002,104.400002,104.400002,000,98.561922
2015-11-16,104.290001,104.290001,104.290001,104.290001,000,98.458072
2015-11-13,103.139999,103.139999,103.139999,103.139999,000,97.372379
2015-11-12,104.410004,104.410004,104.410004,104.410004,000,98.571365
2015-11-11,105.68,105.68,105.68,105.68,000,99.770343
2015-11-10,106.010002,106.010002,106.010002,106.010002,000,100.081891
2015-11-09,105.919998,105.919998,105.919998,105.919998,000,99.99692
2015-11-06,106.989998,106.989998,106.989998,106.989998,000,101.007085
2015-11-05,106.690002,106.690002,106.690002,106.690002,000,100.723865
2015-11-04,107.029999,107.029999,107.029999,107.029999,000,101.044849
2015-11-03,107.279999,107.279999,107.279999,107.279999,000,101.280869
2015-11-02,106.970001,106.970001,106.970001,106.970001,000,100.988206
2015-10-30,105.559998,105.559998,105.559998,105.559998,000,99.657051
2015-10-29,105.760002,105.760002,105.760002,105.760002,000,99.845871
2015-10-28,106.199997,106.199997,106.199997,106.199997,000,100.261261
2015-10-27,105.040001,105.040001,105.040001,105.040001,000,99.166132
2015-10-26,105.00,105.00,105.00,105.00,000,99.128368
2015-10-23,104.970001,104.970001,104.970001,104.970001,000,99.100047
2015-10-22,103.449997,103.449997,103.449997,103.449997,000,97.665042
2015-10-21,101.360001,101.360001,101.360001,101.360001,000,95.691919
2015-10-20,101.620003,101.620003,101.620003,101.620003,000,95.937381
2015-10-19,102.440002,102.440002,102.440002,102.440002,000,96.711526
2015-10-16,102.290001,102.290001,102.290001,102.290001,000,96.569913
2015-10-15,101.720001,101.720001,101.720001,101.720001,000,96.031788
2015-10-14,100.18,100.18,100.18,100.18,000,94.577904
2015-10-13,100.169998,100.169998,100.169998,100.169998,000,94.568462
2015-10-12,101.120003,101.120003,101.120003,101.120003,000,95.465342
2015-10-09,101.209999,101.209999,101.209999,101.209999,000,95.550305
2015-10-08,101.089996,101.089996,101.089996,101.089996,000,95.437013
2015-10-07,100.07,100.07,100.07,100.07,000,94.474055
2015-10-06,99.480003,99.480003,99.480003,99.480003,000,93.917051
2015-10-05,100.220001,100.220001,100.220001,100.220001,000,94.615668
2015-10-02,98.57,98.57,98.57,98.57,000,93.057935
2015-10-01,97.150002,97.150002,97.150002,97.150002,000,91.717344
2015-09-30,96.989998,96.989998,96.989998,96.989998,000,91.566288
2015-09-29,94.639999,94.639999,94.639999,94.639999,000,89.347702
2015-09-28,94.139999,94.139999,94.139999,94.139999,000,88.875662
2015-09-25,96.580002,96.580002,96.580002,96.580002,000,91.179219
2015-09-24,97.029999,97.029999,97.029999,97.029999,000,91.604052
2015-09-23,97.760002,97.760002,97.760002,97.760002,000,92.293233
2015-09-22,98.050003,98.050003,98.050003,98.050003,000,92.567017
2015-09-21,99.300003,99.300003,99.300003,99.300003,000,93.747117
2015-09-18,99.489998,99.489998,99.489998,99.489998,000,93.926487
