Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,29.360001,29.360001,29.360001,29.360001,000,29.360001
2016-09-12,29.959999,29.959999,29.959999,29.959999,000,29.959999
2016-09-09,29.59,29.59,29.59,29.59,000,29.59
2016-09-08,30.57,30.57,30.57,30.57,000,30.57
2016-09-07,30.65,30.65,30.65,30.65,000,30.65
2016-09-06,30.50,30.50,30.50,30.50,000,30.50
2016-09-02,30.52,30.52,30.52,30.52,000,30.52
2016-09-01,30.26,30.26,30.26,30.26,000,30.26
2016-08-31,30.309999,30.309999,30.309999,30.309999,000,30.309999
2016-08-30,30.40,30.40,30.40,30.40,000,30.40
2016-08-29,30.440001,30.440001,30.440001,30.440001,000,30.440001
2016-08-26,30.219999,30.219999,30.219999,30.219999,000,30.219999
2016-08-25,30.33,30.33,30.33,30.33,000,30.33
2016-08-24,30.32,30.32,30.32,30.32,000,30.32
2016-08-23,30.58,30.58,30.58,30.58,000,30.58
2016-08-22,30.33,30.33,30.33,30.33,000,30.33
2016-08-19,30.299999,30.299999,30.299999,30.299999,000,30.299999
2016-08-18,30.35,30.35,30.35,30.35,000,30.35
2016-08-17,30.17,30.17,30.17,30.17,000,30.17
2016-08-16,30.25,30.25,30.25,30.25,000,30.25
2016-08-15,30.52,30.52,30.52,30.52,000,30.52
2016-08-12,30.23,30.23,30.23,30.23,000,30.23
2016-08-11,30.25,30.25,30.25,30.25,000,30.25
2016-08-10,30.08,30.08,30.08,30.08,000,30.08
2016-08-09,30.24,30.24,30.24,30.24,000,30.24
2016-08-08,30.33,30.33,30.33,30.33,000,30.33
2016-08-05,30.33,30.33,30.33,30.33,000,30.33
2016-08-04,30.01,30.01,30.01,30.01,000,30.01
2016-08-03,29.950001,29.950001,29.950001,29.950001,000,29.950001
2016-08-02,29.74,29.74,29.74,29.74,000,29.74
2016-08-01,30.209999,30.209999,30.209999,30.209999,000,30.209999
2016-07-29,30.290001,30.290001,30.290001,30.290001,000,30.290001
2016-07-28,30.200001,30.200001,30.200001,30.200001,000,30.200001
2016-07-27,30.09,30.09,30.09,30.09,000,30.09
2016-07-26,30.209999,30.209999,30.209999,30.209999,000,30.209999
2016-07-25,29.959999,29.959999,29.959999,29.959999,000,29.959999
2016-07-22,29.940001,29.940001,29.940001,29.940001,000,29.940001
2016-07-21,29.73,29.73,29.73,29.73,000,29.73
2016-07-20,29.90,29.90,29.90,29.90,000,29.90
2016-07-19,29.719999,29.719999,29.719999,29.719999,000,29.719999
2016-07-18,29.870001,29.870001,29.870001,29.870001,000,29.870001
2016-07-15,29.74,29.74,29.74,29.74,000,29.74
2016-07-14,29.73,29.73,29.73,29.73,000,29.73
2016-07-13,29.629999,29.629999,29.629999,29.629999,000,29.629999
2016-07-12,29.690001,29.690001,29.690001,29.690001,000,29.690001
2016-07-11,29.32,29.32,29.32,29.32,000,29.32
2016-07-08,29.110001,29.110001,29.110001,29.110001,000,29.110001
2016-07-07,28.52,28.52,28.52,28.52,000,28.52
2016-07-06,28.469999,28.469999,28.469999,28.469999,000,28.469999
2016-07-05,28.27,28.27,28.27,28.27,000,28.27
2016-07-01,28.700001,28.700001,28.700001,28.700001,000,28.700001
2016-06-30,28.549999,28.549999,28.549999,28.549999,000,28.549999
2016-06-29,28.07,28.07,28.07,28.07,000,28.07
2016-06-28,27.540001,27.540001,27.540001,27.540001,000,27.540001
2016-06-27,27.02,27.02,27.02,27.02,000,27.02
2016-06-24,27.889999,27.889999,27.889999,27.889999,000,27.889999
2016-06-23,29.01,29.01,29.01,29.01,000,29.01
2016-06-22,28.549999,28.549999,28.549999,28.549999,000,28.549999
2016-06-21,28.610001,28.610001,28.610001,28.610001,000,28.610001
2016-06-20,28.59,28.59,28.59,28.59,000,28.59
2016-06-17,28.35,28.35,28.35,28.35,000,28.35
2016-06-16,28.27,28.27,28.27,28.27,000,28.27
2016-06-15,28.27,28.27,28.27,28.27,000,28.27
2016-06-14,28.25,28.25,28.25,28.25,000,28.25
2016-06-13,28.43,28.43,28.43,28.43,000,28.43
2016-06-10,28.790001,28.790001,28.790001,28.790001,000,28.790001
2016-06-09,29.27,29.27,29.27,29.27,000,29.27
2016-06-08,29.360001,29.360001,29.360001,29.360001,000,29.360001
2016-06-07,29.25,29.25,29.25,29.25,000,29.25
2016-06-06,29.09,29.09,29.09,29.09,000,29.09
2016-06-03,28.889999,28.889999,28.889999,28.889999,000,28.889999
2016-06-02,29.02,29.02,29.02,29.02,000,29.02
2016-06-01,28.879999,28.879999,28.879999,28.879999,000,28.879999
2016-05-31,28.74,28.74,28.74,28.74,000,28.74
2016-05-27,28.719999,28.719999,28.719999,28.719999,000,28.719999
2016-05-26,28.459999,28.459999,28.459999,28.459999,000,28.459999
2016-05-25,28.50,28.50,28.50,28.50,000,28.50
2016-05-24,28.280001,28.280001,28.280001,28.280001,000,28.280001
2016-05-23,27.83,27.83,27.83,27.83,000,27.83
2016-05-20,27.92,27.92,27.92,27.92,000,27.92
2016-05-19,27.60,27.60,27.60,27.60,000,27.60
2016-05-18,27.709999,27.709999,27.709999,27.709999,000,27.709999
2016-05-17,27.700001,27.700001,27.700001,27.700001,000,27.700001
2016-05-16,28.00,28.00,28.00,28.00,000,28.00
2016-05-13,27.75,27.75,27.75,27.75,000,27.75
2016-05-12,27.92,27.92,27.92,27.92,000,27.92
2016-05-11,28.040001,28.040001,28.040001,28.040001,000,28.040001
2016-05-10,28.389999,28.389999,28.389999,28.389999,000,28.389999
2016-05-09,28.120001,28.120001,28.120001,28.120001,000,28.120001
2016-05-06,28.08,28.08,28.08,28.08,000,28.08
2016-05-05,27.889999,27.889999,27.889999,27.889999,000,27.889999
2016-05-04,27.959999,27.959999,27.959999,27.959999,000,27.959999
2016-05-03,28.139999,28.139999,28.139999,28.139999,000,28.139999
2016-05-02,28.60,28.60,28.60,28.60,000,28.60
2016-04-29,28.370001,28.370001,28.370001,28.370001,000,28.370001
2016-04-28,28.700001,28.700001,28.700001,28.700001,000,28.700001
2016-04-27,29.17,29.17,29.17,29.17,000,29.17
2016-04-26,29.030001,29.030001,29.030001,29.030001,000,29.030001
2016-04-25,28.75,28.75,28.75,28.75,000,28.75
2016-04-22,28.940001,28.940001,28.940001,28.940001,000,28.940001
2016-04-21,28.610001,28.610001,28.610001,28.610001,000,28.610001
2016-04-20,28.879999,28.879999,28.879999,28.879999,000,28.879999
2016-04-19,28.809999,28.809999,28.809999,28.809999,000,28.809999
2016-04-18,28.799999,28.799999,28.799999,28.799999,000,28.799999
2016-04-15,28.620001,28.620001,28.620001,28.620001,000,28.620001
2016-04-14,28.59,28.59,28.59,28.59,000,28.59
2016-04-13,28.700001,28.700001,28.700001,28.700001,000,28.700001
2016-04-12,28.219999,28.219999,28.219999,28.219999,000,28.219999
2016-04-11,27.91,27.91,27.91,27.91,000,27.91
2016-04-08,27.969999,27.969999,27.969999,27.969999,000,27.969999
2016-04-07,27.83,27.83,27.83,27.83,000,27.83
2016-04-06,28.209999,28.209999,28.209999,28.209999,000,28.209999
2016-04-05,27.959999,27.959999,27.959999,27.959999,000,27.959999
2016-04-04,28.27,28.27,28.27,28.27,000,28.27
2016-04-01,28.48,28.48,28.48,28.48,000,28.48
2016-03-31,28.42,28.42,28.42,28.42,000,28.42
2016-03-30,28.33,28.33,28.33,28.33,000,28.33
2016-03-29,28.33,28.33,28.33,28.33,000,28.33
2016-03-28,27.860001,27.860001,27.860001,27.860001,000,27.860001
2016-03-24,27.77,27.77,27.77,27.77,000,27.77
2016-03-23,27.74,27.74,27.74,27.74,000,27.74
2016-03-22,28.139999,28.139999,28.139999,28.139999,000,28.139999
2016-03-21,28.120001,28.120001,28.120001,28.120001,000,28.120001
2016-03-18,28.209999,28.209999,28.209999,28.209999,000,28.209999
2016-03-17,28.08,28.08,28.08,28.08,000,28.08
2016-03-16,27.77,27.77,27.77,27.77,000,27.77
2016-03-15,27.49,27.49,27.49,27.49,000,27.49
2016-03-14,27.76,27.76,27.76,27.76,000,27.76
2016-03-11,27.889999,27.889999,27.889999,27.889999,000,27.889999
2016-03-10,27.35,27.35,27.35,27.35,000,27.35
2016-03-09,27.450001,27.450001,27.450001,27.450001,000,27.450001
2016-03-08,27.27,27.27,27.27,27.27,000,27.27
2016-03-07,27.75,27.75,27.75,27.75,000,27.75
2016-03-04,27.559999,27.559999,27.559999,27.559999,000,27.559999
2016-03-03,27.440001,27.440001,27.440001,27.440001,000,27.440001
2016-03-02,27.129999,27.129999,27.129999,27.129999,000,27.129999
2016-03-01,26.93,26.93,26.93,26.93,000,26.93
2016-02-29,26.40,26.40,26.40,26.40,000,26.40
2016-02-26,26.469999,26.469999,26.469999,26.469999,000,26.469999
2016-02-25,26.379999,26.379999,26.379999,26.379999,000,26.379999
2016-02-24,26.10,26.10,26.10,26.10,000,26.10
2016-02-23,25.870001,25.870001,25.870001,25.870001,000,25.870001
2016-02-22,26.129999,26.129999,26.129999,26.129999,000,26.129999
2016-02-19,25.67,25.67,25.67,25.67,000,25.67
2016-02-18,25.690001,25.690001,25.690001,25.690001,000,25.690001
2016-02-17,25.719999,25.719999,25.719999,25.719999,000,25.719999
2016-02-16,25.379999,25.379999,25.379999,25.379999,000,25.379999
2016-02-12,24.83,24.83,24.83,24.83,000,24.83
2016-02-11,24.27,24.27,24.27,24.27,000,24.27
