Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,24.139999,24.139999,24.139999,24.139999,000,24.139999
2016-09-15,24.23,24.23,24.23,24.23,000,24.23
2016-09-14,24.09,24.09,24.09,24.09,000,24.09
2016-09-13,24.09,24.09,24.09,24.09,000,24.09
2016-09-12,24.360001,24.360001,24.360001,24.360001,000,24.360001
2016-09-09,24.219999,24.219999,24.219999,24.219999,000,24.219999
2016-09-08,24.60,24.60,24.60,24.60,000,24.60
2016-09-07,24.67,24.67,24.67,24.67,000,24.67
2016-09-06,24.65,24.65,24.65,24.65,000,24.65
2016-09-02,24.52,24.52,24.52,24.52,000,24.52
2016-09-01,24.43,24.43,24.43,24.43,000,24.43
2016-08-31,24.40,24.40,24.40,24.40,000,24.40
2016-08-30,24.440001,24.440001,24.440001,24.440001,000,24.440001
2016-08-29,24.469999,24.469999,24.469999,24.469999,000,24.469999
2016-08-26,24.379999,24.379999,24.379999,24.379999,000,24.379999
2016-08-25,24.440001,24.440001,24.440001,24.440001,000,24.440001
2016-08-24,24.469999,24.469999,24.469999,24.469999,000,24.469999
2016-08-23,24.549999,24.549999,24.549999,24.549999,000,24.549999
2016-08-22,24.50,24.50,24.50,24.50,000,24.50
2016-08-19,24.49,24.49,24.49,24.49,000,24.49
2016-08-18,24.559999,24.559999,24.559999,24.559999,000,24.559999
2016-08-17,24.49,24.49,24.49,24.49,000,24.49
2016-08-16,24.48,24.48,24.48,24.48,000,24.48
2016-08-15,24.540001,24.540001,24.540001,24.540001,000,24.540001
2016-08-12,24.50,24.50,24.50,24.50,000,24.50
2016-08-11,24.49,24.49,24.49,24.49,000,24.49
2016-08-10,24.440001,24.440001,24.440001,24.440001,000,24.440001
2016-08-09,24.43,24.43,24.43,24.43,000,24.43
2016-08-08,24.35,24.35,24.35,24.35,000,24.35
2016-08-05,24.34,24.34,24.34,24.34,000,24.34
2016-08-04,24.25,24.25,24.25,24.25,000,24.25
2016-08-03,24.18,24.18,24.18,24.18,000,24.18
2016-08-02,24.18,24.18,24.18,24.18,000,24.18
2016-08-01,24.290001,24.290001,24.290001,24.290001,000,24.290001
2016-07-29,24.34,24.34,24.34,24.34,000,24.34
2016-07-28,24.25,24.25,24.25,24.25,000,24.25
2016-07-27,24.23,24.23,24.23,24.23,000,24.23
2016-07-26,24.200001,24.200001,24.200001,24.200001,000,24.200001
2016-07-25,24.16,24.16,24.16,24.16,000,24.16
2016-07-22,24.190001,24.190001,24.190001,24.190001,000,24.190001
2016-07-21,24.15,24.15,24.15,24.15,000,24.15
2016-07-20,24.190001,24.190001,24.190001,24.190001,000,24.190001
2016-07-19,24.120001,24.120001,24.120001,24.120001,000,24.120001
2016-07-18,24.15,24.15,24.15,24.15,000,24.15
2016-07-15,24.120001,24.120001,24.120001,24.120001,000,24.120001
2016-07-14,24.16,24.16,24.16,24.16,000,24.16
2016-07-13,24.09,24.09,24.09,24.09,000,24.09
2016-07-12,24.08,24.08,24.08,24.08,000,24.08
2016-07-11,23.959999,23.959999,23.959999,23.959999,000,23.959999
2016-07-08,23.870001,23.870001,23.870001,23.870001,000,23.870001
2016-07-07,23.65,23.65,23.65,23.65,000,23.65
2016-07-06,23.66,23.66,23.66,23.66,000,23.66
2016-07-05,23.620001,23.620001,23.620001,23.620001,000,23.620001
2016-07-01,23.75,23.75,23.75,23.75,000,23.75
2016-06-30,23.68,23.68,23.68,23.68,000,23.68
2016-06-29,23.49,23.49,23.49,23.49,000,23.49
2016-06-28,23.24,23.24,23.24,23.24,000,23.24
2016-06-27,22.950001,22.950001,22.950001,22.950001,000,22.950001
2016-06-24,23.18,23.18,23.18,23.18,000,23.18
2016-06-23,23.85,23.85,23.85,23.85,000,23.85
2016-06-22,23.629999,23.629999,23.629999,23.629999,000,23.629999
2016-06-21,23.629999,23.629999,23.629999,23.629999,000,23.629999
2016-06-20,23.58,23.58,23.58,23.58,000,23.58
