Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,198.600006,198.600006,198.600006,198.600006,000,198.600006
2016-09-15,199.589996,199.589996,199.589996,199.589996,000,199.589996
2016-09-14,197.839996,197.839996,197.839996,197.839996,000,197.839996
2016-09-13,198.529999,198.529999,198.529999,198.529999,000,198.529999
2016-09-12,202.029999,202.029999,202.029999,202.029999,000,202.029999
2016-09-09,199.199997,199.199997,199.199997,199.199997,000,199.199997
2016-09-08,204.110001,204.110001,204.110001,204.110001,000,204.110001
2016-09-07,203.869995,203.869995,203.869995,203.869995,000,203.869995
2016-09-06,203.830002,203.830002,203.830002,203.830002,000,203.830002
2016-09-02,203.320007,203.320007,203.320007,203.320007,000,203.320007
2016-09-01,202.389999,202.389999,202.389999,202.389999,000,202.389999
2016-08-31,202.639999,202.639999,202.639999,202.639999,000,202.639999
2016-08-30,203.119995,203.119995,203.119995,203.119995,000,203.119995
2016-08-29,203.210007,203.210007,203.210007,203.210007,000,203.210007
2016-08-26,201.759995,201.759995,201.759995,201.759995,000,201.759995
2016-08-25,202.25,202.25,202.25,202.25,000,202.25
2016-08-24,202.470001,202.470001,202.470001,202.470001,000,202.470001
2016-08-23,203.279999,203.279999,203.279999,203.279999,000,203.279999
2016-08-22,202.919998,202.919998,202.919998,202.919998,000,202.919998
2016-08-19,203.240005,203.240005,203.240005,203.240005,000,203.240005
2016-08-18,203.75,203.75,203.75,203.75,000,203.75
2016-08-17,202.949997,202.949997,202.949997,202.949997,000,202.949997
2016-08-16,202.399994,202.399994,202.399994,202.399994,000,202.399994
2016-08-15,203.229996,203.229996,203.229996,203.229996,000,203.229996
2016-08-12,202.570007,202.570007,202.570007,202.570007,000,202.570007
2016-08-11,202.699997,202.699997,202.699997,202.699997,000,202.699997
2016-08-10,201.470001,201.470001,201.470001,201.470001,000,201.470001
2016-08-09,202.25,202.25,202.25,202.25,000,202.25
2016-08-08,202.339996,202.339996,202.339996,202.339996,000,202.339996
2016-08-05,202.210007,202.210007,202.210007,202.210007,000,202.210007
2016-08-04,200.119995,200.119995,200.119995,200.119995,000,200.119995
2016-08-03,200.25,200.25,200.25,200.25,000,200.25
2016-08-02,199.179993,199.179993,199.179993,199.179993,000,199.179993
2016-08-01,200.399994,200.399994,200.399994,200.399994,000,200.399994
2016-07-29,201.479996,201.479996,201.479996,201.479996,000,201.479996
2016-07-28,201.25,201.25,201.25,201.25,000,201.25
2016-07-27,201.360001,201.360001,201.360001,201.360001,000,201.360001
2016-07-26,202.100006,202.100006,202.100006,202.100006,000,202.100006
2016-07-25,201.740005,201.740005,201.740005,201.740005,000,201.740005
2016-07-22,202.589996,202.589996,202.589996,202.589996,000,202.589996
2016-07-21,201.539993,201.539993,201.539993,201.539993,000,201.539993
2016-07-20,202.220001,202.220001,202.220001,202.220001,000,202.220001
2016-07-19,201.850006,201.850006,201.850006,201.850006,000,201.850006
2016-07-18,202.160004,202.160004,202.160004,202.160004,000,202.160004
2016-07-15,201.830002,201.830002,201.830002,201.830002,000,201.830002
2016-07-14,201.970001,201.970001,201.970001,201.970001,000,201.970001
2016-07-13,200.910004,200.910004,200.910004,200.910004,000,200.910004
2016-07-12,200.649994,200.649994,200.649994,200.649994,000,200.649994
2016-07-11,198.830002,198.830002,198.830002,198.830002,000,198.830002
