Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,10.43,10.43,10.43,10.43,000,10.43
2016-09-15,10.43,10.43,10.43,10.43,000,10.43
2016-09-14,10.44,10.44,10.44,10.44,000,10.44
2016-09-13,10.44,10.44,10.44,10.44,000,10.44
2016-09-12,10.46,10.46,10.46,10.46,000,10.46
2016-09-09,10.47,10.47,10.47,10.47,000,10.47
2016-09-08,10.49,10.49,10.49,10.49,000,10.49
2016-09-07,10.50,10.50,10.50,10.50,000,10.50
2016-09-06,10.49,10.49,10.49,10.49,000,10.49
2016-09-02,10.49,10.49,10.49,10.49,000,10.49
2016-09-01,10.50,10.50,10.50,10.50,000,10.50
2016-08-31,10.50,10.50,10.50,10.50,000,10.50
2016-08-30,10.52,10.52,10.52,10.52,000,10.505
2016-08-29,10.52,10.52,10.52,10.52,000,10.505
2016-08-26,10.52,10.52,10.52,10.52,000,10.505
2016-08-25,10.52,10.52,10.52,10.52,000,10.505
2016-08-24,10.52,10.52,10.52,10.52,000,10.505
2016-08-23,10.52,10.52,10.52,10.52,000,10.505
2016-08-22,10.52,10.52,10.52,10.52,000,10.505
2016-08-19,10.52,10.52,10.52,10.52,000,10.505
2016-08-18,10.52,10.52,10.52,10.52,000,10.505
2016-08-17,10.51,10.51,10.51,10.51,000,10.495014
2016-08-16,10.51,10.51,10.51,10.51,000,10.495014
2016-08-15,10.51,10.51,10.51,10.51,000,10.495014
2016-08-12,10.51,10.51,10.51,10.51,000,10.495014
2016-08-11,10.50,10.50,10.50,10.50,000,10.485028
2016-08-10,10.49,10.49,10.49,10.49,000,10.475042
2016-08-09,10.48,10.48,10.48,10.48,000,10.465057
2016-08-08,10.48,10.48,10.48,10.48,000,10.465057
2016-08-05,10.48,10.48,10.48,10.48,000,10.465057
2016-08-04,10.49,10.49,10.49,10.49,000,10.475042
2016-08-03,10.48,10.48,10.48,10.48,000,10.465057
2016-08-02,10.48,10.48,10.48,10.48,000,10.465057
2016-08-01,10.49,10.49,10.49,10.49,000,10.475042
2016-07-29,10.49,10.49,10.49,10.49,000,10.475042
2016-07-28,10.50,10.50,10.50,10.50,000,10.473045
2016-07-27,10.49,10.49,10.49,10.49,000,10.463071
2016-07-26,10.48,10.48,10.48,10.48,000,10.453096
2016-07-25,10.48,10.48,10.48,10.48,000,10.453096
2016-07-22,10.48,10.48,10.48,10.48,000,10.453096
2016-07-21,10.48,10.48,10.48,10.48,000,10.453096
2016-07-20,10.48,10.48,10.48,10.48,000,10.453096
2016-07-19,10.48,10.48,10.48,10.48,000,10.453096
2016-07-18,10.48,10.48,10.48,10.48,000,10.453096
2016-07-15,10.48,10.48,10.48,10.48,000,10.453096
2016-07-14,10.50,10.50,10.50,10.50,000,10.473045
2016-07-13,10.52,10.52,10.52,10.52,000,10.492994
2016-07-12,10.51,10.51,10.51,10.51,000,10.48302
2016-07-11,10.54,10.54,10.54,10.54,000,10.512943
2016-07-08,10.54,10.54,10.54,10.54,000,10.512943
2016-07-07,10.54,10.54,10.54,10.54,000,10.512943
2016-07-06,10.55,10.55,10.55,10.55,000,10.522917
2016-07-05,10.54,10.54,10.54,10.54,000,10.512943
2016-07-01,10.52,10.52,10.52,10.52,000,10.492994
2016-06-30,10.51,10.51,10.51,10.51,000,10.48302
2016-06-29,10.53,10.53,10.53,10.53,000,10.490002
2016-06-28,10.53,10.53,10.53,10.53,000,10.490002
2016-06-27,10.54,10.54,10.54,10.54,000,10.499964
2016-06-24,10.51,10.51,10.51,10.51,000,10.470078
2016-06-23,10.44,10.44,10.44,10.44,000,10.400343
2016-06-22,10.46,10.46,10.46,10.46,000,10.420268
2016-06-21,10.46,10.46,10.46,10.46,000,10.420268
2016-06-20,10.46,10.46,10.46,10.46,000,10.420268
2016-06-17,10.48,10.48,10.48,10.48,000,10.440191
2016-06-16,10.48,10.48,10.48,10.48,000,10.440191
2016-06-15,10.46,10.46,10.46,10.46,000,10.420268
2016-06-14,10.46,10.46,10.46,10.46,000,10.420268
2016-06-13,10.44,10.44,10.44,10.44,000,10.400343
2016-06-10,10.44,10.44,10.44,10.44,000,10.400343
2016-06-09,10.42,10.42,10.42,10.42,000,10.38042
2016-06-08,10.40,10.40,10.40,10.40,000,10.360495
2016-06-07,10.39,10.39,10.39,10.39,000,10.350534
2016-06-06,10.38,10.38,10.38,10.38,000,10.340572
2016-06-03,10.38,10.38,10.38,10.38,000,10.340572
2016-06-02,10.37,10.37,10.37,10.37,000,10.33061
2016-06-01,10.36,10.36,10.36,10.36,000,10.320647
2016-05-31,10.36,10.36,10.36,10.36,000,10.320647
2016-05-27,10.36,10.36,10.36,10.36,000,10.311682
2016-05-26,10.36,10.36,10.36,10.36,000,10.311682
2016-05-25,10.37,10.37,10.37,10.37,000,10.321635
2016-05-24,10.37,10.37,10.37,10.37,000,10.321635
2016-05-23,10.38,10.38,10.38,10.38,000,10.331589
2016-05-20,10.38,10.38,10.38,10.38,000,10.331589
2016-05-18,10.39,10.39,10.39,10.39,000,10.341543
2016-05-17,10.41,10.41,10.41,10.41,000,10.361449
2016-05-16,10.40,10.40,10.40,10.40,000,10.351495
2016-05-13,10.40,10.40,10.40,10.40,000,10.351495
2016-05-12,10.40,10.40,10.40,10.40,000,10.351495
2016-05-11,10.39,10.39,10.39,10.39,000,10.341543
2016-05-10,10.38,10.38,10.38,10.38,000,10.331589
2016-05-09,10.37,10.37,10.37,10.37,000,10.321635
2016-05-06,10.37,10.37,10.37,10.37,000,10.321635
2016-05-05,10.37,10.37,10.37,10.37,000,10.321635
2016-05-04,10.36,10.36,10.36,10.36,000,10.311682
2016-05-03,10.35,10.35,10.35,10.35,000,10.301729
2016-05-02,10.34,10.34,10.34,10.34,000,10.291776
2016-04-29,10.34,10.34,10.34,10.34,000,10.291776
2016-04-28,10.34,10.34,10.34,10.34,000,10.277841
2016-04-27,10.33,10.33,10.33,10.33,000,10.267901
2016-04-26,10.32,10.32,10.32,10.32,000,10.257961
2016-04-25,10.33,10.33,10.33,10.33,000,10.267901
2016-04-22,10.33,10.33,10.33,10.33,000,10.267901
2016-04-21,10.34,10.34,10.34,10.34,000,10.277841
2016-04-20,10.35,10.35,10.35,10.35,000,10.287781
2016-04-19,10.35,10.35,10.35,10.35,000,10.287781
2016-04-18,10.35,10.35,10.35,10.35,000,10.287781
2016-04-15,10.35,10.35,10.35,10.35,000,10.287781
2016-04-14,10.34,10.34,10.34,10.34,000,10.277841
2016-04-13,10.34,10.34,10.34,10.34,000,10.277841
2016-04-12,10.34,10.34,10.34,10.34,000,10.277841
2016-04-11,10.35,10.35,10.35,10.35,000,10.287781
2016-04-08,10.34,10.34,10.34,10.34,000,10.277841
2016-04-07,10.34,10.34,10.34,10.34,000,10.277841
2016-04-06,10.32,10.32,10.32,10.32,000,10.257961
2016-04-05,10.31,10.31,10.31,10.31,000,10.248021
2016-04-04,10.28,10.28,10.28,10.28,000,10.218201
2016-04-01,10.28,10.28,10.28,10.28,000,10.218201
2016-03-31,10.27,10.27,10.27,10.27,000,10.208262
2016-03-30,10.27,10.27,10.27,10.27,000,10.19534
2016-03-29,10.26,10.26,10.26,10.26,000,10.185412
2016-03-28,10.25,10.25,10.25,10.25,000,10.175485
2016-03-24,10.24,10.24,10.24,10.24,000,10.165557
2016-03-23,10.24,10.24,10.24,10.24,000,10.165557
2016-03-22,10.24,10.24,10.24,10.24,000,10.165557
2016-03-21,10.23,10.23,10.23,10.23,000,10.155629
2016-03-18,10.23,10.23,10.23,10.23,000,10.155629
2016-03-17,10.23,10.23,10.23,10.23,000,10.155629
2016-03-16,10.22,10.22,10.22,10.22,000,10.145703
2016-03-15,10.21,10.21,10.21,10.21,000,10.135775
2016-03-14,10.21,10.21,10.21,10.21,000,10.135775
2016-03-11,10.21,10.21,10.21,10.21,000,10.135775
2016-03-10,10.21,10.21,10.21,10.21,000,10.135775
2016-03-09,10.21,10.21,10.21,10.21,000,10.135775
2016-03-08,10.21,10.21,10.21,10.21,000,10.135775
