Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,12.98,12.98,12.98,12.98,000,12.98
2016-09-12,13.06,13.06,13.06,13.06,000,13.06
2016-09-09,13.02,13.02,13.02,13.02,000,13.02
2016-09-08,13.15,13.15,13.15,13.15,000,13.15
2016-09-07,13.18,13.18,13.18,13.18,000,13.18
2016-09-06,13.17,13.17,13.17,13.17,000,13.17
2016-09-02,13.12,13.12,13.12,13.12,000,13.12
2016-09-01,13.10,13.10,13.10,13.10,000,13.10
2016-08-31,13.09,13.09,13.09,13.09,000,13.09
2016-08-30,13.11,13.11,13.11,13.11,000,13.11
2016-08-29,13.12,13.12,13.12,13.12,000,13.12
2016-08-26,13.08,13.08,13.08,13.08,000,13.08
2016-08-25,13.11,13.11,13.11,13.11,000,13.11
2016-08-24,13.12,13.12,13.12,13.12,000,13.12
2016-08-23,13.15,13.15,13.15,13.15,000,13.15
2016-08-22,13.13,13.13,13.13,13.13,000,13.13
2016-08-19,13.12,13.12,13.12,13.12,000,13.12
2016-08-18,13.15,13.15,13.15,13.15,000,13.15
2016-08-17,13.12,13.12,13.12,13.12,000,13.12
2016-08-16,13.11,13.11,13.11,13.11,000,13.11
2016-08-15,13.13,13.13,13.13,13.13,000,13.13
2016-08-12,13.13,13.13,13.13,13.13,000,13.13
2016-08-11,13.12,13.12,13.12,13.12,000,13.12
2016-08-10,13.12,13.12,13.12,13.12,000,13.12
2016-08-09,13.10,13.10,13.10,13.10,000,13.10
2016-08-08,13.07,13.07,13.07,13.07,000,13.07
2016-08-05,13.07,13.07,13.07,13.07,000,13.07
2016-08-04,13.06,13.06,13.06,13.06,000,13.06
2016-08-03,13.02,13.02,13.02,13.02,000,13.02
2016-08-02,13.02,13.02,13.02,13.02,000,13.02
2016-08-01,13.06,13.06,13.06,13.06,000,13.06
2016-07-29,13.09,13.09,13.09,13.09,000,13.09
2016-07-28,13.06,13.06,13.06,13.06,000,13.06
2016-07-27,13.05,13.05,13.05,13.05,000,13.05
2016-07-26,13.03,13.03,13.03,13.03,000,13.03
2016-07-25,13.02,13.02,13.02,13.02,000,13.02
2016-07-22,13.02,13.02,13.02,13.02,000,13.02
2016-07-21,13.02,13.02,13.02,13.02,000,13.02
2016-07-20,13.02,13.02,13.02,13.02,000,13.02
2016-07-19,13.01,13.01,13.01,13.01,000,13.01
2016-07-18,13.01,13.01,13.01,13.01,000,13.01
2016-07-15,13.00,13.00,13.00,13.00,000,13.00
2016-07-14,13.03,13.03,13.03,13.03,000,13.03
2016-07-13,13.02,13.02,13.02,13.02,000,13.02
2016-07-12,13.01,13.01,13.01,13.01,000,13.01
2016-07-11,12.99,12.99,12.99,12.99,000,12.99
2016-07-08,12.97,12.97,12.97,12.97,000,12.97
2016-07-07,12.91,12.91,12.91,12.91,000,12.91
2016-07-06,12.91,12.91,12.91,12.91,000,12.91
2016-07-05,12.90,12.90,12.90,12.90,000,12.90
2016-07-01,12.92,12.92,12.92,12.92,000,12.92
2016-06-30,12.88,12.88,12.88,12.88,000,12.88
2016-06-29,12.82,12.82,12.82,12.82,000,12.82
2016-06-28,12.76,12.76,12.76,12.76,000,12.76
2016-06-27,12.67,12.67,12.67,12.67,000,12.67
2016-06-24,12.71,12.71,12.71,12.71,000,12.71
2016-06-23,12.86,12.86,12.86,12.86,000,12.86
2016-06-22,12.81,12.81,12.81,12.81,000,12.81
2016-06-21,12.81,12.81,12.81,12.81,000,12.81
2016-06-20,12.80,12.80,12.80,12.80,000,12.80
2016-06-17,12.83,12.83,12.83,12.83,000,12.769
2016-06-16,12.83,12.83,12.83,12.83,000,12.769
2016-06-15,12.83,12.83,12.83,12.83,000,12.769
2016-06-14,12.81,12.81,12.81,12.81,000,12.749095
2016-06-13,12.84,12.84,12.84,12.84,000,12.778953
2016-06-10,12.87,12.87,12.87,12.87,000,12.80881
2016-06-09,12.93,12.93,12.93,12.93,000,12.868525
2016-06-08,12.94,12.94,12.94,12.94,000,12.878477
2016-06-07,12.92,12.92,12.92,12.92,000,12.858572
2016-06-06,12.89,12.89,12.89,12.89,000,12.828715
2016-06-03,12.87,12.87,12.87,12.87,000,12.80881
2016-06-02,12.83,12.83,12.83,12.83,000,12.769
2016-06-01,12.81,12.81,12.81,12.81,000,12.749095
2016-05-31,12.80,12.80,12.80,12.80,000,12.739143
2016-05-27,12.80,12.80,12.80,12.80,000,12.739143
2016-05-26,12.79,12.79,12.79,12.79,000,12.72919
2016-05-25,12.77,12.77,12.77,12.77,000,12.709286
2016-05-24,12.74,12.74,12.74,12.74,000,12.679428
2016-05-23,12.70,12.70,12.70,12.70,000,12.639618
2016-05-20,12.70,12.70,12.70,12.70,000,12.639618
2016-05-19,12.67,12.67,12.67,12.67,000,12.609761
2016-05-18,12.69,12.69,12.69,12.69,000,12.629665
2016-05-17,12.72,12.72,12.72,12.72,000,12.659523
2016-05-16,12.75,12.75,12.75,12.75,000,12.68938
2016-05-13,12.73,12.73,12.73,12.73,000,12.669475
2016-05-12,12.75,12.75,12.75,12.75,000,12.68938
2016-05-11,12.76,12.76,12.76,12.76,000,12.699333
2016-05-10,12.79,12.79,12.79,12.79,000,12.72919
2016-05-09,12.74,12.74,12.74,12.74,000,12.679428
2016-05-06,12.73,12.73,12.73,12.73,000,12.669475
2016-05-05,12.73,12.73,12.73,12.73,000,12.669475
2016-05-04,12.72,12.72,12.72,12.72,000,12.659523
2016-05-03,12.75,12.75,12.75,12.75,000,12.68938
2016-05-02,12.78,12.78,12.78,12.78,000,12.719237
2016-04-29,12.76,12.76,12.76,12.76,000,12.699333
2016-04-28,12.78,12.78,12.78,12.78,000,12.719237
2016-04-27,12.80,12.80,12.80,12.80,000,12.739143
2016-04-26,12.77,12.77,12.77,12.77,000,12.709286
2016-04-25,12.76,12.76,12.76,12.76,000,12.699333
2016-04-22,12.78,12.78,12.78,12.78,000,12.719237
2016-04-21,12.78,12.78,12.78,12.78,000,12.719237
2016-04-20,12.81,12.81,12.81,12.81,000,12.749095
2016-04-19,12.82,12.82,12.82,12.82,000,12.759047
2016-04-18,12.79,12.79,12.79,12.79,000,12.72919
2016-04-15,12.77,12.77,12.77,12.77,000,12.709286
2016-04-14,12.76,12.76,12.76,12.76,000,12.699333
2016-04-13,12.77,12.77,12.77,12.77,000,12.709286
2016-04-12,12.72,12.72,12.72,12.72,000,12.659523
2016-04-11,12.69,12.69,12.69,12.69,000,12.629665
2016-04-08,12.69,12.69,12.69,12.69,000,12.629665
2016-04-07,12.66,12.66,12.66,12.66,000,12.599808
2016-04-06,12.69,12.69,12.69,12.69,000,12.629665
2016-04-05,12.66,12.66,12.66,12.66,000,12.599808
2016-04-04,12.69,12.69,12.69,12.69,000,12.629665
2016-04-01,12.70,12.70,12.70,12.70,000,12.639618
2016-03-31,12.70,12.70,12.70,12.70,000,12.639618
2016-03-30,12.70,12.70,12.70,12.70,000,12.639618
2016-03-29,12.68,12.68,12.68,12.68,000,12.619713
2016-03-28,12.60,12.60,12.60,12.60,000,12.540094
2016-03-24,12.59,12.59,12.59,12.59,000,12.530141
2016-03-23,12.61,12.61,12.61,12.61,000,12.550046
2016-03-22,12.62,12.62,12.62,12.62,000,12.559998
2016-03-21,12.63,12.63,12.63,12.63,000,12.569951
2016-03-18,12.64,12.64,12.64,12.64,000,12.579904
2016-03-17,12.65,12.65,12.65,12.65,000,12.548055
2016-03-16,12.60,12.60,12.60,12.60,000,12.498459
2016-03-15,12.55,12.55,12.55,12.55,000,12.448862
2016-03-14,12.57,12.57,12.57,12.57,000,12.4687
2016-03-11,12.57,12.57,12.57,12.57,000,12.4687
2016-03-10,12.50,12.50,12.50,12.50,000,12.399264
2016-03-09,12.51,12.51,12.51,12.51,000,12.409184
2016-03-08,12.51,12.51,12.51,12.51,000,12.409184
2016-03-07,12.53,12.53,12.53,12.53,000,12.429022
2016-03-04,12.52,12.52,12.52,12.52,000,12.419104
2016-03-03,12.51,12.51,12.51,12.51,000,12.409184
2016-03-02,12.48,12.48,12.48,12.48,000,12.379425
2016-03-01,12.45,12.45,12.45,12.45,000,12.349667
2016-02-29,12.38,12.38,12.38,12.38,000,12.280232
2016-02-26,12.39,12.39,12.39,12.39,000,12.290151
2016-02-25,12.41,12.41,12.41,12.41,000,12.30999
2016-02-24,12.35,12.35,12.35,12.35,000,12.250474
2016-02-23,12.34,12.34,12.34,12.34,000,12.240554
2016-02-22,12.38,12.38,12.38,12.38,000,12.280232
2016-02-19,12.33,12.33,12.33,12.33,000,12.230634
2016-02-18,12.33,12.33,12.33,12.33,000,12.230634
2016-02-17,12.32,12.32,12.32,12.32,000,12.220715
2016-02-16,12.26,12.26,12.26,12.26,000,12.161199
2016-02-12,12.20,12.20,12.20,12.20,000,12.101682
2016-02-11,12.16,12.16,12.16,12.16,000,12.062004
2016-02-10,12.21,12.21,12.21,12.21,000,12.111602
2016-02-09,12.20,12.20,12.20,12.20,000,12.101682
2016-02-08,12.22,12.22,12.22,12.22,000,12.121521
2016-02-05,12.26,12.26,12.26,12.26,000,12.161199
2016-02-04,12.33,12.33,12.33,12.33,000,12.230634
2016-02-03,12.31,12.31,12.31,12.31,000,12.210796
2016-02-02,12.29,12.29,12.29,12.29,000,12.190957
2016-02-01,12.34,12.34,12.34,12.34,000,12.240554
2016-01-29,12.36,12.36,12.36,12.36,000,12.260392
2016-01-28,12.24,12.24,12.24,12.24,000,12.141359
2016-01-27,12.22,12.22,12.22,12.22,000,12.121521
2016-01-26,12.25,12.25,12.25,12.25,000,12.151279
2016-01-25,12.19,12.19,12.19,12.19,000,12.091762
2016-01-22,12.23,12.23,12.23,12.23,000,12.13144
2016-01-21,12.14,12.14,12.14,12.14,000,12.042166
2016-01-20,12.14,12.14,12.14,12.14,000,12.042166
2016-01-19,12.18,12.18,12.18,12.18,000,12.081844
2016-01-15,12.18,12.18,12.18,12.18,000,12.081844
2016-01-14,12.26,12.26,12.26,12.26,000,12.161199
2016-01-13,12.23,12.23,12.23,12.23,000,12.13144
2016-01-12,12.28,12.28,12.28,12.28,000,12.181037
2016-01-11,12.25,12.25,12.25,12.25,000,12.151279
2016-01-08,12.27,12.27,12.27,12.27,000,12.171118
2016-01-07,12.30,12.30,12.30,12.30,000,12.200876
2016-01-06,12.38,12.38,12.38,12.38,000,12.280232
2016-01-05,12.41,12.41,12.41,12.41,000,12.30999
2016-01-04,12.41,12.41,12.41,12.41,000,12.30999
2015-12-31,12.45,12.45,12.45,12.45,000,12.349667
2015-12-30,12.48,12.48,12.48,12.48,000,12.379425
2015-12-29,12.50,12.50,12.50,12.50,000,12.399264
2015-12-28,12.77,12.77,12.77,12.77,000,12.382402
2015-12-24,12.78,12.78,12.78,12.78,000,12.392097
2015-12-23,12.77,12.77,12.77,12.77,000,12.382402
2015-12-22,12.73,12.73,12.73,12.73,000,12.343615
2015-12-21,12.72,12.72,12.72,12.72,000,12.333919
2015-12-18,12.69,12.69,12.69,12.69,000,12.304829
2015-12-17,12.73,12.73,12.73,12.73,000,12.343615
2015-12-16,12.75,12.75,12.75,12.75,000,12.363008
2015-12-15,12.71,12.71,12.71,12.71,000,12.324222
2015-12-14,12.68,12.68,12.68,12.68,000,12.295133
2015-12-11,12.71,12.71,12.71,12.71,000,12.324222
2015-12-10,12.76,12.76,12.76,12.76,000,12.372705
2015-12-09,12.76,12.76,12.76,12.76,000,12.372705
2015-12-08,12.79,12.79,12.79,12.79,000,12.401794
2015-12-07,12.82,12.82,12.82,12.82,000,12.430883
2015-12-04,12.84,12.84,12.84,12.84,000,12.450277
2015-12-03,12.78,12.78,12.78,12.78,000,12.392097
2015-12-02,12.87,12.87,12.87,12.87,000,12.479366
2015-12-01,12.91,12.91,12.91,12.91,000,12.518152
2015-11-30,12.85,12.85,12.85,12.85,000,12.459973
2015-11-27,12.86,12.86,12.86,12.86,000,12.469669
2015-11-25,12.86,12.86,12.86,12.86,000,12.469669
2015-11-24,12.85,12.85,12.85,12.85,000,12.459973
2015-11-23,12.84,12.84,12.84,12.84,000,12.450277
2015-11-20,12.85,12.85,12.85,12.85,000,12.459973
2015-11-19,12.84,12.84,12.84,12.84,000,12.450277
2015-11-18,12.82,12.82,12.82,12.82,000,12.430883
2015-11-17,12.77,12.77,12.77,12.77,000,12.382402
2015-11-16,12.77,12.77,12.77,12.77,000,12.382402
2015-11-13,12.72,12.72,12.72,12.72,000,12.333919
2015-11-12,12.75,12.75,12.75,12.75,000,12.363008
2015-11-11,12.79,12.79,12.79,12.79,000,12.401794
2015-11-10,12.80,12.80,12.80,12.80,000,12.411491
2015-11-09,12.79,12.79,12.79,12.79,000,12.401794
2015-11-06,12.83,12.83,12.83,12.83,000,12.44058
2015-11-05,12.87,12.87,12.87,12.87,000,12.479366
2015-11-04,12.88,12.88,12.88,12.88,000,12.489063
2015-11-03,12.90,12.90,12.90,12.90,000,12.508455
2015-11-02,12.90,12.90,12.90,12.90,000,12.508455
2015-10-30,12.87,12.87,12.87,12.87,000,12.479366
2015-10-29,12.87,12.87,12.87,12.87,000,12.479366
2015-10-28,12.91,12.91,12.91,12.91,000,12.518152
2015-10-27,12.89,12.89,12.89,12.89,000,12.498759
2015-10-26,12.90,12.90,12.90,12.90,000,12.508455
