Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,18.77,18.77,18.77,18.77,000,18.77
2016-09-15,18.889999,18.889999,18.889999,18.889999,000,18.889999
2016-09-14,18.719999,18.719999,18.719999,18.719999,000,18.719999
2016-09-13,18.719999,18.719999,18.719999,18.719999,000,18.719999
2016-09-12,19.02,19.02,19.02,19.02,000,19.02
2016-09-09,18.85,18.85,18.85,18.85,000,18.85
2016-09-08,19.26,19.26,19.26,19.26,000,19.26
2016-09-07,19.309999,19.309999,19.309999,19.309999,000,19.309999
2016-09-06,19.290001,19.290001,19.290001,19.290001,000,19.290001
2016-09-02,19.17,19.17,19.17,19.17,000,19.17
2016-09-01,19.040001,19.040001,19.040001,19.040001,000,19.040001
2016-08-31,19.01,19.01,19.01,19.01,000,19.01
2016-08-30,19.049999,19.049999,19.049999,19.049999,000,19.049999
2016-08-29,19.09,19.09,19.09,19.09,000,19.09
2016-08-26,19.01,19.01,19.01,19.01,000,19.01
2016-08-25,19.059999,19.059999,19.059999,19.059999,000,19.059999
2016-08-24,19.09,19.09,19.09,19.09,000,19.09
2016-08-23,19.17,19.17,19.17,19.17,000,19.17
2016-08-22,19.120001,19.120001,19.120001,19.120001,000,19.120001
2016-08-19,19.129999,19.129999,19.129999,19.129999,000,19.129999
2016-08-18,19.190001,19.190001,19.190001,19.190001,000,19.190001
2016-08-17,19.120001,19.120001,19.120001,19.120001,000,19.120001
2016-08-16,19.120001,19.120001,19.120001,19.120001,000,19.120001
2016-08-15,19.190001,19.190001,19.190001,19.190001,000,19.190001
2016-08-12,19.120001,19.120001,19.120001,19.120001,000,19.120001
2016-08-11,19.129999,19.129999,19.129999,19.129999,000,19.129999
2016-08-10,19.040001,19.040001,19.040001,19.040001,000,19.040001
2016-08-09,19.049999,19.049999,19.049999,19.049999,000,19.049999
2016-08-08,18.98,18.98,18.98,18.98,000,18.98
2016-08-05,18.969999,18.969999,18.969999,18.969999,000,18.969999
2016-08-04,18.84,18.84,18.84,18.84,000,18.84
2016-08-03,18.790001,18.790001,18.790001,18.790001,000,18.790001
2016-08-02,18.790001,18.790001,18.790001,18.790001,000,18.790001
2016-08-01,18.889999,18.889999,18.889999,18.889999,000,18.889999
2016-07-29,18.940001,18.940001,18.940001,18.940001,000,18.940001
2016-07-28,18.85,18.85,18.85,18.85,000,18.85
2016-07-27,18.83,18.83,18.83,18.83,000,18.83
2016-07-26,18.809999,18.809999,18.809999,18.809999,000,18.809999
2016-07-25,18.77,18.77,18.77,18.77,000,18.77
2016-07-22,18.809999,18.809999,18.809999,18.809999,000,18.809999
2016-07-21,18.76,18.76,18.76,18.76,000,18.76
2016-07-20,18.809999,18.809999,18.809999,18.809999,000,18.809999
2016-07-19,18.719999,18.719999,18.719999,18.719999,000,18.719999
2016-07-18,18.77,18.77,18.77,18.77,000,18.77
2016-07-15,18.73,18.73,18.73,18.73,000,18.73
2016-07-14,18.77,18.77,18.77,18.77,000,18.77
2016-07-13,18.66,18.66,18.66,18.66,000,18.66
2016-07-12,18.66,18.66,18.66,18.66,000,18.66
2016-07-11,18.51,18.51,18.51,18.51,000,18.51
2016-07-08,18.379999,18.379999,18.379999,18.379999,000,18.379999
2016-07-07,18.139999,18.139999,18.139999,18.139999,000,18.139999
2016-07-06,18.15,18.15,18.15,18.15,000,18.15
2016-07-05,18.110001,18.110001,18.110001,18.110001,000,18.110001
2016-07-01,18.299999,18.299999,18.299999,18.299999,000,18.299999
