Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,27.73,27.73,27.73,27.73,000,27.73
2016-09-15,27.93,27.93,27.93,27.93,000,27.93
2016-09-14,27.799999,27.799999,27.799999,27.799999,000,27.799999
2016-09-13,27.799999,27.799999,27.799999,27.799999,000,27.799999
2016-09-12,28.030001,28.030001,28.030001,28.030001,000,28.030001
2016-09-09,27.85,27.85,27.85,27.85,000,27.85
2016-09-08,28.209999,28.209999,28.209999,28.209999,000,28.209999
2016-09-07,28.26,28.26,28.26,28.26,000,28.26
2016-09-06,28.25,28.25,28.25,28.25,000,28.25
2016-09-02,28.209999,28.209999,28.209999,28.209999,000,28.209999
2016-09-01,28.15,28.15,28.15,28.15,000,28.15
2016-08-31,28.15,28.15,28.15,28.15,000,28.15
2016-08-30,28.190001,28.190001,28.190001,28.190001,000,28.190001
2016-08-29,28.209999,28.209999,28.209999,28.209999,000,28.209999
2016-08-26,28.139999,28.139999,28.139999,28.139999,000,28.139999
2016-08-25,28.16,28.16,28.16,28.16,000,28.16
2016-08-24,28.18,28.18,28.18,28.18,000,28.18
2016-08-23,28.26,28.26,28.26,28.26,000,28.26
2016-08-22,28.219999,28.219999,28.219999,28.219999,000,28.219999
2016-08-19,28.219999,28.219999,28.219999,28.219999,000,28.219999
2016-08-18,28.24,28.24,28.24,28.24,000,28.24
2016-08-17,28.200001,28.200001,28.200001,28.200001,000,28.200001
2016-08-16,28.17,28.17,28.17,28.17,000,28.17
2016-08-15,28.26,28.26,28.26,28.26,000,28.26
2016-08-12,28.209999,28.209999,28.209999,28.209999,000,28.209999
2016-08-11,28.200001,28.200001,28.200001,28.200001,000,28.200001
2016-08-10,28.139999,28.139999,28.139999,28.139999,000,28.139999
2016-08-09,28.16,28.16,28.16,28.16,000,28.16
2016-08-08,28.15,28.15,28.15,28.15,000,28.15
2016-08-05,28.16,28.16,28.16,28.16,000,28.16
2016-08-04,28.059999,28.059999,28.059999,28.059999,000,28.059999
2016-08-03,28.040001,28.040001,28.040001,28.040001,000,28.040001
2016-08-02,27.98,27.98,27.98,27.98,000,27.98
2016-08-01,28.09,28.09,28.09,28.09,000,28.09
2016-07-29,28.120001,28.120001,28.120001,28.120001,000,28.120001
2016-07-28,28.09,28.09,28.09,28.09,000,28.09
2016-07-27,28.049999,28.049999,28.049999,28.049999,000,28.049999
2016-07-26,28.059999,28.059999,28.059999,28.059999,000,28.059999
2016-07-25,28.040001,28.040001,28.040001,28.040001,000,28.040001
2016-07-22,28.09,28.09,28.09,28.09,000,28.09
2016-07-21,28.02,28.02,28.02,28.02,000,28.02
2016-07-20,28.07,28.07,28.07,28.07,000,28.07
2016-07-19,28.01,28.01,28.01,28.01,000,28.01
2016-07-18,28.02,28.02,28.02,28.02,000,28.02
2016-07-15,27.99,27.99,27.99,27.99,000,27.99
2016-07-14,28.030001,28.030001,28.030001,28.030001,000,28.030001
2016-07-13,27.98,27.98,27.98,27.98,000,27.98
2016-07-12,27.969999,27.969999,27.969999,27.969999,000,27.969999
2016-07-11,27.91,27.91,27.91,27.91,000,27.91
2016-07-08,27.860001,27.860001,27.860001,27.860001,000,27.860001
2016-07-07,27.66,27.66,27.66,27.66,000,27.66
2016-07-06,27.67,27.67,27.67,27.67,000,27.67
2016-07-05,27.59,27.59,27.59,27.59,000,27.59
2016-07-01,27.66,27.66,27.66,27.66,000,27.66
2016-06-30,27.620001,27.620001,27.620001,27.620001,000,27.620001
2016-06-29,27.450001,27.450001,27.450001,27.450001,000,27.450001
2016-06-28,27.23,27.23,27.23,27.23,000,27.23
2016-06-27,27.01,27.01,27.01,27.01,000,27.01
2016-06-24,27.219999,27.219999,27.219999,27.219999,000,27.219999
2016-06-23,27.610001,27.610001,27.610001,27.610001,000,27.610001
2016-06-22,27.450001,27.450001,27.450001,27.450001,000,27.450001
2016-06-21,27.48,27.48,27.48,27.48,000,27.48
2016-06-20,27.450001,27.450001,27.450001,27.450001,000,27.450001
2016-06-17,27.389999,27.389999,27.389999,27.389999,000,27.389999
2016-06-16,27.43,27.43,27.43,27.43,000,27.43
2016-06-15,27.50,27.50,27.50,27.50,000,27.362
2016-06-14,27.51,27.51,27.51,27.51,000,27.37195
2016-06-13,27.52,27.52,27.52,27.52,000,27.3819
2016-06-10,27.620001,27.620001,27.620001,27.620001,000,27.481399
2016-06-09,27.73,27.73,27.73,27.73,000,27.590846
2016-06-08,27.74,27.74,27.74,27.74,000,27.600796
2016-06-07,27.68,27.68,27.68,27.68,000,27.541097
2016-06-06,27.65,27.65,27.65,27.65,000,27.511247
2016-06-03,27.58,27.58,27.58,27.58,000,27.441599
2016-06-02,27.60,27.60,27.60,27.60,000,27.461499
2016-06-01,27.559999,27.559999,27.559999,27.559999,000,27.421699
2016-05-31,27.530001,27.530001,27.530001,27.530001,000,27.39185
2016-05-27,27.540001,27.540001,27.540001,27.540001,000,27.4018
2016-05-26,27.48,27.48,27.48,27.48,000,27.3421
2016-05-25,27.49,27.49,27.49,27.49,000,27.35205
2016-05-24,27.40,27.40,27.40,27.40,000,27.262502
2016-05-23,27.23,27.23,27.23,27.23,000,27.093355
2016-05-20,27.26,27.26,27.26,27.26,000,27.123205
2016-05-19,27.17,27.17,27.17,27.17,000,27.033656
2016-05-18,27.23,27.23,27.23,27.23,000,27.093355
2016-05-17,27.26,27.26,27.26,27.26,000,27.123205
2016-05-16,27.370001,27.370001,27.370001,27.370001,000,27.232653
2016-05-13,27.24,27.24,27.24,27.24,000,27.103305
2016-05-12,27.34,27.34,27.34,27.34,000,27.202803
2016-05-11,27.35,27.35,27.35,27.35,000,27.212753
2016-05-10,27.459999,27.459999,27.459999,27.459999,000,27.3222
2016-05-09,27.290001,27.290001,27.290001,27.290001,000,27.153055
2016-05-06,27.27,27.27,27.27,27.27,000,27.133155
2016-05-05,27.219999,27.219999,27.219999,27.219999,000,27.083405
2016-05-04,27.219999,27.219999,27.219999,27.219999,000,27.083405
2016-05-03,27.290001,27.290001,27.290001,27.290001,000,27.153055
2016-05-02,27.389999,27.389999,27.389999,27.389999,000,27.252552
2016-04-29,27.280001,27.280001,27.280001,27.280001,000,27.143105
2016-04-28,27.34,27.34,27.34,27.34,000,27.202803
2016-04-27,27.450001,27.450001,27.450001,27.450001,000,27.312252
2016-04-26,27.42,27.42,27.42,27.42,000,27.282402
2016-04-25,27.389999,27.389999,27.389999,27.389999,000,27.252552
2016-04-22,27.42,27.42,27.42,27.42,000,27.282402
2016-04-21,27.41,27.41,27.41,27.41,000,27.272452
2016-04-20,27.51,27.51,27.51,27.51,000,27.37195
2016-04-19,27.50,27.50,27.50,27.50,000,27.362
2016-04-18,27.450001,27.450001,27.450001,27.450001,000,27.312252
2016-04-15,27.360001,27.360001,27.360001,27.360001,000,27.222703
2016-04-14,27.360001,27.360001,27.360001,27.360001,000,27.222703
2016-04-13,27.360001,27.360001,27.360001,27.360001,000,27.222703
2016-04-12,27.219999,27.219999,27.219999,27.219999,000,27.083405
2016-04-11,27.10,27.10,27.10,27.10,000,26.964008
2016-04-08,27.129999,27.129999,27.129999,27.129999,000,26.993856
2016-04-07,27.09,27.09,27.09,27.09,000,26.954058
2016-04-06,27.219999,27.219999,27.219999,27.219999,000,27.083405
2016-04-05,27.08,27.08,27.08,27.08,000,26.944108
2016-04-04,27.17,27.17,27.17,27.17,000,27.033656
2016-04-01,27.209999,27.209999,27.209999,27.209999,000,27.073455
2016-03-31,27.120001,27.120001,27.120001,27.120001,000,26.983908
2016-03-30,27.120001,27.120001,27.120001,27.120001,000,26.983908
2016-03-29,27.049999,27.049999,27.049999,27.049999,000,26.914258
2016-03-28,26.90,26.90,26.90,26.90,000,26.765011
2016-03-24,26.889999,26.889999,26.889999,26.889999,000,26.755061
2016-03-23,26.889999,26.889999,26.889999,26.889999,000,26.755061
2016-03-22,26.98,26.98,26.98,26.98,000,26.844609
2016-03-21,26.98,26.98,26.98,26.98,000,26.844609
2016-03-18,26.969999,26.969999,26.969999,26.969999,000,26.834659
2016-03-17,26.90,26.90,26.90,26.90,000,26.765011
2016-03-16,26.790001,26.790001,26.790001,26.790001,000,26.655564
2016-03-15,26.83,26.83,26.83,26.83,000,26.56502
2016-03-14,26.870001,26.870001,26.870001,26.870001,000,26.604626
2016-03-11,26.889999,26.889999,26.889999,26.889999,000,26.624427
2016-03-10,26.66,26.66,26.66,26.66,000,26.396699
2016-03-09,26.66,26.66,26.66,26.66,000,26.396699
2016-03-08,26.60,26.60,26.60,26.60,000,26.337292
2016-03-07,26.74,26.74,26.74,26.74,000,26.475909
2016-03-04,26.73,26.73,26.73,26.73,000,26.466007
2016-03-03,26.700001,26.700001,26.700001,26.700001,000,26.436305
2016-03-02,26.65,26.65,26.65,26.65,000,26.386798
2016-03-01,26.60,26.60,26.60,26.60,000,26.337292
2016-02-29,26.32,26.32,26.32,26.32,000,26.060057
2016-02-26,26.42,26.42,26.42,26.42,000,26.15907
2016-02-25,26.450001,26.450001,26.450001,26.450001,000,26.188774
2016-02-24,26.290001,26.290001,26.290001,26.290001,000,26.030354
2016-02-23,26.23,26.23,26.23,26.23,000,25.970945
2016-02-22,26.40,26.40,26.40,26.40,000,26.139267
2016-02-19,26.219999,26.219999,26.219999,26.219999,000,25.961044
2016-02-18,26.209999,26.209999,26.209999,26.209999,000,25.951143
2016-02-17,26.27,26.27,26.27,26.27,000,26.010551
2016-02-16,26.08,26.08,26.08,26.08,000,25.822427
2016-02-12,25.870001,25.870001,25.870001,25.870001,000,25.614502
2016-02-11,25.65,25.65,25.65,25.65,000,25.396674
2016-02-10,25.780001,25.780001,25.780001,25.780001,000,25.525391
2016-02-09,25.77,25.77,25.77,25.77,000,25.515489
2016-02-08,25.77,25.77,25.77,25.77,000,25.515489
2016-02-05,25.950001,25.950001,25.950001,25.950001,000,25.693712
2016-02-04,26.200001,26.200001,26.200001,26.200001,000,25.941243
2016-02-03,26.16,26.16,26.16,26.16,000,25.901637
2016-02-02,26.08,26.08,26.08,26.08,000,25.822427
2016-02-01,26.32,26.32,26.32,26.32,000,26.060057
2016-01-29,26.32,26.32,26.32,26.32,000,26.060057
2016-01-28,25.98,25.98,25.98,25.98,000,25.723415
2016-01-27,25.92,25.92,25.92,25.92,000,25.664008
2016-01-26,26.059999,26.059999,26.059999,26.059999,000,25.802624
2016-01-25,25.879999,25.879999,25.879999,25.879999,000,25.624402
2016-01-22,26.08,26.08,26.08,26.08,000,25.822427
2016-01-21,25.83,25.83,25.83,25.83,000,25.574896
2016-01-20,25.780001,25.780001,25.780001,25.780001,000,25.525391
2016-01-19,25.889999,25.889999,25.889999,25.889999,000,25.634303
2016-01-15,25.90,25.90,25.90,25.90,000,25.644205
2016-01-14,26.15,26.15,26.15,26.15,000,25.891736
2016-01-13,25.959999,25.959999,25.959999,25.959999,000,25.703612
2016-01-12,26.280001,26.280001,26.280001,26.280001,000,26.020453
2016-01-11,26.190001,26.190001,26.190001,26.190001,000,25.931342
2016-01-08,26.200001,26.200001,26.200001,26.200001,000,25.941243
2016-01-07,26.33,26.33,26.33,26.33,000,26.069958
2016-01-06,26.610001,26.610001,26.610001,26.610001,000,26.347194
2016-01-05,26.73,26.73,26.73,26.73,000,26.466007
2016-01-04,26.690001,26.690001,26.690001,26.690001,000,26.426403
2015-12-31,26.860001,26.860001,26.860001,26.860001,000,26.594724
2015-12-30,26.959999,26.959999,26.959999,26.959999,000,26.693735
2015-12-29,27.059999,27.059999,27.059999,27.059999,000,26.792748
2015-12-28,26.92,26.92,26.92,26.92,000,26.654131
2015-12-24,26.940001,26.940001,26.940001,26.940001,000,26.673934
2015-12-23,27.120001,27.120001,27.120001,27.120001,000,26.696707
2015-12-22,26.950001,26.950001,26.950001,26.950001,000,26.52936
2015-12-21,26.84,26.84,26.84,26.84,000,26.421076
2015-12-18,26.74,26.74,26.74,26.74,000,26.322637
2015-12-17,26.940001,26.940001,26.940001,26.940001,000,26.519516
2015-12-16,27.120001,27.120001,27.120001,27.120001,000,26.696707
2015-12-15,26.940001,26.940001,26.940001,26.940001,000,26.519516
2015-12-14,26.809999,26.809999,26.809999,26.809999,000,26.391544
2015-12-11,26.790001,26.790001,26.790001,26.790001,000,26.371857
2015-12-10,27.01,27.01,27.01,27.01,000,26.588423
2015-12-09,26.959999,26.959999,26.959999,26.959999,000,26.539202
2015-12-08,27.059999,27.059999,27.059999,27.059999,000,26.637642
2015-12-07,27.129999,27.129999,27.129999,27.129999,000,26.706549
2015-12-04,27.219999,27.219999,27.219999,27.219999,000,26.795144
2015-12-03,26.969999,26.969999,26.969999,26.969999,000,26.549046
2015-12-02,27.18,27.18,27.18,27.18,000,26.75577
2015-12-01,27.32,27.32,27.32,27.32,000,26.893584
2015-11-30,27.16,27.16,27.16,27.16,000,26.736081
2015-11-27,27.209999,27.209999,27.209999,27.209999,000,26.7853
