Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,11.67,11.67,11.67,11.67,000,11.67
2016-09-15,11.82,11.82,11.82,11.82,000,11.82
2016-09-14,11.72,11.72,11.72,11.72,000,11.72
2016-09-13,11.72,11.72,11.72,11.72,000,11.72
2016-09-12,11.97,11.97,11.97,11.97,000,11.97
2016-09-09,11.96,11.96,11.96,11.96,000,11.96
2016-09-08,12.20,12.20,12.20,12.20,000,12.20
2016-09-07,12.23,12.23,12.23,12.23,000,12.23
2016-09-06,12.21,12.21,12.21,12.21,000,12.21
2016-09-02,12.09,12.09,12.09,12.09,000,12.09
2016-09-01,11.96,11.96,11.96,11.96,000,11.96
2016-08-31,11.90,11.90,11.90,11.90,000,11.90
2016-08-30,11.91,11.91,11.91,11.91,000,11.91
2016-08-29,11.94,11.94,11.94,11.94,000,11.94
2016-08-26,11.92,11.92,11.92,11.92,000,11.92
2016-08-25,11.99,11.99,11.99,11.99,000,11.99
2016-08-24,12.02,12.02,12.02,12.02,000,12.02
2016-08-23,12.06,12.06,12.06,12.06,000,12.06
2016-08-22,12.00,12.00,12.00,12.00,000,12.00
2016-08-19,12.00,12.00,12.00,12.00,000,12.00
2016-08-18,12.09,12.09,12.09,12.09,000,12.09
2016-08-17,12.02,12.02,12.02,12.02,000,12.02
2016-08-16,12.03,12.03,12.03,12.03,000,12.03
2016-08-15,12.05,12.05,12.05,12.05,000,12.05
2016-08-12,12.01,12.01,12.01,12.01,000,12.01
2016-08-11,12.02,12.02,12.02,12.02,000,12.02
2016-08-10,11.95,11.95,11.95,11.95,000,11.95
2016-08-09,11.91,11.91,11.91,11.91,000,11.91
2016-08-08,11.80,11.80,11.80,11.80,000,11.80
2016-08-05,11.77,11.77,11.77,11.77,000,11.77
2016-08-04,11.72,11.72,11.72,11.72,000,11.72
2016-08-03,11.66,11.66,11.66,11.66,000,11.66
2016-08-02,11.72,11.72,11.72,11.72,000,11.72
2016-08-01,11.76,11.76,11.76,11.76,000,11.76
2016-07-29,11.84,11.84,11.84,11.84,000,11.84
2016-07-28,11.69,11.69,11.69,11.69,000,11.69
2016-07-27,11.70,11.70,11.70,11.70,000,11.70
2016-07-26,11.65,11.65,11.65,11.65,000,11.65
2016-07-25,11.60,11.60,11.60,11.60,000,11.60
2016-07-22,11.61,11.61,11.61,11.61,000,11.61
2016-07-21,11.62,11.62,11.62,11.62,000,11.62
2016-07-20,11.64,11.64,11.64,11.64,000,11.64
2016-07-19,11.55,11.55,11.55,11.55,000,11.55
2016-07-18,11.63,11.63,11.63,11.63,000,11.63
2016-07-15,11.60,11.60,11.60,11.60,000,11.60
2016-07-14,11.66,11.66,11.66,11.66,000,11.66
2016-07-13,11.56,11.56,11.56,11.56,000,11.56
2016-07-12,11.56,11.56,11.56,11.56,000,11.56
2016-07-11,11.41,11.41,11.41,11.41,000,11.41
2016-07-08,11.25,11.25,11.25,11.25,000,11.25
2016-07-07,11.12,11.12,11.12,11.12,000,11.12
2016-07-06,11.14,11.14,11.14,11.14,000,11.14
2016-07-05,11.17,11.17,11.17,11.17,000,11.17
2016-07-01,11.38,11.38,11.38,11.38,000,11.38
2016-06-30,11.34,11.34,11.34,11.34,000,11.34
2016-06-29,11.20,11.20,11.20,11.20,000,11.20
2016-06-28,11.00,11.00,11.00,11.00,000,11.00
2016-06-27,10.72,10.72,10.72,10.72,000,10.72
2016-06-24,10.98,10.98,10.98,10.98,000,10.98
2016-06-23,11.90,11.90,11.90,11.90,000,11.90
2016-06-22,11.63,11.63,11.63,11.63,000,11.63
2016-06-21,11.62,11.62,11.62,11.62,000,11.62
2016-06-20,11.54,11.54,11.54,11.54,000,11.54
2016-06-17,11.26,11.26,11.26,11.26,000,11.26
2016-06-16,11.17,11.17,11.17,11.17,000,11.17
2016-06-15,11.18,11.18,11.18,11.18,000,11.18
2016-06-14,11.11,11.11,11.11,11.11,000,11.11
2016-06-13,11.27,11.27,11.27,11.27,000,11.27
2016-06-10,11.61,11.61,11.61,11.61,000,11.455
2016-06-09,11.92,11.92,11.92,11.92,000,11.760862
2016-06-08,12.05,12.05,12.05,12.05,000,11.889126
2016-06-07,12.02,12.02,12.02,12.02,000,11.859527
2016-06-06,11.91,11.91,11.91,11.91,000,11.750995
2016-06-03,11.84,11.84,11.84,11.84,000,11.68193
2016-06-02,11.74,11.74,11.74,11.74,000,11.583264
2016-06-01,11.75,11.75,11.75,11.75,000,11.593131
2016-05-31,11.76,11.76,11.76,11.76,000,11.602998
2016-05-27,11.79,11.79,11.79,11.79,000,11.632597
2016-05-26,11.81,11.81,11.81,11.81,000,11.65233
2016-05-25,11.78,11.78,11.78,11.78,000,11.62273
2016-05-24,11.66,11.66,11.66,11.66,000,11.504332
2016-05-23,11.53,11.53,11.53,11.53,000,11.376068
2016-05-20,11.55,11.55,11.55,11.55,000,11.395801
2016-05-19,11.46,11.46,11.46,11.46,000,11.307003
2016-05-18,11.54,11.54,11.54,11.54,000,11.385935
2016-05-17,11.56,11.56,11.56,11.56,000,11.405668
2016-05-16,11.60,11.60,11.60,11.60,000,11.445134
2016-05-13,11.50,11.50,11.50,11.50,000,11.346469
2016-05-12,11.60,11.60,11.60,11.60,000,11.445134
2016-05-11,11.61,11.61,11.61,11.61,000,11.455
2016-05-10,11.69,11.69,11.69,11.69,000,11.533932
2016-05-09,11.53,11.53,11.53,11.53,000,11.376068
2016-05-06,11.56,11.56,11.56,11.56,000,11.405668
2016-05-05,11.55,11.55,11.55,11.55,000,11.395801
2016-05-04,11.55,11.55,11.55,11.55,000,11.395801
2016-05-03,11.69,11.69,11.69,11.69,000,11.533932
2016-05-02,11.90,11.90,11.90,11.90,000,11.741128
2016-04-29,11.81,11.81,11.81,11.81,000,11.65233
2016-04-28,11.87,11.87,11.87,11.87,000,11.711529
2016-04-27,11.96,11.96,11.96,11.96,000,11.800328
2016-04-26,11.95,11.95,11.95,11.95,000,11.790461
2016-04-25,11.91,11.91,11.91,11.91,000,11.750995
2016-04-22,11.96,11.96,11.96,11.96,000,11.800328
2016-04-21,11.97,11.97,11.97,11.97,000,11.810194
2016-04-20,12.02,12.02,12.02,12.02,000,11.859527
2016-04-19,12.03,12.03,12.03,12.03,000,11.869393
2016-04-18,11.83,11.83,11.83,11.83,000,11.672063
2016-04-15,11.75,11.75,11.75,11.75,000,11.593131
2016-04-14,11.77,11.77,11.77,11.77,000,11.612865
2016-04-13,11.73,11.73,11.73,11.73,000,11.573398
2016-04-12,11.56,11.56,11.56,11.56,000,11.405668
2016-04-11,11.40,11.40,11.40,11.40,000,11.247803
2016-04-08,11.39,11.39,11.39,11.39,000,11.237938
2016-04-07,11.18,11.18,11.18,11.18,000,11.030741
2016-04-06,11.32,11.32,11.32,11.32,000,11.168872
2016-04-05,11.17,11.17,11.17,11.17,000,11.020874
2016-04-04,11.38,11.38,11.38,11.38,000,11.228071
2016-04-01,11.40,11.40,11.40,11.40,000,11.247803
2016-03-31,11.53,11.53,11.53,11.53,000,11.376068
2016-03-30,11.61,11.61,11.61,11.61,000,11.455
2016-03-29,11.53,11.53,11.53,11.53,000,11.376068
2016-03-28,11.39,11.39,11.39,11.39,000,11.237938
2016-03-24,11.32,11.32,11.32,11.32,000,11.168872
2016-03-23,11.41,11.41,11.41,11.41,000,11.25767
2016-03-22,11.52,11.52,11.52,11.52,000,11.366202
2016-03-21,11.54,11.54,11.54,11.54,000,11.385935
2016-03-18,11.57,11.57,11.57,11.57,000,11.415534
2016-03-17,11.58,11.58,11.58,11.58,000,11.425401
2016-03-16,11.48,11.48,11.48,11.48,000,11.326735
2016-03-15,11.36,11.36,11.36,11.36,000,11.208337
2016-03-14,11.47,11.47,11.47,11.47,000,11.316869
2016-03-11,11.53,11.53,11.53,11.53,000,11.325749
2016-03-10,11.26,11.26,11.26,11.26,000,11.060532
2016-03-09,11.26,11.26,11.26,11.26,000,11.060532
2016-03-08,11.22,11.22,11.22,11.22,000,11.021241
2016-03-07,11.35,11.35,11.35,11.35,000,11.148938
2016-03-04,11.36,11.36,11.36,11.36,000,11.15876
2016-03-03,11.26,11.26,11.26,11.26,000,11.060532
2016-03-02,11.14,11.14,11.14,11.14,000,10.942658
2016-03-01,11.06,11.06,11.06,11.06,000,10.864075
2016-02-29,10.81,10.81,10.81,10.81,000,10.618504
2016-02-26,10.84,10.84,10.84,10.84,000,10.647972
2016-02-25,10.87,10.87,10.87,10.87,000,10.677441
2016-02-24,10.73,10.73,10.73,10.73,000,10.53992
2016-02-23,10.79,10.79,10.79,10.79,000,10.598858
2016-02-22,10.96,10.96,10.96,10.96,000,10.765846
2016-02-19,10.83,10.83,10.83,10.83,000,10.638149
2016-02-18,10.86,10.86,10.86,10.86,000,10.667618
2016-02-17,10.89,10.89,10.89,10.89,000,10.697087
2016-02-16,10.69,10.69,10.69,10.69,000,10.500629
2016-02-12,10.48,10.48,10.48,10.48,000,10.294349
2016-02-11,10.34,10.34,10.34,10.34,000,10.15683
2016-02-10,10.53,10.53,10.53,10.53,000,10.343464
