Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,11.69,11.69,11.69,11.69,000,11.69
2016-09-15,11.84,11.84,11.84,11.84,000,11.84
2016-09-14,11.73,11.73,11.73,11.73,000,11.73
2016-09-13,11.74,11.74,11.74,11.74,000,11.74
2016-09-12,11.98,11.98,11.98,11.98,000,11.98
2016-09-09,11.97,11.97,11.97,11.97,000,11.97
2016-09-08,12.22,12.22,12.22,12.22,000,12.22
2016-09-07,12.25,12.25,12.25,12.25,000,12.25
2016-09-06,12.23,12.23,12.23,12.23,000,12.23
2016-09-02,12.11,12.11,12.11,12.11,000,12.11
2016-09-01,11.98,11.98,11.98,11.98,000,11.98
2016-08-31,11.91,11.91,11.91,11.91,000,11.91
2016-08-30,11.92,11.92,11.92,11.92,000,11.92
2016-08-29,11.96,11.96,11.96,11.96,000,11.96
2016-08-26,11.93,11.93,11.93,11.93,000,11.93
2016-08-25,12.00,12.00,12.00,12.00,000,12.00
2016-08-24,12.04,12.04,12.04,12.04,000,12.04
2016-08-23,12.08,12.08,12.08,12.08,000,12.08
2016-08-22,12.02,12.02,12.02,12.02,000,12.02
2016-08-19,12.02,12.02,12.02,12.02,000,12.02
2016-08-18,12.10,12.10,12.10,12.10,000,12.10
2016-08-17,12.03,12.03,12.03,12.03,000,12.03
2016-08-16,12.05,12.05,12.05,12.05,000,12.05
2016-08-15,12.07,12.07,12.07,12.07,000,12.07
2016-08-12,12.02,12.02,12.02,12.02,000,12.02
2016-08-11,12.03,12.03,12.03,12.03,000,12.03
2016-08-10,11.96,11.96,11.96,11.96,000,11.96
2016-08-09,11.92,11.92,11.92,11.92,000,11.92
2016-08-08,11.82,11.82,11.82,11.82,000,11.82
2016-08-05,11.79,11.79,11.79,11.79,000,11.79
2016-08-04,11.73,11.73,11.73,11.73,000,11.73
2016-08-03,11.67,11.67,11.67,11.67,000,11.67
2016-08-02,11.74,11.74,11.74,11.74,000,11.74
2016-08-01,11.78,11.78,11.78,11.78,000,11.78
2016-07-29,11.85,11.85,11.85,11.85,000,11.85
2016-07-28,11.71,11.71,11.71,11.71,000,11.71
2016-07-27,11.71,11.71,11.71,11.71,000,11.71
2016-07-26,11.66,11.66,11.66,11.66,000,11.66
2016-07-25,11.62,11.62,11.62,11.62,000,11.62
2016-07-22,11.63,11.63,11.63,11.63,000,11.63
2016-07-21,11.63,11.63,11.63,11.63,000,11.63
2016-07-20,11.66,11.66,11.66,11.66,000,11.66
2016-07-19,11.57,11.57,11.57,11.57,000,11.57
2016-07-18,11.64,11.64,11.64,11.64,000,11.64
2016-07-15,11.62,11.62,11.62,11.62,000,11.62
2016-07-14,11.67,11.67,11.67,11.67,000,11.67
2016-07-13,11.57,11.57,11.57,11.57,000,11.57
2016-07-12,11.57,11.57,11.57,11.57,000,11.57
2016-07-11,11.43,11.43,11.43,11.43,000,11.43
2016-07-08,11.27,11.27,11.27,11.27,000,11.27
2016-07-07,11.14,11.14,11.14,11.14,000,11.14
2016-07-06,11.16,11.16,11.16,11.16,000,11.16
2016-07-05,11.18,11.18,11.18,11.18,000,11.18
2016-07-01,11.39,11.39,11.39,11.39,000,11.39
2016-06-30,11.36,11.36,11.36,11.36,000,11.36
2016-06-29,11.21,11.21,11.21,11.21,000,11.21
2016-06-28,11.01,11.01,11.01,11.01,000,11.01
2016-06-27,10.73,10.73,10.73,10.73,000,10.73
2016-06-24,10.99,10.99,10.99,10.99,000,10.99
2016-06-23,11.92,11.92,11.92,11.92,000,11.92
2016-06-22,11.64,11.64,11.64,11.64,000,11.64
2016-06-21,11.63,11.63,11.63,11.63,000,11.63
2016-06-20,11.56,11.56,11.56,11.56,000,11.56
2016-06-17,11.28,11.28,11.28,11.28,000,11.28
2016-06-16,11.18,11.18,11.18,11.18,000,11.18
2016-06-15,11.19,11.19,11.19,11.19,000,11.19
2016-06-14,11.12,11.12,11.12,11.12,000,11.12
2016-06-13,11.29,11.29,11.29,11.29,000,11.29
2016-06-10,11.63,11.63,11.63,11.63,000,11.475
2016-06-09,11.93,11.93,11.93,11.93,000,11.771002
2016-06-08,12.07,12.07,12.07,12.07,000,11.909136
2016-06-07,12.03,12.03,12.03,12.03,000,11.869669
2016-06-06,11.93,11.93,11.93,11.93,000,11.771002
2016-06-03,11.85,11.85,11.85,11.85,000,11.692068
2016-06-02,11.75,11.75,11.75,11.75,000,11.593401
2016-06-01,11.76,11.76,11.76,11.76,000,11.603268
2016-05-31,11.77,11.77,11.77,11.77,000,11.613135
2016-05-27,11.80,11.80,11.80,11.80,000,11.642735
2016-05-26,11.82,11.82,11.82,11.82,000,11.662467
2016-05-25,11.79,11.79,11.79,11.79,000,11.632868
2016-05-24,11.67,11.67,11.67,11.67,000,11.514467
2016-05-23,11.54,11.54,11.54,11.54,000,11.386199
2016-05-20,11.57,11.57,11.57,11.57,000,11.415799
2016-05-19,11.48,11.48,11.48,11.48,000,11.326999
2016-05-18,11.55,11.55,11.55,11.55,000,11.396066
2016-05-17,11.57,11.57,11.57,11.57,000,11.415799
2016-05-16,11.61,11.61,11.61,11.61,000,11.455266
2016-05-13,11.51,11.51,11.51,11.51,000,11.3566
2016-05-12,11.61,11.61,11.61,11.61,000,11.455266
2016-05-11,11.63,11.63,11.63,11.63,000,11.475
2016-05-10,11.71,11.71,11.71,11.71,000,11.553934
2016-05-09,11.55,11.55,11.55,11.55,000,11.396066
2016-05-06,11.57,11.57,11.57,11.57,000,11.415799
2016-05-05,11.56,11.56,11.56,11.56,000,11.405933
2016-05-04,11.57,11.57,11.57,11.57,000,11.415799
2016-05-03,11.71,11.71,11.71,11.71,000,11.553934
2016-05-02,11.92,11.92,11.92,11.92,000,11.761135
2016-04-29,11.83,11.83,11.83,11.83,000,11.672334
2016-04-28,11.89,11.89,11.89,11.89,000,11.731535
2016-04-27,11.97,11.97,11.97,11.97,000,11.810469
2016-04-26,11.96,11.96,11.96,11.96,000,11.800602
2016-04-25,11.93,11.93,11.93,11.93,000,11.771002
2016-04-22,11.98,11.98,11.98,11.98,000,11.820335
2016-04-21,11.99,11.99,11.99,11.99,000,11.830202
2016-04-20,12.04,12.04,12.04,12.04,000,11.879536
2016-04-19,12.04,12.04,12.04,12.04,000,11.879536
2016-04-18,11.84,11.84,11.84,11.84,000,11.682201
2016-04-15,11.76,11.76,11.76,11.76,000,11.603268
2016-04-14,11.78,11.78,11.78,11.78,000,11.623001
2016-04-13,11.75,11.75,11.75,11.75,000,11.593401
2016-04-12,11.58,11.58,11.58,11.58,000,11.425666
2016-04-11,11.42,11.42,11.42,11.42,000,11.267799
2016-04-08,11.40,11.40,11.40,11.40,000,11.248065
2016-04-07,11.20,11.20,11.20,11.20,000,11.050731
2016-04-06,11.33,11.33,11.33,11.33,000,11.178998
2016-04-05,11.18,11.18,11.18,11.18,000,11.030998
2016-04-04,11.39,11.39,11.39,11.39,000,11.238199
