Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,14.97,14.97,14.97,14.97,000,14.97
2016-09-12,15.11,15.11,15.11,15.11,000,15.11
2016-09-09,15.04,15.04,15.04,15.04,000,15.04
2016-09-08,15.23,15.23,15.23,15.23,000,15.23
2016-09-07,15.27,15.27,15.27,15.27,000,15.27
2016-09-06,15.26,15.26,15.26,15.26,000,15.26
2016-09-02,15.19,15.19,15.19,15.19,000,15.19
2016-09-01,15.14,15.14,15.14,15.14,000,15.14
2016-08-31,15.13,15.13,15.13,15.13,000,15.13
2016-08-30,15.15,15.15,15.15,15.15,000,15.15
2016-08-29,15.17,15.17,15.17,15.17,000,15.17
2016-08-26,15.12,15.12,15.12,15.12,000,15.12
2016-08-25,15.16,15.16,15.16,15.16,000,15.16
2016-08-24,15.17,15.17,15.17,15.17,000,15.17
2016-08-23,15.21,15.21,15.21,15.21,000,15.21
2016-08-22,15.19,15.19,15.19,15.19,000,15.19
2016-08-19,15.18,15.18,15.18,15.18,000,15.18
2016-08-18,15.22,15.22,15.22,15.22,000,15.22
2016-08-17,15.18,15.18,15.18,15.18,000,15.18
2016-08-16,15.17,15.17,15.17,15.17,000,15.17
2016-08-15,15.20,15.20,15.20,15.20,000,15.20
2016-08-12,15.19,15.19,15.19,15.19,000,15.19
2016-08-11,15.18,15.18,15.18,15.18,000,15.18
2016-08-10,15.16,15.16,15.16,15.16,000,15.16
2016-08-09,15.15,15.15,15.15,15.15,000,15.15
2016-08-08,15.11,15.11,15.11,15.11,000,15.11
2016-08-05,15.10,15.10,15.10,15.10,000,15.10
2016-08-04,15.06,15.06,15.06,15.06,000,15.06
2016-08-03,15.02,15.02,15.02,15.02,000,15.02
2016-08-02,15.02,15.02,15.02,15.02,000,15.02
2016-08-01,15.08,15.08,15.08,15.08,000,15.08
2016-07-29,15.11,15.11,15.11,15.11,000,15.11
2016-07-28,15.06,15.06,15.06,15.06,000,15.06
2016-07-27,15.05,15.05,15.05,15.05,000,15.05
2016-07-26,15.03,15.03,15.03,15.03,000,15.03
2016-07-25,15.01,15.01,15.01,15.01,000,15.01
2016-07-22,15.03,15.03,15.03,15.03,000,15.03
2016-07-21,15.01,15.01,15.01,15.01,000,15.01
2016-07-20,15.03,15.03,15.03,15.03,000,15.03
2016-07-19,15.00,15.00,15.00,15.00,000,15.00
2016-07-18,15.01,15.01,15.01,15.01,000,15.01
2016-07-15,14.99,14.99,14.99,14.99,000,14.99
2016-07-14,15.02,15.02,15.02,15.02,000,15.02
2016-07-13,14.99,14.99,14.99,14.99,000,14.99
2016-07-12,14.98,14.98,14.98,14.98,000,14.98
2016-07-11,14.93,14.93,14.93,14.93,000,14.93
2016-07-08,14.89,14.89,14.89,14.89,000,14.89
2016-07-07,14.78,14.78,14.78,14.78,000,14.78
2016-07-06,14.79,14.79,14.79,14.79,000,14.79
2016-07-05,14.77,14.77,14.77,14.77,000,14.77
2016-07-01,14.82,14.82,14.82,14.82,000,14.82
2016-06-30,14.78,14.78,14.78,14.78,000,14.78
2016-06-29,14.68,14.68,14.68,14.68,000,14.68
2016-06-28,14.57,14.57,14.57,14.57,000,14.57
2016-06-27,14.42,14.42,14.42,14.42,000,14.42
2016-06-24,14.53,14.53,14.53,14.53,000,14.53
2016-06-23,14.84,14.84,14.84,14.84,000,14.84
2016-06-22,14.73,14.73,14.73,14.73,000,14.73
2016-06-21,14.73,14.73,14.73,14.73,000,14.73
2016-06-20,14.71,14.71,14.71,14.71,000,14.71
2016-06-17,14.64,14.64,14.64,14.64,000,14.64
2016-06-16,14.64,14.64,14.64,14.64,000,14.64
2016-06-15,14.63,14.63,14.63,14.63,000,14.63
2016-06-14,14.61,14.61,14.61,14.61,000,14.61
2016-06-13,14.65,14.65,14.65,14.65,000,14.65
2016-06-10,14.72,14.72,14.72,14.72,000,14.72
2016-06-09,14.83,14.83,14.83,14.83,000,14.83
2016-06-08,14.86,14.86,14.86,14.86,000,14.86
2016-06-07,14.82,14.82,14.82,14.82,000,14.82
2016-06-06,14.78,14.78,14.78,14.78,000,14.78
2016-06-03,14.75,14.75,14.75,14.75,000,14.75
2016-06-02,14.70,14.70,14.70,14.70,000,14.70
2016-06-01,14.68,14.68,14.68,14.68,000,14.68
2016-05-31,14.66,14.66,14.66,14.66,000,14.66
2016-05-27,14.67,14.67,14.67,14.67,000,14.67
2016-05-26,14.65,14.65,14.65,14.65,000,14.65
2016-05-25,14.63,14.63,14.63,14.63,000,14.63
2016-05-24,14.57,14.57,14.57,14.57,000,14.57
2016-05-23,14.49,14.49,14.49,14.49,000,14.49
2016-05-20,14.50,14.50,14.50,14.50,000,14.50
2016-05-19,14.45,14.45,14.45,14.45,000,14.45
2016-05-18,14.48,14.48,14.48,14.48,000,14.48
2016-05-17,14.52,14.52,14.52,14.52,000,14.52
2016-05-16,14.57,14.57,14.57,14.57,000,14.57
