Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,10.01,10.01,10.01,10.01,000,10.01
2016-09-12,10.01,10.01,10.01,10.01,000,10.01
2016-09-09,10.01,10.01,10.01,10.01,000,10.01
2016-09-08,10.01,10.01,10.01,10.01,000,10.01
2016-09-07,10.01,10.01,10.01,10.01,000,10.01
2016-09-06,10.01,10.01,10.01,10.01,000,10.01
2016-09-02,10.01,10.01,10.01,10.01,000,10.01
2016-09-01,10.01,10.01,10.01,10.01,000,10.01
2016-08-31,10.01,10.01,10.01,10.01,000,10.01
2016-08-30,10.02,10.02,10.02,10.02,000,10.01
2016-08-29,10.02,10.02,10.02,10.02,000,10.01
2016-08-26,10.01,10.01,10.01,10.01,000,10.00001
2016-08-25,10.02,10.02,10.02,10.02,000,10.01
2016-08-24,10.02,10.02,10.02,10.02,000,10.01
2016-08-23,10.02,10.02,10.02,10.02,000,10.01
2016-08-22,10.02,10.02,10.02,10.02,000,10.01
2016-08-19,10.01,10.01,10.01,10.01,000,10.00001
2016-08-18,10.02,10.02,10.02,10.02,000,10.01
2016-08-17,10.01,10.01,10.01,10.01,000,10.00001
2016-08-16,10.01,10.01,10.01,10.01,000,10.00001
2016-08-15,10.01,10.01,10.01,10.01,000,10.00001
2016-08-12,10.01,10.01,10.01,10.01,000,10.00001
2016-08-11,10.01,10.01,10.01,10.01,000,10.00001
2016-08-10,10.01,10.01,10.01,10.01,000,10.00001
2016-08-09,10.01,10.01,10.01,10.01,000,10.00001
2016-08-08,10.01,10.01,10.01,10.01,000,10.00001
2016-08-05,10.01,10.01,10.01,10.01,000,10.00001
2016-08-04,10.01,10.01,10.01,10.01,000,10.00001
2016-08-03,10.01,10.01,10.01,10.01,000,10.00001
2016-08-02,10.01,10.01,10.01,10.01,000,10.00001
2016-08-01,10.01,10.01,10.01,10.01,000,10.00001
2016-07-29,10.01,10.01,10.01,10.01,000,10.00001
2016-07-28,10.02,10.02,10.02,10.02,000,10.001009
2016-07-27,10.02,10.02,10.02,10.02,000,10.001009
2016-07-26,10.02,10.02,10.02,10.02,000,10.001009
2016-07-25,10.01,10.01,10.01,10.01,000,9.991028
2016-07-22,10.02,10.02,10.02,10.02,000,10.001009
2016-07-21,10.02,10.02,10.02,10.02,000,10.001009
2016-07-20,10.02,10.02,10.02,10.02,000,10.001009
2016-07-19,10.02,10.02,10.02,10.02,000,10.001009
2016-07-18,10.02,10.02,10.02,10.02,000,10.001009
2016-07-15,10.02,10.02,10.02,10.02,000,10.001009
2016-07-14,10.02,10.02,10.02,10.02,000,10.001009
