Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,13.44,13.44,13.44,13.44,000,13.44
2016-09-12,13.58,13.58,13.58,13.58,000,13.58
2016-09-09,13.58,13.58,13.58,13.58,000,13.58
2016-09-08,13.80,13.80,13.80,13.80,000,13.80
2016-09-07,13.96,13.96,13.96,13.96,000,13.96
2016-09-06,13.97,13.97,13.97,13.97,000,13.97
2016-09-02,13.87,13.87,13.87,13.87,000,13.87
2016-09-01,13.98,13.98,13.98,13.98,000,13.98
2016-08-31,13.97,13.97,13.97,13.97,000,13.97
2016-08-30,13.95,13.95,13.95,13.95,000,13.921
2016-08-29,14.00,14.00,14.00,14.00,000,13.970896
2016-08-26,13.83,13.83,13.83,13.83,000,13.80125
2016-08-25,13.91,13.91,13.91,13.91,000,13.881083
2016-08-24,13.96,13.96,13.96,13.96,000,13.93098
2016-08-23,13.99,13.99,13.99,13.99,000,13.960917
2016-08-22,13.98,13.98,13.98,13.98,000,13.950937
2016-08-19,13.87,13.87,13.87,13.87,000,13.841166
2016-08-18,13.94,13.94,13.94,13.94,000,13.911021
2016-08-17,13.92,13.92,13.92,13.92,000,13.891063
2016-08-16,13.85,13.85,13.85,13.85,000,13.821209
2016-08-15,13.88,13.88,13.88,13.88,000,13.851146
2016-08-12,14.01,14.01,14.01,14.01,000,13.980876
2016-08-11,13.90,13.90,13.90,13.90,000,13.871104
2016-08-10,14.02,14.02,14.02,14.02,000,13.990855
2016-08-09,13.97,13.97,13.97,13.97,000,13.940959
2016-08-08,13.84,13.84,13.84,13.84,000,13.811229
2016-08-05,13.82,13.82,13.82,13.82,000,13.79127
2016-08-04,13.96,13.96,13.96,13.96,000,13.93098
2016-08-03,13.87,13.87,13.87,13.87,000,13.841166
2016-08-02,13.86,13.86,13.86,13.86,000,13.831187
2016-08-01,14.00,14.00,14.00,14.00,000,13.970896
2016-07-29,14.14,14.14,14.14,14.14,000,14.110606
2016-07-28,14.03,14.03,14.03,14.03,000,13.971894
2016-07-27,14.05,14.05,14.05,14.05,000,13.991811
2016-07-26,13.89,13.89,13.89,13.89,000,13.832474
2016-07-25,13.87,13.87,13.87,13.87,000,13.812556
2016-07-22,13.88,13.88,13.88,13.88,000,13.822515
2016-07-21,13.86,13.86,13.86,13.86,000,13.802598
2016-07-20,13.84,13.84,13.84,13.84,000,13.782681
2016-07-19,13.92,13.92,13.92,13.92,000,13.862349
2016-07-18,13.84,13.84,13.84,13.84,000,13.782681
2016-07-15,13.86,13.86,13.86,13.86,000,13.802598
2016-07-14,13.97,13.97,13.97,13.97,000,13.912143
2016-07-13,14.16,14.16,14.16,14.16,000,14.101355
2016-07-12,14.02,14.02,14.02,14.02,000,13.961936
2016-07-11,14.23,14.23,14.23,14.23,000,14.171065
2016-07-08,14.35,14.35,14.35,14.35,000,14.290569
2016-07-07,14.26,14.26,14.26,14.26,000,14.200941
2016-07-06,14.26,14.26,14.26,14.26,000,14.200941
2016-07-05,14.24,14.24,14.24,14.24,000,14.181024
2016-07-01,14.04,14.04,14.04,14.04,000,13.981852
2016-06-30,13.89,13.89,13.89,13.89,000,13.832474
2016-06-29,13.85,13.85,13.85,13.85,000,13.764756
2016-06-28,13.95,13.95,13.95,13.95,000,13.86414
2016-06-27,13.93,13.93,13.93,13.93,000,13.844263
2016-06-24,13.60,13.60,13.60,13.60,000,13.516295
2016-06-23,13.28,13.28,13.28,13.28,000,13.198264
2016-06-22,13.41,13.41,13.41,13.41,000,13.327464
2016-06-21,13.40,13.40,13.40,13.40,000,13.317525
2016-06-20,13.45,13.45,13.45,13.45,000,13.367217
2016-06-17,13.60,13.60,13.60,13.60,000,13.516295
2016-06-16,13.68,13.68,13.68,13.68,000,13.595802
2016-06-15,13.61,13.61,13.61,13.61,000,13.526232
2016-06-14,13.57,13.57,13.57,13.57,000,13.486479
2016-06-13,13.57,13.57,13.57,13.57,000,13.486479
2016-06-10,13.51,13.51,13.51,13.51,000,13.426848
2016-06-09,13.46,13.46,13.46,13.46,000,13.377156
2016-06-08,13.38,13.38,13.38,13.38,000,13.297648
2016-06-07,13.32,13.32,13.32,13.32,000,13.238017
2016-06-06,13.28,13.28,13.28,13.28,000,13.198264
2016-06-03,13.38,13.38,13.38,13.38,000,13.297648
2016-06-02,13.20,13.20,13.20,13.20,000,13.118756
2016-06-01,13.11,13.11,13.11,13.11,000,13.02931
2016-05-31,13.07,13.07,13.07,13.07,000,12.989556
2016-05-27,13.04,13.04,13.04,13.04,000,12.930919
2016-05-26,13.06,13.06,13.06,13.06,000,12.950752
2016-05-25,13.00,13.00,13.00,13.00,000,12.891254
2016-05-24,13.04,13.04,13.04,13.04,000,12.930919
2016-05-23,13.09,13.09,13.09,13.09,000,12.980501
2016-05-20,13.07,13.07,13.07,13.07,000,12.960668
2016-05-19,13.07,13.07,13.07,13.07,000,12.960668
2016-05-18,13.01,13.01,13.01,13.01,000,12.90117
2016-05-17,13.19,13.19,13.19,13.19,000,13.079664
2016-05-16,13.18,13.18,13.18,13.18,000,13.069748
2016-05-13,13.28,13.28,13.28,13.28,000,13.168911
2016-05-12,13.17,13.17,13.17,13.17,000,13.059832
2016-05-11,13.23,13.23,13.23,13.23,000,13.119329
2016-05-10,13.16,13.16,13.16,13.16,000,13.049915
2016-05-09,13.16,13.16,13.16,13.16,000,13.049915
2016-05-06,13.12,13.12,13.12,13.12,000,13.01025
2016-05-05,13.18,13.18,13.18,13.18,000,13.069748
2016-05-04,13.10,13.10,13.10,13.10,000,12.990418
2016-05-03,13.03,13.03,13.03,13.03,000,12.921003
2016-05-02,12.88,12.88,12.88,12.88,000,12.772258
2016-04-29,13.00,13.00,13.00,13.00,000,12.891254
2016-04-28,12.97,12.97,12.97,12.97,000,12.833739
2016-04-27,12.91,12.91,12.91,12.91,000,12.774369
2016-04-26,12.80,12.80,12.80,12.80,000,12.665525
2016-04-25,12.86,12.86,12.86,12.86,000,12.724894
2016-04-22,12.91,12.91,12.91,12.91,000,12.774369
2016-04-21,12.94,12.94,12.94,12.94,000,12.804054
2016-04-20,13.01,13.01,13.01,13.01,000,12.873319
2016-04-19,13.15,13.15,13.15,13.15,000,13.011848
2016-04-18,13.19,13.19,13.19,13.19,000,13.051427
2016-04-15,13.23,13.23,13.23,13.23,000,13.091007
2016-04-14,13.14,13.14,13.14,13.14,000,13.001953
2016-04-13,13.20,13.20,13.20,13.20,000,13.061323
2016-04-12,13.16,13.16,13.16,13.16,000,13.021743
2016-04-11,13.25,13.25,13.25,13.25,000,13.110797
2016-04-08,13.26,13.26,13.26,13.26,000,13.120693
2016-04-07,13.34,13.34,13.34,13.34,000,13.199852
2016-04-06,13.19,13.19,13.19,13.19,000,13.051427
2016-04-05,13.28,13.28,13.28,13.28,000,13.140482
2016-04-04,13.15,13.15,13.15,13.15,000,13.011848
2016-04-01,13.14,13.14,13.14,13.14,000,13.001953
2016-03-31,13.11,13.11,13.11,13.11,000,12.972268
2016-03-30,13.03,13.03,13.03,13.03,000,12.864413
