Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,13.44,13.44,13.44,13.44,000,13.44
2016-09-12,13.58,13.58,13.58,13.58,000,13.58
2016-09-09,13.58,13.58,13.58,13.58,000,13.58
2016-09-08,13.80,13.80,13.80,13.80,000,13.80
2016-09-07,13.96,13.96,13.96,13.96,000,13.96
2016-09-06,13.97,13.97,13.97,13.97,000,13.97
2016-09-02,13.87,13.87,13.87,13.87,000,13.87
2016-09-01,13.98,13.98,13.98,13.98,000,13.98
2016-08-31,13.97,13.97,13.97,13.97,000,13.97
2016-08-30,13.95,13.95,13.95,13.95,000,13.92
2016-08-29,14.00,14.00,14.00,14.00,000,13.969893
2016-08-26,13.83,13.83,13.83,13.83,000,13.800258
2016-08-25,13.91,13.91,13.91,13.91,000,13.880086
2016-08-24,13.96,13.96,13.96,13.96,000,13.929979
2016-08-23,13.99,13.99,13.99,13.99,000,13.959914
2016-08-22,13.98,13.98,13.98,13.98,000,13.949935
2016-08-19,13.87,13.87,13.87,13.87,000,13.840172
2016-08-18,13.94,13.94,13.94,13.94,000,13.910021
2016-08-17,13.92,13.92,13.92,13.92,000,13.890065
2016-08-16,13.85,13.85,13.85,13.85,000,13.820215
2016-08-15,13.88,13.88,13.88,13.88,000,13.850151
2016-08-12,14.01,14.01,14.01,14.01,000,13.979871
2016-08-11,13.90,13.90,13.90,13.90,000,13.870107
2016-08-10,14.02,14.02,14.02,14.02,000,13.98985
2016-08-09,13.97,13.97,13.97,13.97,000,13.939957
2016-08-08,13.84,13.84,13.84,13.84,000,13.810237
2016-08-05,13.82,13.82,13.82,13.82,000,13.790279
2016-08-04,13.96,13.96,13.96,13.96,000,13.929979
2016-08-03,13.87,13.87,13.87,13.87,000,13.840172
2016-08-02,13.86,13.86,13.86,13.86,000,13.830193
2016-08-01,14.00,14.00,14.00,14.00,000,13.969893
2016-07-29,14.14,14.14,14.14,14.14,000,14.109592
2016-07-28,14.03,14.03,14.03,14.03,000,13.969892
2016-07-27,14.05,14.05,14.05,14.05,000,13.989807
2016-07-26,13.89,13.89,13.89,13.89,000,13.830493
2016-07-25,13.87,13.87,13.87,13.87,000,13.810578
2016-07-22,13.88,13.88,13.88,13.88,000,13.820535
2016-07-21,13.86,13.86,13.86,13.86,000,13.800621
2016-07-20,13.84,13.84,13.84,13.84,000,13.780707
2016-07-19,13.92,13.92,13.92,13.92,000,13.860364
2016-07-18,13.84,13.84,13.84,13.84,000,13.780707
2016-07-15,13.86,13.86,13.86,13.86,000,13.800621
2016-07-14,13.97,13.97,13.97,13.97,000,13.91015
2016-07-13,14.16,14.16,14.16,14.16,000,14.099336
2016-07-12,14.02,14.02,14.02,14.02,000,13.959936
2016-07-11,14.23,14.23,14.23,14.23,000,14.169035
2016-07-08,14.35,14.35,14.35,14.35,000,14.288522
2016-07-07,14.26,14.26,14.26,14.26,000,14.198907
2016-07-06,14.26,14.26,14.26,14.26,000,14.198907
2016-07-05,14.24,14.24,14.24,14.24,000,14.178993
2016-07-01,14.04,14.04,14.04,14.04,000,13.97985
2016-06-30,13.89,13.89,13.89,13.89,000,13.830493
2016-06-29,13.85,13.85,13.85,13.85,000,13.760793
2016-06-28,13.95,13.95,13.95,13.95,000,13.860148
2016-06-27,13.93,13.93,13.93,13.93,000,13.840277
2016-06-24,13.60,13.60,13.60,13.60,000,13.512403
2016-06-23,13.28,13.28,13.28,13.28,000,13.194463
2016-06-22,13.41,13.41,13.41,13.41,000,13.323626
2016-06-21,13.40,13.40,13.40,13.40,000,13.31369
2016-06-20,13.45,13.45,13.45,13.45,000,13.363368
2016-06-17,13.60,13.60,13.60,13.60,000,13.512403
2016-06-16,13.68,13.68,13.68,13.68,000,13.591887
2016-06-15,13.61,13.61,13.61,13.61,000,13.522338
2016-06-14,13.57,13.57,13.57,13.57,000,13.482595
2016-06-13,13.57,13.57,13.57,13.57,000,13.482595
2016-06-10,13.51,13.51,13.51,13.51,000,13.422982
2016-06-09,13.46,13.46,13.46,13.46,000,13.373304
2016-06-08,13.38,13.38,13.38,13.38,000,13.29382
2016-06-07,13.32,13.32,13.32,13.32,000,13.234206
2016-06-06,13.28,13.28,13.28,13.28,000,13.194463
2016-06-03,13.38,13.38,13.38,13.38,000,13.29382
2016-06-02,13.20,13.20,13.20,13.20,000,13.114979
2016-06-01,13.11,13.11,13.11,13.11,000,13.025558
2016-05-31,13.07,13.07,13.07,13.07,000,12.985816
2016-05-27,13.04,13.04,13.04,13.04,000,12.926203
2016-05-26,13.06,13.06,13.06,13.06,000,12.946029
2016-05-25,13.00,13.00,13.00,13.00,000,12.886552
2016-05-24,13.04,13.04,13.04,13.04,000,12.926203
2016-05-23,13.09,13.09,13.09,13.09,000,12.975767
2016-05-20,13.07,13.07,13.07,13.07,000,12.955941
2016-05-19,13.07,13.07,13.07,13.07,000,12.955941
2016-05-18,13.01,13.01,13.01,13.01,000,12.896465
2016-05-17,13.19,13.19,13.19,13.19,000,13.074893
2016-05-16,13.18,13.18,13.18,13.18,000,13.064981
2016-05-13,13.28,13.28,13.28,13.28,000,13.164108
2016-05-12,13.17,13.17,13.17,13.17,000,13.055068
2016-05-11,13.23,13.23,13.23,13.23,000,13.114544
2016-05-10,13.16,13.16,13.16,13.16,000,13.045155
2016-05-09,13.16,13.16,13.16,13.16,000,13.045155
2016-05-06,13.12,13.12,13.12,13.12,000,13.005505
2016-05-05,13.18,13.18,13.18,13.18,000,13.064981
2016-05-04,13.10,13.10,13.10,13.10,000,12.98568
2016-05-03,13.03,13.03,13.03,13.03,000,12.91629
2016-05-02,12.88,12.88,12.88,12.88,000,12.767599
2016-04-29,13.00,13.00,13.00,13.00,000,12.886552
2016-04-28,12.97,12.97,12.97,12.97,000,12.828067
2016-04-27,12.91,12.91,12.91,12.91,000,12.768723
2016-04-26,12.80,12.80,12.80,12.80,000,12.659927
2016-04-25,12.86,12.86,12.86,12.86,000,12.71927
2016-04-22,12.91,12.91,12.91,12.91,000,12.768723
2016-04-21,12.94,12.94,12.94,12.94,000,12.798394
2016-04-20,13.01,13.01,13.01,13.01,000,12.867629
2016-04-19,13.15,13.15,13.15,13.15,000,13.006096
2016-04-18,13.19,13.19,13.19,13.19,000,13.045658
2016-04-15,13.23,13.23,13.23,13.23,000,13.085221
2016-04-14,13.14,13.14,13.14,13.14,000,12.996206
2016-04-13,13.20,13.20,13.20,13.20,000,13.055549
2016-04-12,13.16,13.16,13.16,13.16,000,13.015987
2016-04-11,13.25,13.25,13.25,13.25,000,13.105002
2016-04-08,13.26,13.26,13.26,13.26,000,13.114893
2016-04-07,13.34,13.34,13.34,13.34,000,13.194017
2016-04-06,13.19,13.19,13.19,13.19,000,13.045658
2016-04-05,13.28,13.28,13.28,13.28,000,13.134674
2016-04-04,13.15,13.15,13.15,13.15,000,13.006096
2016-04-01,13.14,13.14,13.14,13.14,000,12.996206
2016-03-31,13.11,13.11,13.11,13.11,000,12.966534
2016-03-30,13.03,13.03,13.03,13.03,000,12.857738
