Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,5.82,5.82,5.82,5.82,000,5.82
2016-09-12,5.84,5.84,5.84,5.84,000,5.84
2016-09-09,5.85,5.85,5.85,5.85,000,5.85
2016-09-08,5.87,5.87,5.87,5.87,000,5.87
2016-09-07,5.87,5.87,5.87,5.87,000,5.87
2016-09-06,5.87,5.87,5.87,5.87,000,5.87
2016-09-02,5.87,5.87,5.87,5.87,000,5.87
2016-09-01,5.86,5.86,5.86,5.86,000,5.86
2016-08-31,5.86,5.86,5.86,5.86,000,5.86
2016-08-30,5.87,5.87,5.87,5.87,000,5.843
2016-08-29,5.86,5.86,5.86,5.86,000,5.833046
2016-08-26,5.86,5.86,5.86,5.86,000,5.833046
2016-08-25,5.86,5.86,5.86,5.86,000,5.833046
2016-08-24,5.86,5.86,5.86,5.86,000,5.833046
2016-08-23,5.86,5.86,5.86,5.86,000,5.833046
2016-08-22,5.86,5.86,5.86,5.86,000,5.833046
2016-08-19,5.86,5.86,5.86,5.86,000,5.833046
2016-08-18,5.86,5.86,5.86,5.86,000,5.833046
2016-08-17,5.86,5.86,5.86,5.86,000,5.833046
2016-08-16,5.86,5.86,5.86,5.86,000,5.833046
2016-08-15,5.85,5.85,5.85,5.85,000,5.823092
2016-08-12,5.84,5.84,5.84,5.84,000,5.813138
2016-08-11,5.84,5.84,5.84,5.84,000,5.813138
2016-08-10,5.84,5.84,5.84,5.84,000,5.813138
2016-08-09,5.84,5.84,5.84,5.84,000,5.813138
2016-08-08,5.82,5.82,5.82,5.82,000,5.79323
2016-08-05,5.81,5.81,5.81,5.81,000,5.783276
2016-08-04,5.79,5.79,5.79,5.79,000,5.763368
2016-08-03,5.77,5.77,5.77,5.77,000,5.74346
2016-08-02,5.77,5.77,5.77,5.77,000,5.74346
2016-08-01,5.78,5.78,5.78,5.78,000,5.753414
2016-07-29,5.79,5.79,5.79,5.79,000,5.763368
2016-07-28,5.80,5.80,5.80,5.80,000,5.746446
2016-07-27,5.80,5.80,5.80,5.80,000,5.746446
2016-07-26,5.81,5.81,5.81,5.81,000,5.756354
2016-07-25,5.82,5.82,5.82,5.82,000,5.766262
2016-07-22,5.82,5.82,5.82,5.82,000,5.766262
2016-07-21,5.82,5.82,5.82,5.82,000,5.766262
2016-07-20,5.82,5.82,5.82,5.82,000,5.766262
2016-07-19,5.82,5.82,5.82,5.82,000,5.766262
2016-07-18,5.82,5.82,5.82,5.82,000,5.766262
2016-07-15,5.82,5.82,5.82,5.82,000,5.766262
2016-07-14,5.82,5.82,5.82,5.82,000,5.766262
2016-07-13,5.81,5.81,5.81,5.81,000,5.756354
2016-07-12,5.82,5.82,5.82,5.82,000,5.766262
2016-07-11,5.80,5.80,5.80,5.80,000,5.746446
2016-07-08,5.77,5.77,5.77,5.77,000,5.716723
2016-07-07,5.74,5.74,5.74,5.74,000,5.687
2016-07-06,5.72,5.72,5.72,5.72,000,5.667185
2016-07-05,5.72,5.72,5.72,5.72,000,5.667185
2016-07-01,5.72,5.72,5.72,5.72,000,5.667185
2016-06-30,5.70,5.70,5.70,5.70,000,5.647369
2016-06-29,5.68,5.68,5.68,5.68,000,5.601794
2016-06-28,5.64,5.64,5.64,5.64,000,5.562345
2016-06-27,5.63,5.63,5.63,5.63,000,5.552483
2016-06-24,5.66,5.66,5.66,5.66,000,5.582069
2016-06-23,5.72,5.72,5.72,5.72,000,5.641243
2016-06-22,5.70,5.70,5.70,5.70,000,5.621519
2016-06-21,5.69,5.69,5.69,5.69,000,5.611657
2016-06-20,5.69,5.69,5.69,5.69,000,5.611657
2016-06-17,5.66,5.66,5.66,5.66,000,5.582069
2016-06-16,5.65,5.65,5.65,5.65,000,5.572207
2016-06-15,5.67,5.67,5.67,5.67,000,5.591932
2016-06-14,5.66,5.66,5.66,5.66,000,5.582069
2016-06-13,5.69,5.69,5.69,5.69,000,5.611657
2016-06-10,5.71,5.71,5.71,5.71,000,5.631381
2016-06-09,5.72,5.72,5.72,5.72,000,5.641243
2016-06-08,5.72,5.72,5.72,5.72,000,5.641243
2016-06-07,5.70,5.70,5.70,5.70,000,5.621519
2016-06-06,5.69,5.69,5.69,5.69,000,5.611657
2016-06-03,5.68,5.68,5.68,5.68,000,5.601794
2016-06-02,5.67,5.67,5.67,5.67,000,5.591932
2016-06-01,5.67,5.67,5.67,5.67,000,5.591932
2016-05-31,5.68,5.68,5.68,5.68,000,5.601794
2016-05-27,5.68,5.68,5.68,5.68,000,5.57418
2016-05-26,5.69,5.69,5.69,5.69,000,5.583994
2016-05-25,5.68,5.68,5.68,5.68,000,5.57418
2016-05-24,5.67,5.67,5.67,5.67,000,5.564366
2016-05-23,5.66,5.66,5.66,5.66,000,5.554552
2016-05-20,5.66,5.66,5.66,5.66,000,5.554552
2016-05-19,5.65,5.65,5.65,5.65,000,5.544739
2016-05-18,5.67,5.67,5.67,5.67,000,5.564366
2016-05-17,5.68,5.68,5.68,5.68,000,5.57418
2016-05-16,5.67,5.67,5.67,5.67,000,5.564366
2016-05-13,5.67,5.67,5.67,5.67,000,5.564366
2016-05-12,5.67,5.67,5.67,5.67,000,5.564366
2016-05-11,5.67,5.67,5.67,5.67,000,5.564366
2016-05-10,5.66,5.66,5.66,5.66,000,5.554552
2016-05-09,5.65,5.65,5.65,5.65,000,5.544739
2016-05-06,5.65,5.65,5.65,5.65,000,5.544739
2016-05-05,5.67,5.67,5.67,5.67,000,5.564366
2016-05-04,5.67,5.67,5.67,5.67,000,5.564366
2016-05-03,5.69,5.69,5.69,5.69,000,5.583994
2016-05-02,5.71,5.71,5.71,5.71,000,5.603621
2016-04-29,5.71,5.71,5.71,5.71,000,5.603621
2016-04-28,5.71,5.71,5.71,5.71,000,5.578105
2016-04-27,5.69,5.69,5.69,5.69,000,5.558567
2016-04-26,5.68,5.68,5.68,5.68,000,5.548798
2016-04-25,5.67,5.67,5.67,5.67,000,5.539029
2016-04-22,5.68,5.68,5.68,5.68,000,5.548798
2016-04-21,5.69,5.69,5.69,5.69,000,5.558567
2016-04-20,5.69,5.69,5.69,5.69,000,5.558567
2016-04-19,5.67,5.67,5.67,5.67,000,5.539029
2016-04-18,5.65,5.65,5.65,5.65,000,5.519491
2016-04-15,5.65,5.65,5.65,5.65,000,5.519491
2016-04-14,5.65,5.65,5.65,5.65,000,5.519491
2016-04-13,5.64,5.64,5.64,5.64,000,5.509722
2016-04-12,5.62,5.62,5.62,5.62,000,5.490184
2016-04-11,5.61,5.61,5.61,5.61,000,5.480415
2016-04-08,5.60,5.60,5.60,5.60,000,5.470646
2016-04-07,5.59,5.59,5.59,5.59,000,5.460877
2016-04-06,5.60,5.60,5.60,5.60,000,5.470646
2016-04-05,5.59,5.59,5.59,5.59,000,5.460877
2016-04-04,5.60,5.60,5.60,5.60,000,5.470646
2016-04-01,5.59,5.59,5.59,5.59,000,5.460877
2016-03-31,5.59,5.59,5.59,5.59,000,5.460877
2016-03-30,5.58,5.58,5.58,5.58,000,5.425709
2016-03-29,5.56,5.56,5.56,5.56,000,5.406262
2016-03-28,5.58,5.58,5.58,5.58,000,5.425709
2016-03-24,5.58,5.58,5.58,5.58,000,5.425709
2016-03-23,5.62,5.62,5.62,5.62,000,5.464603
2016-03-22,5.62,5.62,5.62,5.62,000,5.464603
2016-03-21,5.63,5.63,5.63,5.63,000,5.474326
2016-03-18,5.63,5.63,5.63,5.63,000,5.474326
2016-03-17,5.60,5.60,5.60,5.60,000,5.445156
