Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,5.81,5.81,5.81,5.81,000,5.81
2016-09-15,5.81,5.81,5.81,5.81,000,5.81
2016-09-14,5.81,5.81,5.81,5.81,000,5.81
2016-09-13,5.82,5.82,5.82,5.82,000,5.82
2016-09-12,5.84,5.84,5.84,5.84,000,5.84
2016-09-09,5.85,5.85,5.85,5.85,000,5.85
2016-09-08,5.87,5.87,5.87,5.87,000,5.87
2016-09-07,5.87,5.87,5.87,5.87,000,5.87
2016-09-06,5.87,5.87,5.87,5.87,000,5.87
2016-09-02,5.87,5.87,5.87,5.87,000,5.87
2016-09-01,5.86,5.86,5.86,5.86,000,5.86
2016-08-31,5.86,5.86,5.86,5.86,000,5.86
2016-08-30,5.87,5.87,5.87,5.87,000,5.844
2016-08-29,5.86,5.86,5.86,5.86,000,5.834045
2016-08-26,5.86,5.86,5.86,5.86,000,5.834045
2016-08-25,5.86,5.86,5.86,5.86,000,5.834045
2016-08-24,5.86,5.86,5.86,5.86,000,5.834045
2016-08-23,5.86,5.86,5.86,5.86,000,5.834045
2016-08-22,5.86,5.86,5.86,5.86,000,5.834045
2016-08-19,5.86,5.86,5.86,5.86,000,5.834045
2016-08-18,5.86,5.86,5.86,5.86,000,5.834045
2016-08-17,5.86,5.86,5.86,5.86,000,5.834045
2016-08-16,5.86,5.86,5.86,5.86,000,5.834045
2016-08-15,5.85,5.85,5.85,5.85,000,5.824089
2016-08-12,5.84,5.84,5.84,5.84,000,5.814133
2016-08-11,5.84,5.84,5.84,5.84,000,5.814133
2016-08-10,5.84,5.84,5.84,5.84,000,5.814133
2016-08-09,5.84,5.84,5.84,5.84,000,5.814133
2016-08-08,5.82,5.82,5.82,5.82,000,5.794222
2016-08-05,5.81,5.81,5.81,5.81,000,5.784266
2016-08-04,5.79,5.79,5.79,5.79,000,5.764354
2016-08-03,5.77,5.77,5.77,5.77,000,5.744443
2016-08-02,5.77,5.77,5.77,5.77,000,5.744443
2016-08-01,5.78,5.78,5.78,5.78,000,5.754399
2016-07-29,5.79,5.79,5.79,5.79,000,5.764354
2016-07-28,5.80,5.80,5.80,5.80,000,5.748426
2016-07-27,5.80,5.80,5.80,5.80,000,5.748426
2016-07-26,5.81,5.81,5.81,5.81,000,5.758336
2016-07-25,5.82,5.82,5.82,5.82,000,5.768248
2016-07-22,5.82,5.82,5.82,5.82,000,5.768248
2016-07-21,5.82,5.82,5.82,5.82,000,5.768248
2016-07-20,5.82,5.82,5.82,5.82,000,5.768248
2016-07-19,5.82,5.82,5.82,5.82,000,5.768248
2016-07-18,5.82,5.82,5.82,5.82,000,5.768248
2016-07-15,5.82,5.82,5.82,5.82,000,5.768248
2016-07-14,5.82,5.82,5.82,5.82,000,5.768248
