Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,66.25,66.25,66.25,66.25,000,66.25
2016-09-15,66.849998,66.849998,66.849998,66.849998,000,66.849998
2016-09-14,66.410004,66.410004,66.410004,66.410004,000,66.410004
2016-09-13,66.50,66.50,66.50,66.50,000,66.50
2016-09-12,67.269997,67.269997,67.269997,67.269997,000,67.269997
2016-09-09,66.739998,66.739998,66.739998,66.739998,000,66.739998
2016-09-08,67.809998,67.809998,67.809998,67.809998,000,67.809998
2016-09-07,67.940002,67.940002,67.940002,67.940002,000,67.940002
2016-09-06,67.970001,67.970001,67.970001,67.970001,000,67.970001
2016-09-02,67.800003,67.800003,67.800003,67.800003,000,67.800003
2016-09-01,67.57,67.57,67.57,67.57,000,67.57
2016-08-31,67.589996,67.589996,67.589996,67.589996,000,67.589996
2016-08-30,67.690002,67.690002,67.690002,67.690002,000,67.690002
2016-08-29,67.730003,67.730003,67.730003,67.730003,000,67.730003
2016-08-26,67.379997,67.379997,67.379997,67.379997,000,67.379997
2016-08-25,67.470001,67.470001,67.470001,67.470001,000,67.470001
2016-08-24,67.57,67.57,67.57,67.57,000,67.57
2016-08-23,67.739998,67.739998,67.739998,67.739998,000,67.739998
2016-08-22,67.669998,67.669998,67.669998,67.669998,000,67.669998
2016-08-19,67.639999,67.639999,67.639999,67.639999,000,67.639999
2016-08-18,67.809998,67.809998,67.809998,67.809998,000,67.809998
2016-08-17,67.690002,67.690002,67.690002,67.690002,000,67.690002
2016-08-16,67.540001,67.540001,67.540001,67.540001,000,67.540001
2016-08-15,67.699997,67.699997,67.699997,67.699997,000,67.699997
2016-08-12,67.650002,67.650002,67.650002,67.650002,000,67.650002
2016-08-11,67.660004,67.660004,67.660004,67.660004,000,67.660004
2016-08-10,67.489998,67.489998,67.489998,67.489998,000,67.489998
2016-08-09,67.589996,67.589996,67.589996,67.589996,000,67.589996
2016-08-08,67.480003,67.480003,67.480003,67.480003,000,67.480003
2016-08-05,67.480003,67.480003,67.480003,67.480003,000,67.480003
2016-08-04,67.169998,67.169998,67.169998,67.169998,000,67.169998
2016-08-03,67.120003,67.120003,67.120003,67.120003,000,67.120003
2016-08-02,66.949997,66.949997,66.949997,66.949997,000,66.949997
2016-08-01,67.209999,67.209999,67.209999,67.209999,000,67.209999
2016-07-29,67.440002,67.440002,67.440002,67.440002,000,67.440002
2016-07-28,67.25,67.25,67.25,67.25,000,67.25
2016-07-27,67.279999,67.279999,67.279999,67.279999,000,67.279999
2016-07-26,67.239998,67.239998,67.239998,67.239998,000,67.239998
2016-07-25,67.139999,67.139999,67.139999,67.139999,000,67.139999
2016-07-22,67.339996,67.339996,67.339996,67.339996,000,67.339996
2016-07-21,67.139999,67.139999,67.139999,67.139999,000,67.139999
2016-07-20,67.290001,67.290001,67.290001,67.290001,000,67.290001
2016-07-19,67.129997,67.129997,67.129997,67.129997,000,67.129997
2016-07-18,67.199997,67.199997,67.199997,67.199997,000,67.199997
2016-07-15,67.120003,67.120003,67.120003,67.120003,000,67.120003
2016-07-14,67.290001,67.290001,67.290001,67.290001,000,67.290001
2016-07-13,67.110001,67.110001,67.110001,67.110001,000,67.110001
2016-07-12,67.010002,67.010002,67.010002,67.010002,000,67.010002
2016-07-11,66.720001,66.720001,66.720001,66.720001,000,66.720001
2016-07-08,66.580002,66.580002,66.580002,66.580002,000,66.580002
2016-07-07,65.870003,65.870003,65.870003,65.870003,000,65.870003
2016-07-06,65.949997,65.949997,65.949997,65.949997,000,65.949997
2016-07-05,65.739998,65.739998,65.739998,65.739998,000,65.739998
2016-07-01,66.019997,66.019997,66.019997,66.019997,000,66.019997
2016-06-30,65.870003,65.870003,65.870003,65.870003,000,65.870003
2016-06-29,65.169998,65.169998,65.169998,65.169998,000,65.169998
2016-06-28,64.459999,64.459999,64.459999,64.459999,000,64.459999
2016-06-27,63.700001,63.700001,63.700001,63.700001,000,63.700001
2016-06-24,64.239998,64.239998,64.239998,64.239998,000,64.239998
2016-06-23,66.00,66.00,66.00,66.00,000,66.00
2016-06-22,65.379997,65.379997,65.379997,65.379997,000,65.379997
2016-06-21,65.410004,65.410004,65.410004,65.410004,000,65.410004
2016-06-20,65.260002,65.260002,65.260002,65.260002,000,65.260002
2016-06-17,65.00,65.00,65.00,65.00,000,65.00
2016-06-16,65.089996,65.089996,65.089996,65.089996,000,65.089996
2016-06-15,65.349998,65.349998,65.349998,65.349998,000,64.895998
2016-06-14,65.400002,65.400002,65.400002,65.400002,000,64.945653
2016-06-13,65.660004,65.660004,65.660004,65.660004,000,65.203849
2016-06-10,65.970001,65.970001,65.970001,65.970001,000,65.511693
2016-06-09,66.389999,66.389999,66.389999,66.389999,000,65.928773
2016-06-08,66.559998,66.559998,66.559998,66.559998,000,66.097591
2016-06-07,66.379997,66.379997,66.379997,66.379997,000,65.918841
2016-06-06,66.209999,66.209999,66.209999,66.209999,000,65.750024
2016-06-03,66.029999,66.029999,66.029999,66.029999,000,65.571274
2016-06-02,66.040001,66.040001,66.040001,66.040001,000,65.581207
2016-06-01,65.860001,65.860001,65.860001,65.860001,000,65.402457
2016-05-31,65.809998,65.809998,65.809998,65.809998,000,65.352801
2016-05-27,65.849998,65.849998,65.849998,65.849998,000,65.392524
2016-05-26,65.699997,65.699997,65.699997,65.699997,000,65.243565
2016-05-25,65.68,65.68,65.68,65.68,000,65.223707
2016-05-24,65.290001,65.290001,65.290001,65.290001,000,64.836417
2016-05-23,64.769997,64.769997,64.769997,64.769997,000,64.320025
2016-05-20,64.870003,64.870003,64.870003,64.870003,000,64.419337
2016-05-19,64.610001,64.610001,64.610001,64.610001,000,64.161141
2016-05-18,64.839996,64.839996,64.839996,64.839996,000,64.389539
2016-05-17,64.790001,64.790001,64.790001,64.790001,000,64.339891
2016-05-16,65.199997,65.199997,65.199997,65.199997,000,64.747038
2016-05-13,64.870003,64.870003,64.870003,64.870003,000,64.419337
2016-05-12,65.199997,65.199997,65.199997,65.199997,000,64.747038
2016-05-11,65.199997,65.199997,65.199997,65.199997,000,64.747038
2016-05-10,65.470001,65.470001,65.470001,65.470001,000,65.015167
