Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,10.85,10.85,10.85,10.85,000,10.85
2016-09-15,10.79,10.79,10.79,10.79,000,10.79
2016-09-14,10.82,10.82,10.82,10.82,000,10.82
2016-09-13,10.81,10.81,10.81,10.81,000,10.81
2016-09-12,10.90,10.90,10.90,10.90,000,10.90
2016-09-09,10.92,10.92,10.92,10.92,000,10.92
2016-09-08,11.06,11.06,11.06,11.06,000,11.06
2016-09-07,11.18,11.18,11.18,11.18,000,11.18
2016-09-06,11.18,11.18,11.18,11.18,000,11.18
2016-09-02,11.12,11.12,11.12,11.12,000,11.12
2016-09-01,11.20,11.20,11.20,11.20,000,11.20
2016-08-31,11.19,11.19,11.19,11.19,000,11.19
2016-08-30,11.19,11.19,11.19,11.19,000,11.153
2016-08-29,11.22,11.22,11.22,11.22,000,11.182901
2016-08-26,11.12,11.12,11.12,11.12,000,11.083232
2016-08-25,11.16,11.16,11.16,11.16,000,11.123099
2016-08-24,11.19,11.19,11.19,11.19,000,11.153
2016-08-23,11.20,11.20,11.20,11.20,000,11.162967
2016-08-22,11.19,11.19,11.19,11.19,000,11.153
2016-08-19,11.12,11.12,11.12,11.12,000,11.083232
2016-08-18,11.14,11.14,11.14,11.14,000,11.103166
2016-08-17,11.13,11.13,11.13,11.13,000,11.093199
2016-08-16,11.08,11.08,11.08,11.08,000,11.043364
2016-08-15,11.10,11.10,11.10,11.10,000,11.063298
2016-08-12,11.16,11.16,11.16,11.16,000,11.123099
2016-08-11,11.09,11.09,11.09,11.09,000,11.053331
2016-08-10,11.15,11.15,11.15,11.15,000,11.113132
2016-08-09,11.12,11.12,11.12,11.12,000,11.083232
2016-08-08,11.04,11.04,11.04,11.04,000,11.003496
2016-08-05,11.01,11.01,11.01,11.01,000,10.973596
2016-08-04,11.08,11.08,11.08,11.08,000,11.043364
2016-08-03,11.02,11.02,11.02,11.02,000,10.983563
2016-08-02,11.01,11.01,11.01,11.01,000,10.973596
2016-08-01,11.12,11.12,11.12,11.12,000,11.083232
2016-07-29,11.22,11.22,11.22,11.22,000,11.182901
2016-07-28,11.16,11.16,11.16,11.16,000,11.086221
2016-07-27,11.18,11.18,11.18,11.18,000,11.106089
2016-07-26,11.10,11.10,11.10,11.10,000,11.026618
2016-07-25,11.09,11.09,11.09,11.09,000,11.016684
2016-07-22,11.11,11.11,11.11,11.11,000,11.036552
2016-07-21,11.09,11.09,11.09,11.09,000,11.016684
2016-07-20,11.07,11.07,11.07,11.07,000,10.996816
2016-07-19,11.12,11.12,11.12,11.12,000,11.046486
2016-07-18,11.06,11.06,11.06,11.06,000,10.986883
2016-07-15,11.07,11.07,11.07,11.07,000,10.996816
2016-07-14,11.14,11.14,11.14,11.14,000,11.066354
2016-07-13,11.24,11.24,11.24,11.24,000,11.165692
2016-07-12,11.15,11.15,11.15,11.15,000,11.076287
2016-07-11,11.25,11.25,11.25,11.25,000,11.175626
2016-07-08,11.29,11.29,11.29,11.29,000,11.215362
2016-07-07,11.22,11.22,11.22,11.22,000,11.145825
2016-07-06,11.20,11.20,11.20,11.20,000,11.125957
2016-07-05,11.18,11.18,11.18,11.18,000,11.106089
2016-07-01,11.06,11.06,11.06,11.06,000,10.986883
2016-06-30,10.95,10.95,10.95,10.95,000,10.877609
2016-06-29,10.91,10.91,10.91,10.91,000,10.802112
2016-06-28,10.95,10.95,10.95,10.95,000,10.841716
2016-06-27,10.93,10.93,10.93,10.93,000,10.821915
2016-06-24,10.75,10.75,10.75,10.75,000,10.643694
2016-06-23,10.66,10.66,10.66,10.66,000,10.554584
2016-06-22,10.71,10.71,10.71,10.71,000,10.60409
2016-06-21,10.69,10.69,10.69,10.69,000,10.584287
2016-06-20,10.71,10.71,10.71,10.71,000,10.60409
2016-06-17,10.77,10.77,10.77,10.77,000,10.663497
2016-06-16,10.82,10.82,10.82,10.82,000,10.713002
2016-06-15,10.80,10.80,10.80,10.80,000,10.6932
2016-06-14,10.79,10.79,10.79,10.79,000,10.683299
2016-06-13,10.83,10.83,10.83,10.83,000,10.722903
2016-06-10,10.81,10.81,10.81,10.81,000,10.703102
2016-06-09,10.80,10.80,10.80,10.80,000,10.6932
2016-06-08,10.76,10.76,10.76,10.76,000,10.653596
2016-06-07,10.71,10.71,10.71,10.71,000,10.60409
2016-06-06,10.68,10.68,10.68,10.68,000,10.574387
2016-06-03,10.74,10.74,10.74,10.74,000,10.633793
2016-06-02,10.63,10.63,10.63,10.63,000,10.524881
2016-06-01,10.58,10.58,10.58,10.58,000,10.475375
2016-05-31,10.56,10.56,10.56,10.56,000,10.455574
2016-05-27,10.54,10.54,10.54,10.54,000,10.399137
2016-05-26,10.55,10.55,10.55,10.55,000,10.409004
2016-05-25,10.49,10.49,10.49,10.49,000,10.349805
2016-05-24,10.51,10.51,10.51,10.51,000,10.369538
2016-05-23,10.54,10.54,10.54,10.54,000,10.399137
2016-05-20,10.53,10.53,10.53,10.53,000,10.38927
2016-05-19,10.53,10.53,10.53,10.53,000,10.38927
2016-05-18,10.52,10.52,10.52,10.52,000,10.379405
2016-05-17,10.62,10.62,10.62,10.62,000,10.478068
2016-05-16,10.63,10.63,10.63,10.63,000,10.487934
2016-05-13,10.70,10.70,10.70,10.70,000,10.556998
2016-05-12,10.63,10.63,10.63,10.63,000,10.487934
2016-05-11,10.67,10.67,10.67,10.67,000,10.5274
2016-05-10,10.63,10.63,10.63,10.63,000,10.487934
2016-05-09,10.62,10.62,10.62,10.62,000,10.478068
2016-05-06,10.61,10.61,10.61,10.61,000,10.468201
2016-05-05,10.66,10.66,10.66,10.66,000,10.517533
2016-05-04,10.62,10.62,10.62,10.62,000,10.478068
2016-05-03,10.60,10.60,10.60,10.60,000,10.458335
2016-05-02,10.51,10.51,10.51,10.51,000,10.369538
2016-04-29,10.59,10.59,10.59,10.59,000,10.448469
2016-04-28,10.57,10.57,10.57,10.57,000,10.393217
2016-04-27,10.53,10.53,10.53,10.53,000,10.353886
2016-04-26,10.45,10.45,10.45,10.45,000,10.275224
2016-04-25,10.48,10.48,10.48,10.48,000,10.304722
