Date,Open,High,Low,Close,Volume,Adj Close
2016-09-01,11.20,11.20,11.20,11.20,000,11.20
2016-08-31,11.19,11.19,11.19,11.19,000,11.19
2016-08-30,11.19,11.19,11.19,11.19,000,11.19
2016-08-29,11.22,11.22,11.22,11.22,000,11.22
2016-08-26,11.12,11.12,11.12,11.12,000,11.12
2016-08-25,11.16,11.16,11.16,11.16,000,11.16
2016-08-24,11.19,11.19,11.19,11.19,000,11.19
2016-08-23,11.20,11.20,11.20,11.20,000,11.20
2016-08-22,11.19,11.19,11.19,11.19,000,11.19
2016-08-19,11.12,11.12,11.12,11.12,000,11.12
2016-08-18,11.14,11.14,11.14,11.14,000,11.14
2016-08-17,11.13,11.13,11.13,11.13,000,11.13
2016-08-16,11.08,11.08,11.08,11.08,000,11.08
2016-08-15,11.10,11.10,11.10,11.10,000,11.10
2016-08-12,11.16,11.16,11.16,11.16,000,11.16
2016-08-11,11.09,11.09,11.09,11.09,000,11.09
2016-08-10,11.15,11.15,11.15,11.15,000,11.15
2016-08-09,11.12,11.12,11.12,11.12,000,11.12
2016-08-08,11.04,11.04,11.04,11.04,000,11.04
2016-08-05,11.01,11.01,11.01,11.01,000,11.01
2016-08-04,11.08,11.08,11.08,11.08,000,11.08
2016-08-03,11.02,11.02,11.02,11.02,000,11.02
2016-08-02,11.01,11.01,11.01,11.01,000,11.01
2016-08-01,11.12,11.12,11.12,11.12,000,11.12
2016-07-29,11.22,11.22,11.22,11.22,000,11.22
2016-07-28,11.16,11.16,11.16,11.16,000,11.122
2016-07-27,11.18,11.18,11.18,11.18,000,11.141932
2016-07-26,11.10,11.10,11.10,11.10,000,11.062204
2016-07-25,11.09,11.09,11.09,11.09,000,11.052238
2016-07-22,11.11,11.11,11.11,11.11,000,11.07217
2016-07-21,11.09,11.09,11.09,11.09,000,11.052238
2016-07-20,11.07,11.07,11.07,11.07,000,11.032306
2016-07-19,11.12,11.12,11.12,11.12,000,11.082136
2016-07-18,11.06,11.06,11.06,11.06,000,11.022341
2016-07-15,11.07,11.07,11.07,11.07,000,11.032306
2016-07-14,11.14,11.14,11.14,11.14,000,11.102068
2016-07-13,11.24,11.24,11.24,11.24,000,11.201727
2016-07-12,11.15,11.15,11.15,11.15,000,11.112033
2016-07-11,11.25,11.25,11.25,11.25,000,11.211693
2016-07-08,11.29,11.29,11.29,11.29,000,11.251557
2016-07-07,11.22,11.22,11.22,11.22,000,11.181796
2016-07-06,11.20,11.20,11.20,11.20,000,11.161863
2016-07-05,11.18,11.18,11.18,11.18,000,11.141932
2016-07-01,11.06,11.06,11.06,11.06,000,11.022341
2016-06-30,10.95,10.95,10.95,10.95,000,10.912715
2016-06-29,10.91,10.91,10.91,10.91,000,10.835977
2016-06-28,10.95,10.95,10.95,10.95,000,10.875706
2016-06-27,10.93,10.93,10.93,10.93,000,10.855842
2016-06-24,10.75,10.75,10.75,10.75,000,10.677063
2016-06-23,10.66,10.66,10.66,10.66,000,10.587673
2016-06-22,10.71,10.71,10.71,10.71,000,10.637334
2016-06-21,10.69,10.69,10.69,10.69,000,10.617469
2016-06-20,10.71,10.71,10.71,10.71,000,10.637334
2016-06-17,10.77,10.77,10.77,10.77,000,10.696928
2016-06-16,10.82,10.82,10.82,10.82,000,10.746588
2016-06-15,10.80,10.80,10.80,10.80,000,10.726724
2016-06-14,10.79,10.79,10.79,10.79,000,10.716791
2016-06-13,10.83,10.83,10.83,10.83,000,10.75652
2016-06-10,10.81,10.81,10.81,10.81,000,10.736656
2016-06-09,10.80,10.80,10.80,10.80,000,10.726724
2016-06-08,10.76,10.76,10.76,10.76,000,10.686995
2016-06-07,10.71,10.71,10.71,10.71,000,10.637334
2016-06-06,10.68,10.68,10.68,10.68,000,10.607538
2016-06-03,10.74,10.74,10.74,10.74,000,10.66713
2016-06-02,10.63,10.63,10.63,10.63,000,10.557877
2016-06-01,10.58,10.58,10.58,10.58,000,10.508216
2016-05-31,10.56,10.56,10.56,10.56,000,10.488352
2016-05-27,10.54,10.54,10.54,10.54,000,10.430745
2016-05-26,10.55,10.55,10.55,10.55,000,10.440642
2016-05-25,10.49,10.49,10.49,10.49,000,10.381263
2016-05-24,10.51,10.51,10.51,10.51,000,10.401056
2016-05-23,10.54,10.54,10.54,10.54,000,10.430745
2016-05-20,10.53,10.53,10.53,10.53,000,10.420849
2016-05-19,10.53,10.53,10.53,10.53,000,10.420849
2016-05-18,10.52,10.52,10.52,10.52,000,10.410953
2016-05-17,10.62,10.62,10.62,10.62,000,10.509916
2016-05-16,10.63,10.63,10.63,10.63,000,10.519812
2016-05-13,10.70,10.70,10.70,10.70,000,10.589087
2016-05-12,10.63,10.63,10.63,10.63,000,10.519812
2016-05-11,10.67,10.67,10.67,10.67,000,10.559398
2016-05-10,10.63,10.63,10.63,10.63,000,10.519812
2016-05-09,10.62,10.62,10.62,10.62,000,10.509916
2016-05-06,10.61,10.61,10.61,10.61,000,10.500019
2016-05-05,10.66,10.66,10.66,10.66,000,10.549501
2016-05-04,10.62,10.62,10.62,10.62,000,10.509916
2016-05-03,10.60,10.60,10.60,10.60,000,10.490124
2016-05-02,10.51,10.51,10.51,10.51,000,10.401056
2016-04-29,10.59,10.59,10.59,10.59,000,10.480227
2016-04-28,10.57,10.57,10.57,10.57,000,10.423818
2016-04-27,10.53,10.53,10.53,10.53,000,10.384371
2016-04-26,10.45,10.45,10.45,10.45,000,10.305477
2016-04-25,10.48,10.48,10.48,10.48,000,10.335062
2016-04-22,10.49,10.49,10.49,10.49,000,10.344924
2016-04-21,10.50,10.50,10.50,10.50,000,10.354786
2016-04-20,10.51,10.51,10.51,10.51,000,10.364648
2016-04-19,10.57,10.57,10.57,10.57,000,10.423818
2016-04-18,10.57,10.57,10.57,10.57,000,10.423818
2016-04-15,10.58,10.58,10.58,10.58,000,10.43368
2016-04-14,10.51,10.51,10.51,10.51,000,10.364648
