Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,14.45,14.45,14.45,14.45,000,14.45
2016-09-15,14.45,14.45,14.45,14.45,000,14.45
2016-09-14,14.45,14.45,14.45,14.45,000,14.45
2016-09-13,14.45,14.45,14.45,14.45,000,14.45
2016-09-12,14.48,14.48,14.48,14.48,000,14.48
2016-09-09,14.50,14.50,14.50,14.50,000,14.50
2016-09-08,14.52,14.52,14.52,14.52,000,14.52
2016-09-07,14.53,14.53,14.53,14.53,000,14.53
2016-09-06,14.53,14.53,14.53,14.53,000,14.53
2016-09-02,14.53,14.53,14.53,14.53,000,14.53
2016-09-01,14.54,14.54,14.54,14.54,000,14.54
2016-08-31,14.55,14.55,14.55,14.55,000,14.55
2016-08-30,14.55,14.55,14.55,14.55,000,14.516001
2016-08-29,14.55,14.55,14.55,14.55,000,14.516001
2016-08-26,14.56,14.56,14.56,14.56,000,14.525977
2016-08-25,14.56,14.56,14.56,14.56,000,14.525977
2016-08-24,14.57,14.57,14.57,14.57,000,14.535953
2016-08-23,14.57,14.57,14.57,14.57,000,14.535953
2016-08-22,14.57,14.57,14.57,14.57,000,14.535953
2016-08-19,14.57,14.57,14.57,14.57,000,14.535953
2016-08-18,14.56,14.56,14.56,14.56,000,14.525977
2016-08-17,14.56,14.56,14.56,14.56,000,14.525977
2016-08-16,14.56,14.56,14.56,14.56,000,14.525977
2016-08-15,14.56,14.56,14.56,14.56,000,14.525977
2016-08-12,14.56,14.56,14.56,14.56,000,14.525977
2016-08-11,14.55,14.55,14.55,14.55,000,14.516001
2016-08-10,14.55,14.55,14.55,14.55,000,14.516001
2016-08-09,14.54,14.54,14.54,14.54,000,14.506024
2016-08-08,14.53,14.53,14.53,14.53,000,14.496047
2016-08-05,14.54,14.54,14.54,14.54,000,14.506024
2016-08-04,14.55,14.55,14.55,14.55,000,14.516001
2016-08-03,14.54,14.54,14.54,14.54,000,14.506024
2016-08-02,14.54,14.54,14.54,14.54,000,14.506024
2016-08-01,14.56,14.56,14.56,14.56,000,14.525977
2016-07-29,14.56,14.56,14.56,14.56,000,14.525977
2016-07-28,14.56,14.56,14.56,14.56,000,14.491059
2016-07-27,14.55,14.55,14.55,14.55,000,14.481106
2016-07-26,14.54,14.54,14.54,14.54,000,14.471153
2016-07-25,14.53,14.53,14.53,14.53,000,14.4612
2016-07-22,14.54,14.54,14.54,14.54,000,14.471153
2016-07-21,14.54,14.54,14.54,14.54,000,14.471153
2016-07-20,14.54,14.54,14.54,14.54,000,14.471153
2016-07-19,14.54,14.54,14.54,14.54,000,14.471153
2016-07-18,14.54,14.54,14.54,14.54,000,14.471153
2016-07-15,14.55,14.55,14.55,14.55,000,14.481106
2016-07-14,14.57,14.57,14.57,14.57,000,14.501011
2016-07-13,14.59,14.59,14.59,14.59,000,14.520917
2016-07-12,14.58,14.58,14.58,14.58,000,14.510964
2016-07-11,14.61,14.61,14.61,14.61,000,14.540821
2016-07-08,14.62,14.62,14.62,14.62,000,14.550774
2016-07-07,14.62,14.62,14.62,14.62,000,14.550774
2016-07-06,14.64,14.64,14.64,14.64,000,14.57068
2016-07-05,14.63,14.63,14.63,14.63,000,14.560727
2016-07-01,14.61,14.61,14.61,14.61,000,14.540821
2016-06-30,14.60,14.60,14.60,14.60,000,14.530869
2016-06-29,14.60,14.60,14.60,14.60,000,14.497031
2016-06-28,14.61,14.61,14.61,14.61,000,14.506959
2016-06-27,14.63,14.63,14.63,14.63,000,14.526819
2016-06-24,14.60,14.60,14.60,14.60,000,14.497031
2016-06-23,14.50,14.50,14.50,14.50,000,14.397736
2016-06-22,14.52,14.52,14.52,14.52,000,14.417595
2016-06-21,14.52,14.52,14.52,14.52,000,14.417595
2016-06-20,14.53,14.53,14.53,14.53,000,14.427524
2016-06-17,14.56,14.56,14.56,14.56,000,14.457313
2016-06-16,14.56,14.56,14.56,14.56,000,14.457313
2016-06-15,14.54,14.54,14.54,14.54,000,14.437453
2016-06-14,14.53,14.53,14.53,14.53,000,14.427524
2016-06-13,14.51,14.51,14.51,14.51,000,14.407665
2016-06-10,14.51,14.51,14.51,14.51,000,14.407665
2016-06-09,14.48,14.48,14.48,14.48,000,14.377876
2016-06-08,14.46,14.46,14.46,14.46,000,14.358018
2016-06-07,14.46,14.46,14.46,14.46,000,14.358018
2016-06-06,14.45,14.45,14.45,14.45,000,14.348088
2016-06-03,14.45,14.45,14.45,14.45,000,14.348088
2016-06-02,14.43,14.43,14.43,14.43,000,14.32823
2016-06-01,14.43,14.43,14.43,14.43,000,14.32823
2016-05-31,14.43,14.43,14.43,14.43,000,14.32823
2016-05-27,14.43,14.43,14.43,14.43,000,14.294469
2016-05-26,14.43,14.43,14.43,14.43,000,14.294469
2016-05-25,14.43,14.43,14.43,14.43,000,14.294469
2016-05-24,14.44,14.44,14.44,14.44,000,14.304374
2016-05-23,14.46,14.46,14.46,14.46,000,14.324187
2016-05-20,14.46,14.46,14.46,14.46,000,14.324187
2016-05-19,14.47,14.47,14.47,14.47,000,14.334093
2016-05-18,14.48,14.48,14.48,14.48,000,14.343999
2016-05-17,14.51,14.51,14.51,14.51,000,14.373718
2016-05-16,14.51,14.51,14.51,14.51,000,14.373718
2016-05-13,14.51,14.51,14.51,14.51,000,14.373718
2016-05-12,14.50,14.50,14.50,14.50,000,14.363811
2016-05-11,14.50,14.50,14.50,14.50,000,14.363811
2016-05-10,14.49,14.49,14.49,14.49,000,14.353905
2016-05-09,14.48,14.48,14.48,14.48,000,14.343999
2016-05-06,14.48,14.48,14.48,14.48,000,14.343999
2016-05-05,14.47,14.47,14.47,14.47,000,14.334093
2016-05-04,14.47,14.47,14.47,14.47,000,14.334093
2016-05-03,14.47,14.47,14.47,14.47,000,14.334093
2016-05-02,14.44,14.44,14.44,14.44,000,14.304374
2016-04-29,14.45,14.45,14.45,14.45,000,14.314281
2016-04-28,14.44,14.44,14.44,14.44,000,14.271685
2016-04-27,14.42,14.42,14.42,14.42,000,14.251918
2016-04-26,14.42,14.42,14.42,14.42,000,14.251918
2016-04-25,14.42,14.42,14.42,14.42,000,14.251918
2016-04-22,14.42,14.42,14.42,14.42,000,14.251918
2016-04-21,14.43,14.43,14.43,14.43,000,14.261802
2016-04-20,14.46,14.46,14.46,14.46,000,14.291452
2016-04-19,14.46,14.46,14.46,14.46,000,14.291452
2016-04-18,14.46,14.46,14.46,14.46,000,14.291452
2016-04-15,14.46,14.46,14.46,14.46,000,14.291452
2016-04-14,14.45,14.45,14.45,14.45,000,14.281568
2016-04-13,14.45,14.45,14.45,14.45,000,14.281568
2016-04-12,14.45,14.45,14.45,14.45,000,14.281568
2016-04-11,14.46,14.46,14.46,14.46,000,14.291452
2016-04-08,14.46,14.46,14.46,14.46,000,14.291452
2016-04-07,14.46,14.46,14.46,14.46,000,14.291452
2016-04-06,14.43,14.43,14.43,14.43,000,14.261802
2016-04-05,14.43,14.43,14.43,14.43,000,14.261802
2016-04-04,14.39,14.39,14.39,14.39,000,14.222268
2016-04-01,14.39,14.39,14.39,14.39,000,14.222268
2016-03-31,14.39,14.39,14.39,14.39,000,14.222268
2016-03-30,14.36,14.36,14.36,14.36,000,14.158025
2016-03-29,14.35,14.35,14.35,14.35,000,14.148166
2016-03-28,14.33,14.33,14.33,14.33,000,14.128447
2016-03-24,14.33,14.33,14.33,14.33,000,14.128447
2016-03-23,14.33,14.33,14.33,14.33,000,14.128447
2016-03-22,14.32,14.32,14.32,14.32,000,14.118588
2016-03-21,14.32,14.32,14.32,14.32,000,14.118588
2016-03-18,14.33,14.33,14.33,14.33,000,14.128447
2016-03-17,14.32,14.32,14.32,14.32,000,14.118588
2016-03-16,14.31,14.31,14.31,14.31,000,14.108729
2016-03-15,14.29,14.29,14.29,14.29,000,14.08901
2016-03-14,14.30,14.30,14.30,14.30,000,14.098869
2016-03-11,14.30,14.30,14.30,14.30,000,14.098869
2016-03-10,14.31,14.31,14.31,14.31,000,14.108729
2016-03-09,14.31,14.31,14.31,14.31,000,14.108729
2016-03-08,14.31,14.31,14.31,14.31,000,14.108729
2016-03-07,14.30,14.30,14.30,14.30,000,14.098869
2016-03-04,14.31,14.31,14.31,14.31,000,14.108729
2016-03-03,14.32,14.32,14.32,14.32,000,14.118588
2016-03-02,14.34,14.34,14.34,14.34,000,14.138307
2016-03-01,14.35,14.35,14.35,14.35,000,14.148166
2016-02-29,14.38,14.38,14.38,14.38,000,14.177744
2016-02-26,14.38,14.38,14.38,14.38,000,14.146194
2016-02-25,14.40,14.40,14.40,14.40,000,14.165868
2016-02-24,14.40,14.40,14.40,14.40,000,14.165868
2016-02-23,14.40,14.40,14.40,14.40,000,14.165868
2016-02-22,14.42,14.42,14.42,14.42,000,14.185543
2016-02-19,14.43,14.43,14.43,14.43,000,14.195381
2016-02-18,14.43,14.43,14.43,14.43,000,14.195381
2016-02-17,14.43,14.43,14.43,14.43,000,14.195381
2016-02-16,14.46,14.46,14.46,14.46,000,14.224893
2016-02-12,14.47,14.47,14.47,14.47,000,14.234731
2016-02-11,14.50,14.50,14.50,14.50,000,14.264243
2016-02-10,14.47,14.47,14.47,14.47,000,14.234731
2016-02-09,14.47,14.47,14.47,14.47,000,14.234731
2016-02-08,14.46,14.46,14.46,14.46,000,14.224893
2016-02-05,14.44,14.44,14.44,14.44,000,14.205218
2016-02-04,14.44,14.44,14.44,14.44,000,14.205218
2016-02-03,14.43,14.43,14.43,14.43,000,14.195381
2016-02-02,14.42,14.42,14.42,14.42,000,14.185543
